2800000006	Matayu
2801010061	Agha ndo mahina gha lukolo lwa Yesu Kilisto ywa kibheleko kya Daudi, ywa kibheleko kya Abulahamu.
280102005f	Abulahamu kakinlela Isaka, na Isaka kakinlela Yakobu, na Yakobu kakinlela Yuda na alongo bhake.
2801030083	Yuda kakinlela Pelesi papamu na Zela, bhene mama ywabhe kakibhegha Tamali, na Pelisi kakinlela Esiloni, na Esiloni kakinlela Alamu,
2801040059	Alamu kakinlela Aminadabu, na Aminadabu kakinlela Nashoni, na Nashoni kakinlela Salimoni,
28010500a3	Salimoni kakinlela Boasi, na mama ghwake Boasi kakibhegha Lahabu, Boasi kakibhegha tate ghwake Obedi na mama ghwake Obedi kakibhegha Luti, na Obedi kakinlela Yese.
280106004e	Yese kakinlela Mutwa Daudi. Daudi kakinlela Selemani, kwa yula nhumbu ywa Ulia
2801070053	Selemani kakinlela Lehoboamu, na Lehoboamu kakinlela Abiya, na Abiya kakinlela Asa.
2801080055	Asa kakinlela Yehoshafati, na Yohoshafati kakinlela Yolamu, na Yolamu kakinlela Usia.
280109004d	Usia kakinlela Yotamu, na Yotamu kakinlela Ahasi, na Ahasi kakinlela Hesekia.
28010a004e	Hesekia kakinlela Manase, na Manase kakinlela Amoni, na Amoni kakinlela Yosia.
28010b0055	Yosia kakinlela Yekonia na alongo bhake, Mumanjubha gha kuhamihwa kughenda ku Babeli.
28010c0075	Mbole ya Akaayahudi kuhamihwa kughenda ku Babeli, Yekonia kakinlela Shealitieli, na Shealitieli kakinlela Selubabeli.
28010d0058	Salubabeli kakinlela Abihudi, na Abihudi kakinlela Eliakimu na Eliakimu kakinlela Asoli.
28010e004e	Asoli kakinlela Sadoki, na Sadoki kakinlela Akimo, na Akimo kakinlela Elihudi.
28010f0055	Elihudi kakinlela Eliasali, na Eliasali kakinlela Matani, na Matani kakinlela Yakobu,
2801100070	naywo Yakobu kakinlela Yosefu ywakabheghite nngwana ghwa Malia mama ghwake Yesu, na Yesu ndo ywakakemwa Kilisto.
2801110120	Habhu, hibheleko hyoha kutandila Abulahamu mbaka Daudi kukibhegha hibheleko kumi na ncheche, kangi kutandila Daudi mbaka kihamo kila kya ku Babeli kukibhegha hibheleko hingi kumi na ncheche, na kangi kutandila kihamo kya ku Baneli mbaka Kilisto kukibhegha hibheleko hingi kumi na ncheche.
28011200ce	Kubhelekwa kwa Yesu Kilisto kukibhegha naha, Malia mama ywake Yesu kakitalikila kuhetwa na Yosefu, peni kukali na kughonja papamu, Malia kakibhonekana kabhegha na ndumbu kwa makakala gha Nhuki ywa Chapanga.
2801130097	Naywo Yosefu nngwana ghwake, kiyaha kakibhegha mundu ywa maha, kakipala ng'obhe kumpegha honi Maliamu pakindabhanji, ndo kakilamula kunleka kwa mbwepo.
2801140108	Basi, pakabheghite mu kuwacha kutenda nnando aghwo, lihoka ywa Chapanga kakimbwitukila mumaloto na kakinng'ombela, “Yosefu mwana ywa Daudi, ghukotoke kuyoghopa kuntola Malia kabheghe nhumbu ghwako, kiyaha mata ghakamilite ndo kwa makakala gha Nhuki ywa Chapanga.
280115008b	Katapapa mwana nnume, na ghwenga ghwanpegha mwana aywo lihina lyake Yesu, kiyaha mwene ndo kataalopoha bhandu kubhuka mu ulemwa ghwabhe.”
280116006c	Basi, agha ghoha ghabwitukila ngati ghatwihilike ghala ghakalongelite Bambo kwa njila ya mbuye ywa Chapanga.
28011700a4	Nnole, “Kamwalilinda katakamula ndumbo, naywo katapapa mwana nnume, Mwana aywo katakemwa lihina lyake Emanueli.” Fwambulo yake, “Chapanga papamu na twenga.”
280118006e	Naywo Yosefu pakayumukite mung'ono, kakitenda handa lihoka ywa Bambo pakanng'ombilite, kakintola nhumbu ywake.
2801190076	Peni kanatyanga naywo ng'obhe mbaka Malia pakapapite mwana nnume. Naywo Yosefu kakinkema yula mwana lihina lyake Yesu.
28020100d5	Yesu kakibhelekwa kumbwani ya Betelehemu, mu nkoa ghwa Yudea, manjubha agho Helode kakibhegha mutwa. Kamu, mbole ya kubhelekwa Yesu, bhanautendehi bha kumanya ndondwa kuhuma mbande ya ngeha bhakehika ku Yelusalemu
28020200b3	bhakikonya, “Kabhengha kwoki aywo mwana ywakabhelekitwe, ywakapala kubhegha Mutwa ywa Akaayahudi? Tuyibhona ndondwa yake payibwitukila kungeha, na twenga tuhika kumtundamila.”
2802030069	Mutwa Helode pakayihwite nnando aghu kakibhaghaya, ywombe papamo na bhandu boha bhubho bha ku Yelusalemu.
280204007b	Basi kakiakema papamu mandundame akulu bhoha na ahunda bha Malaghilo gha Musa, kakiakonya “Kilisto katabhelekwa kwoki?”
280205007a	Bhombe bhakinng'ombela, “Katabhelekwa kumbwani ya Betelehemu kunkoa ghwa Yudea,” Handa pakalembite mbuye ywa Chapanga.
28020600c9	“Naghwenga Bethelehemu munnima ghwa Yudea, Ghwenga ghunndoko ng'obhe nkati ya hitami ihwadali hya ku Yudea; Mana, kwa ghwenga katabwituka kilongohi ywakapala kualongoha bhandu bhangu Akaaisilaeli.”
280207008d	Apo ndo Helode kakiakema pambwegha abho atendehi bha kumanya ndondwa, kakiakonya bhammanyihe nndaluko ghwa tela ghuubhonekanite yila ndondwa.
28020800bc	Mbole kakibhalaghila aghende Betelehemu pakiaghombela. “Nng'ende mukahingukihe maha mihalo ya mwana aywo. Mbole ya kummona mumuyihile mihalo yake, ngati na nenga ng'ende kuntundamila.”
28020900c5	Mbole ya kunnyihwa Mutwa, abho atendehi bha kumanya ndondwa bhakibhuka, na kamu yila ndondwa bhaayibhonite mbande ya ngeha yikialongoha, nabhombe bhakiyitughila mbaka payiyimite pakabheghite mwana.
