0100000018	उत्पत्ति
0101010097	आदिमा परमेश्‍वरले आकाशमण्डल र पृथ्वी सृष्‍टि गर्नुभयो ।
0101020153	पृथ्वी निराकार र शून्य थियो । समुद्रको सतहमाथि अन्धकार थियो । परमेश्‍वरका आत्मा सारा समुद्रमाथि परिभ्रमण गर्दै हुनुहुन्थ्यो ।
01010300a3	परमेश्‍वरले भन्‍नुभयो, “उज्यालो होस्,” र त्यहाँ उज्यालो भयो ।
010104010c	परमेश्‍वरले उज्यालोलाई हेर्नुभयो, र त्यो असल थियो । उहाँले उज्यालोलाई अन्धकारबाट छुट्‍ट्याउनुभयो ।
0101050102	परमेश्‍वरले उज्यालोलाई “दिन”, र अन्धकारलाई “रात” भन्‍नुभयो । साँझ पर्‍यो र बिहान भयो - पहिलो दिन ।
0101060106	परमेश्‍वरले भन्‍नुभयो, “पानीको बिचमा एउटा क्षेत्र होस्, र त्यसले पानीलाई दुई भागमा विभाजन गरोस् ।”
01010700f5	परमेश्‍वरले त्यो क्षेत्र बनाएर त्यसमुनि र माथिको पानीलाई विभाजन गर्नुभयो । तब त्यस्तै भयो ।
01010800e1	परमेश्‍वरले त्यस क्षेत्रलाई “आकाश” भन्‍नुभयो । साँझ पर्‍यो र बिहान भयो - दोस्रो दिन ।
0101090125	परमेश्‍वरले भन्‍नुभयो, “आकाशमुनिको जम्मै पानी एक ठाउँमा जम्मा होस्, र ओभानो जमिन देखा परोस् ।” तब त्यस्तै भयो ।
01010a0149	परमेश्‍वरले ओभानो जमिनलाई “पृथ्वी” भन्‍नुभयो, र जम्मा भएको पानीलाई “समुद्र” भन्‍नुभयो । उहाँले हेर्नुभयो, र त्यो असल थियो ।
01010b0199	परमेश्‍वरले भन्‍नुभयो, “पृथ्वीले आ-आफ्नो प्रजातिअनुसारको वनस्पति, बिउ हुने बोट-बिरुवाहरू र फलभित्रै बिउ हुने फल-फलाउने रुखहरू उमारोस् ।” तब त्यस्तै भयो ।
01010c01a4	पृथ्वीले वनस्पति, आ-आफ्नो प्रजातिअनुसारका बिउ हुने बोट-बिरुवाहरू र आफ्नै फलभित्र बिउ हुने फल-फलाउने रुखहरू उमार्‍यो । परमेश्‍वरले हेर्नुभयो, र त्यो असल थियो ।
01010d0060	साँझ पर्‍यो र बिहान भयो - तेस्रो दिन ।
01010e0177	परमेश्‍वरले भन्‍नुभयो, “दिनलाई रातबाट अलग गर्नको निम्ति आकाशमा ज्योतिहरू होऊन् र तिनीहरू ऋतुहरू, दिनहरू र वर्षहरूका निम्ति चिन्हहरू होऊन् ।
01010f00bf	पृथ्वीमाथि उज्यालो दिनलाई ती आकाशमा ज्योतिहरू होऊन् ।” तब त्यस्तै भयो ।
0101100193	परमेश्‍वरले दुईवटा विशाल ज्योति बनाउनुभयो, ठुलो ज्योतिचाहिँ दिनमाथि प्रभुत्व गर्न, र सानोचाहिँ रातमाथि प्रभुत्व गर्न । उहाँले ताराहरू पनि बनाउनुभयो ।
01011100e3	पृथ्वीमाथि उज्यालो दिन, दिन र रातमाथि प्रभुत्व गर्न, र उज्यालोलाई अन्धकारबाट अलग गर्न
01011200c9	परमेश्‍वरले ती आकाशमा राख्‍नुभयो । परमेश्‍वरले हेर्नुभयो, र त्यो असल थियो ।
010113005a	साँझ पर्‍यो र बिहान भयो - चौथो दिन ।
0101140126	परमेश्‍वरले भन्‍नुभयो, “पानी ठुलो सङ्ख्‍यामा जीवित प्राणीहरूले भरिऊन्, र पृथ्वीमाथि आकाशमा पक्षीहरू उडून् ।”
010115025a	परमेश्‍वरले विशाल जलचरहरू, र आ-आफ्नो प्रजातिअनुसारको सबै जीवित प्राणी, चलहल गर्ने र पुरै पानीलाई भर्ने प्राणीहरू, र आ-आफ्नो प्रजातिअनुसारको पखेटा भएका सबै पक्षीहरूलाई सृष्‍टि गर्नुभयो । परमेश्‍वरले हेर्नुभयो, र त्यो असल थियो ।
0101160170	परमेश्‍वरले तिनीहरूलाई यसो भनेर आशिष् दिनुभयो, “फल्दै-फुल्दै र वृद्धि हुँदै जाओ, र समुद्रमा भरिँदै जाओ । पृथ्वीमा पक्षीहरू वृद्धि होऊन् ।”
0101170060	साँझ पर्‍यो र बिहान भयो - पाँचौँ दिन ।
01011801c1	परमेश्‍वरले भन्‍नुभयो, “पृथ्वीले आ-आफ्नो प्रजातिअनुसारको जीवित प्राणीहरू, पाल्तु पशुहरू, घस्रने जन्तुहरू, र पृथ्वीका जङ्गली जनावरहरू उत्पन्‍न गरोस् ।” तब त्यस्तै भयो ।
01011901b4	परमेश्‍वरले पृथ्वीका जङ्गली जनावरहरू, पाल्तु पशुहरू, जमिनमा घस्रने सबै जन्तुहरूलाई तिनीहरूकै आ-आफ्नै प्रजातिअनुसार बनाउनुभयो । उहाँले हेर्नुभयो, र त्यो असल थियो ।
01011a0217	परमेश्‍वरले भन्‍नुभयो, “मानिसलाई हाम्रो स्वरूपमा, हाम्रो प्रतिरूपमा बनाऔँ । तिनीहरूले समुद्रका माछाहरू, आकाशका पक्षीहरू, पाल्तु पशुहरू, सारा पृथ्वी, र पृथ्वीमा घस्रने सबै जन्तुहरूमाथि अधिकार गरून् ।”
01011b01a5	परमेश्‍वरले मानिसलाई आफ्नै स्वरूपमा सृष्‍टि गर्नुभयो । उहाँले तिनलाई आफ्नै प्रतिरूपमा सृष्‍टि गर्नुभयो । नर र नारी गरी उहाँले तिनीहरूलाई सृष्‍टि गर्नुभयो ।
01011c0261	परमेश्‍वरले तिनीहरूलाई आशिष्‍्‍ दिनुभयो र भन्‍नुभयो, “फल्दै-फुल्दै र वृद्धि हुँदै जाओ । पृथ्वीमा भरिँदै जाओ, र त्यसलाई आफ्नो वशमा राख । समुद्रका माछाहरू, आकाशका पक्षीहरू, र पृथ्वीमा चलहल गर्ने सबै जीवित प्राणीहरूमाथि अधिकार गर ।”
01011d01c5	परमेश्‍वरले भन्‍नुभयो, “हेर, मैले पृथ्वीका बिउ हुने हरेक बोट-बिरुवाहरू, र फलभित्रै बिउ हुने हरेक फल-फलाउने रुखहरू तिमीहरूलाई दिएको छु । ती तिमीहरूका निम्ति आहारा हुनेछन् ।
01011e01cd	पृथ्वीका हरेक जङ्गली जनवारहरू, आकाशका हरेक पक्षीहरू, र सबै घस्रने जन्तुहरू, र जीवन भएका हरेक प्राणीलाई मैले आहाराको निम्ति सबै हरिया बोट-बिरुवाहरू दिएको छु ।” तब त्यस्तै भयो ।
01011f0120	परमेश्‍वरले आफूले बनाउनुभएका सबै कुरा हेर्नुभयो । त्यो ज्यादै असल थियो । साँझ पर्‍यो र बिहान भयो - छैटौँ दिन ।
01020100ce	सारा आकाशमण्डल र पृथ्वी, र तिनमा भएका सबै जीवित प्राणीहरूको सृष्‍टि पुरा भयो ।
010202014b	सातौँ दिनसम्ममा परमेश्‍वरले आफूले गर्नुभएको कामलाई पुरा गर्नुभयो ।यसैकारण उहाँले सातौँ दिनमा सबै कामबाट विश्राम लिनुभयो ।
010203019b	परमेश्‍वरले सातौँ दिनलाई आशिष्‍्‍ दिनुभयो र त्यसलाई पवित्र तुल्याउनुभयो, किनभने आफ्नो सृष्‍टिमा गर्नुभएका सबै कामबाट यसै दिनमा उहाँले विश्राम लिनुभयो ।
0102040115	परमप्रभु परमेश्‍वरले आकाश र पृथ्वीलाई सृष्‍टि गर्नुभएको समयमा भएका घटनाक्रमहरूको वृत्तान्त यही थियो ।
01020501ea	पृथ्वीको भूमिमा अझै कुनै वनस्पति थिएन, र कुनै बिरुवा पनि उम्रेको थिएन, किनभने परमप्रभु परमेश्‍वरले पृथ्वीमा पानी वर्साउनुभएको थिएन, र भूमिमा खेती गर्नको निम्ति त्यहाँ कुनै मानिस थिएन ।
01020600b8	तर पृथ्वीबाट माथि आएको कुइरोले जम्मै भूमिको सतहलाई भिजाउने गर्थ्यो ।
010207013f	परमप्रभु परमेश्‍वरले भूमिको माटोबाट मानिस बनाउनुभयो, र त्यसको नाखबाट जीवनको सास फुकिदिनुभयो, र मानिस जीवित प्राणी भयो ।
0102080125	परमप्रभु परमेश्‍वरले अदनको पूर्वतिर एउटा बगैँचा लगाउनुभयो, र उहाँले बनाउनुभएको मानिसलाई त्यहीँ राख्‍नुभयो ।
01020901e4	हेर्नमा राम्रो र खानको निम्ति असल फल भएको सबै रुखलाई परमप्रभु परमेश्‍वरले भूमिबाट उमार्नुभयो । बगैँचाको बिचमा भएको जीवनको रुख, अनि असल र खराबको ज्ञान दिने रुख पनि उहाँले उमार्नुभयो ।
01020a00ff	बगैँचालाई भिजाउन अदनबाट एउटा नदी निस्केको थियो । त्यहाँबाट त्यो छुट्टिएर चारवटा नदी बनेका थिए ।
01020b00eb	पहिलो नदीको नाम पीशोन हो । यो त्यही नदी हो जुन हवीलाको सारा भूमिमा बग्दछ, जहाँ सुन पाइन्छ ।
01020c009a	त्यस भूमिको सुन असल छ । त्यहाँ खोटो र आनिक्स पत्थर पनि छन् ।
01020d00a1	दोस्रो नदीको नाम गीहोन हो । योचाहिँ कूशको सारा भूमिमा बग्दछ ।
01020e00db	तेस्रो नदीको नाम टाइग्रिस हो, जुन अश्शूरको पूर्वबाट बग्दछ । चौथो नदी यूफ्रेटिस हो ।
01020f0119	परमप्रभु परमेश्‍वरले मानिसलाई अदनको बगैँचामा लगी त्यहाँ खेतीपाती गर्न र त्यसको हेरचाह गर्न राख्‍नुभयो ।
01021000f8	परमप्रभु परमेश्‍वरले यसो भनी आज्ञा गर्नुभयो, “बगैँचाको सबै रुखबाट खान तँलाई स्वतन्‍त्रता छ ।
010211011e	तर असल र खराबको ज्ञान दिने रुखबाट तैँले नखानू, किनभने जुन दिन तैँले त्यो फल खान्छस्, तँ निश्‍चय नै मर्नेछस् ।”
0102120129	त्यसपछि परमप्रभु परमेश्‍वरले भन्‍नुभयो, “मानिस एकलो रहन असल छैन । म त्यसको लागि एउटा सुहाउने सहयोगी बनाउनेछु ।”
0102130284	परमप्रभु परमेश्‍वरले भूमिबाट सबै पशुहरू र आकाशका सबै पक्षीहरू बनाउनुभयो । त्यसपछि मानिसले ती सबैलाई के नामले बोलाउँदो रहेछ भनेर उहाँले ती त्यसको अगि ल्याउनुभयो । हरेक जीवित प्राणीलाई मानिसले जे-जे नामले बोलायो, त्यही-त्यही नै हरेकको नाम भयो ।
0102140162	मानिसले सबै पाल्तु पशु, आकाशका सबै पक्षीहरू, र सबै जङ्गली जनावरहरूलाई नाम दियो । तर मानिसको निम्ति त्यहाँ कुनै सुहाउँदो सहयोगी पाइएन ।
01021501d6	परमप्रभु परमेश्‍वरले मानिसलाई गहिरो निद्रामा पार्नुभयो, यसैकारण मानिस निदायो । परमप्रभु परमेश्‍वरले त्यसका करङहरूमध्ये एउटा झिक्‍नुभयो र करङ झिकेको ठाउँमा मासु भरिदिनुभयो ।
010216011d	परमप्रभु परमेश्‍वरले मानिसबाट झिक्‍नुभएको करङबाट एउटी स्‍त्री बनाउनुभयो र तिनलाई मानिसकहाँ ल्याउनुभयो ।
0102170136	मानिसले भन्यो, “यिनी त मेरा हाडहरूको हाड र मासुको मासु हुन् । यिनलाई ‘नारी’ भनिनेछ, किनभने यिनी नरबाट झिकिएकी थिइन् ।”
010218011b	त्यसैकारण मानिसले आफ्ना बुबा र आमालाई छोड्नेछ, त्यो आफ्नी पत्‍नीसँग एक हुनेछ, र तिनीहरू एउटै शरीर हुनेछन् ।
01021900ab	मानिस र त्यसकी पत्‍नी दुवै नाङ्‍गै थिए, तर तिनीहरू लजाउँदैन थिए ।
010301020b	परमप्रभु परमेश्‍वरले बनाउनुभएका सबै जङ्गली पशुहरूमध्ये सर्पचाहिँ बढी धूर्त थियो । त्यसले स्‍त्रीलाई भन्यो, “के परमेश्‍वरले साँच्‍चै नै तिमीहरूलाई बगैँचाको कुनै रुखको फल नखानू भनी भन्‍नुभएको छ?”
01030200b9	स्‍त्रीले सर्पलाई भनिन्, “हामीले बगैँचाका रुखहरूका सबै फल खान सक्छौँ,
0103030182	तर बगैँचाको बिचमा भएको रुखको फलको विषयमा भने, परमेश्‍वरले भन्‍नुभएको छ, ‘तिमीहरूले त्यो नखानू, न त तिमीहरूले त्यो छुनू, नत्रता तिमीहरू मर्नेछौ ।’”
0103040098	सर्पले स्‍त्रीलाई भन्यो, “निश्‍चय नै तिमीहरू मर्नेछैनौ ।
0103050188	किनभने परमेश्‍वर जान्‍नुहुन्छ, कि जुन दिन तिमीहरू त्यो खान्छौ तिमीहरूका आँखा खुल्नेछन्, र असल र खराबको ज्ञान पाएर तिमीहरू परमेश्‍वरजस्तै हुनेछौ ।”
