2800000005	Matei
2801010068	Chenichi ndi chitabu cha lukolo lwa Yesu Kilisitu mweavi chiveleku cha Daudi wa chiveleku cha Ibulahimu.
2801020056	Ibulahimu amveliki Izaki, Izaki amveliki Yakobo, Yakobo amveliki Yuda na valongo vaki,
280103006a	Yuda amveliki Pelisi na Zela, nyina wavi avili Tamali, Felikisi amveliki Heziloni, Heziloni amveliki Lami,
280104004f	Lami amveliki Aminadabu, Aminadabu amveliki Nashoni, Nashoni amveliki Solomoni,
2801050057	Solomoni na Lahabu vamveliki Boazi, Boazi na Lutu vamveliki Obedi, Obedi amveliki Yese,
2801060058	mwene Yese amveliki Nkosi Daudi. Daudi amveliki Solomoni, nyina waki avi mdala wa Uliya,
280107004c	Solomoni amveliki Lehobohamu, Lehobohamu amveliki Abiya, Abiya amveliki Asa,
280108004a	Asa amveliki Yeoshafati, Yeoshafati amveliki Yolamu, Yolamu amveliki Uzia,
2801090044	Uzia amveliki Yotamu, Yotamu amveliki Ahazi, Ahazi amveliki Hezekia,
28010a0045	Hezekia amveliki Menasi, Menasi amveliki Amoni, Amoni amveliki Yosia,
28010b0070	Yosia amveliki Yekonia na valongo vaki. Lwenulo ndi lwavi lukumbi lwa Vayawudi pavapelikwi kuluhamilu ku Babeli.
28010c006c	Lukumbi Vayawudi pevavi kuluhamilu ku Babeli, Yekonia amveliki Shealitieli, Shealitieli amveliki Zelubabeli,
28010d004e	Zelubabeli amveliki Abiudi, Abiudi amveliki Eliakimu, Eliakimu amveliki Azoli,
28010e0044	Azoli amveliki Zadoki, Zadoki amveliki Akimu, Akimu amveliki Eliudi,
28010f004b	Eliudi amveliki Eleazali, Eleazali amveliki Matani, Matani amveliki Yakobo.
280110004f	Yakobo amveliki Yosefu, mngwana wa Maliya, nyina waki Yesu mweikemiwa Kilisitu.
28011100dc	Kwavi na viveleku kumi na mcheche kuhuma Ibulahimu mbaka Daudi, vivelekelu kumi na mcheche kuhuma Daudi mbaka Vayawudi pavatoliwi uvanda wa ku Babeli, viveleku kumi na mcheche kuhuma uvanda mbaka kuvelekewa kwa Kilisitu.
28011200bf	Chenichi ndi cheavelekiwi Yesu Kilisitu. Maliya nyina wa Yesu, achumbiwi na Yosefu. Nambu vakona vangatama ngati mngwana na mdala, Maliya apatili kuvya na ndumbu kwa makakala ga Mpungu Msopi.
2801130087	Ndava Yosefu mngwana wa Maliya avi mundu mbwina palongolo ya Chapanga aganili lepi kumpela soni pavandu ndi aholalili kumleka chamfiyu.
28011400ea	Peavi akona ihololela lijambu lenilo, Mtumu wa kunani kwa Chapanga amuhumali munjozi na kumjovela, “Yosefu, mwana wa Daudi, ukotoka kuyogopa kumtola Maliya avya mdala waku, muni ndumbu yeavinayu apatili kwa makakala ga Mpungu Msopi.
2801150084	Yati iveleka mwana mgosi hinu veve yati ukumpela liina Yesu ndava mwenuyu yati akuvasangula vandu kuhuma kumbudila Chapanga wavi.”
2801160061	Mambu goha ago gahumalili muni kutimilisa malovi ga Bambu geajovili munjila ya mlota wa Chapanga,
280117009a	“Yuwanila! Kamwali yati ivya na ndumbu, yati iveleka mwana mgosi, na veve yati ukumpela liina Emanueli.” Mana yaki “Chapanga avi pamonga na tete.”
2801180089	Ndi Yosefu peayumwiki mulugono akitili ngati mtumu wa kunani kwa Chapanga cheamjovili, akamtola mdala waki na kuhamba nayu kunyumba yaki.
280119005e	Nambu agonili nayu lepi mbaka Maliya peamveliki mwana mgosi, namwene Yosefu ampeli liina Yesu.
28020100c7	Hinu Yesu avelikiwi kumuji wa Betelehemu, mulima wa Yudea lukumbi lwa ulongosi wa nkosi Helodi. Bahapo peamali kuvelekwa vevimanya mambu ga ndondo kuhuma kwe lihumila lilanga vabwelili ku Yelusalemu,
28020200a6	vakavakota vandu, “Avi koki mwana yula, mweavelikwi kuvya Nkosi wa Vayawudi? Tiyiweni ndondo yaki yeyahumali kwe lihumila lilanga, na tete tibwelii kumgundamila.”
2802030059	Nkosi Helodi peayuwini ago, akavagaya mwene pamonga na vandu voha vevitama pa Yelusalemu.
280204008b	Hinu akavakemela pamonga vamteta vakulu va Chapanga voha na vawula va Malagizu, akavakota, “Wu, Kilisitu Msangula yati ivelekewa koki?”
280205005e	Vene vakamyangula, “Muji wa Betelehemu mulima wa Yudea, ngati cheayandiki mlota wa Chapanga,
28020600aa	‘Veve muji wa Betelehemu mulima wa Yudea, veve katu wamdebe lepi mumiji yivaha ya Yudea, muni kwa veve yati ihumila chilongosi, mweilongosa vandu vangu, Isilaeli.’”
2802070079	Hinu, Helodi avakemili kuchiyepela vandu vala vevimanya mambu ga ndondo avakotakisi lukumbi chakaka ndondo payavaumalili.
28020800b4	Kangi akavatuma kuhamba ku Betelehemu avajovili, “Muhamba mkakotakesa chamugati malovi ga mwana uyo. Ngati mumuwene mbwela kunijovela, muni mewawa na nene niamba kumgundamila.”
28020900a9	Vala vevimanya mambu ga ndondo, pevamali kumyuwanila nkosi vakahamba. Ndondo yevayiwene kwelihumila lilanga yavalongolili yahambili kuyima panani pandu pala peavi mwana.
28020a002c	Pavayiwene ndondo yila, vavi na luheku neju.
28020b00c7	Hinu vakayingila mugati, vakamlola mwana pamonga na Maliya nyina mwana, vakafugama na kumgundamila. Kangi vakawopola tuhaku vakatola njombi na vakampela zahabu na ubani na mahuta gegikemiwa manemane.
28020c0060	Chapanga avabesili munjozi vakotoka kumuwuyila Helodi, ndi vakawuya kumulima wavi munjila yingi.
28020d00ea	Pavawukili vayehe vala, mtumu wa kunani kwa Chapanga amuhumalili Yosefu munjozi, akamjovela, “Yimuka! Mtola mwana pamonga na nyina waki, mtilila ku Misili. Mkatama kwenuko mbaka panikuvajovela muni Helodi igana kumkoma mwana uyo.”
28020e005c	Yosefu ayumwiki, akamtola mwana pamonga na nyina waki akawuka kilu yila, akahamba ku Misili.
28020f00b7	Akatama kwenuko mbaka Helodi peafwili. Lijambu lenili lakitiki muni lilovi leajovili Bambu munjila ya mlota wa Chapanga litimilayi, “Namkemili mwana vangu awuya kuhuma ku Misili.”
2802100142	Helodi peamanyili kuvya vala vevimanya mambu ga ndondo vamkongili, akamema ligoga. Akavatuma vandu vaki vahamba kuvakoma vana vagosi voha pamuji wa Betelehemu na mumihana yaki vevavi na umuli wa miaka yivili na kuhelela vakomiwayi. Akitili genago ndava ya lukumbi lula lweajoviwi na vandu vala vevamanyili mambu ga ndondo.
2802110042	Ndi chagatimili malovi geajovili Yelemia mweavi mlota wa Chapanga,
28021200a0	“Lwami luyuwanika kumuji wa Lama, Chivembu cha mvinisu ukulu na kuwombeleza pamahele, Laheli akuvavembela vana vaki, Na ibela kupoleswa, muni voha vafwili.”
280213005d	Hinu, Helodi peafwili mtumu wa kunani kwa Chapanga amuhumalili Yosefu munjozi ku Misili kula,
280214007a	amjovili “Wuka! Mtola mwana na nyina waki, uwuya kavili kumulima wa Isilaeli, ndava vevaganayi kumkoma mwana vafwili.”
2802150052	Yosefu akawuka, akamtola mwana pamonga na nyina waki akawuya pamulima wa Isilaeli.
28021600bf	Nambu Yosefu peayuwini kuvya Alikelao, mwana wa Helodi, ahalili unkosi wa Yudea pahali pa dadi waki, ayogwipi kuhamba kwenuko. Namwene peamali kubesewa munjozi, akahamba pamulima wa Galilaya,
2802170095	akahamalila kumuji weukemelewa Nazaleti. Ndi chagatimalili malovi gegajoviki munjila ya vamlota va Chapanga, “Yati ikemiwa mundu wa ku Nazaleti.”
280301005e	Lukumbi lwenulo Yohani Mbatizaji ahambili kulugangatu lwa Yudea akatumbula kuvakokosela vandu.
2803020051	Akajova, “Mumuwuyila Chapanga muni Unkosi wa Kunani kwa Chapanga uvi papipi.”
280303009e	Yohani mwenuyo ndi yula Isaya mweavi mlota wa Chapanga ajovili, “Mundu ijova kwa lwami kulugangatu, Mumtendelekela Bambu njila yaki, mugolosa njila yaki!”
2803040095	Yohani awalii nyula yevatotili mangoma ga hinyama yeyikemiwa ngamiya, mkungi wa chikumba muchiwunu chaki. Chakulya chaki chavi mambalanguli na wuchi.
280305007b	Hinu vandu kuhuma ku Yelusalemu na kuhuma milima yoha yeyivii papipi na Yudea na mumihana ya mfuleni Yoludani vamhambalili.
280306004f	Vakagajova hotohoto gevambudili Chapanga. Namwene avabatizi mumfuleni Yoludani.
28030700c1	Nambu peavaweni Vafalisayu na Vasadukayu vamahele vakumbwelela muni avabatizayi, mwene avajovili, “Nyenye chiveleku cha liyoka! Yani mweavajovili muhotola kutila ligoga la Chapanga lelibwela?
2803080042	Mulangisa mumatendu ginu kuvya mukotwiki kumbudila kwinu Chapanga.
28030900bc	Nakuhololela mwihotola kutila ligoga la Chapanga cha kujova kuvya ndi nyenye vana va Ibulahimu nikuvajovela chakaka Chapanga ihotola kutola aga maganga na kugakita kuvya vana va Ibulahimu.
28030a007c	Hinu livagu litendelekiwi mumikiga ya mikongo, mkongo wowoha wangapambika matunda gabwina yati udumuliwa na kutagiwa kumotu.
28030b00e9	Nene nikuvabatiza kwa manji kulangisa kuvya mkotwiki kumbudila kwinu Chapanga. Nambu mweibwela mumbele ya nene yati akuvabatiza kwa Mpungu Msopi na motu. Mwene anamkakala kuliku nene na nene niganikiwa lepi hati kugega champali zaki.
28030c0093	Mwene ikamula lupalu lwa kupepetela nganu mu mawoko gaki muni apepeta nganu yaki na kuvika muchibana nambu masasa akugayocha pamotu wangajimika.”
28030d005e	Lukumbi lwenulo Yesu ahumili ku Galilaya akahika kumfuleni Yoludani, muni abatiziwa na Yohani.
28030e006e	Nambu Yohani alingili kumbesa amjovili, “Wu, veve, ubwela kwa nene? Yikunigana nene nibatiziwayi na veve!”
28030f0099	Nambu Yesu akayangula, “Yidakila kukita genaga hinu, kwa njila yeniyi ndi cheiganikiwa kuhenga goha geigana Chapanga.” Bahapo ndi Yohani akayidakila.
2803100098	Yesu peamali kubatiziwa na kuhuma mumanji bahapo kunani kwa Chapanga kwadindwiki, akalola Mpungu wa Chapanga ihelela ngati ngunda na kutula panani yaki.
2803110069	Kangi lwami kuhuma kunani kwa Chapanga lukajova, “Mwenuyu ndi Mwana vangu mganu, mweniganisiwi nayu.”
280401004e	Kangi Mpungu Msopi wamlongwisi Yesu mbaka kulugangatu muni alingiwa na Setani.
2804020055	Ajihinisi chakulya lukumbi lwa magono alobaini kilu na muhi pamwishu njala yamvinili.
