2800000005	Mateu
2801010045	Livulu lia vakukuluila va Yesu Kilistu, muna Ndaviti, muna Avilahama.
2801020075	Avilahama uapuile ishe ya Isake, kaha Isake uapuile ishe ya Yakomba, kaha Yakomba uapuile ishe ya Yunda na vamunaina,
280103008e	kaha Yunda uapuile ishe ya Peleze na Zela vaje vaina vapuile Tamale, kaha Pelezi uapuile ishe ya Hezelone, kaha Hezelone uapuile ishe ya Lama,
2801040079	kaha Lama uapuile ishe ya Aminandave, kaha Aminandave uapuile ishe ya Naheshone, kaha Naheshone uapuile ishe ya Salemone,
280105009e	kaha Salemone uapuile ishe ya Mbouasi uje vaina vapuile Luhave, kaha Mbouasi uapuile ishe ya Ovende uje vaina vapuile Lute, kaha Ovende uapuile ishe ya Njesi,
2801060075	kaha Njesi uapuile ishe ya muene Ndaviti. Kaha Ndaviti uapuile ishe ya Solomoni uje vaina vapuile te mpuevo ya Uliya,
2801070070	kaha Solomoni uapuile ishe ya Lehovouame, kaha Lehovouame uapuile ishe ya Aviya, kaha Aviya uapuile ishe ya Asa,
2801080073	kaha Asa uapuile ishe ya Njosefati, kaha Njosefati uapuile ishe ya Njeholame, kaha Njeholame uapuile ishe ya Uziya,
280109006a	kaha Uziya uapuile ishe ya Yotame, kaha Yotame uapuile ishe ya Ahaze, kaha Ahaze uapuile ishe ya Hezekiya,
28010a006b	kaha Hezekiya uapuile ishe ya Manase, kaha Manase uapuile ishe ya Amoni, kaha Amoni uapuile ishe ya Yosiya,
28010b0075	kaha Yosiya uapuile ishe ya Yehoyakine na vamunaina, ha ntsimbu ije vavatualele ku vunzinda mu lifuti lia Mbambilone.
28010c0081	Kaha kuhuma hakuvatuala ku Mbambilone, Yehoyakine uapuile ishe ya Sheyaletiyele, kaha Sheyaletiyele uapuile ishe ya Zelumbambele,
28010d0078	kaha Zelumbambele uapuile ishe ya Aviyunde, kaha Aviyunde uapuile ishe ya Eliakime, kaha Eliakime uapuile ishe ya Azole,
28010e006b	kaha Azole uapuile ishe ya Zandoke, kaha Zandoke uapuile ishe ya Akime, kaha Akime uapuile ishe ya Eliunde,
28010f0071	kaha Eliunde uapuile ishe ya Eliazale, kaha Eliazale uapuile ishe ya Matane, kaha Matane uapuile ishe ya Yakomba,
280110006a	kaha Yakomba uapuile ishe ya Yosefa uje uapuile yala lia Maliya uje uasemene Yesu, uje ivatumbula Kilistu.
2801110122	Kaha honi vikota vioshe kuhuma kuli Avilahama nakutuala kuli Ndaviti viapuile likumi na viuana, kaha kuhuma kuli Ndaviti kutuala noho vavatualele ku Mbambilone viapuile vikota likumi na viuana, kaha kuhuma hakuvatuala ku Mbambilone kuneha noho kuli Kilistu viapuile vikota likumi na viuana.
28011200b7	Honi kusemuka ca Yesu Kilistu cezile mucifua eci. Omo vaina Maliya vamulamene kuli Yosefa, kaha te kanda valimoneho vamumuene nguavo akemita lizimo lia nzili yaku Cimbembesi Uakulela.
2801130077	Kaha Yosefa uje uamulamene hakupua ua vusunga, katondele kumuvuisa shuamua kaha uasinganiekele kuviana vulo muvushueke.
28011400ee	Vuno honi te acili nakusinganieka eci, taleni, kangelo ua Muene uasholokele kuli ikeye mu cilota nakuhandeka nguendi, “Yosefa, muna Ndaviti keti uteue kuambata Maliya mpueyove, omuo eci kuimita cali naco cinapu caku Cimbembesi Uakulela.
280115006a	Akasema muana ua yala, kaha ukamuluka lizina liendi Yesu, omuo ikeye akovola vantu vendi ku vipi viavo.”
2801160069	Vioshe evi vialingiuile mukushulisisa vije viahandekele Muene kuhitila muli kananguizi ua Njambi nguendi,
280117009b	“Taleni, mpuevo uje kanda alimone na yala akemita kaha akasema muana ua yala, kaha lizina liendi vakamutumbula Manuuele” (kulumbununa Njambi ali netu.)
2801180066	Omo Yosefa uahindukile mutulo, ualingile ngue muje muamushikile kangelo ua Muene. Uambatele mpueyendi,
2801190064	vuno honi kalimuene nendi kuvanga noho hasemenene muana ua yala, kaha uamulukile lizina liendi Yesu.
280201008b	Honi omo Yesu uasemukile mu Mbetelehema ku Yundeya mu matangua a muene Helonde, taleni vaka mana vahumine ku ngangela vezile ku Yelusalema,
280202007f	vehuile nguavo, “Ali kuli ou nasemuka muene ua Vayunda? Tunamono ntanga tanga yendi mu ngangela, kaha tuneja nakumulemesa.”
2802030061	Omo muene Helonde uevuile eci, ualiniengele cikuma, hamo navoshe vaje vakele nendi mu Yelusalema.
2802040080	Kaha uakunguluile vakuluntu voshe va tusasendote na valongisi va mezi a lishiko, kaha uavehuile kuje Kilistu napande kusemukila.
280205006f	Vamulekele nguavo, “Mu Mbetelehema ku Yundeya,” omuo omu mukemo muvavisonekelele kuli kananguizi ua Njambi,
28020600c9	“‘Nove Mbetelehema, mu nganda ya Yundeya, keti usinganieke nguove u uamundende hhakati kavaka kuyula vamu Yundeya, omuo kuli yove kukahuma muka kuyula uje akatuamenena vantu vange va Isaleli.’”
280207006a	Amba honi Helonde uasanene vaka mana muvushueke, uavehuisisile ntsimbu muka ije ntanga ntanga yasholokele.
28020800ac	Kaha uavatumine ku Mbetelehema uavalekele nguendi, “Yeni mukatondesese cikuma ha kanike ou, kaha omo muamuuana, muije muakunjileke linga nange naua njije nakumulemesa.”
28020900a9	Omo vevuile vije via handekele muene kaha vaile, kaha taleni, ntanga ntanga ivamuene mu ngangela yakele kulutue luavo noho yezile nakutulila ha cihela cije hakele muana.
28020a0046	Omo vamuene ije ntanga ntanga, vavuahelelele cikuma na nzolela yakama.
28020b00fb	Kaha omo vakovelele mu njivo vamuene muana na vaina Maliya, kaha vatsikamene ha mavuli avo nakumulemesa. Ambahoni vafukuile mu viambatelo viavo via vufuko nakumuhana mavuana a seho a ngolinde na mazi a kunika luengo luacili a fulankininsense na miila.
28020c006e	Kaha hanima yakuvanangula mu cilota linga keti vahiluke kuli Helonde, vahilukile ku cifuti cavo na ngila yeka.
28020d00fb	Honi omo vaile, kaha taleni, kangelo ua Muene uasholokele kuli Yosefa mu cilota kaha auhandekele nguendi, “Hinduka ambata muana na vaina, kaha teuela ku Ingito, kaha yakakale kuje noho njikakuleka, omuo Helonde alinakutonda muana linga a mutsihe.”
28020e0055	Ambahoni uahindukile nakuambata muana na vaina ha vutsiki vuje vene nakuya ku Ingito.
28020f00ac	Vakele kuje noho Helonde uatsile. Cije capuile kushulisisa vije viahandekele Muene kuhitila muli kananguizi ua Njambi nguendi, “Njasanene munange uje uakele mu Ingito.”
2802100131	Ambahoni Helonde omo uamuene nguendi vaka mana vanamukuisa, uanienguele cikuma, kaha uashikile linga vatsihe vanike voshe vava mala mu Mbetelehema na mu vihela viakulihatako voshe vaje vakele na miaka ivali na vaje vakele muintsi lia miaka ivali yakusemuka, kuya ku ntsimbu ije yalilongesele ku vaka mana.
2802110051	Ambahoni vialishulisile vije viahandekele kananguizi ua Njambi Njelemiya nguendi:
2802120091	“Vovuile Lizi mu Lama lizi lia kulila na kulinienga cikuma, Lakele alilila muomu ya vana vendi, katavele kumuzembeleka, muomu voshe vatsile.”
280213007a	Vuno honi omo Helonde uatsile, taleni, kangelo ua Muene uasholokele mu cilota kuli Yosefa mu Ingito, ua handekele nguendi,
2802140075	“Hinduka ambata muana na vaina linga muye ku cihela ca Isaleli, muomu vaje vasinganiekele kutsiha muana vanatsi.”
2802150047	Kaha uahindukile nakuambata muana na vaina nakuya ku cihela ca Isaleli.
28021600ae	Vuno honi omo uevuile ngeci Alekelau nasuana Yundeya mu cihela ca ishe Helonde, kaha uateuele kuya kuje. Kaha honi hakumunangula mu cilota, kaha uaile ku cihela ca Ngalileya.
2802170095	Kaha uaile nakukala mu mbonge ivasana Nazaleta, linga vije vivahandekele tunanguizi va Njambi vilishulisise nguavio, “Vaka mutumbula Kanazaleta.”
2803010058	Mu matangua aje kuezile Iuano muka kumbuitika, uakele nakuambulula mu mpambo ya Yundeya,
280302003f	nguendi “Tengulukeni, muomu vumuene vua muilu vuli muyehi.”
28030300c1	Omuo ou ikeye ivahandekele kuli Kananguizi ua Njambi Isaya, omo uahandekele nguendi, “Lizi lia umo ali nakutambeka mu mpambo ngualio, Vuaheseni ngila ya Muene kaha sungameseni ngila yendi.”
2803040096	Honi Iuano uazalele vuzalo vuakupanga ha maka a kamelu kaha ualikutile muiva ua cilambu mu mbunda yendi, na viakulia viendi viapuile vambimba na vuci.
2803050076	Vantu vezile kuli ikeye kuhuma ku Yelusalema na ku Yundeya yoshe, na ku vihela vioshe viakulihata na ndonga ya Yundau.
2803060040	Valitavelele vipi viavo kaha uavambuitikile mu ndonga ya Yundau.
28030700c5	Vuno honi omo uamuene Vafaliseo na Vasanduki vavengi valinakuija mukuvambuitika, kaha uahandekele kuli vakevo nguendi, “Yeni vana vamanoka iya naminangula linga muteue ku vutenu ovu vuli nakuija?
280308002e	Imeni vushuka vuje vumuesa ngeci muatenguluka.
28030900b6	Kaha keti musinganieke ngueni muhasa kuhandeka kuli yeni vavenia ngueni, ‘Tuli na Avilahama tatetu’, omuo njimileka nguange, Njambi asa kupuisa aua mavue kupua vana va Avilahama.
28030a0097	Cipue hano vene ngimbu inalivuahesela laja kuteta miti kuputukila ku mizi, nankuma muti uoshe uje kuuimi vushuka vuacili vakauteta nakuumbila mu tuhia.
28030b00dc	Yange njimimbuitika na mema linga cipue cimueso ngeci munatenguluka, vuno honi ou eja munima yange anjipulakana ku nzili, kunjafuililile cipue kuambata vinkaku viendi, ikeye akamimbuitika na Cimbembesi Uakulela na tuhia.
28030c00b0	Lisehua liendi lili mu livoko liendi, kaha akakomba ku lijunguilo liendi, kaha akakunguluila tiliku mu cishete cendi, vuno honi mujungu akautsimika na tuhia tuakuhona kuhua.”
28030d005f	Ambahoni Yesu uahumine ku Ngalileya nakuya ku ndonga ya Yundau linga vakamumbuitike kuli Iuano.
28030e008d	Vuno honi Iuano uatondele kumuvindika kaha uahandekele nguendi, “Yange capande kunjimbuitika kuli yove, nkuma naua yove uija kuli yange?”
28030f00a2	Vuno honi Yesu uamukumbuluile nguendi, “Cilingiue ngoco vene hano, cacili kuli yetu kushulisisa vije vioshe Njambi atonda kuli yetu.” Ambahoni Iuano uatavele.
28031000a0	Hanima yakumbuitika Yesu, kaha hajevene uahumine mu mema, kaha taleni, melu ashokolokele kaha uamuene Cimbembesi ca Njambi cishuluka ngue livembe nakumutonkama.
280311005d	Kaha lizi liahumine muilu ngualio, “Ou ikeye Munange injazanga, muli ikeye njivuahelela.”
2804010054	Ambahoni Yesu vamutualele kuli Cimbembesi mu mpambo linga vakamueseke kuli Liyavolo.
280402006b	Ualiuminine kulia ha matangua makumi auana vutsiki na mutania, kaha hanima yakuliumina kulia uevuile njala.
2804030079	Kaha muka kumueseka uezile kuli ikeye nakuhandeka nguendi, “Nga u Muna Njambi, shika aua mavue linga ahimpuke mbolo.”
280404009a	Vuno honi Yesu uamukumbuluile nguendi, “Vanacisoneka nguavo, ‘Muntu kasa kuyoya na mbolo lika kuahi, vuno honi na mezi oshe aje Njambi ahandeka.’”
2804050063	Ambahoni Liyavolo uamutualele mu nganda yakulela, uamuhakele helu lia kashongua ka Njivo ya Njambi.
28040600ed	Kaha uahandekele kuli ikeye nguendi, “Nga u Muna Njambi,” “liumbile ha mavu. Muomu vanacisoneka nguavo, “‘Akashika tungelo vendi hali yove, kaha vakakukavuila na mavoko avo, linga viliato viove keti vikansunsuke ku mavue.’”
2804070061	Yesu uamukumbuluile nguendi, “Vanacisoneka naua nguavo, ‘Keti ueseke Muene Njambi yove.’”
2804080077	Kaha naua Liyavolo uamutualele ku munkinda ualaha cikuma, uamumuesele vumuene vuoshe vua hano ha mavu na vumpau vuavuo.
280409006b	Kaha uahandekele kuli Yesu nguendi, “Vioshe evi njikakuhanavio, nga ukatsikama ha mavu na kunjilemesa.”
28040a0091	Yesu uamukumbuluile nguendi, “Huma kuli yange Satana! Omuo vanacisoneka nguavo, ‘Ukalemesa Muene Njambi yove na kumupangela ikeye lika!’”
28040b003e	Ambahoni Liyavolo uamusezele, kaha tungelo vezile nakumukuasa.
28040c0043	Omo Yesu uevuile nguendi Iuano vanamukutu, kaha uaile ku Ngalileya.
28040d0081	Kaha hakuhuma mu Nazaleta uaile nakukakala mu Kapenauma kuyehi na mema a kalunga a Ngalileya, mu nginga ya Zembuloni na Nafetali,
28040e0048	linga cije cahandekele kananguizi ua Njambi Isaya cilishulisise nguendi:
28040f009a	“Cihela ca Zembuloni na cihela ca Nafetali, vije viakala mu ngila yakuya ku mema a kalunga, kulutue lua Yundau, Ngalileya, lifuti lia vaje keti Vayunda.
280410007d	Vantu vaje vakala mu milima vanamono ceke cakama. Kaha na vaje vakala mu cihela na mu cimbembe ca kutsa, ceke cinavatuila.”
280411007e	Kuhuma ha ntsimbu ije Yesu uaputukile kuambulula nguendi, “Tengulukeni ku vipi vieni, omuo vumuene vua muilu vuli muyehi.”
28041200bd	Omo Yesu uakele nakuenda kucikulo ca cisali ca Ngalileya, uamuene vamunaina vavali, Simoni uje ivatumbula Petulu namunaina Anduleo, vatele manda avo mu cisali, omuo vapuile vakakuta vantsi.
2804130058	Kaha uahandekele kuli vakevo nguendi, “Njikaveni, kaha njikamipuisa vakakuta vantu.”
280414002c	Kaha hajevene vasezele manda avo nakumukava.
28041500c5	Omo uakele nakutualelelaho kuya kaha naua uamuene muntu mukuavo na munaina, Tiango muna Zembendeo na munaina Iuano mu vuato hamo na ishavo Zembendeo vakele nakutungulula manda avo, kaha uavasanene.
2804160038	Kaha hajevene vasezele vuato na ishavo, kaha vamukavele.
28041700c1	Yesu uahitanganene mu Ngalileya muoshe, nakulongesa muvi njivo viavo via malombelo, na kuambulula muzimbu uacili ua vumuene nakukanguisa mishongo yoshe ya vantu yakuliseza seza na vakakuvavala.
28041800d7	Kutsimana cendi cevuikile naku Siliya kuoshe, kaha vamunehelele vaka kuvavala voshe, na vaka mishongo yakuli seza seza na kuvua kuvavala, na vaka mahamba, na vaka kushinia, na vaka tulepa, kaha voshe uavakanguisile.
2804190097	Kaha vivunga viakama via vantu kuhuminina mu Ngalileya, namu Ndekapolisi na ku Yelusalema, na ku Yundeya, na musinia lia ndonga ya Yundau, viamukavele.
2805010089	Omo Yesu hakumona vivunga via vantu, kaha ualondele cindende ha munkinda, kaha omo uatumamene ha mavu vandongisi vendi vezile kuli ikeye,
2805020030	kaha uaputukile kuvalongesa nakuhandeka nguendi,
2805030059	“Vakukuisula vaje vanapu vihutu mu Cimbembesi, muomu vumuene vua muilu vunapu vuavo.”
280504003c	“Vakukuisula vaje valinakulila, muomu vaka vazembeleka!”
2805050038	“Vakukuisula vaje valikehesa, muomu vakasuana mavu!”
280506004f	“Vakukuisula vaje vevua njala na mpuila muomu ya vusunga, muafua vakakuta!”
280507004d	“Vakukuisula vaje vali na cikeketima, muomu navo vakavevuila cikeketima!”
2805080040	“Vakukuisula vaje na lele mu mitima, muomu vakamona Njambi!”
280509004b	“Vakukuisula vaje vakakulinga ciyulo, muomu vakavasana vana va Njambi!”
28050a0060	“Vakukuisula vaje vavalinakupakesa muomu ya vusunga, muafua vumuene vua muilu vunapu vuavo!”
28050b007e	“Munapu vakukuisula omo vantu vamishaula nakumipakesa nakuhandeka viuma vioshe via vipi via makuli hali yeni muomu yange.”
28050c009e	Joleleni nakuvuahelela muomu vuana vueni vukapua vuakama cikuma muilu, muafua omu mukemo vantu vayandesele tunanguizi va Njambi vaje vakeleko tele kanda yeni.
28050d00cb	“Yeni munapu muongua uaha mavu, vuno honi nga muongua unashamuka, kaha vatihoni kutovala cauo cikahiluka? Ku ukapu naseho naua ku cuma coshe kuvanga lika vaumbile kuti kaha na vantu vakauliatangela.”
28050e0052	“Yeni mu ceke ca vaka mavu. Nganda yakutungila ha munkinda kuyasa kulishueka.”
28050f0095	Nankuma naumo uahi asa kushuameka ndeya naku ihaka muintsi lia muhela, vuno honi aihaka ha citumbiko, kaha ituila ceke kuli voshe vaje vali mu njivo.
2805100088	Mucifua cimo vene eceleni ceke ceni citue ku vantu, linga vamone vipangi vieni viacili, kaha vakahana vumpau kuli Ishueni uje ali muilu.
280511009f	Keti musinganieke ngueni njineja nakumanusula Lishiko lia Mosesa, cipue vilongesa via tunanguizi va Njambi, kunjezile nakuvimanusula vuno honi nakuvishulisisa.
28051200ad	Muavusunga njimileka nguange kuvanga lilu na mavu vinahiti, nacimo cahi cikahita keti cipue cisona, cipue citoma kuhuma ku Lishiko, kuvanga noho viuma vioshe vanavimanusula.
2805130105	Nankuma uoshe uje kononoka cipue koma kakandende kaku mashiko aua kaha acilongesa na vakuavo naua linga vacilinge kaha vakamutumbula uamundende mu vumuene vua muilu, vuno honi uoshe uje aniunga na kulongesa mashiko aua vakamutumbula uakama mu vumuene vua muilu.
28051400a3	Nankuma njimileka nguange, nga vusunga vueni kuvupulakana vusunga vua valongisi va mezi a lishiko lia Mosesa na Vafaliseo, kaha kumuka kovela mu vumuene vua muilu.
280515007e	“Muevuile muje muvalekele vantu va kunsenkulu nguavo, ‘Keti mukatsihe, kaha uoshe uje atsiha mukuavo vaka musompesa.’”
28051600db	Vuno honi njimileka nguange uoshe uje anienguela munaina vanapande kumusompa, kaha uoshe uje atuka munaina vaka musompa ku nzango, kaha na uoshe uje ahandeka mukuavo nguendi yove cilema, vakamutuala mu ngehena ya tuhia.
2805170067	Nankuma nga utonda kulambula vuana vuove ha mutula, kaha nga uanuka mulonga uje u uapihisilile mukueni,
280518006b	seza vuana vuove ha mutula kaha yatahi ukalisambuese nendi, kaha kuhuma oho hiluka ukalambuile vuana vuove.
28051900c6	“Lisambuese vuasi vuasi nauje yunapihisila oku muli nakuya hamo ku nzango, kuteua yunapihisila akakutuala kuli lihako, kaha lihako akakuhana kuli lisualale, kaha lisualale akakuhaka mu kamenga.”
28051a0072	Muavusunga njikuleka nguange, kukahumumo kuvanga noho ukamanusula kufueta kambongo ka mamanusuilo ku mulonga uove.
28051b0044	“Muevuile muje vacihandekele nguavo, ‘Keti mulinge vupangala.’
28051c007d	Vuno honi njimileka nguange, uoshe uje atala mpuevo ntoma na lishungu lia lipi na lingi laja nendi vupangala mu mutima uendi.
