2800000008	Maatoosa
280101005c	Yinnippa kaallii xaafinttide Dawute na7a Abrahama na7a maaqqide Yesuus Kiristtoosa yelintto.
2801020057	Abrahama Yisaaqa yelida; Yisaaqa Yayqooba yelida; Yayqooba Yihudan E ishuntsana yelida;
280103005a	Yihuda Ti7imarippa Faaresenen Zaaran yelida; Faaresa Asroome yelida; Asroome Raame yelida;
2801040050	Raame Aminaadabe yelida; Aminaadabe Na7asoona yelida; Na7asoona Salmoone yelida;
280105005d	Salmoone Re7aabippa Boo7eza yelida; Boo7eza Uruutippa Iyobeede yelida; Iyobeede Issey yelida;
2801060048	Isseyen kaati Dawute yelida; Dawute Ooriyo machchitippa Solomone yelida;
2801070047	Solomone Robi7aama yelida; Robi7aama Abiya yelida; Abiye Asaafa yelida;
2801080050	Asaappa Iyosaafixe yelida; Iyosaafixe Iyoraame yelida; Iyoraame Ooziyane yelida;
280109004f	Ooziyane Iyo7ataama yelida; Iyo7ataama Akkaza yelida; Akkaza Hiziqiyasa yelida;
28010a004b	Hiziqiyasa Minaase yelida; Minaase Amoona yelida; Amoona Iyosiyaasa yelida;
28010b006b	Isra7eele asuntsi di7intti Baabiloone gaaze sa7a hyanggide wode Iyosiyaasa Ikoniyaanan E ishuntsana yelida.
28010c007f	Baabiloone sa7a Isra7eele asuntsi di7inttii hyanggideppa maaqqii Ikoniyaana Salatiyaale yelida. Salatiyaale Zerubaabela yelida;
28010d004e	Zerubaabela Abdiyu yelida; Abdiyu Eliyaaqeme yelida; Eliyaaqeme Azaara yelida;
28010e0043	Azaara Sadooqe yelida; Sadooqe Akime yelida; Akime Eliyuuda yelida;
28010f004b	Eliyuuda Alaazare yelida; Alaazare Maatane yelida; Maatane Yayqooba yelida;
2801100050	Yayqooba Yoosefa yelida; Yoosefa Kiristtoosa gaaze Yesuusa yelide Mayrami azini.
28011100c8	Yikke, yelintta Abrahameppa Dawute yellodes taphpho oyddii. Dawuteppa hyanggi Baabiloone di7e yellodes taphpho oyddii. Baabiloone di7eppa hyanggi Kiristtoosa yellodes taphpho oyddii yelintte maaqqane.
