2800000009	ማቶሳ
280101007c	Ꮉንፓ ካሊ ጻፍንትደ ዳዉተ ናአ አብራሃማ ናአ ማቅደ የሱስ ክርስቶሳ የልንቶ።
2801020085	አብራሃማ ይሳቃ የልዳ፤ ይሳቃ ያይቆባ የልዳ፤ ያይቆባ ይሁዳን ኤ እሹንꬃና የልዳ፤
2801030085	ይሁዳ ትእማርፓ ፋረሰነን ዛራን የልዳ፤ ፋረሳ አስሮመ የልዳ፤ አስሮመ ራመ የልዳ፤
2801040074	ራመ አምናዳበ የልዳ፤ አምናዳበ ናአሶና የልዳ፤ ናአሶና ሳልሞነ የልዳ፤
2801050085	ሳልሞነ ረአብፓ ቦኤዛ የልዳ፤ ቦኤዛ ኡሩትፓ እዮቤደ የልዳ፤ እዮቤደ እሰይ የልዳ፤
2801060065	እሰየን ካት ዳዉተ የልዳ፤ ዳዉተ ኦርዮ ማችትፓ ሶሎሞነ የልዳ፤
280107006b	ሶሎሞነ ሮብአማ የልዳ፤ ሮብአማ አብያ የልዳ፤ አብያ አሳፋ የልዳ፤
2801080077	አሳፋ እዮሳፍጠ የልዳ፤ እዮሳፍጠ እዮራመ የልዳ፤ እዮራመ ኦዝያነ የልዳ፤
2801090077	ኦዝያነ እዮአታማ የልዳ፤ እዮአታማ አካዛ የልዳ፤ አካዛ ሕዝቅያሳ የልዳ፤
28010a006e	ሕዝቅያሳ ምናሰ የልዳ፤ ምናሰ አሞና የልዳ፤ አሞና እዮስያሳ የልዳ፤
28010b009c	እስራኤለ አሱንꬅ ድእንት ባብሎነ ጋዘ ሳአ Ꮉንግደ ዎደ እዮስያሳ እኮንያናን ኤ እሹንꬃና የልዳ።
28010c00ae	ባብሎነ ሳአ እስራኤለ አሱንꬅ ድእንቲ Ꮉንግደፓ ማቂ እኮንያና ሳላትያለ የልዳ። ሳላትያለ ዘሩባቤላ የልዳ፤
28010d007a	ዘሩባቤላ አብድዩ የልዳ፤ አብድዩ ኤልያቀመ የልዳ፤ ኤልያቀመ አዛራ የልዳ፤
28010e0065	አዛራ ሳዶቀ የልዳ፤ ሳዶቀ አክመ የልዳ፤ አክመ ኤልዩዳ የልዳ፤
28010f006e	ኤልዩዳ አላዛረ የልዳ፤ አላዛረ ማታነ የልዳ፤ ማታነ ያይቆባ የልዳ፤
2801100072	ያይቆባ ዮሰፋ የልዳ፤ ዮሰፋ ክርስቶሳ ጋዘ የሱሳ የልደ ማይራም አዝኒ።
2801110109	ይኬ፥ የልንታ አብራሃመፓ ዳዉተ የሎደስ ታጶ ኦይዲ። ዳዉተፓ Ꮉንግ ባብሎነ ድኤ የሎደስ ታጶ ኦይዲ። ባብሎነ ድኤፓ Ꮉንግ ክርስቶሳ የሎደስ ታጶ ኦይዲ የልንተ ማቃነ።
28011200ca	የሱስ ክርስቶሳ የልንታ ታሪከ Ꮉንፓ ካልዛኖ። ኤ እንታ ማይራማ ዮሰፋስ ኦጭንት የዝተ ዮሰፋ ኤክካይዝን ጌሽ አያናፓ ዎዳጽዳ።
2801130090	ዮሰፋ ጽሎ አስ ማቅደ ግሾ እዞ አስ ግዳ ኬሶደስ ኮይካያ። ይኒ ግሾ አቺ እዞ አሾደስ ቆፕዳ።
28011400f2	ኤ ይና ቆፍተ የዝን ጾዘ ኪታንቾ አቡኮራ ቆንጪ፥ «ዳዉተ ናአይ፥ ዮሰፋ፥ ነ ኦጭደ ማይራማ ዎዳጽደ ጌሽ አያናፓ ማቅደ ግሾ እዞ ኤኮደስ ዣሽትፐ» ያጋይዳ።
2801150094	እዛ ꬊራꬅ ናአ የሎዳ፥ ኤ ፋ ዎርዥቶ ኡን ናጋርትፓ አሽዘ ግሾ ኤ ሱንꬅቶ ነ የሱሳ ጋእ ጼጎዳ።
2801160024	ላꬄ ናበ ኢሳያሳ ዶና።
280117010e	«ይኬ ዉዱርታ ዎዳጾዳ፤ ꬊራꬅ ናአን የሎዳ፤ ኤ ሱንꬅታ አማኑኤላ ጋእንቶዳ» ጋእንትዳና ፎልንቶደ ፋና Ꮉና ኡባና Ꮉንዳ። አማኑኤላ ጋዛንስ ብልꬅታ «ጾዚ ኑራ የነ» ጋኤ።
2801180076	ዮሰፋ ገንቶፓ ባርክ ላꬄ ኪታንቹንꬅ ኪትዳን ፋና ማይራሞ ፋ ካራ ካንግዳ።
280119008d	የዝን ፋ አንግስ ናአያ የሎደ ዎንꬅስ እዞ ግርምካያ፤ የልንትደ ናአያ የሱሳ ጋእ ጼግዳ።
28020100b5	ካት ሄሮድሳ ዎደ የሱሳ ይሁዳ ሳአ ቤተለመ ካታማ የልንትዳንፓ ሱባ ጾልንቶ ብእ አሱንꬅ አዋ ከሳፓ የሩሳላመ ይእ፥
28020200b2	«የልንትደ አይሁደ ካትዘ አባ የነ? ኑኒ አዋ ኬስ ዛላራ ኬዚ ኤ ጾልንትዛ ብእ ኤስ ጎይኖደስ ይእዳ» ያጋእ ኦጭዳ።
