2a00000006	Lukasi
2a01010072	Teopilu henu takau pinelangkai, Orao mia henuto mperokuhi meꞌukiꞌo lele kumonoo henu umarito tegagi ai olondo.
2a0102009d	Romeꞌukiꞌo lele menggena henu romerongoio umbu ai orao mia henu sumueꞌo lowono henu tegagi umbu ai pamulaꞌano, karoꞌamba paleleꞌo ka pauꞌakito.
2a01030088	Gagi kupesuꞌuio wusuꞌo lowono umbu ai pamulaꞌano kanoꞌamba kuputuio umukiꞌo lowono nie gagi lele henu teꞌatora moiko tiamiu.
2a01040060	Kupowowau menggena unie kau toꞌorio motae mbio henu pinaguruꞌako ndi ikomiuka suꞌu mentee.
2a010500af	Tempono i Datu Herode gagi datu ai wute Yudea, nio aso mia Petewawo Pesomba ai Sakaria neeno, umbu ai tobuno i Abia, neeno somborino i Elisabe, umono mboꞌu inuleno i Haruni.
2a01060082	Tinuwuro sombori nie mentee ai aroRo Ue Ala. Oruo irono mpihe montonda parenta ka songkaRo Ue ka lalau winowauro henu lano mentee.
2a0107003b	Kanggo lalau anaro akono i Elisabe biita ka iroto mosuꞌo.
2a01080085	Ai aso olo, hawe tempono tobuno i Abia moꞌangga ai Raha Mempori, i Sakaria palakuꞌo anggaꞌano mompowea pesomba ai aroRo Ue Ala.
2a01090089	Montonda loterei, henu mondee romewowauo Petewawo Pesomba, i Sakaria tiniso mendamo mosunu dupa ai Bolongko Mempori ai laro Raha Mempori.
2a010a0062	Tekonaino i Sakaria mosunu dupa ai laro Bolongko Mempori, mia orao mpekakai ai arono Raha Mempori.
2a010b006a	Tempo laꞌa malaꞌekaRo Ue Ala mesabahako ndi Sakaria. Malaꞌeka laꞌa menggoti ai koana posunua dupa.
2a010c0046	Tempono i Sakaria sumueꞌo malaꞌeka laꞌa, kano tekangga ka momee.
2a010d009f	Kanggo nopotae malaꞌeka, “Indo momee, Sakaria! Ue Ala rumongoio kakaimu. Somborimu i Elisabe minggi meꞌanaꞌakeo aso ana ntama. Aineengakeokaa i Yohane.
2a010e0064	Ikomiu olo mangaꞌu ka manangai ka orao mia minggi memangaꞌu tempono ana laꞌa pineꞌanaꞌako!
2a010f00b5	Akono umono minggi gagi mia langkai ai aroRo Ue Ala ka indono poꞌinu anggoro ka inunga mesueno henu mompokomolangu. Umono minggi buke ako Penao Mempori umbu ai laro kompono ineno.
2a01100048	Umono olo mowawo orao mia Isaraeli mepokule mororongoi ndi Ue, Ue Alaro.
2a0111017e	Umono minggi pasadiaꞌo bawaaRo i Ue ambono i Ue hawe ai laro tolino nie. Penao Mempori minggi moweeꞌakeo pabawa kano poli moꞌangga menggena nabi Elia. Umbu mbio henu inanggano, mia mosuꞌo olo mehohawaꞌo euno ana-anaro. Ka umono minggi waweiro mia henu lano mpororongoi gagi mpororongoi euno ndi Ue. Ka pompewowoloro gagi lalompande euno. Gagi umboro mebehe tuwu mentee.”
2a01120098	Kanoꞌamba i Sakaria mesikeno ndi malaꞌeka laꞌa, “Helinde kaku toꞌorio motae pinau miu sie olo gagi? Akono iaku ka somboringgu oto mosuꞌo.”
2a0113007a	Sumangki i malaꞌeka, “Iaku nie i Gabaraeli. Iaku ataRo Ue Ala kaa iaku tinena hawe paleleꞌo kareba henu moiko tiamu.
2a011400aa	Menteꞌano, mbio henu kupauꞌakomu nie olo tegagi bano haweto tempono. Kanggo akono lau peꞌale-aleo pinaunggu, lau bisa mepau, hawe kano tegagi henu kupauꞌo nie.”
2a0115008e	Tempo sie, mia orao meꞌeꞌemango i Sakaria bano peluarako. Mia orao mengkohali-hali akombio kano epie ngako umono ai laro Bolongko Mempori.
2a011600d9	Tempono meluarako, andono bisa mepau ndi umboro. Butukaa megambara ako kaeno kaa kolekono lano bisa mepau. Pokotombaꞌano romentoꞌorio mia orao motae Ue Ala umari mokokiteoakeo aso kegagia ai laro Bolongko Mempori.
2a01170045	Towono umari anggaꞌano ai Raha Mempori, i Sakaria mekule ai rahano.
2a0118005b	Lanolaa epie, i Elisabe somborino momeni, ka umono meꞌuko ai laro raha olimo wule epieno.
2a01190056	Nopotae i Elisabe, “Pokotombaꞌano Ue Ala tumulungiaku ka umoninio kokohenunggu.”
2a011a0076	Tempono i Elisabe tekonai momeni onoo wuleno, Ue Ala tumenaꞌo malaꞌeka Gabaraeli lumeko ai inie Nasare ai Galilea.
2a011b00ba	Ue Ala tumenaꞌo malaꞌeka Gabaraeli lumeko ndi Maria moluale henu taipo huru meꞌaso poturi saru tama. I Maria sie oto mesambora ka aso tama meneengako i Yusupu umbu inuleno i Daudi.
2a011c0068	Malaꞌeka laꞌa hawe ndi Maria nopotae, “Tabea, iko henu nopehohawako i Ue, Ue Ala rumoronganiko.”
2a011d0064	Rumongoio pau sie, i Maria tekangga kano kosike-sikeno ai laro aroano mbio pengkonoano tabea laꞌa.
2a011e0058	Nopotae malaꞌeka ndi Maria, “Indo momee Maria, ako iiko takau Ropehohawaꞌo Ue Ala.
2a011f0055	Menteꞌano iko minggi momeni kaa meꞌanaꞌakeo aso ana ntama kaa neengakeo i Yesu.
2a01200090	I Yesu minggi gagi maramba kaa minggi ninee AnaRo Ue Ala Henu Laloako Pabawa. Ue Ala mokogagiꞌo i Yesu datu menggena datu Daudi, ue mpuꞌuNo,
2a0121007e	kaa Umono minggi gagi datu henu parentaꞌo inuleno i Yako henu lalau tampulaꞌano kaa pomparentaꞌaNo lano huru tampula.”
2a0122005b	Nopotae i Maria ndi malaꞌeka laꞌa, “Helinde kano masa gagi akono amboku pesombori?”
2a012300c4	Sumangki i malaꞌeka, “Penao Mempori minggi metii ndi iko, kaa pabawaRo Ue Ala Henu Laloako Pabawa olo rumoronganiko. Ooto usie iiko minggi meꞌanaꞌakeo ana henu mempori, ninee anaRo Ue Ala.
2a01240087	Kupauꞌakomu motae i Elisabe petiamu henu rompotae biita kaa ooto mosuꞌo laꞌa, oto momeni aso ana ntama kaa unie wule koꞌonoono.
2a01250026	Ako ndi Ue Ala lalau henu tai gagi.”
2a0126008a	Nopotae i Maria, “Menteꞌano iaku nie ataRo Ue Ala, nogagito menggena nineemu sie.” Umari laꞌa malaꞌeka lumeko bintango ai Maria.
2a01270059	Towono lumeko malaꞌeka laꞌa, lumekoto i Maria ai inie langkai ai wute tamungku Yudea.
2a01280062	Tempono hawe lehea, i Maria lumeko ai rahano i Sakaria, ka pendamono, i Maria metabea ndi Elisabe.
2a01290090	Tempono i Elisabe rumongoio petabeano i Maria, ana henu ai laro kompono i Elisabe meleluako mangaꞌu. Kaa i Elisabe nororonganio Penao Mempori,
2a012a0076	kano kumora, “Ikoto mia binarakati ai olono lowono irowai! Nobarakatiꞌo ana henu minggi pineꞌanaꞌakomu laꞌa!
2a012b002f	Ainei iaku nie kano ineNo Uenggu hawe ndi iaku?
2a012c005f	Menteꞌano tempono kurongoio petabeamu laꞌa, ana henu ai laro komponggu meleluako mangaꞌu.
2a012d0057	Meꞌurakoto akono pompeꞌalo-alo motae mbio henu pinauRo Ue Ala ndi iiko olo gagi!”
2a012e003b	Kanoꞌamba nopotae i Maria, “Aroanggu umundeꞌiRo i Ue,
2a012f0032	ka sumanganggu mangaꞌu akono Ue Ala tumolosiaku.
2a0130007a	Noꞌoꞌaroanganggu maupono iaku nie ataRo henu tetotoako! Perorongoi! Mompamula hilinie lowono mia motae iaku mangaꞌu.
2a01310051	Akono Ue Ala Henu Laloako Pabawa mowowau kegagia langkai ndi iaku. Mempori neeRo.
2a01320066	Ai sombo-sombo amapano tempo Ue Ala konggo mompehohawa lowono inuleno mia henu momee ka melangkai iRo.
2a01330041	Ako kaeRo henu takau moroso Rosia-siaꞌo mia mompelangka-langkai
2a0134005c	Datu-datu Ropenaohakeo umbu ai potorono kaa mia karampini inengka gagi mia henu pinelangkai.
2a01350054	Mia mokoninggo olo pinoko mowoto ako moikoꞌa. Mia suugi tinamba ai laro kae molie.
2a0136004b	Rotulungiro to Isaraeli ataRo, akono laRo kumulupeo ginantiRo mehohawakito,
2a01370085	ka Ue Ala lano huru kulupeo mbio henu ginantiRo ndi ue mpuꞌundo, Ropehohawaꞌo ai Burahima ka inuleno hawe lalau tampulaꞌano.”
2a01380069	Ai Maria moꞌia i rahano i Elisabe, baraꞌura otolu wule epieno, kanoꞌamba mekule ai rahano i Nasare.
2a01390042	Haweto wuleno i Elisabe meꞌana. Nopeꞌanaꞌakeo aso ana ntama.
2a013a0081	Towono petengi-tengi rahano kaa petiano rumongoio motae i Elisabe takau Ropehohawaꞌo Ue Ala, umboro memangaꞌu mperongangakeo.
2a013b009a	Tempono rewu-rewu laꞌa tinuwuno oalu olo, umboro mehawe minggi mengkiteo rewu-rewu laꞌa tinindi. Kaa minggi menengakeo i Sakaria menggena neeno umano,
2a013c003e	kanggo ineno motae, “Indo! Umono olo nineengako i Yohane.”
2a013d0044	Rompotae, “Lalau umbu ai petiamiu nie henu meneengako i Yohane.”
2a013e004e	Ka umboro megambara ako kaero mpesikeno ndi Sakaria ainei neeno rewu-rewu sie.
2a013f0064	I Sakaria moꞌema wasu poꞌukiꞌa kano ukiꞌo, “Neeno i Yohane.” Lowono mia mengkohali-hali.
2a01400058	Tempo laꞌa bingkosako telipa pongu elono i Sakaria kano pepau ka moꞌunde ndi Ue Ala.
2a01410059	Memomeeto petengi-tengi rahano kaa kareba laꞌa telele hawe ai lowono tamungku ai Yudea.
2a0142008b	Lowono mia henu rumongoio kegagia laꞌa kosike-sikeno ai laro aroaro, “Gagi mbio soongka rewu-rewu laꞌa!” Akono Ue Ala rumoronganio.
2a01430069	I Sakaria, umano i Yohane, nororonganio Penao Mempori kano pompohawe pau umbu ndi Umboro Ue Ala. Nopotae,
2a01440069	“Memaito kato unde-undeꞌiRo i Ue, Alaro to Isaraeli! Umboro oto hawe mosakoi bawaaRo ka mokolipahiro.
2a01450052	Ue Ala moweeꞌakito pongkadudui henu takau moroso, umbu ai inuleno i Daudi ataRo.
2a0146005c	Tempo isaꞌa telalo umbu ndi umboro nabi-nabi bininikiRo, Oto Roweeꞌakito i Ue ginantiRo.
2a01470054	Olo Ropokolipakito umbu ai uwelindo kaa umbu ai pabawaro mia henu memokokatongakito.
2a01480068	Ka Nopokoꞌenaho pompehohawaRo tiano ue mpuꞌundo, ginantiRo henu mempori laꞌa olo Ropokosangkaꞌo.
2a01490023	Ue Ala metando ndi Burahima umando.
2a014a005f	Ka meganti minggi kumaduduikito umbu ai uwelindo, gagi andoto lei memomee tumondaꞌiRo Ue Ala.
2a014b0054	Bano menggena usie ikito mentuwu mempori ka mentee i aroRo tempono ikito da mentuwu.
2a014c008d	Kaa kumonoo iiko, ananggu, iiko minggi ninee nabiRo Ue Ala Henu Laloako Pabawa. Ka iiko olo tinena seꞌelu pasadiaꞌo sala haweꞌaRo i Ue.
2a014d0051	Iiko olo paleleꞌo ndi bawaa kato mempoli kinadudui, bano i Ue tumolosio halaro.
2a014e0066	Moiko aroaRo Ue Alando mehohawakito. Umono hawe kumaduduikito. Menggena mataꞌolo henu saba eri-erio,
2a014f0080	Hilaꞌato nopompowea wantaRo tiano mia henu tuwu ai laro wongi-wongiꞌa ka momeeꞌa. Ue Ala wawokito ai sala manangaiꞌa.”
2a0150009c	Anano i Sakaria laꞌa kolangka-langkai ka tetambai moroso pompeꞌalo-alono. Umono moꞌia ai konde one, hawe tempono mokoꞌenaho koroino ndi to Isaraeli.
2a02010069	Tempo laꞌa i Datu Langkai Agutusi tumenaꞌo lowono mia henu moꞌia ai Roma mepeꞌuki nee karo dinoa.
2a02020056	Ooto unie podoaꞌa mia henu amba-ambano kaa tempo sie i Kireniu io gubenuru ai Siria.
2a02030042	Tempo sie lowono mia lumeko mepeꞌuki neeno ai inie ue mpuꞌuro.
2a020400a0	I Yusupu mboꞌu mewunggoako umbu ai inie Nasare ai Galilea lumeko ai inie Beteleme wute Yudea inie nioꞌano i datu Daudi, akono i Yusupu inuleno i Datu Daudi.
2a02050046	I Yusupu mepeꞌuki nee meronga i Maria samborano henu tekonai momeni.
2a02060035	Tekonairo ai Beteleme, hawe tempono i Maria meꞌana.
2a020700cc	I Maria meꞌanaꞌakeo aso ana ntama, henu amba-ambano. Notongoho rewu-rewu sie ako aso mpole bana, kanoꞌamba mokoturio ai laro dula bimba meꞌihi range, akono ando lalau poꞌianga ai raha peratoꞌa
2a02080044	Ai wongi laꞌa nio pompakambi tekonai mogagai bimba ai tonga konde.
2a02090064	Bingkosako malaꞌeka mesabahako ndi umboro, karo memomee ako nio wanta umbu ndi Ue henu wantahiiro.
2a020a0070	Nopotae malaꞌeka, “Indo momee! Ako iaku mowawo kareba moiko tiamiu, ooto kareba mangaꞌua tiano lowono mia.
2a020b004e	Olo nie ai Beteleme oto pineꞌanaꞌako Datu Pongkadudui ooto i Kerisitu, Ue.
2a020c007b	Tinieto tondonino, ikomiu minggi mehaweꞌo io rewu-rewu hinawu ako tahu beri kaa pinolero ai dula bimba meꞌihi range.”
