2800000008	Mateusza
2801010054	Oto rodowód Jezusa Chrystusa, pochodzącego z rodu króla Dawida, potomka Abrahama:
2801020053	Abraham był ojcem Izaaka, Izaak—ojcem Jakuba, a Jakub—ojcem Judy i jego braci.
2801030059	Kolejni potomkowie Judy to: Fares i jego brat Zara (ich matką była Tamar), Ezrom, Aram,
280104001a	Aminadab, Naasson, Salmon,
2801050045	Booz (jego matką była Rachab), Jobed (jego matką była Rut), Jesse
2801060067	i król Dawid. Dawid był ojcem króla Salomona (jego matką była dawna żona Uriasza), a po nim byli:
2801070014	Roboam, Abiasz, Asa,
2801080017	Jozafat, Joram, Ozjasz,
2801090019	Joatam, Achaz, Ezechiasz,
28010a0019	Manasses, Amos i Jozjasz.
28010b005d	Jozjasz był ojcem Jechoniasza i jego braci (był to czas przesiedlenia Żydów do Babilonu).
28010c0040	Potomkowie Jechoniasza po przesiedleniu to: Salatiel, Zorobabel,
28010d0016	Abijud, Eliakim, Azor,
28010e0014	Sadok, Achim, Eliud,
28010f0018	Eleazar, Mattan i Jakub.
2801100059	Jakub zaś był ojcem Józefa, męża Marii, która urodziła Jezusa, zwanego Chrystusem.
28011100bd	Tak więc wszystkich pokoleń, od Abrahama do Dawida, było czternaście, od Dawida do przesiedlenia babilońskiego—czternaście, i od przesiedlenia do Chrystusa—również czternaście.
28011200bc	Jezus Chrystus urodził się w takich oto okolicznościach: Jego matka, Maria, była zaręczona z Józefem. Ale zanim wspólnie zamieszkali, za sprawą Ducha Świętego zaszła w ciążę.
28011300a6	Józef, jej narzeczony, był prawym człowiekiem. Postanowił zerwać zaręczyny, ale chciał to uczynić potajemnie, by nie narażać Marii na publiczne oskarżenia.
28011400db	Gdy już to postanowił, we śnie ukazał mu się anioł Pana, który rzekł: —Józefie, potomku króla Dawida! Nie bój się ożenić z Marią, twoją narzeczoną! Bo to Duch Święty sprawił, że poczęła dziecko.
280115006e	Urodzi syna, któremu nadasz imię Jezus (czyli „Bóg zbawia”), bo to On wybawi od grzechów swój naród.
280116004f	Stało się tak, aby wypełniło się to, co Pan przepowiedział przez proroka:
2801170062	„Oto dziewica pocznie i urodzi Syna i nazwą Go Emmanuel” (co znaczy: „Bóg jest z nami”).
2801180066	Gdy Józef się obudził, zgodnie z poleceniem anioła przyjął Marię, jako żonę, do swojego domu.
280119005a	Nie współżył z nią jednak aż do czasu, gdy urodziła Syna. I dał Mu na imię Jezus.
2802010091	Jezus urodził się w miasteczku Betlejem, w Judei, za panowania króla Heroda. Właśnie w tym czasie przybyli do Jerozolimy mędrcy ze Wschodu.
2802020093	—Gdzie znajduje się nowo narodzony Król Żydów?—pytali. —Ujrzeliśmy u nas, na Wschodzie, Jego gwiazdę i przybyliśmy złożyć Mu hołd.
2802030043	Wiadomość o tym bardzo zaniepokoiła Heroda i całą Jerozolimę.
280204007a	Zwołał więc wszystkich najwyższych kapłanów oraz przywódców religijnych i pytał, gdzie ma się narodzić Mesjasz.
2802050043	—W Betlejem w Judei—odpowiedzieli mu. —Bo tak napisał prorok
28020600a9	„A ty, Betlejem w Judzie, wcale nie jesteś najgorsze wśród miast Judy, gdyż z ciebie pochodzić będzie Władca, który będzie pasterzem mojego ludu—Izraela”.
280207005e	Wtedy Herod potajemnie wezwał do siebie mędrców i dowiedział się, kiedy ujrzeli gwiazdę.
28020800a8	Następnie skierował ich do Betlejem mówiąc: —Idźcie i dokładnie wypytujcie o dziecko. Gdy je znajdziecie, powiadomcie mnie, abym i ja mógł złożyć mu hołd.
28020900cc	Po rozmowie z królem mędrcy wyruszyli w drogę. Znowu ukazała się im gwiazda, którą zobaczyli na Wschodzie, i prowadziła ich. W końcu zatrzymała się nad miejscem, gdzie znajdowało się Dziecko.
28020a0031	Widok gwiazdy napełnił ich ogromną radością.
28020b00b5	Gdy weszli do domu, zobaczyli Dziecko i Jego matkę, Marię. Pokłonili Mu się nisko, otworzyli szkatułki z kosztownościami i ofiarowali Mu w darze złoto, kadzidło oraz mirrę.
28020c006f	Później we śnie otrzymali nakaz, by nie wracać do Heroda. Dlatego inną drogą udali się do swojego kraju.
28020d00ee	Gdy oddalili się, również Józefowi we śnie ukazał się anioł Pana: —Wstawaj, Józefie!—powiedział. —Weź Dziecko oraz Jego matkę i uciekaj do Egiptu. Czekaj tam, aż dam ci znać. Herod bowiem szuka Jezusa i chce Go zabić.
28020e0050	Jeszcze tej nocy Józef wstał i wyruszył razem z Marią i Dzieckiem do Egiptu.
28020f00a0	Pozostał tam aż do śmierci króla Heroda—w ten sposób miały się spełnić słowa Pana wypowiedziane przez proroka: „Z Egiptu wezwałem mojego Syna”.
28021000f3	Herod zorientował się, że mędrcy go zawiedli, i wpadł w gniew. Wysłał żołnierzy, którzy w Betlejem i całej okolicy pozabijali wszystkich chłopców do drugiego roku życia—od mędrców bowiem wiedział, w jakim wieku jest dziecko.
2802110029	Tak spełniło się proroctwo Jeremiasza:
2802120091	„Krzyk rozlega się w Rama, słychać tam płacz i rozpacz. To Rachel opłakuje swoje dzieci i nie daje się pocieszyć, bo już ich nie ma”.
2802130063	Po śmierci Heroda anioł Pana ponownie ukazał się we śnie Józefowi, przebywającemu w Egipcie.
2802140088	—Wstawaj, Józefie!—powiedział. —Weź Dziecko i Jego matkę i ruszajcie do Izraela, bo umarli już ci, którzy chcieli Je zabić.
2802150051	Józef wstał, wziął Dziecko oraz Jego matkę i wyruszył do ziemi izraelskiej.
28021600a6	W drodze dowiedział się, że w Judei panuje Archelaos, syn Heroda. Bał się więc tam wracać. Otrzymał jednak we śnie kolejne polecenie i udał się do Galilei.
2802170084	Tam osiedlił się w Nazarecie. I znowu spełniła się zapowiedź proroków, mówiąca, że Mesjasz będzie nazwany Nazarejczykiem.
2803010050	W owych czasach na pustyni judejskiej rozpoczął działalność Jan Chrzciciel.
2803020047	Nawoływał: —Opamiętajcie się, bo nadchodzi królestwo niebieskie!
280303008c	To właśnie o nim mówił prorok Izajasz: „Głos wołającego na pustyni: Przygotujcie Panu drogę, wyrównajcie przed Nim ścieżki!”.
2803040080	Jan żył bardzo skromnie: nosił ubranie z wielbłądziej wełny oraz skórzany pas, żywił się szarańczą i leśnym miodem.
280305004e	Z Jerozolimy, z całej Judei i z doliny Jordanu przychodziły do niego tłumy.
2803060056	On zaś zanurzał w wodach Jordanu tych, którzy przyznawali się do swoich grzechów.
28030700c6	Zauważył jednak, że również wielu faryzeuszy i saduceuszy przychodzi się ochrzcić. Napominał więc ich: —Przebiegłe węże! Kto wam powiedział, jak uciec przed nadchodzącą karą Boga?!
280308004e	Najpierw pokażcie poprzez wasze uczynki, że naprawdę się opamiętaliście!
280309009e	Nie oszukujcie się, powtarzając: „Jesteśmy potomkami samego Abrahama”. Zapewniam was, że Bóg może stworzyć potomków Abrahama nawet z tych kamieni!
28030a0086	Siekiera Bożego sądu już jest przyłożona do pnia. I każde drzewo, które nie wydaje owocu, zostanie wycięte i rzucone w ogień.
28030b00cf	Ja was zanurzam w wodzie na znak opamiętania. Lecz niebawem nadejdzie Ktoś potężniejszy ode mnie. Ktoś, komu nie jestem nawet godzien nosić butów! On będzie was zanurzał w Duchu Świętym i w ogniu.
28030c007d	On potrafi oddzielić plewy od ziarna i wszystko oczyścić—ziarno zbierze do magazynu, a plewy spali w niegasnącym ogniu.
28030d005b	W tym czasie Jezus opuścił Galileę i przyszedł nad Jordan, aby Jan mógł Go ochrzcić.
28030e0072	Lecz ten sprzeciwiał się: —To ja powinienem być zanurzony przez Ciebie! A Ty przychodzisz po chrzest do mnie?
28030f0069	—Uczyń to—odpowiedział mu Jezus—musimy bowiem wypełnić to, co należy. Wtedy Jan zgodził się.
280310009d	Po zanurzeniu, Jezus od razu wyszedł z wody. Nagle otworzyło się niebo i ujrzał Ducha Bożego, który, jak gołąb, zstąpił w dół i spoczął na Nim.
280311005e	A z nieba rozległ się głos: —Jesteś moim ukochanym Synem, moją największą radością!
280401005d	Potem Duch Święty zaprowadził Jezusa na pustynię, gdzie miał być kuszony przez diabła.
2804020049	Przez czterdzieści dni i nocy nic nie jadł aż w końcu poczuł głód.
2804030097	Zbliżył się więc do Niego kusiciel i powiedział: —Jeśli rzeczywiście jesteś Synem Bożym, rozkaż tym kamieniom, aby zamieniły się w chleb.
280404008b	—Pismo uczy: „Nie tylko chlebem żywi się człowiek, ale również każdym słowem wypowiedzianym przez Boga”—odpowiedział Jezus.
2804050064	Wtedy diabeł przeniósł Go do Jerozolimy—świętego miasta—i postawił na szczycie świątyni.
28040600dd	—Jeśli rzeczywiście jesteś Synem Bożym, skocz w dół—kusił. —Przecież Pismo mówi: „Bóg rozkaże swoim aniołom, aby chroniły Cię. I będą Cię nosić na rękach, abyś nie skaleczył nogi o kamień”.
280407005c	—To samo Pismo uczy: „Nie będziesz wystawiał Boga na próbę”—odpowiedział Jezus.
2804080075	W końcu diabeł zabrał Jezusa na wysoką górę i pokazał Mu wszystkie królestwa świata, w całym ich przepychu.
2804090046	—Wszystko to będzie Twoje—powiedział—jeśli oddasz mi pokłon.
28040a0097	—Odejdź, szatanie!—rozkazał Jezus. —Pismo uczy: „Pokłon i cześć oddawał będziesz Bogu, swemu Panu, i tylko Jemu będziesz posłuszny”.
28040b0041	Wtedy diabeł odszedł, a zjawili się aniołowie i służyli Mu.
28040c0069	Po pewnym czasie Jezus dowiedział się, że aresztowano Jana Chrzciciela. Dlatego udał się do Galilei.
28040d0072	Opuścił jednak Nazaret i przeniósł się nad jezioro do Kafarnaum, leżącego na terenach Zabulona i Neftalego.
28040e0031	W ten sposób spełniło się proroctwo Izajasza:
28040f0074	„Ziemia Zabulona i ziemia Neftalego, położone nad morskim szlakiem, kraina za Jordanem i cała pogańska Galilea
2804100094	—ten lud żyjący w ciemnościach, ujrzał wielkie światło. Jasność rozbłysnęła wśród tych, którzy żyli w krainie cienia i śmierci”.
280411005e	Od tego czasu Jezus zaczął nauczać: —Opamiętajcie się! Nadchodzi królestwo niebieskie!
2804120095	Pewnego dnia, idąc brzegiem Jeziora Galilejskiego, zauważył dwóch braci, Szymona, zwanego Piotrem, i Andrzeja. Zarzucali sieci, bo byli rybakami.
280413004a	—Chodźcie ze Mną!—zawołał do nich. —Uczynię was rybakami ludzi!
2804140029	Bez wahania rzucili sieci i poszli z Nim.
2804150093	Nieco dalej zobaczył dwóch innych braci, Jakuba i Jana. Ze swoim ojcem, Zebedeuszem, siedzieli w łodzi i naprawiali sieci. Ich także zawołał,
2804160030	a oni poszli z Nim, zostawiając łódź i ojca.
2804170088	Jezus przemierzał całą Galileę: nauczał w synagogach, głosił dobrą nowinę o królestwie oraz uzdrawiał chorych i cierpiących.
28041800f9	Wieść o Nim rozeszła się aż po całej Syrii. Wkrótce zaczęto przyprowadzać do Niego wszystkich chorych, cierpiących z powodu różnych dolegliwości, zniewolonych przez demony, epileptyków i sparaliżowanych. A Jezus wszystkich uzdrawiał.
2804190083	Wszędzie towarzyszyły Mu ogromne tłumy ludzi przybyłych z Galilei, Dekapolu, Jerozolimy, Judei, a nawet z terenów za Jordanem.
2805010061	Pewnego dnia Jezus, widząc gromadzące się wokół Niego tłumy, wszedł na wzgórze i usiadł.
280502002e	Uczniowie otoczyli Go, a On zaczął nauczać:
2805030049	—Szczęśliwi ubodzy w duchu, bo do nich należy królestwo niebieskie.
280504002c	Szczęśliwi smutni, bo zostaną pocieszeni.
2805050032	Szczęśliwi cisi, bo odziedziczą całą ziemię.
2805060048	Szczęśliwi ci, którzy pragną sprawiedliwości, bo zostaną nasyceni.
280507005a	Szczęśliwi ci, którzy okazują innym miłość, bo sami zostaną obdarzeni miłością.
2805080045	Szczęśliwi ci, którzy mają czyste serce, bo zobaczą samego Boga.
2805090050	Szczęśliwi ci, którzy wprowadzają pokój, bo zostaną nazwani dziećmi Boga.
28050a0053	Szczęśliwi prześladowani za prawość, bo do nich należy królestwo niebieskie.
28050b0064	Macie ogromne szczęście, gdy ludzie was znieważają, prześladują i oczerniają z mojego powodu.
28050c007f	Cieszcie się i skaczcie z radości, bo w niebie czeka was wielka nagroda. Właśnie tak prześladowano kiedyś proroków Boga!
28050d00a8	Jesteście solą tej ziemi! Lecz jeśli sól utraci swój smak, staje się bezwartościowa. Dlatego wyrzuca się ją na ścieżkę, gdzie zostaje podeptana przez ludzi.
28050e0055	Jesteście światłem dla świata! Nie można ukryć miasta położonego na wzgórzu.
28050f0089	Nie zapala się też lampy, aby ją zaraz zasłonić, ale stawia się ją na podwyższeniu, aby świeciła wszystkim, którzy są w domu.
280510008c	Wasze światło niech również świeci wszystkim ludziom, aby widzieli wasze dobre postępowanie i oddawali chwałę waszemu Ojcu w niebie.
280511006b	Nie myślcie, że przyszedłem znieść Prawo Mojżesza albo pisma proroków. Nie znieść, ale wypełnić!
280512009e	Zapewniam was, że prędzej niebo i ziemia przestaną istnieć, niż zmieni się najmniejsza literka w Prawie—zanim wszystko zostanie do końca wypełnione.
28051300e8	Jeśli więc ktoś usunąłby nawet najmniej ważne przykazanie Prawa i tak nauczał innych, będzie najmniej ważny w królestwie niebieskim. A kto sam wypełnia wszystko i uczy tego innych, będzie wielki w królestwie niebieskim.
280514009f	Ostrzegam was więc: jeśli wasza prawość nie będzie większa od prawości faryzeuszy i przywódców religijnych, nie wejdziecie do królestwa niebieskiego.
280515005d	Słyszeliście, że powiedziano przodkom: „Nie zabijaj”, a kto zabije, pójdzie pod sąd.
28051600b9	A ja wam mówię: Każdy, kto się na kogoś gniewa, pójdzie pod sąd! A kto nazywa go głupcem, stanie przed Wysoką Radą. A kto nazwałby go idiotą, zasługuje na ogień piekielny.
2805170069	Jeśli więc, przynosząc dar na ołtarz w świątyni, przypomniałbyś sobie, że ktoś ci coś zarzuca,
2805180069	zostaw swój dar przy ołtarzu i idź się pogodzić z tym człowiekiem. Potem wróć i złóż dar Bogu.
28051900ad	Póki jest na to czas, staraj się polubownie załatwić sprawę ze swoim oskarżycielem. W przeciwnym bowiem razie sędzia cię skaże i zostaniesz wtrącony do więzienia.
28051a0055	Zapewniam cię, że nie wyjdziesz stamtąd, aż spłacisz cały dług—co do grosza.
28051b0059	Słyszeliście, że w Prawie Mojżesza powiedziano: „Bądź wierny w małżeństwie”.
28051c0067	A Ja wam mówię: Kto spogląda na kobietę i pożąda jej, w sercu już się dopuścił niewierności.
28051d00c0	Jeśli więc twoje prawe oko skłania cię do grzechu, wyłup je i odrzuć. Lepiej bowiem, gdy zginie jakaś część twojego ciała, niż byś z całym ciałem miał być wrzucony do piekła.
28051e00bf	I jeśli twoja prawa ręka skłania cię do grzechu, odetnij ją i odrzuć. Lepiej bowiem, gdy zginie jakaś część twojego ciała, niż byś z całym ciałem miał znaleźć się w piekle.
28051f0073	W Prawie Mojżesza powiedziano też: „Kto chce się rozwieść z żoną, niech jej wręczy dokument rozwodowy”.
28052000e7	A Ja wam mówię: Kto rozwodzi się z żoną (z wyjątkiem przypadku rozwiązłości seksualnej), naraża ją na grzech niewierności. Kto zaś żeni się z rozwódką, również dopuszcza się grzechu niewierności małżeńskiej.
280521007b	Słyszeliście również, że powiedziano przodkom: „Nie przysięgaj fałszywie, lecz dotrzymaj przysięgi danej Panu”.
2805220052	A Ja wam mówię: W ogóle nie przysięgajcie: ani na niebo—bo jest tronem Boga;
2805230062	ani na ziemię—bo jest Jego podnóżkiem; ani na Jerozolimę—bo jest miastem wielkiego Króla!
2805240067	Nawet na własną głowę nie przysięgaj—bo nie możesz jednego włosa uczynić białym lub czarnym.
2805250078	Mów prawdę: niech twoje „tak” znaczy „tak”, a „nie” znaczy „nie”. Każde oszustwo pochodzi od szatana.
2805260053	Słyszeliście, że w Prawie Mojżesza powiedziano: „Oko za oko, ząb za ząb”.
280527007b	A Ja wam mówię: Nie rewanżujcie się za doznane zło! Jeśli ktoś cię obrazi, uderzając w policzek, nadstaw mu drugi.
280528004e	Jeśli ktoś chce się z tobą sądzić o koszulę, daj mu od razu i płaszcz.
280529004a	Jeśli ktoś cię zmusza, byś niósł mu bagaż kilometr, nieś mu i dwa.
28052a005a	Daj temu, kto cię prosi, i nie odwracaj się od tego, kto chce od ciebie coś pożyczyć.
28052b004f	Słyszeliście, że powiedziano: „Kochaj przyjaciół, nienawidź wrogów”.
28052c0061	A Ja wam mówię: Kochajcie waszych wrogów i módlcie się za tych, którzy was prześladują—
28052d009c	tak postępują dzieci waszego Ojca w niebie. On bowiem sprawia, że słońce wschodzi dla dobrych i dla złych. A deszcz pada dla prawych i dla nieprawych.
28052e0080	Czy sądzicie, że zasługujecie na nagrodę, bo kochacie tych, którzy was kochają? Czy nawet źli ludzie tak nie postępują?
28052f0068	Jeśli jesteście mili tylko dla przyjaciół, w czym jesteście lepsi? Czy poganie tak nie postępują?
2805300038	Bądźcie więc doskonali, tak jak wasz Ojciec w niebie.
2806010084	Uważajcie, by nie być dobrymi tylko na pokaz. Jeśli tak będziecie postępować, nie otrzymacie nagrody od waszego Ojca w niebie.
28060200b5	Gdy obdarowujesz biednego, nie rozgłaszaj tego, jak to czynią obłudnicy w synagogach i na ulicach, by zyskać poklask u ludzi. Zapewniam was: oni teraz odbierają za to nagrodę.
2806030060	Wspierając potrzebującego, czyń to dyskretnie. Niech twoja lewa ręka nie wie, co robi prawa,
280604005b	aby twoja pomoc pozostała w ukryciu. A Ojciec twój, który wszystko widzi, nagrodzi cię.
