0100000008	Gênesis
010101002b	No principio creou Deus os céus e a terra.
010102007e	E a terra era sem fórma e vasia; e havia trevas sobre a face do abysmo: e o Espirito de Deus se movia sobre a face das aguas.
0101030024	E disse Deus: Haja luz: e houve luz.
010104004d	E viu Deus que era boa a luz: e fez Deus separação entre a luz e as trevas.
010105005e	E Deus chamou á luz Dia; e ás trevas chamou Noite. E foi a tarde e a manhã, o dia primeiro.
010106005b	E disse Deus: Haja uma expansão no meio das aguas, e haja separação entre aguas e aguas.
0101070090	E fez Deus a expansão, e fez separação entre as aguas que estavam debaixo da expansão e as aguas que estavam sobre a expansão: e assim foi.
0101080049	E chamou Deus á expansão Céus, e foi a tarde e a manhã o dia segundo.
0101090069	E disse Deus: Ajuntem-se as aguas debaixo dos céus n'um logar; e appareça a porção secca: e assim foi
01010a0067	E chamou Deus á porção secca Terra; e ao ajuntamento das aguas chamou Mares: e viu Deus que era bom.
01010b00ad	Disse Deus: Produza a terra herva verde, herva que dê semente, arvore fructifera que dê fructo segundo a sua especie, cuja semente está n'ella sobre a terra: e assim foi.
01010c00a6	E a terra produziu herva, herva dando semente conforme a sua especie, e a arvore fructifera, cuja semente está n'ella conforme a sua especie: e viu Deus que era bom.
01010d002a	E foi a tarde, e a manhã, o dia terceiro.
01010e00ad	E disse Deus: Haja luminares na expansão dos céus, para haver separação entre o dia e a noite; e sejam elles para signaes e para tempos determinados e para dias e annos.
01010f0052	E sejam para luminares na expansão dos céus, para allumiar a terra: e assim foi.
0101100083	E fez Deus os dois grandes luminares: o luminar maior para governar o dia, e o luminar menor para governar a noite; e as estrellas.
010111003b	E Deus os poz na expansão dos céus para allumiar a terra,
010112006a	E para governar o dia e a noite, e para fazer separação entre a luz e as trevas: e viu Deus que era bom.
0101130028	E foi a tarde, e a manhã, o dia quarto.
010114007b	E disse Deus: Produzam as aguas abundantemente reptis de alma vivente; e vôem as aves sobre a face da expansão dos céus.
01011500c7	E Deus creou as grandes balêas, e todo o reptil de alma vivente que as aguas abundantemente produziram conforme as suas especies; e toda a ave de azas conforme a sua especie: e viu Deus que era bom.
010116007d	E Deus as abençoou, dizendo: Fructificae e multiplicae-vos, e enchei as aguas nos mares; e as aves se multipliquem na terra.
0101170028	E foi a tarde, e a manhã, o dia quinto.
010118008e	E disse Deus: Produza a terra alma vivente conforme a sua especie; gado e reptis, e bestas feras da terra conforme a sua especie: e assim foi.
01011900a5	E fez Deus as bestas feras da terra conforme a sua especie, e o gado conforme a sua especie, e todo o reptil da terra conforme a sua especie: e viu Deus que era bom.
01011a00e1	E disse Deus: Façamos o homem á nossa imagem, conforme á nossa similhança: e domine sobre os peixes do mar, e sobre as aves dos céus, e sobre o gado, e sobre toda a terra, e sobre todo o reptil que se move sobre a terra.
01011b0056	E creou Deus o homem á sua imagem: á imagem de Deus o creou: macho e femea os creou.
01011c00d4	E Deus os abençoou, e Deus lhes disse: Fructificae e multiplicae-vos, e enchei a terra, e sujeitae-a: e dominae sobre os peixes do mar, e sobre as aves dos céus, e sobre todo o animal que se move sobre a terra.
01011d00c3	E disse Deus: Eis que vos tenho dado toda a herva que dá semente, que está sobre a face de toda a terra; e toda a arvore, em que ha fructo de arvore que dá semente, ser-vos-ha para mantimento.
01011e009a	E todo o animal da terra, e toda a ave dos céus, e todo o reptil da terra, em que ha alma vivente; toda a herva verde será para mantimento: e assim foi.
01011f0064	E viu Deus tudo quanto tinha feito, e eis que era muito bom: e foi a tarde, e a manhã, o dia sexto.
010201003f	Assim os céus, e a terra e todo o seu exercito foram acabados.
010202007f	E havendo Deus acabado no dia setimo a sua obra, que tinha feito, descançou no setimo dia de toda a sua obra, que tinha feito.
0102030077	E abençoou Deus o dia setimo, e o sanctificou; porque n'elle descançou de toda a sua obra, que Deus creára e fizera.
0102040075	Estas são as origens dos céus e da terra, quando foram creados: no dia em que o Senhor Deus fez a terra e os céus:
01020500d2	E toda a planta do campo que ainda não estava na terra, e toda a herva do campo que ainda não brotava; porque ainda o Senhor Deus não tinha feito chover sobre a terra, e não havia homem para lavrar a terra.
0102060040	Um vapor, porém, subia da terra, e regava toda a face da terra.
010207007c	E formou o Senhor Deus o homem do pó da terra, e soprou em seus narizes o folego da vida: e o homem foi feito alma vivente.
0102080064	E plantou o Senhor Deus um jardim no Eden, da banda do oriente: e poz ali o homem que tinha formado.
01020900a6	E o Senhor Deus fez brotar da terra toda a arvore agradavel á vista, e boa para comida: e a arvore da vida no meio do jardim, e a arvore da sciencia do bem e do mal.
01020a005f	E sahia um rio do Eden para regar o jardim; e d'ali se dividia e se tornava em quatro cabeças.
01020b0057	O nome do primeiro é Pison: este é o que rodeia toda a terra de Havila, onde ha oiro.
01020c0044	E o oiro d'essa terra é bom: ali ha o bdellio, e a pedra sardonica.
01020d004c	E o nome do segundo rio é Gihon: este é o que rodeia toda a terra de Cush.
01020e007a	E o nome do terceiro rio é Hiddekel: este é o que vae para a banda do oriente da Assyria: e o quarto rio é o Euphrates.
01020f0053	E tomou o Senhor Deus o homem, e o poz no jardim do Eden para o lavrar e o guardar.
010210005a	E ordenou o Senhor Deus ao homem, dizendo: De toda a arvore do jardim comerás livremente,
010211007b	Mas da arvore da sciencia do bem e do mal, d'ella não comerás; porque no dia em que d'ella comeres, certamente morrerás.
0102120073	E disse o Senhor Deus: Não é bom que o homem esteja só: far-lhe-hei uma ajudadora que esteja como diante d'elle.
