0100000008	Gênesis
010101002c	No princípio criou Deus os céus e a terra.
010102007f	E a terra era sem forma e vazia; e havia trevas sobre a face do abismo: e o espírito de Deus se movia sobre a face das águas.
0101030024	E disse Deus: Haja luz: e houve luz.
010104004d	E viu Deus que era boa a luz: e fez Deus separação entre a luz e as trevas.
010105005e	E Deus chamou à luz Dia; e às trevas chamou Noite. E foi a tarde e a manhã, o dia primeiro.
010106005e	E disse Deus: Haja uma expansão no meio das águas, e haja separação entre águas e águas.
0101070092	E fez Deus a expansão, e fez separação entre as águas que estavam debaixo da expansão e as águas que estavam sobre a expansão: e assim foi.
0101080049	E chamou Deus à expansão Céus, e foi a tarde e a manhã o dia segundo.
0101090068	E disse Deus: Ajuntem-se as águas debaixo dos céus num lugar; e apareça a porção seca: e assim foi.
01010a0067	E chamou Deus à porção seca Terra; e ao ajuntamento das águas chamou Mares: e viu Deus que era bom.
01010b00aa	Disse Deus: Produza a terra erva verde, erva que dê semente, árvore frutífera que dê fruto segundo a sua espécie, cuja semente está nela sobre a terra: e assim foi.
01010c00a5	E a terra produziu erva, erva dando semente conforme a sua espécie, e a árvore frutífera, cuja semente está nela conforme a sua espécie: e viu Deus que era bom.
01010d002a	E foi a tarde, e a manhã, o dia terceiro.
01010e00aa	E disse Deus: Haja luminares na expansão dos céus, para haver separação entre o dia e a noite; e sejam eles para sinais e para tempos determinados e para dias e anos.
01010f0051	E sejam para luminares na expansão dos céus, para alumiar a terra: e assim foi.
0101100082	E fez Deus os dois grandes luminares: o luminar maior para governar o dia, e o luminar menor para governar a noite; e as estrelas.
010111003b	E Deus os pôs na expansão dos céus para alumiar a terra,
010112006a	E para governar o dia e a noite, e para fazer separação entre a luz e as trevas: e viu Deus que era bom.
0101130028	E foi a tarde, e a manhã, o dia quarto.
010114007d	E disse Deus: Produzam as águas abundantemente réptis de alma vivente; e vôem as aves sobre a face da expansão dos céus.
01011500cb	E Deus criou as grandes baleias, e todo o réptil de alma vivente que as águas abundantemente produziram conforme as suas espécies; e toda a ave de asas conforme a sua espécie: e viu Deus que era bom.
010116007d	E Deus as abençoou, dizendo: frutificai e multiplicai-vos, e enchei as águas nos mares; e as aves se multipliquem na terra.
0101170028	E foi a tarde, e a manhã, o dia quinto.
0101180091	E disse Deus: Produza a terra alma vivente conforme a sua espécie; gado e réptis, e bestas feras da terra conforme a sua espécie: e assim foi.
01011900a9	E fez Deus as bestas feras da terra conforme a sua espécie, e o gado conforme a sua espécie, e todo o réptil da terra conforme a sua espécie: e viu Deus que era bom.
01011a00e2	E disse Deus: Façamos o homem à nossa imagem, conforme à nossa semelhança: e domine sobre os peixes do mar, e sobre as aves dos céus, e sobre o gado, e sobre toda a terra, e sobre todo o réptil que se move sobre a terra.
01011b0057	E criou Deus o homem à sua imagem: à imagem de Deus o criou: macho e fêmea os criou.
01011c00d3	E Deus os abençoou, e Deus lhes disse: frutificai e multiplicai-vos, e enchei a terra, e sujeitai-a: e dominai sobre os peixes do mar, e sobre as aves dos céus, e sobre todo o animal que se move sobre a terra.
01011d00c3	E disse Deus: Eis que vos tenho dado toda a erva que dá semente, que está sobre a face de toda a terra; e toda a árvore, em que há fruto de árvore que dá semente, ser-vos-a para mantimento.
01011e009b	E todo o animal da terra, e toda a ave dos céus, e todo o réptil da terra, em que há alma vivente; toda a erva verde será para mantimento: e assim foi.
01011f0064	E viu Deus tudo quanto tinha feito, e eis que era muito bom: e foi a tarde, e a manhã, o dia sexto.
0102010040	Assim os céus, e a terra e todo o seu exército foram acabados.
0102020081	E havendo Deus acabado no dia sétimo a sua obra, que tinha feito, descançou no sétimo dia de toda a sua obra, que tinha feito.
0102030074	E abençoou Deus o dia sétimo, e o santificou; porque nele descançou de toda a sua obra, que Deus criara e fizera.
0102040075	Estas são as origens dos céus e da terra, quando foram criados: no dia em que o Senhor Deus fez a terra e os céus:
01020500d1	E toda a planta do campo que ainda não estava na terra, e toda a erva do campo que ainda não brotava; porque ainda o Senhor Deus não tinha feito chover sobre a terra, e não havia homem para lavrar a terra.
0102060040	Um vapor, porém, subia da terra, e regava toda a face da terra.
010207007d	E formou o Senhor Deus o homem do pó da terra, e soprou em seus narizes o fôlego da vida: e o homem foi feito alma vivente.
0102080066	E plantou o Senhor Deus um jardim no Éden, da banda do oriente: e pôs ali o homem que tinha formado.
01020900aa	E o Senhor Deus fez brotar da terra toda a árvore agradável à vista, e boa para comida: e a árvore da vida no meio do jardim, e a árvore da ciência do bem e do mal.
01020a005f	E saía um rio do Éden para regar o jardim; e dali se dividia e se tornava em quatro cabeças.
01020b0058	O nome do primeiro é Pison: este é o que rodeia toda a terra de Havila, onde há ouro.
01020c0045	E o ouro dessa terra é bom: ali há o bdélio, e a pedra sardônica.
01020d004c	E o nome do segundo rio é Gihon: este é o que rodeia toda a terra de Cush.
01020e007a	E o nome do terceiro rio é Hiddekel: este é o que vai para a banda do oriente da Assyria: e o quarto rio é o Euphrates.
01020f0055	E tomou o Senhor Deus o homem, e o pôs no jardim do Éden para o lavrar e o guardar.
010210005b	E ordenou o Senhor Deus ao homem, dizendo: De toda a árvore do jardim comerás livremente,
0102110078	Mas da árvore da ciência do bem e do mal, dela não comerás; porque no dia em que dela comeres, certamente morrerás.
0102120070	E disse o Senhor Deus: Não é bom que o homem esteja só: far-lhe-ei uma ajudadora que esteja como diante dele.
01021300d5	Havendo pois o Senhor Deus formado da terra todo o animal do campo, e toda a ave dos céus os trouxe a Adão, para este ver como lhes chamaria; e tudo o que Adão chamou a toda a alma vivente, isso foi o seu nome.
010214009f	E Adão pôs os nomes a todo o gado, e às aves dos céus, e a toda a besta do campo; mas para o homem não se achava ajudadora que estivesse como diante dele.
0102150089	Então o Senhor Deus fez cair um sono pesado sobre Adão, e este adormeceu: e tomou uma das suas costelas, e cerrou a carne em seu lugar;
0102160055	E da costela que o Senhor Deus tomou do homem, formou uma mulher: e trouxe-a a Adão.
0102170084	E disse Adão: Esta é agora osso dos meus ossos, e carne da minha carne: esta será chamada varôa, porquanto do varão foi tomada.
010218006a	Portanto deixará o varão o seu pai e a sua mãe, e apegar-se-á à sua mulher, e serão ambos uma carne.
0102190045	E ambos estavam nus, o homem e a sua mulher; e não se envergonhavam.
01030100ba	Ora a serpente era mais astuta que todas as alimárias do campo que o Senhor Deus tinha feito. E esta disse à mulher: É assim que Deus disse: Não comereis de toda a árvore do jardim?
0103020048	E disse a mulher à serpente: Do fruto das árvores do jardim comeremos,
010303007d	Mas do fruto da árvore que está no meio do jardim, disse Deus: Não comereis dele, nem nele tocareis para que não morrais.
010304003d	Então a serpente disse à mulher: Certamente não morrereis.
0103050078	Porque Deus sabe que no dia em que dele comerdes se abrirão os vossos olhos, e sereis como Deus, sabendo o bem e o mal.
01030600ca	E viu a mulher que aquela árvore era boa para se comer, e agradável aos olhos, e árvore desejável para dar entendimento; tomou do seu fruto, e comeu, e deu também a seu marido consigo, e ele comeu.
010307007f	Então foram abertos os olhos de ambos, e conheceram que estavam nus; e coseram folhas de figueira, e fizeram para si aventais.
01030800a8	E ouviram a voz do Senhor Deus, que passeava no jardim pela viração do dia: e escondeu-se Adão e sua mulher da presença do Senhor Deus, entre as árvores do jardim.
0103090039	E chamou o Senhor Deus a Adão, e disse-lhe: Onde estás?
01030a0054	E ele disse: Ouvi a tua voz soar no jardim, e temi, porque estava nú, e escondi-me.
01030b0068	E Deus disse: Quem te mostrou que estavas nu? Comeste tu da árvore de que te ordenei que não comesses?
01030c0059	Então disse Adão; A mulher que me deste por companheira, ela me deu da árvore, e comi.
01030d0068	E disse o Senhor Deus à mulher: Porque fizeste isto? E disse a mulher A serpente me enganou, e eu comi.
01030e00d2	Então o Senhor Deus disse à serpente: Porquanto fizeste isto, maldita serás mais que toda a besta, e mais que todos os animais do campo: sobre o teu ventre andarás, e pó comerás todos os dias da tua vida.
01030f0087	E porei inimizade entre ti e a mulher, e entre a tua semente e a sua semente: esta te ferirá a cabeça, e tu lhe ferirás o calcanhar.
01031000a1	E à mulher disse: Multiplicarei grandemente a tua dor, e a tua conceição; com dor parirás filhos; e o teu desejo será para o teu marido, e ele te dominará.
01031100d8	E a Adão disse: Porquanto deste ouvidos à voz de tua mulher, e comeste da árvore de que te ordenei, dizendo: Não comerás dela: maldita é a terra por causa de ti; com dor comerás dela todos os dias da tua vida.
0103120046	Espinhos, e cardos também, te produzirá; e comerás a erva do campo.
010313008a	No suor do teu rosto comerás o teu pão, até que te tornes à terra; porque dela foste tomado: porquanto és pó, e em pó te tornarás.
0103140058	E chamou Adão o nome de sua mulher, Eva; porquanto ela era a mãe de todos os viventes.
010315004a	E fez o Senhor Deus a Adão e a sua mulher túnicas de peles, e os vestiu.
01031600c1	Então disse o Senhor Deus: Eis que o homem é como um de Nós, sabendo o bem e o mal; ora, pois, para que não estenda a sua mão, e tome também da árvore da vida, e coma e viva eternamente:
010317005f	O Senhor Deus, pois, o enviou fora do jardim do Éden, para lavrar a terra de que fôra tomado.
01031800a5	E havendo lançado fora o homem, pôs cherubins ao oriente do jardim do Éden, e uma espada inflamada que andava ao redor, para guardar o caminho da árvore da vida.
0104010069	E conheceu Adão a Eva, sua mulher, e ela concebeu e pariu a Caim, e disse: Alcancei do Senhor um varão.
010402005b	E pariu mais a seu irmão Abel: e Abel foi pastor de ovelhas, e Caim foi lavrador da terra.
0104030053	E aconteceu ao cabo de dias que Caim trouxe do fruto da terra uma oferta ao Senhor.
010404007d	E Abel também trouxe dos primogênitos das suas ovelhas, e da sua gordura: e atentou o Senhor para Abel e para a sua oferta,
0104050069	Mas para Caim e para a sua oferta não atentou. E irou-se Caim fortemente, e descaiu-lhe o seu semblante.
010406004c	E o Senhor disse a Caim: Porque te iraste? E porque descaiu o teu semblante?
0104070093	Se bem fizeres, não haverá aceitação para ti? se não fizeres bem, o pecado jaz à porta, e para ti será o seu desejo, e sobre ele dominarás.
010408007f	E falou Caim com o seu irmão Abel: e sucedeu que, estando eles no campo, se levantou Caim contra o seu irmão Abel, e o matou.
010409006c	E disse o Senhor a Caim: Onde está Abel, teu irmão? E ele disse: Não sei: sou eu guardador do meu irmão?
01040a0053	E disse Deus: Que fizeste? A voz do sangue do teu irmão clama a mim desde a terra.
01040b006b	E agora maldito és tu desde a terra, que abriu a sua boca para receber o sangue do teu irmão da tua mão.
01040c005f	Quando lavrares a terra, não te dará mais a sua força: fugitivo e vagabundo serás na terra.
01040d0053	Então disse Caim ao Senhor: É maior a minha maldade que a que possa ser perdoada.
01040e009f	Eis que hoje me lanças da face da terra, e da tua face me esconderei; e serei fugitivo e vagabundo na terra, e será que todo aquele que me achar, me matará.
01040f00ac	O Senhor porém disse-lhe: Portanto qualquer que matar a Caim, sete vezes será castigado. E pôs o Senhor um sinal em Caim, para que o não ferisse qualquer que o achasse.
0104100061	E saiu Caim de diante da face do Senhor, e habitou na terra de Nod, da banda do oriente do Éden.
0104110091	E conheceu Caim a sua mulher, e ela concebeu, e pariu a Enoch: e ele edificou uma cidade, e chamou o nome da cidade pelo nome de seu filho Enoch:
0104120068	E a Enoch nasceu Irad, e Irad gerou a Mehujael, e Mehujael gerou a Methusael e Methusael gerou a Lamech.
0104130056	E tomou Lamech para si duas mulheres: o nome de uma era Ada, e o nome da outra, Zilla.
010414004a	E Ada pariu a Jabal: este foi o pai dos que habitam em tendas, e tem gado.
0104150057	E o nome do seu irmão era Jubal: este foi o pai de todos os que tocam harpa e órgão.
010416006f	E Zilla também pariu a Tubalcaim, mestre de toda a obra de cobre e de ferro: e a irmã de Tubalcaim foi Naama.
01041700b9	E disse Lamech a suas mulheres: Ada e Zilla, ouvi a minha voz; vós, mulheres de Lamech, escutai o meu dito; porque eu matei um varão por minha ferida, e um mancebo por minha pisadura.
0104180046	Porque sete vezes Caim será castigado; mas Lamech setenta vezes sete.
01041900ae	E tornou Adão a conhecer a sua mulher; e ela pariu um filho, e chamou o seu nome Seth; porque, disse ela, Deus me deu outra semente em lugar de Abel; porquanto Caim o matou.
01041a0070	E a Seth mesmo também nasceu um filho; e chamou o seu nome Enos: então se começou a invocar o nome do Senhor.
0105010067	Este é o livro das gerações de Adão. No dia em que Deus criou o homem, à semelhança de Deus o fez
0105020060	Macho e fêmea os criou; e os abençoou, e chamou o seu nome Adão, no dia em que foram criados.
0105030078	E Adão viveu cento e trinta anos, e gerou um filho à sua semelhança, conforme à sua imagem e chamou o seu nome Seth.
010504005c	E foram os dias de Adão, depois que gerou a Seth, oitocentos anos: e gerou filhos e filhas.
010505004a	E foram todos os dias que Adão viveu, novecentos e trinta anos; e morreu.
0105060030	E viveu Seth cento e cinco anos, e gerou a Enos.
0105070057	E viveu Seth, depois que gerou a Enos, oitocentos e sete anos, e gerou filhos e filhas.
010508003f	E foram todos os dias de Seth novecentos e doze anos; e morreu.
010509002c	E viveu Enos noventa anos; e gerou a Cainan.
01050a005b	E viveu Enos, depois que gerou a Cainan, oitocentos e quinze anos; e gerou filhos e filhas.
01050b0040	E foram todos os dias de Enos novecentos e cinco anos; e morreu.
01050c0032	E viveu Cainan, setenta anos; e gerou a Mahalalel.
01050d0062	E viveu Cainan, depois que gerou a Mahalalel, oitocentos e quarenta anos; e gerou filhos e filhas.
