0100000008	Gênesis
010101004c	No princípio, Deus criou os céus e a terra. A terra era sem forma e vazia.
0101020067	Havia escuridão sobre a face do abismo, e o Espírito de Deus Se movia sobre a superfície das águas.
0101030024	Deus disse: "Haja luz". E houve luz.
0101040042	E Deus viu que a luz era boa; então, separou a luz da escuridão.
010105005c	Deus chamou a luz dia e chamou a escuridão noite. Houve manhã e anoitecer, o primeiro dia.
010106005e	E Deus disse: "Que haja firmamento entre as águas, e haja separação entre águas e águas".
010107008e	E Deus fez o firmamento e separou as águas que estavam debaixo do firmamento das águas que estavam em cima do firmamento. E assim aconteceu.
010108004d	E Deus chamou o firmamento de céus. Houve manhã e anoitecer, o segundo dia.
0101090071	E Deus disse: "Ajuntem-se as águas debaixo do céu, num só lugar, e apareça porção seca". E assim aconteceu.
01010a0069	Deus chamou a porção seca de terra e, ao ajuntamento das águas, de mares. E Deus viu que isso era bom.
01010b00b8	E Deus disse: "Produza a terra vegetação, plantas que deem sementes e árvores frutíferas que deem frutos, conforme a sua espécie, cuja semente esteja no fruto". E assim aconteceu.
01010c00a6	A terra produziu vegetação, plantas que davam semente, segundo a sua espécie, e árvores frutíferas cuja semente estava no seu fruto. E Deus viu que isso era bom.
01010d0029	Houve manhã e anoitecer, o terceiro dia.
01010e0084	Deus disse: "Haja luzeiros no firmamento dos céus para separar o dia da noite; que sirvam como sinais para estações, dias e anos.
01010f0055	Que sejam luzeiros no firmamento dos céus para iluminar a terra". E assim aconteceu.
0101100075	Deus fez dois grandes luzeiros: o maior para governar o dia e o menor para governar a noite. Também fez as estrelas.
010111003e	Deus os colocou no firmamento dos céus para iluminar a terra,
0101120059	para governar o dia e a noite e separar a luz da escuridão. E Deus viu que isso era bom.
0101130027	Houve manhã e anoitecer, o quarto dia.
0101140086	Deus disse: "Que haja multidões de criaturas vivas nas águas, e que as aves voem por cima da terra, abaixo do firmamento dos céus".
01011500ca	Deus criou os grandes animais marinhos e todos os seres viventes que se movem e que povoam as águas, segundo as suas espécies; e todas as aves, segundo as suas espécieis. E Deus viu que isso era bom.
0101160085	E Deus os abençoou, dizendo: "Sede frutíferos, multiplicai-vos e enchei as águas dos mares. Que as aves multipliquem-se na terra".
0101170027	Houve manhã e anoitecer, o quinto dia.
01011800eb	E Deus disse: "Que a terra produza seres viventes, cada um de acordo com sua própria espécie: animais domésticos, animais selvagens e os demais seres vivos da terra; cada um de acordo com a sua própria espécie. E assim aconteceu".
01011900c7	Deus fez os animais selvagens da terra, conforme a sua espécie, os animais de criação, conforme a sua espécie, e os demais seres vivos da terra, conforme a sua espécie. Ele viu que isso era bom.
01011a010a	E disse Deus: "Façamos o homem à Nossa imagem, conforme a Nossa semelhança. Que ele exerça domínio sobre os peixes do mar, sobre as aves dos céus, sobre todos os animais de criação, sobre toda a terra e sobre todos os seres vivos que rastejam sobre a terra".
01011b0062	Deus criou, então, o homem a Sua imagem, à imagem de Deus o criou; macho e fêmea Deus os criou.
01011c00d1	Deus os abençoou e lhes disse: "Sede frutíferos e multiplicai-vos, enchei a terra e subjugai-a. Dominai sobre todos os peixes do mar, sobre as aves dos céus e sobre todo ser vivente que rasteja pela terra".
01011d00be	Deus disse: "Eis que vos tenho dado todas as plantas que dão semente que estão sobre a face de toda a terra e todas as árvores que dão frutos com semente; elas vos servirão de alimento.
01011e00ed	Para todos os animais selvagens da terra, para todas as aves dos céus, para todos os seres vivos que rastejam pela terra, e para todas as criaturas que têm fôlego de vida, toda planta verde lhes será por alimento". E assim aconteceu.
01011f0063	E viu Deus tudo quanto fizera, e eis que isso era muito bom. Houve manhã e anoitecer, o sexto dia.
0102010040	Assim foram concluídos os céus e a terra e tudo que neles há.
0102020057	No sétimo dia, Deus terminou o trabalho que tinha feito e, naquele dia, Ele descansou.
