0100000008	Gênesis
010101002c	No princípio Deus criou os céus e a terra.
010102005b	A terra era vazia e sem forma definida, e o Espírito de Deus se movia por sobre as águas.
0101030028	Deus disse: “Haja luz”, e houve luz.
0101040035	Deus ficou satisfeito, e separou a luz da escuridão.
010105006e	Deus chamou a luz de “dia”, e a escuridão de “noite”. O dia e a noite juntos formaram o primeiro dia.
0101060066	E Deus disse: “Que as águas se separem, entre a expansão do céu em cima e os oceanos em baixo”.
010107007e	Desse modo, Deus formou o firmamento, separando as águas que ficaram acima do firmamento das que ficaram abaixo. E assim foi.
010108005d	Deus chamou o firmamento de céu. E houve tarde e manhã. Tudo isso aconteceu no segundo dia.
0101090091	E Deus disse: “Que as águas que estão debaixo do céu se juntem, formando mares e oceanos, de modo que apareça a parte seca”. E assim foi.
01010a0051	Deus chamou a parte seca de terra, e as águas de mares. E Deus ficou satisfeito.
01010b00cf	Então ele disse: “Que a terra produza toda espécie de vegetação: plantas que deem sementes, árvores que produzam frutos, que por sua vez produzam sementes de acordo com a sua espécie”. E assim foi.
01010c00bb	A terra, pois, fez brotar a vegetação: plantas que dão sementes e árvores que produzem frutos, que por sua vez produzem sementes de acordo com a sua espécie. E Deus ficou satisfeito.
01010d003a	Houve tarde e manhã. Tudo isso aconteceu no terceiro dia.
01010e00c0	Deus ainda disse: “Que no firmamento do céu haja luzes que iluminem a terra para separar o dia da noite. Essas luzes servirão como sinais para estabelecer as estações, os dias e os anos.
01010f004c	Elas brilharão no firmamento do céu para iluminar a terra”. E assim foi.
0101100085	Deus fez duas grandes luzes: a maior, o sol, para dirigir o dia, e a menor, a lua, para dirigir a noite. Ele também fez as estrelas.
010111004d	Foi assim que Deus colocou essas luzes no firmamento para iluminarem a terra,
0101120070	para determinarem os dias e as noites e fazerem separação entre a luz e a escuridão. E Deus ficou satisfeito.
0101130038	Houve tarde e manhã. Tudo isso aconteceu no quarto dia.
0101140093	Depois Deus disse: “Que as águas se encham de peixes e de outras espécies de vida; e voem as aves sobre a terra, sob o firmamento dos céus”.
0101150092	E Deus criou os grandes animais marinhos, e todo tipo de vida aquática, além das aves, de acordo com as suas espécies. E Deus ficou satisfeito.
01011600a9	Então Deus abençoou suas criaturas, dizendo: “Multipliquem-se e encham as águas dos mares”. E às aves falou: “Sejam cada vez mais numerosas. Encham a terra!”
0101170038	Houve tarde e manhã. Tudo isso aconteceu no quinto dia.
01011800a8	E Deus disse: “Que a terra produza seres viventes de acordo com as suas espécies: animais domésticos e animais selvagens, segundo as suas espécies”. E assim foi.
0101190091	Deus fez os animais selvagens, os animais domésticos e os demais seres vivos da terra, de acordo com as suas espécies. E Deus ficou satisfeito.
