0100000008	Gênesis
010101002a	No início, Deus criou os céus e a terra.
0101020092	A terra estava sem forma e vazia. A escuridão estava na superfície das profundezas e o Espírito de Deus pairava sobre a superfície das águas.
010103002c	Deus disse: “Que haja luz”, e houve luz.
0101040045	Deus viu a luz, e viu que ela era boa. Deus dividiu a luz das trevas.
010105006e	Deus chamou a luz de “dia”, e a escuridão de “noite”. Havia a noite e havia a manhã, o primeiro dia.
0101060063	Deus disse: “Que haja uma extensão no meio das águas, e que ela divida as águas das águas”.
010107007d	Deus fez a extensão, e dividiu as águas que estavam sob a extensão das águas que estavam acima da extensão; e assim foi.
0101080056	Deus chamou a vastidão de “céu”. Havia a noite e havia a manhã, um segundo dia.
0101090072	Deus disse: “Que as águas sob o céu sejam reunidas num só lugar, e que a terra seca apareça;” e assim foi.
01010a0071	Deus chamou a terra seca de “terra”, e a reunião das águas ele chamou de “mares”. Deus viu que era bom.
01010b00bf	Deus disse: “Que a terra produza grama, ervas que produzam sementes, e árvores frutíferas que dêem frutos depois de sua espécie, com suas sementes dentro dela, na terra;” e assim foi.
01010c00b1	A terra produziu grama, ervas produzindo sementes depois de sua espécie, e árvores dando frutos, com suas sementes dentro dela, depois de sua espécie; e Deus viu que era boa.
01010d0030	Havia a noite e havia a manhã, um terceiro dia.
01010e0098	Deus disse: “Que haja luzes na extensão do céu para dividir o dia da noite; e que sejam para que os sinais marquem as estações, os dias e os anos;
01010f005b	e que sejam para que as luzes na extensão do céu dêem luz sobre a terra;” e assim foi.
0101100082	Deus fez as duas grandes luzes: a luz maior para governar o dia, e a luz menor para governar a noite. Ele também fez as estrelas.
010111003b	Deus as colocou na vastidão do céu para dar luz à terra,
010112005a	e para governar o dia e a noite, e para dividir a luz da escuridão. Deus viu que era bom.
010113002e	Havia a noite e havia a manhã, um quarto dia.
010114007f	Deus disse: “Deixem as águas transbordar de seres vivos, e deixem as aves voar sobre a terra na extensão aberta do céu”.
01011500ca	Deus criou as grandes criaturas marinhas e todos os seres vivos que se movem, com os quais as águas transbordaram, depois de sua espécie, e cada ave alada depois de sua espécie. Deus viu que era bom.
010116008c	Deus os abençoou, dizendo: “Sede fecundos e multiplicai-vos, e enchei as águas dos mares, e deixai as aves multiplicarem-se na terra”.
010117002e	Havia a noite e havia a manhã, um quinto dia.
0101180096	Deus disse: “Que a terra produza seres vivos segundo sua espécie, gado, coisas rastejantes e animais da terra segundo sua espécie”; e assim foi.
01011900a0	Deus fez os animais da terra depois de sua espécie, e o gado depois de sua espécie, e tudo o que rasteja no solo depois de sua espécie. Deus viu que era bom.
01011a00f4	Deus disse: “Vamos fazer o homem à nossa imagem, à nossa semelhança”. Que tenham domínio sobre os peixes do mar, e sobre as aves do céu, e sobre o gado, e sobre toda a terra, e sobre cada coisa rasteira que se arrepia sobre a terra”.
01011b0069	Deus criou o homem à sua própria imagem. À imagem de Deus ele o criou; macho e fêmea ele os criou”.
01011c00d8	Deus os abençoou. Deus lhes disse: “Sede fecundos, multiplicai-vos, enchei a terra e sujeitai-a”. Tenham domínio sobre os peixes do mar, sobre as aves do céu e sobre todo ser vivo que se move sobre a terra”.
01011d00ab	Deus disse: “Eis que vos dei toda erva que dá semente, que está na superfície de toda a terra, e toda árvore que dá fruto que dá semente”. Será seu alimento”.
01011e0094	A cada animal da terra, e a cada ave do céu, e a tudo que rasteja na terra, na qual há vida, eu dei toda erva verde para alimento”; e assim foi.
01011f0067	Deus viu tudo o que tinha feito e, eis que era muito bom. Havia a noite e havia a manhã, um sexto dia.
010201003b	Os céus, a terra e toda a sua vasta gama foram terminados.
010202007e	No sétimo dia, Deus terminou seu trabalho que havia feito; e descansou no sétimo dia de todo o seu trabalho que havia feito.
0102030079	Deus abençoou o sétimo dia e o tornou santo, porque descansou nele de todo o seu trabalho de criação que havia feito.
010204007e	Esta é a história das gerações dos céus e da terra quando foram criados, no dia em que Javé Deus fez a terra e os céus.
01020500ba	Nenhuma planta do campo ainda estava na terra, e nenhuma erva do campo ainda havia brotado; pois Javé Deus não havia causado a chuva na terra. Não havia um homem para cultivar o solo,
0102060042	mas uma névoa subiu da terra, e regou toda a superfície do solo.
0102070078	Yahweh Deus formou o homem do pó da terra, e soprou em suas narinas o sopro da vida; e o homem se tornou uma alma viva.
010208005a	Yahweh Deus plantou um jardim ao leste, no Éden, e ali colocou o homem que havia formado.
01020900b1	Do solo Javé Deus fez crescer toda árvore agradável à vista e boa para o alimento, incluindo a árvore da vida no meio do jardim e a árvore do conhecimento do bem e do mal.
01020a0063	Um rio saiu do Éden para regar o jardim; e dali se separou, e se tornou a nascente de quatro rios.
01020b004f	O nome do primeiro é Pishon: corre por toda a terra de Havilah, onde há ouro;
01020c004d	e o ouro daquela terra é bom. O Bdellium e a pedra ônix também estão lá.
01020d0052	O nome do segundo rio é Gihon. É o mesmo rio que corre por toda a terra de Cush.
01020e006a	O nome do terceiro rio é Hiddekel. Este é o que corre na frente da Assíria. O quarto rio é o Eufrates.
01020f0057	Yahweh Deus tomou o homem e o colocou no jardim do Éden para cultivá-lo e guardá-lo.
010210005b	Javé Deus ordenou ao homem, dizendo: “Podeis comer livremente de toda árvore do jardim;
010211007a	mas não comereis da árvore do conhecimento do bem e do mal; porque no dia em que dela comerdes, certamente morrereis”.
0102120071	Yahweh Deus disse: “Não é bom para o homem estar sozinho”. Vou fazer dele um ajudante comparável a ele”.
01021300bd	Do chão Yahweh Deus formou cada animal do campo, e cada ave do céu, e os trouxe ao homem para ver o que ele os chamaria. O que quer que o homem chamasse cada ser vivo, tornou-se seu nome.
0102140097	O homem deu nomes a todo o gado, e às aves do céu, e a todos os animais do campo; mas para o homem não foi encontrado um ajudante comparável a ele.
0102150091	Yahweh Deus fez com que o homem caísse num sono profundo. Enquanto o homem dormia, ele pegou uma de suas costelas e fechou a carne em seu lugar.
0102160059	Yahweh Deus fez uma mulher da costela que ele havia tirado do homem, e a trouxe ao homem.
010217008a	O homem disse: “Isto agora é osso dos meus ossos, e carne da minha carne”. Ela será chamada 'mulher,' porque foi tirada do homem”.
0102180067	Portanto, um homem deixará seu pai e sua mãe, e se unirá à sua esposa, e eles serão uma só carne.
010219003f	O homem e sua esposa estavam ambos nus, e não tinham vergonha.
01030100bb	Agora a serpente era mais sutil do que qualquer animal do campo que Yahweh Deus tinha feito. Ele disse à mulher: “Deus realmente disse: 'Não comereis de nenhuma árvore do jardim'”?
010302004b	A mulher disse à serpente: “Podemos comer frutas das árvores do jardim,
010303008d	mas não o fruto da árvore que está no meio do jardim. Deus disse: “Não comereis dela”. Não lhe tocarás, para que não morras””.
010304003e	A serpente disse à mulher: “Você não morrerá de verdade,
010305007a	pois Deus sabe que no dia em que a comer, seus olhos serão abertos, e você será como Deus, conhecendo o bem e o mal”.
0103060106	Quando a mulher viu que a árvore era boa para comer, e que era um deleite para os olhos, e que a árvore era para ser desejada para fazer um sábio, ela pegou alguns de seus frutos, e comeu. Depois ela deu alguns para seu marido com ela, e ele também os comeu.
010307007d	Seus olhos foram abertos, e ambos sabiam que estavam nus. Coseram folhas de figo juntas, e fizeram coberturas para si mesmos.
01030800a2	Eles ouviram a voz de Javé Deus caminhando no jardim no frio do dia, e o homem e sua esposa se esconderam da presença de Javé Deus entre as árvores do jardim.
010309003f	Yahweh Deus chamou o homem e lhe disse: “Onde você está?”
01030a0060	O homem disse: “Ouvi sua voz no jardim, e tive medo, porque estava nu; por isso me escondi”.
01030b0075	Deus disse: “Quem lhe disse que você estava nu? Você comeu da árvore da qual eu lhe ordenei que não comesse”?
01030c006a	O homem disse: “A mulher que você deu para estar comigo, ela me deu frutos da árvore, e eu os comi”.
01030d006b	Yahweh Deus disse à mulher: “O que você fez?” A mulher disse: “A serpente me enganou, e eu comi”.
01030e00e3	Disse Yahweh Deus à serpente, “Porque você fez isso, você está amaldiçoado acima de todos os animais, e acima de cada animal do campo. Você deve ir de barriga para baixo e você deve comer pó todos os dias de sua vida.
01030f009b	I colocará hostilidade entre você e a mulher, e entre sua prole e sua descendência. Ele vai machucar sua cabeça, e você vai machucar seu calcanhar”.
01031000b3	Para a mulher que ele disse, “Multiplicarei grandemente sua dor no parto. Você terá filhos em sofrimento. Seu desejo será para seu marido, e ele irá governar sobre você”.
010311010b	Para Adam, ele disse, “Porque você ouviu a voz de sua esposa, e comeram da árvore, sobre o qual eu lhe ordenei, dizendo: “Não comerá dele”. o chão está amaldiçoado para seu bem. Você comerá dele com muita mão-de-obra durante todos os dias de sua vida.
0103120043	Ela lhe dará espinhos e cardos; e você vai comer a erva do campo.
010313008a	Você comerá pão pelo suor do seu rosto até voltar ao chão, pois você foi tirado dele. Pois você é pó, e você voltará ao pó”.
0103140048	O homem chamou sua esposa Eve porque ela seria a mãe de todos os vivos.
0103150055	Yahweh Deus fez vestes de peles de animais para Adão e para sua esposa, e as vestiu.
01031600c9	Yahweh Deus disse: “Eis que o homem se tornou como um de nós, conhecendo o bem e o mal”. Agora, para que ele não estenda sua mão, e também tome da árvore da vida, e coma, e viva para sempre...
010317005a	Portanto, Javé Deus o enviou do jardim do Éden, para cultivar o solo do qual foi tomado.
01031800b6	Então ele expulsou o homem; e colocou querubins ao leste do jardim do Éden, e uma espada flamejante que se virou para todos os lados, para guardar o caminho para a árvore da vida.
010401007b	O homem conhecia Eve, sua esposa. Ela concebeu, e deu à luz a Caim, e disse: “Consegui um homem com a ajuda de Javé”.
0104020074	Novamente ela deu à luz, ao irmão de Caim, Abel. Abel era um criador de ovelhas, mas Caim era um lavrador do solo.
0104030050	Com o passar do tempo, Caim trouxe uma oferta a Javé a partir do fruto do solo.
0104040073	Abel também trouxe alguns dos primogênitos de seu rebanho e de sua gordura. Javé respeitava Abel e sua oferenda,
0104050064	mas não respeitava Caim e sua oferenda. Caim ficou muito zangado, e a expressão em seu rosto caiu.
010406005e	Yahweh disse a Caim: “Por que você está com raiva? Por que a expressão de seu rosto caiu?
01040700a7	Se você se sair bem, ela não será levantada? Se você não se sair bem, o pecado se agacha à porta. Seu desejo é para você, mas você deve governar sobre ele”.
0104080088	Caim disse a Abel, seu irmão: “Vamos para o campo”. Enquanto estavam no campo, Caim se levantou contra Abel, seu irmão, e o matou.
0104090074	Yahweh disse a Caim: “Onde está Abel, seu irmão?” Ele disse: “Eu não sei. Sou o guardião do meu irmão”?
01040a005d	Yahweh disse: “O que você fez? A voz do sangue de seu irmão chora para mim desde o chão.
01040b0076	Agora você está amaldiçoado por causa do chão, que abriu sua boca para receber o sangue de seu irmão de sua mão.
01040c0083	De agora em diante, quando você lavrar o chão, ele não lhe dará sua força. Você será um fugitivo e um vagabundo na terra”.
01040d0048	Caim disse a Javé: “Meu castigo é maior do que eu posso suportar”.
01040e00a7	Eis que hoje você me expulsou da superfície do solo. Estarei escondido de seu rosto e serei um fugitivo e um vagabundo na terra”. Quem me encontrar, me matará”.
01040f009d	Yahweh disse-lhe: “Portanto, quem matar Caim, será vingado sete vezes”. Yahweh apontou um sinal para Caim, para que quem o encontrasse não o atingisse.
