2800000007	Matthew
2801010078	OTISU ie'i msInukIn iaianke' pmatse'cuk iukwan Cisus Knayst we'kwIsmukot Te'pItun, ipi Te'pIt we'kwusmukcIn E'pIne'amun;
2801020071	E'pIne'e'm okiwosmukon AysIkIn, ipi AysIk kiwosmukon Ce'kapIn, ipi Ce'kap kiwosmukon CotusIn, ipi niw wikane'iIn;
2801030081	IcI Cotus kiwosmukon Pe'nIsIn, ipi Se'ne', Te'me' cI kao kie'iwat, ipi Pe'nIs kiwosmukon E'snumIn, ipi E'snum kiwosmukon E'numIn,
280104006a	Ipi E'num kiwosmukon E'mInite'pIn, ipi E'mInite'p kiwosmukon Ne'e'sunIn, ipi Ne'e'sun kiwosmukon SanmunIn,
2801050088	Ipi Sanmun kiwosmukon Poe'sIn, niwcI kaokie'icIn Ne'ke'pIn, ipi Poe's kiwosmukon, OpItIn, kaokie'icIn NwtIn ipi OpIt kiwosmukon Ce'siIn;
2801060075	Ipi Ce'si kiwosmukon Te'pItIn kaokumawIt, ipi Te'pIt kaokumawIt kiwosmukon Sanumun; kaokie'cIn kaowiwpninIn Ionaie's;
2801070060	Ipi Sanumun kiwosmukon NopoumIn, ipi Nopoum, kiwosmukon E'pie'In, ipi E'pie' kiwosmukon E'se'In;
2801080064	Ipi E'se' kiwosmukon Cose'pe'tIn, ipi CosIpe't kiwosmukon Cone'mIn, ipi Cone'm kiwosmukon Osaye'sIn:
2801090060	Ipi Osaye's kiwosmukon Cote'mIn ipi Cote'm kiwosmukon E'ke'sIn ipi E'ke's kiwosmukon IsikayusIn;
28010a0068	Ipi Isikayus kiwosmukon Me'ne'se'sIn, ipi Me'ne'se's kiwosmukon E'munIn, ipi E'mun kiwosmukon CosayusIn;
28010b0054	Ipi Cosayus kiwosmukon Ce'koniasIn, ipi wikane'iIn, iwcI ipic e'kimacintwa Pe'pinun;
28010c006a	IcI kapie'ntwa, ipI Pe'pinun Ce'konias kiwosmukon Se'ne'tie'nIn, ipi Se'ne'tie'n kiwosmukon Sonope'pe'nIn:
28010d006e	Ipi Sonope'pe'n kiwosmukon E'ipie'tIn, ipi E'pie't kiwosmukon E'naye'kumIn, ipi E'naye'kum kiwosmukon E'sunIn;
28010e005d	Ipi E'sun kiwosmukon Se'takIn, ipi Se'tak kiwosmukon E'kImIn, ipi E'kIm kiwosmukon InayiatIn;
28010f0067	Ipi Inayiat kiwosmukon Inie'se'nIn, ipi Inie'se' kiwosmukon Me'te'nIn, ipi Me'te'n kiwosmukon Ce'kapIn;
280110005c	Ipi Ce'kap kiwosmukon CosipIn, onape'mIn o Me'ni kanikukocIn Cisus oie'o kashInkanIt Knayst.
2801110127	OtIcI ie'i cak iaianke' pmatsowunIn kaocukwat E'pIne'-e'm nash Te'pIt, Ke'iapI mtatso shItnie'w iaianke' pmatsowunIn, ipi Te'pIt nash kamacintwa Pe'pe'nunuk ke'iapI mtatso shItInie'w iaianke' pmatsowunIn icI pic kamacintwa Pe'pe'nunuk nash Knayst, ke'iapI mtatso shItInie'w iaianke' pmatsowunIn.
28011200a3	OtIcI KanikIt Cisus Knayst otI kanomkuk, ni okie'iIn Me'niIn kakishknontwat ni CosipIn e'pwamshI witike'twat okikukIshkwan pInoce'iIn e'ki ne'nmukot Kshe'mIne'ton.
2801130070	IcI CosipIn onape'mun kimnoshuwe'psin cowi kine'ntusi, e'wipwakuke'ncukasnIt, ntawac kimoc e'wipke'at kine'ntum.
