2800000008	Matáayo
280101006a	Ɨhɨ noo nkʉmbʉkɨra ya marina ya lʉkolo lwa YéesuKirisitʉ, mwaana wa Daúdi, mwaana wa Aburaháamu.
280102006f	Aburaháamu ajáa amʉvyaala Isaka, Isaka akamʉvyaala Yaakúupu, Yaakúupu akamʉvyaala Yʉ́ʉda na vaanaavo,
280103008e	Yʉ́ʉda akamʉvyaala Peréesi na Séera na íyo waavo nɨ Tamáari ajáa. Peréesi akamʉvyaala Hesiróoni, Hesiróoni akamʉvyaala Aráamu,
2801040068	Aráamu akamʉvyaala Aminadáabu, Aminadáabu akamʉvyaala Nashóoni, Nashóoni akamʉvyaala Salimóoni,
280105007e	Salimóoni akamʉvyaala Boáasi, fuma kwa Raháabu. Boáasi akamʉvyaala Obéedi fuma kwa Rúutu, Obéedi akamʉvyaala Yéese,
280106005d	ne Yéese akamʉvyaala mʉtemi Daúdi. Daúdi akamʉvyaala Solomóoni fuma kwa muki wa Uría.
2801070060	Solomóoni akamʉvyaala Rehoboáamu, Rehoboáamu akamʉvyaala Abíya, Abíya akamʉvyaala Áasa,
2801080062	Áasa akamʉvyaala Yehoshofáati, Yehoshofáati akamʉvyaala Yóramu, Yóramu akamʉvyaala Usíia,
2801090059	Usíia akamʉvyaala Yósamu, Yósamu akamʉvyaala Aháasi, Aháasi akamʉvyaala Hesekía,
28010a005b	Hesekía akamʉvyaala Manáase, Manáase akamʉvyaala Amóoni, Amóoni akamʉvyaala Yosía,
28010b0078	Yosía akamʉvyaala Yekonía na vaanaavo, mpɨɨndɨ vaantʉ va Yʉ́ʉda ˆvakasaamiwe na ɨsɨ ya ʉyenii ya Babéeli.
28010c006f	Lʉsaamo lwa Babéeli ˆlʉkalooke, Yekonía akamʉvyaala Searitiéeli, Searitiéeli akamʉvyaala Serubabéeli,
28010d0066	Serubabéeli akamʉvyaala Abiúudi, Abiúudi akamʉvyaala Eliakíimu, Eliakíimu akamʉvyaala Asóori,
28010e005c	Asóori akamʉvyaala Sadóoki, Sadóoki akamʉvyaala Akíimu, Akíimu akamʉvyaala Eliúudi,
28010f0064	Eliúudi akamʉvyaala Elieséeri, Elieséeri akamʉvyaala Matáani, Matáani akamʉvyaala Yaakúupu,
280110006a	Yaakúupu akamʉvyaala Yooséefu, mʉlʉme wa Maríia. Maríia akamʉvyaala Yéesu ˆaánɨrɨrwaa Masía.
280111016c	Jeyyo, kʉjáa kwatɨɨte mbyaala ikimi na ine fuma Aburaháamu fʉʉrʉ mʉtemi Daúdi. Kei, kʉjáa kwatɨɨte mbyaala ikimi na ine fuma mʉtemi Daúdi, fʉʉrʉ lʉsaamo lwa Viisiraéeli kʉtwaalwa na ɨsɨ ya ʉyenii ya Babéeli. Na mbyaala ikimi na ine fuma lʉsaamo lwa Viisiraéeli kʉtwaalwa na ɨsɨ ya ʉyenii ya Babéeli, fʉʉrʉ kʉvyaalwa kwa Masía.
28011200f4	Iji noo mbuwo ja kʉvyaalwa kwa Yéesu Kirisitʉ. Maríia íyo waala Yéesu ajáa atʉmɨrwa nɨ Yooséefu. Maa kaa, mpɨɨndɨ ˆvajáa vakaarɨ sɨ vanalʉmana ja muki na mʉlʉme, Maríia akava mawʉlʉ maruto kwa njɨra ya Mʉtɨma Mʉʉja.
28011300ac	Yooséefu mʉlʉme waachwe baa neembe ajáa nɨ mʉʉntʉ mʉwoloki, sɨ asaakáa kʉmʉkwaatya soni Maríia mbere ja vaantʉ tʉkʉ, akalamʉla kʉmʉreka Maríia kimbiso.
2801140109	Mpɨɨndɨ ˆajáa akaarɨ yookiiririkana ɨrɨ isáare, murimʉ mʉʉja wa Ijʉva ʉkamʉfʉmɨra tulwii, maa ʉkamʉsea, “Yooséefu, mwaana wa Daúdi, koofa kʉmʉsʉmʉla Maríia ave muki waako tʉkʉ, sa uruto ˆatɨɨte nɨ kwa lʉvɨro lwa Mʉtɨma Mʉʉja.
2801150090	Kiichʉngʉla arɨ mwaana mʉlʉme, na mʉkemera ʉrɨ irina raachwe Yéesu, sa yeeye noo ˆarɨ valamurirya vaantʉ vaachwe fuma uvii waavo.”
280116006c	Aya yoosi yafʉ́mɨɨre, sa masáare Ijʉva ˆalʉʉsa kwa njɨra ya mʉláali na mʉtwe waachwe yakiimane,
28011700b4	“Laanga, mʉnjalʉ sʉmʉla arɨ ɨnda, yeeye vyaala arɨ mwaana mʉlʉme, novo mwaanɨrɨra varɨ irina raachwe Emanʉéeli,” noo kʉsea, “Mʉlʉʉngʉ nɨ na suusu arɨ.”
