2800000004	Moti
2801010074	Isá Mosih óilde Dawud or nosól or, aar Dawud óilde Ibrahím or nosól or. Isá Mosihr fissán or foriso endilla:
280102005c	Ibrahím or fua Isahák; Isahák or fua Yakub; Yakub or fua Yohúdah edde yóggwar báiyain.
2801030064	Yohúdahr fua Fares edde Zera, aar ítarar maa accíl Tamar; Fares or fua Hisron; Hisron or fua Ram.
2801040043	Ram or fua Amminadab; Amminadab or fua Nacon; Nacon or fua Sálmon.
2801050070	Sálmon or fua Boaz, yóggwar maa accíl Rahába; Boaz or fua Obed, yóggwar maa accíl Ruút; Obed or fua Jesi.
280106006c	Jesir fua baáñcca Dawud. Dawud or fua Sóloman, yóggwar maa óilde Borcíba, zibá age Uriyar bou accíl.
280107003e	Sóloman or fua Rehobom; Rehobom or fua Abiya; Abiyar fua Asa.
2801080041	Asar fua Jehócafat; Jehócafat or fua Joram; Joram or fua Uziya.
280109003d	Uziyar fua Jotam; Jotam or fua Aház; Aház or fua Hézekiya.
28010a003f	Hézekiyar fua Manasé; Manasér fua Amon; Amon or fua Josíya.
28010b0087	Josíyar fua Jekoníya edde yóggwar báiyain. Ítarar zormo oñtté óoil zeñtté Isráil koum ore bondi banai Babilon dec ot loizar.
28010c0070	Iín óilde ítara re bondi banai Babilon ot loizai baade: Jekoníyar fua Cáltiyel, Cáltiyel or fua Zerubabel.
28010d004a	Zerubabel or fua Abihúd; Abihúd or fua Eliyakím; Eliyakím or fua Azor.
28010e003c	Azor or fua Sádok; Sádok or fua Akim; Akim or fua Elihúd.
28010f0043	Elihúd or fua Eliyazar; Eliyazar or fua Matan; Matan or fua Yakub.
2801100070	Aar Yakub or fua óilde Moriyam or hócom Yusúf. Hé Moriyam ottu Isá zormo óoil, zibá re Mosih bóuli hoó.
28011100d4	Héndilla góri Ibrahím ottu lóti Dawud foijjonto soiddó fissán. Dawud ottu lóti Babilon ot bondit loiza foijjonto soiddó fissán; aar bondi banai Babilon ot loiza ttu lóti Mosih foijjonto soiddó fissán.
28011200b0	Isá Mosihr zormo endilla gori óiye: Íbar maa Moriyam or zuragatá Yusúf lói óoil, montor ítara milmilab goríbar age, Pak-Ruhr kudurute híba hámil óiye de faa giyéh.
28011300af	Híbar hócom Yusúf forhésgar manúc accíl. Yóggwa ttu zettót Moriyam ore maincór muúntu córom díto mone no hoór, híba ttu zuitégori alok óizaytoi niyot goijjíl.
28011400fb	Yóggwa ye híyan báfer de októt, Mabud or ek fírista ye yóggwa re cóppon ot dahá dí hoór de, “Ó Dawud or nosól Yusúf, Moriyam ore biyá goitté no ḍooraiyó, kiyólla-hoilé híbar feṛot ze Fua óiye Íba Pak-Ruhr kudurute óiye deh.
280115008e	Híba ttu éggwa Morotfua óibo, tuñí Íbar nam Isá rakíba, kiyólla-hoilé Íba ye Nizor manúc ókkol ore ítarar guná ttu basaibó.”
280116004f	Híin beggún etollá óiye, zeéne Mabude nobir duara hoóil de yián fura ó,
28011700af	“Soó, ek kuwári mayafua hámil óibo, aar híba ttu éggwa Morotfua óibo, ítara Íbar nam rakíbo de Immanuel,” ziyán or torjuma óilde, ‘Alla añárar fúañti.’
280118009c	Baade Yusúfe gúm ottu uṛí undilla goijjé zendilla gorí bolla Mabud or fírista ye yóggwa re hókum díyl, yóggwa ye Moriyam ore biyá gorífelaiye,
280119007d	montor híba ttu Fua wa zormo nó óiyo foijjonto híba llói milmilab nó goré. Baade yóggwa ye Fua war nam Isá raikkíl.
2802010089	Yohúdiya elakar baáñcca Hérud or hale, Betélhem cóor ot Isá zormo ói baade, fuk mikká ttu hoozzon fonḍit Jerúsalem ot aiccé,
2802020097	aái hoór de, “Yohúdi ókkol or Baáñcca zibá zormo óiye Íba hoṛé? Añára fuk mikká Íbar tara dekí Íba re sóida goittó aiccí deh.”
280203005c	Híyan fúni baáñcca Hérud ferecan óigilgoi, héndilla Jerúsalem or manúc beggún óu.
2802040094	Yóggwa ye ḍoóñr imam ókkol edde alem ókkol beggún ore ekkán ot dolagorí, ítara ttu Mosih hoṛé zormo óibar asé híyan zasai goijjíl.
