0100000014	Англунимос
0101010045	Данглал о Дэл стердя о нэбо тай э пхув.
01010200ba	Э пхув сас бимуестери и шушы, о калимос сас понадэ баря паенца, и о Духо лэ Дэвлэско вурялас понадэ паи.
010103005e	И пхэндя о Дэл: — Мэк авэл о вудуд, — и авиля о вудуд.
0101040070	О Дэл додикхля, со о вудуд драго, и розашадя лэс лэ калимастар.
01010500b1	О Дэл дя алав лэ вудудэсти «о дес», ай лэ калимасти «э рят». Сас вэчеро, и сас тэсара — дес англуно.
010106008e	И пхэндя о Дэл: — Мэк авэл сводо машкара пая, кай тэ розашавэл о паи лэ паестар.
01010700a1	О Дэл стердя о сводо тай розашавдя о паи понадэ сводо лэ паестар тала лэстэ, и ашыля кадя.
010108007e	О Дэл дя алав лэ сводости «нэбо». Сас вэчеро, и сас тэсара — дес дуйто.
01010900ac	И пхэндя о Дэл: — Мэк истидэнпэ екхтанэ э пая понадэ нэбо, тай тэ авэл о шукимос, — и ашыля кадя.
01010a00c1	О Дэл дя алав лэ шукимасти «пхув», ай э паенди, савэ стидэпэ, дя алав «море». И додикхля о Дэл, со када драго.
01010b010c	— Тэ барярэл пэ пхув баряримос: чяря, савэ анэн сымбуря, тай савори порода каштэндери, савэ анэн э плодуря кокалэнца, — пхэндя о Дэл, тай ашыля кадя.
01010c0120	Э пхув барярдя баряримос: савори порода чяряти, савэ анэн сымбуря, тай савори порода каштэндери, савэ анэн э плодуря кокалэнца. И додикхля о Дэл, со када драго.
01010d0042	Сас вэчеро, и сас тэсара — дес трито.
01010e0112	И пхэндя о Дэл: — Мэк авэн вудуда по машкар нэбо, соп тэ розашавэл о дес ла рятятар, и мэк вонэ авэна э знакуря, соп тэ гатярэн э время, э деса тай э бэрша.
01010f0067	Мэк вонэ пхабон по машкар лэ нэбоско, соп тэ дичёл э пхув.
01011000f6	О Дэл стердя дуй барэ вудуда — баро вудуд, соп тэ хулаинас десэ, тай майцыкно вудуд, соп тэ хулаинас рятэ, ай кадя жэ Вов стердя э чергая.
010111006f	О Дэл стходя лэн по сводо лэ нэбоско, кай вонэ тэ дичёл э пхув,
01011200b2	соп тэ хулаинэн десэ и рятэ тай тэ розашавэн о вудуд лэ калимастар. И додикхля о Дэл, со када драго.
0101130044	Сас вэчеро, и сас тэсара — дес штарто.
01011400ac	О Дэл пхэндя: — Мэк жувэл андо паи жундимос, ай понадэ пхув па нэбоско сводо тэ вурян э черэкля.
0101150134	О Дэл стердя барэ паенго жундимарэн тай савори порода ла жундимастери, сави пхэрдо жувэл андо паи, тай саворэ породуря пхакалэн черэклян. И додикхля о Дэл, со када драго.
01011600ff	О Дэл бахталисардя лэн и пхэндя: — Анэн бэятонэн, кай тэ авэл тумэн майбут, кай тэ пхэрдён э барэ пая. Тай пэ пхув мэк авэна майбут э черэклян.
0101170041	Сас вэчеро, сас тэсара — дес панчто.
010118013d	И пхэндя о Дэл: — Тэ виндярэл э пхув пэстар савори порода ла жундимастери: лэ череско скотос, цыкно пхуяко жундимос, тай саворэ породуря лэ вэшэско жундимаско, — и ашыля кадя.
0101190130	О Дэл стердя саворэ породуря лэ вэшэско жундимаско и саворэ породуря лэ череско скотоско, тай саворэ породуря цыкно пхуяко жундимаско. И додикхля о Дэл, со када драго.
01011a0156	Тунче о Дэл пхэндя: — Стерам лэ манушэс — па Амаро образо, сар Амэ — мэк авэл вов хулай пэ барэ паести маще и лэ нэбости черэкля, по черэско ското, пэ ся пхув тай пэ ся цыкно пхуяко жундимос.
01011b00d6	Кадя о Дэл стердя лэ манушэс па Пэско образо, па образо лэ Дэвлэско Вов стердя лэс, лэ муршэс и ла жувля Вов стердя лэн.
01011c018a	О Дэл бахталисардя лэн и пхэндя: — Анэн бэятонэн, кай тэ авэл тумэн майбут, кай тэ пхэрдён ся пхув и авэн раенца пэр латэ. Авэн хулаенца пэ барэ паести маще, и пэ нэбости черэкля, тай пэ ся жундимос, саво пхирэл пай пхув.
01011d010b	Тунче о Дэл пхэндя: — Мэ дав тумэнди саворэ чяря лэ сымбуренца па ся пхув и саворэ кашта, савэ дэн плодуря кокалэнца. Вонэ авэна важ тумэнди хамаса.
01011e014a	Ай саворо жундимос пай ся пхув, и саворэ лэ нэбостерэ черэклянди, тай саворэ цыкно пхуяко жундимос — саворэнди, андэ кастэ пхурдэл о жувимос, — Мэ дав савори чяр тэ хан. И ашыля кадя.
01011f00a8	О Дэл подикхля пэ ся, со Вов стердя, и ся сас фартэ драго. Сас вэчеро, и сас тэсара — дес шовто.
0102010072	Кадя сас стердо о нэбо тай э пхув и ся, со исы тай, со жувэл котэ.
01020200d1	Андо ефтато дес о Дэл стердя э бути, сави Вов терэлас, и андо ефтато дес Вов на терэлас бути, сави терэлас майанглал.
0102030106	О Дэл бахталисардя о ефтато дес и стердя лэс тэ авэл свынто, пала кода кай андэ кадыва дес о Дэл парашыля тэ терэл Пэстери бути, сави Вов терэлас.
01020400bc	Акэ э дума пала о нэбо тай э пхув, кала вонэ сас стердэ. Андо дэс, кала о РАЙ Дэл терэлас о нэбо тай э пхув,
010205011a	пэ пхув тунче инке на сас ни маляко кустарнико, ни маляти чяр. Тунче о РАЙ Дэл на бишалэлас пэ пхув брышынд, и на сас лэ манушэс, соп тэ терэл бути ла пхувяса.
010206005e	Кати э лэн ваздэласпэ андай пхув и тиндярэлас ла ся.
01020700dc	Тунче о РАЙ Дэл стердя лэ манушэс анда ла пхуятери чик и пхурдя лэсти андо нак пхурдимос жувимаско, и ашыля о мануш жундо.
01020800b3	О РАЙ Дэл вибарярдя садо пэ тэсарастери риг, андо Эдэмо, и стходя инчя лэ манушэс, савэс Вов стердя.
010209015b	О РАЙ Дэл вибарярдя андай пхув саворэ кашта, пэ савэ сас драго тэ дикхэс и тэ хас пар лэндэ. По машкар андо садо барёнас о кашт лэ жувимаско тай о кашт, саво дэл тэ ганэл о лашымос и о вырытимос.
01020a00b1	Анда Эдэмо питялас бари лэн, сави тиндярэлас о садо, ай майанглэ вой росжаласпэ пэ штар аврэ лэна.
01020b00a0	Пэрво лэн акхарэласпэ Пишоно: вой питял пай саворэ рига ся пхув Хавила, кай исы о сомнак.
01020c00b3	О сомнак анда кодыя пхув лашо, и инке котэ исы э смола, сави драго кхандэл, тай о кучютно бар шохамо.
01020d0084	Э дуйто лэн акхарэласпэ Гихоно, вой обпитял пай саворэ рига ся пхув Кушо.
01020e00cc	Э трито лэн акхарэласпэ Тигро, вой питял каринг о тэсарастери риг лэ Ашурастар. Ай э штарто лэн — када о Евфрато.
01020f00a7	О РАЙ Дэл стходя лэ манушэс андо Эдэмско садо, кай вов тэ терэл бути андо садо и тэ фирий лэс.
0102100086	О РАЙ Дэл припэндя лэ манушэсти: «Ту ха э плодуря па саворо кашт андо садо,
01021100d8	ай па кашт, саво дэл тэ ганэл о лашымос и о вырытимос, на ха, пала кода со андо дес, кала ту хаса о плодо, ту чячес мэрэса».
01021200ba	О РАЙ Дэл пхэндя: «Найдраго лэ манушэсти тэ авэл екхжэно. Мэ терава лэсти помошникос кацавэс, сар вов».
01021301ae	О РАЙ Дэл стердя андай пхув саворэн ла вэшэстерэн жундимарэн и саворэн лэ нэбостерэн черэклян. Вов андя лэн каринг о мануш, соп тэ дикхэл, сар о мануш дэла лэнди алава. Сар о мануш припхэндя кажнонэсти жундимарэсти о алав, кадя и ашыляпэ.
0102140144	Кадя о мануш дя алава савэрэсти черэско скотости, саворэнди нэбостерэнди черэклянди тай саворэнди вэшонэнди жундимарэнди. Но важ о Адамо на аракхляпэ кацаво помошнико, сар вов.
01021500c3	Тунче о РАЙ Дэл совлярдя лэ манушэс, и кала вов совэлас, виля екх лэско рэбло и пхандадя кода тхан лэ масэса.
010216009a	Анда рэбло, саво Вов виля анда мануш, О РАЙ Дэл стердя ла жувля и андя ла каринг лэстэ.
01021700f3	О мануш пхэндя: — Акэ вой кокало мэрнэ кокалендар и мас мэрнэ масэндар: вой авэла тэ акхарэлпэ «ромни», пала кода кай ла линэ анда ром.
01021800b1	Акэ пала со о мануш ашавэла лэ дадэс и ла да и приашэла кай пэстери ромни, тай э дуй ашэна екх тила.
010219005f	О Адамо и лэсти ромни лэдуй саслэ нангэ и на лажанас.
0103010114	О сап сас майфранто саворэ вэшэнго жундимастар, савэн стердя о РАЙ Дэл. Вов пушля кай э жувли: — Чячес ли пхэндя о Дэл: «На хан ни па саво кашт андо садо»?
0103020088	Э жувли пхэндя лэ сапэсти: — Амэ хас э плодуря саворэн каштэндар андо садо,
01030300b1	но о Дэл пхэндя: «На хан э плодуря па кашт, саво помашкар садо, и на лэнпэ лэндэ, ай со тумэ мэрэна».
0103040057	— Най, тумэ на мэрэна, — пхэндя о сап лэ жувляти.
01030500da	— О Дэл ганэн, со кала тумэ хана лэн, пхэрнадёна тумарэ якха и тумэ ашэна, сар о дэвла, савэ ганэн о лашымос и о вырытимос.
0103060195	Тунче э жувли додикхля, со о плодо лэ каштэско лашо тэ хас и драго тэ дикхэс. О кашт кодыва фартэ чялёлас, пала кода со дэлас годи. Жувли ля екх плодо и халя. Вой дя о плодо лэ ромэсти, саво сас паша латэ, и вов кадя ж лэс похаля.
01030700cd	Пхэрнадилэ э якха лэндэ, и вонэ полинэ, со саслэ нангэ. Тунче судэ инжырни листуря, соп тэ гаравэн пэско нангимос.
