0100000012	Англунимо
0101010049	Май англэ Дэвэл стерда болыбэн тай пхув.
01010200ba	Пхув сля бинисохкири тай шущи, калимо сля упрэ барэн панен, тай Фано Дэвлэхкиро урялас упрал панэстар.
0101030066	Дэвэл пхэнда: — Мэк авэла душлимо. Тай стердапэ душлимо.
010104006e	Дэвэл удыкхля, со душлимо сля мишто, тай вылиля лэ калиматар.
01010500a3	Дэвэл акхарда душлимо «диво», а калимо — «рат». Сля бельвель, тай сля дэнзор — пэрво диво.
0101060091	Тай пхэнда Дэвэл: — Мэк авэла сводо помашкар панэстэ, соб тэ отлэ пани панестар.
01010700a2	Дэвэл стерда сводо тай отлиля пани тала сводо панестар, саво сля понад лэ. Тай ачиля кади.
0101080085	Дэвэл акхарда сводо «болыбэн». Сля бельвель, тай сля дэнзор — дуйто диво.
01010900ae	Дэвэл пхэнда: — Пани тала болыбэн мэк стидэлпэ екхтханэ, тай мэк стерэлапэ суша. Тай ачиля кади.
01010a00b9	Дэвэл акхарда суша «пхув», а пани, саво стидыняпэ екхтханэ, — «море». Тай удыкхля Дэвэл, со када мишто.
01010b010c	— Мэк барярэл пхув всаворэ чяря: чяря, савэ анэн самбуря, тай бут породы ранден пэ пхув, савэ анэн плодуря кокаленца, — пхэнда Дэвэл. Тай ачиля кади.
01010c0108	Пхув барярда бут породы чярен: чяря, дэ савэн исин самбуря, тай бут породы ранден, савэ анэн плодуря кокалицэнца. Тай удыкхля Дэвэл, со када мишто.
01010d004c	Сля бельвель, тай сля дэнзор — трито диво.
01010e0103	Тай пхэнда Дэвэл: — Мэк авэна яга пэ болыбнахкиро сводо, соб отлэ диво ратятар. Мэк вонэ авэна знаконэнца, соб тэ сикавэн вряма, дивэ тай бэрша.
01010f008e	Тай мэк вонэ тэ дэн яг пэ болыбнахкиро сводо, соб тэ душол пхув. Тай ачиля кади.
01011000f7	Дэвэл стерда дуй барэ яга: бари яг, соб тэ авэл хулаеґа дивэсэґа, тай цыкныдэр яг, соб тэ авэл хулаеґа ратяґа, а кади ж Вов стерда черґэня.
0101110082	Дэвэл тховда лэн пэ болыбнахкиро сводо, соб вонэ тэ дэн душлимо пэ пхув,
01011200b5	тэ авэн хулаенца дивэсэґа тай ратяґа и тэ отлэн душлимо калиматар. Тай удыкхля Дэвэл, со када мишто.
010113004e	Сля бельвель, тай сля дэнзор — штарто диво.
01011400ab	Дэвэл пхэнда: — Мэк пхэрдёла пани джювимаґа, тай мэк урян понад пхув дэ сводо болыбэн чирикля.
0101150114	Дэвэл стерда барэн морендирэн жывотнонэн и бут породы джювима, савэ тирёнас дэ пани, тай бут породы чириклен пхакэнца. Тай удыкхля Дэвэл, со када мишто.
0101160104	Дэвэл бахталисарда лэн тай пхэнда: — Мэк тумэндэ авэна чяворэ тай мэк лэн авэла бут, пхэрдён пани дэ море. Тай мэк чириклен авэла будэр пэ пхув.
010117004e	Сля бельвель, тай сля дэнзор — панчто диво.
01011800c7	И пхэнда Дэвэл: — Мэк барярэл пхув бут породы джювима: бут породы барэн тай цыкнэн жывотнонэн. Тай ачиля кади.
01011900b8	Дэвэл стерда бут породы жывотнонэн, барэн тай цыкнэн зверен пэ пхув. Тай удыкхля Дэвэл, со када мишто.
01011a01b7	Тунчи Дэвэл пхэнда: — Стераґа манушэ, Амаро образо, и тэ авэл вов поджило пэ Амэн. Мэк вов тэ авэл хулай понад морендирэн мачен, и чириклен, савэ дэ болыбэн, понад хулаимо, понад всавори пхув тай понад всаворэн жывотнонэн, савэ пхирэн пав пхув.
01011b00d7	Кади Дэвэл стерда манушэ пав образо Пэхкиро, пав образо Дэвлэхкоро Вов стерда лэ, муршэґа тай джювляґа Вов стерда лэн.
01011c01c4	Дэвэл бахталисарда лэн и пхэнда: — Мэк тумэндэ авэна чяворэ тай мэк лэн авэла бут. Пхэрдён пхув и заачявэн ла тэ тирэ бути важ тумэн. Авэн хулаенца понад мачен, савэ дэ морё, и чириклен, савэ дэ болыбэн, тай понад всаворя джювима, сави пхирэл пав пхув.
01011d0118	Тунчи Дэвэл пхэнда: — Мэ дав тумэнди всаворэ чяря самбуренца пав всавори пхув тай всаворэ рандя, савэ дэн плодуря кокалицэнца. Вонэ авэна тумэнди хамаґа.
01011e0172	Тай всаворэнди джювима пав пхув, и всаворэнди чирикленди дэ болыбэн, тай всаворэнди жывотнонэн, савэ пхирэн пав пхув, — всаворэнди, дэ кастэ пхурдэл джювимо, Мэ дав дэ хама всавори зэлэнь. Тай ачиля кади.
01011f00bb	Дэвэл подыкхля пэ вса, со Вов стерда, тай вса сля фартэ мишто. Сля бельвель, тай сля дэнзор — шовто диво.
0102010066	Кади сля стердо болыбэн тай пхув тай вса, со джювэл котэ.
