2a00000004	Luka
2a01010068	Ka kum šćijec mulc su apukat să skriji događajur šje Dimizov u obečalit a su dogodulit ăntri noj.
2a01020071	Orikic as re svedoci dăm kap dă šje ur skris šje ur văzut šă šje svite Isus, jej ăs slugurlje alu vorba.
2a01030062	Aša šă ju mam ăngănđit dăm elši pă rănd să skruv kutotu păntru činji, glavni Teofile.
2a01040081	Aša să fij siguran šă să poc arăta šă să spuj dă ănkriđală dă vorbilje dă šje u fost ănvăcat kă ăj aje anume.
2a010500c5	Ăm zăljiljelje kănd kralj Herod vladale ăm Judeja, are unu popă šje să čima Zaharija dăm svečenički rodu alu Abiji, šă mujere aluj isto are dăm pleme alu Aron. Je să čima Elizabeta.
2a01060086	Amăndoj ăs re ăm oči alu Dimizov făr dă duvină, pravedni kă jej cănje toći zapovjedurlje šă pravilurlje alu Domnu anostru.
2a01070067	Jej asre făr dă kupij, daje kă Elizabeta nu puće să ajvi kupij, šă amăndoj asre tari bătărnj.
2a0108006e	Kănd una ză, Zaharija služule ka popa alu Dimizov ăm Hram, u vinjit vreme pă grupa aluj să služulaskă.
2a01090073	Dă pă običaju ăntri pop lu izabralit ku kockă să mergă ăm svetište alu Domnu să prinusulaskă miomirosur.
2a010a0054	Šă ăntreg narodu aščipta afară ăm udvar šă să aruga ăm vreme dă mirosur.
2a010b007f	Atunšje anđalu alu Domnu su năstămit ăm Hram alu Zahariji dădănenći pă desna parći dă žrtvenik hunđi are miomiris.
2a010c003d	Zaharija kănd u văzut pă anđal tari su ănfrikušatăsă.
2a010d008b	Daje anđalu ju zăs: “Nuči sprije, Zaharija! Arugală ata u fost auzătă. Mujere ata Elizabeta u ave fišjor, šă tu vi da numi Ivan.
2a010e004b	Vi ave fălušăje šă slavlje šă mulc sur ăm făluša la fătala aluj.
2a010f008d	Kă jăl anume u fi mari ăm oči lu Domnu anostru. Vin šă tari butură no be. Mar ăm injima alu mumăsa jăl u fi umpljet ku Duhu Svănt.
2a01100066	Mulc fišjori kari ăs Izraelci sur ăntoršji dă rănd dă la jăl ăm napoj la Domnu Dimizovu alor.
2a01110120	Jăl u meržji ăm nenće alu Domnu ka vjesniku ăm duhu šă ăm pučere alu Ilija kari are dă kănva prorok să pomirilaskă pă kupiji ku tatusurlje, să ăntorkă pă eje kari ăs nevjerni să apušji mudrost dă la heje kari ăs pravednă, să pripremalaskă narod păntru Domnu.”
2a011200c0	Ali u zăs Zaharija alu anđalu Gabrijel kari stăće ăm nenče alu Dimizov: “Dă pă šje uj šči kă aje ăj anume? Tu vejs kă mes aku om bătărn šă băšăca ame ăj isto ăm aj.”
2a011300ad	Anđalu ju ăntors vorba: “Numilje amnjov ăj Gabrijel šă ju mes ku Dimizov să askultă šje mu spunji, aša mes mănat să svitesk ku činji šă săc aduk Hir fălos.
2a011400c5	Punji mă ureći, kănd mar nu maj ănkrizut dă vorbasta šje cam spusu, tu njimika nu vi puće sviti păn šje no su dogoduli asta šje cam spus. Vorbilje šje cam spus ur fi ăm pravă vremi.”
2a0115005b	Lume aščipta afară pă Zaharija, šă să čudule šje fašji atita dobă ăm svetište.
2a011600c5	Kănd u vinjit afară nu puće să svitaskă. Jăl svite ăm znakovur šă nu puće să svitaskă njimika păn šje nu ju su ave kupilu. Šă atunšje ur prišjepi kă u avut vizijă ăm svetište.
2a0117004f	Kănd u završălit vreme dă služba aluj ăm Hram, Zaharija u fužjit akasă.
2a01180078	Atunšje maj dă pă zăljilje băšăca aluj u rămas gărjonă, šă nu jăšă afară šinšj lunj. Elizabeta u zăs:
2a01190084	“Domnu ăj ala kari u făkut asta aku: Dimizov su ujtat pă minji ku milă šă u lot ăndărăt rušănje dăm oči alu ominj.”
2a011a0093	Šasă lunj dă kănd Elizabeta are gărjonă, Dimizov u mănat pă anđalu aluj păšći Gabrijel ăm varuš ăm Galileja kari să čamă Nazaret.
2a011b0072	Jăl u vinjit la fată ăm păr kă su zaručulit ku Josip kari are potomku alu Kralju David. Je să čima Marija.
2a011c0091	Gabrijel u vinjit šă u zăs: “Ănfălušešćići tu kari ješć izabralită! Domnu ăj ku činji! Blagoslovulită ješć tu ăntri mujer!”
2a011d0069	Marija are uznemirenă dă pozdravu aluj šă je u ănšjirkat să să ăngănđaskă šje značalešći.
2a011e0050	Anđalu ju zăs alji: “Nuc fijă frikă, Marija! Tu aj aflat la Dimizov milă.
2a011f0053	Punji ureći, vi rămănje gărjonă, vi făta fišjoru šă tu ji punji numi Isus!
2a01200097	Jăl u fi mari, šă u fi čimat Fišjoru lu Hăl Maj Mari! Šă Domnu Dimizov ju da autoritet să vladalaskă ka kralju ka kum ăj predaku aluj David.
2a0121005d	Šă jăl u vladalit ăm familija lu Jakov dă erikeš, šă kraljevstva aluj nu ave kraj!”
2a0122005a	Marija u ăntribat atunšje pă anđal: “Kum poći asta fi kă ju mes fată ăm păr!”
2a012300cf	Anđalu ju ăntors vorba: “Duhu Svănt u vinji pă činji, šă pučere dă Hăl Maj Mari ću astupa ku umbră. Dăm ala rănd Kupilu Svănt šje u fi fătat dă la činji u fi čimat Fišjoru alu Dimizov.
2a012400aa	Punji ureči: Rođakinja asta Elizabeta ăj bătărnă šă isto u ave fišjor, kă je nu puće să ajvi majmult, ali aku ăj mar ăm šasă lunj dă kănd ăj gărjonă.
2a01250029	Kă njimika nuj nemoguće alu Dimizov!”
2a0126009b	Atunšje u zăs Marija: “Da ju mă ligizesk ku asta să fjuv ropkinja alu Domnu. Lasă fijă aša kum tu zăšj.” Atunšje anđalu u fužjit dă la je.
2a01270075	Dovă tri zălji dă pă aje Marija su gătat šă u mers pă kalji, je su ăngribit ăm unu sat ăm Judeja pă đal.
2a01280053	Akulo are kasa lu Zaharija. Je u tunat ăm nontru šă su pozdravalit ku Elizabeta.
2a01290090	Kum u auzăt Elizabeta pozdravu lu Marija u sămcăt pă kupilu alji kum tari su miškat ăm injimă, šă Elizabeta are pljină ku Duhu Svănt.
2a012a007d	Elizabeta tari u mužjit lu Marija: “Maj tari ješć blagoslovulită tu ăntri mujer, šă blagoslovulită ăj kupilu atov!
2a012b0051	Adišje mes aša bitnă, kă tu mama lu Domnu amnjov vinji să mă posjetilaskă?
2a012c0070	Kă dăm momentu šje am auzăt pozdravalala ata, kupilu amnjov tari su miškat dă fălušăjă ăm injima ame!
2a012d0052	Blagoslovljenă daje kă tu aj ănkrizut kă šje Domnu cu igirit sigurno u fi!”
2a012e0048	Atunšje Marija u zăs: “Duša ame ăl slavalešći pă maj mari Domn,
2a012f0044	šă duhu amnjov să ănfălušešći ăm Dimizov Spasitelju amnjov,
2a0130007c	daje kă jăl su ujtat ku milă pă minji pă poniznă ropkinja aluj, aku toći generacijurlje mur čimamă blagoslovljenă,
2a01310058	daje kă svemogući Dimizov u făkut mari djelur ku minji, šă numilje aluj ăj svănt.
2a01320056	Pălăngă totă sămănca, Dimizov ăj milos pălăngă eje kari ăl poštivalešći.
2a0133009c	Ku mănă aluj jăl u făkut pučernjišji lukrur. Jăl u arunkat afară pă eje kari asre ponosnă ăm sufljičilje alor šă pă eje kari asre umišljeni.
2a01340066	Pă heje bălour vladar lju vărlji dă pă prijestolje, a pă heje kari ăs ponizni lju riđikatulji.
2a0135005a	U rănjit pă flămănž ku mănkari bună, a pă găzdašji lju măna ku mănjilje golji.
2a01360047	Jăl u ažutat pă Izrael sluga aluj su ăngănđitusă dă milă aluj,
2a0137008b	ka kum u obečalit alu preci anoštri dă kănva să fijă pljinj dă milă pălăngă Abraham šă pălăngă potomku aluj dă erikeš.”
2a01380046	Marija u rămas ku Elizabeta tri lunj atunšje su ăntorsăsă akasă.
2a01390047	Kănd u vinjit vreme alu Elizabeti să ajvi kupil, je u fătat fišjor.
2a013a0081	Šă kănd ur auzăt susjedi šă njamu kă Domnu are bun pălăngă je, jej ur vinjit una la je šă să ăm făluše ku je una.
2a013b0096	Kupilu trăbuje să fijă obrezalit pă optă (8) zuva, šă kănd or vinjit una să fakă asta, jej gănđe să ăj đe numi Zaharija dă pă tatusu.
2a013c003e	Mumăsa u odbijilit šă u zăs: “Nu, jăl su čima Ivan.”
2a013d004c	Ali jej ur zăs: “Njime dăm njamuc nu u fost čimat dă pă numiljala!”
2a013e0047	Šă aša jej ăntriba ku znakur pă tatusu alu kupilula, kum su čima.
2a013f0063	Zaharija u šjirut pločică dă skris šă u skris: “Ivan ăj numilje aluj!” Toc asre ămirac.
2a01400078	Šă dăm ala šas Dimizov u dăsvăkut gura alu Zaharija šă poći să svitaskă. Šă jăl dăđe slavă alu Dimizov!
2a01410073	Atunšje frika u vinjit pă tot susjedu šă ăm totă parće dă Judeja păm đalur šă spunje šje su dogodulit.
2a0142008e	Toc kari ur auzăt dă aje cănje ăm firi šă să ăngănđe: “Šje u fi dăm ala kupil? Anume măna alu Domnuluj are ku kupilula Ivan.”
2a01430057	Zaharija, tatusu alu Ivan are pljin dă Duhu Svănt, atunšje prorokovale šă zăšje:
2a0144005f	“Slava alu Domnu Dimizov alu Izrael, Kă jăl u vinjit šă să otkupilaskă pă narodu aluj!
2a01450061	Jăl u răđikat păntru noj pă spasitelju silni! Dăm potomstva lu sluga amnjov la kralj David.
2a01460044	Asta nju fost spus dăm gurălje dă proroci aluj svănc dă kănva:
