2a00000004	Luka
2a01010187	Poštovani Teofile, kašă kum šti, mulc lumje adat tot dăla jej s skrije izvješće d stvarurj karje Dimizov afukut ăn vrijamja anuastră, baš kašă kum skrije ăn Svăntă pismă. Askris aja če nuavă azăs ălja karje avizut stvarurlja d ănčipjală š karje rubja Bună vorbă. Š jo pažljivo amproučit aštja tuatje događajurlje. Jo agăndit k arfi binje tot s skriuv p rănd,
2a01040037	aša osă fi siguran k aja če jej ta ănvăcat istina.
2a010500de	Kănd caru Herod avladit p Judeja, afost njeki pop karje s kjamă Zaharija. Jel pripadnja alu skupinej d popje karje s kima skupina alu Abije. Mujarja alu Zaharije afost isto dăn familija alu popilor. Ja s kima Elizabeta.
2a01060067	Amiždoj irja pravedni la Dimizov š uvjek askulta tot aja če Domnu azapovidit ăn zakonu alu Mojsije.
2a01070052	Ali na vut kupil daja če Elizabeta afost štjarpă, a amiždoj irja mult bătrnj.
2a01080042	Udată, Zaharija š popilje ăn skupina aluj služaštje ăn Hram.
2a010900cf	Običaju alu popilor afost s arunče kocka tuată zuva kum akuljiđja činje osă utrje ăn Svetište alu Domnuluj ăn Hram š činje osă apringă tămăja. Una zuvă akuljes p Zaharija s apringă tămăja.
2a010a003b	D vrijamjaja mult lumje s ruga ăn dvorištja alu Hramuluj.
2a010b006c	Atunča alu Zaharija sa ukazăt anđelu alu Domnuluj. Astat p partja alu dăraptej la žrtveniku d tămăja.
2a010c0035	Kănd Zaharija avizut p anđelu, jel mult sa spirjat.
2a010d008a	A anđelu ja zăs: “Na vja frikă, Zaharija! Dimizov auzăt rugala ata: Elizabeta, mujarja ata, osă c fakă bijat. Š osă l kjem Ivan.
2a010e0050	Osă c fije drag š t veselješt š mulcă osă s radujaskă kănd s fičja jel.
2a010f00ad	Kupilu alu vostru osă fije marje la intja alu Domnuluj. Jel nusă bja nič vin nič altje bjarje ljutje. Osă fije pljin d Sufljetu alu Svăntuluj još kănd fi ăn burtă.
2a01100040	Jel osă okrinjaskă p multje Izraelcurj la Domnu, Dimizov alor.
2a0111010e	Isti sufljet karje ja dat snagă alu Ilije osă fije ăn bijatu alu tov s pripimaskă p narodu d vinjala alu Domnuluj. Osă okrinjaskă inimilje alu tatilje kătri kupi š nagovorjaskă p ălja karje nu skultă p Dimizov s primjaskă mudrost alu ălja karje askultă.”
2a01120073	Zaharija azăs alu anđeluj: “Kum s štiuv k s dogodjaštje aja? Š jo š mujarja amja ištjem već bătărnj.”
2a0113008a	P aja anđelu ja zăs: “Jo sănt Gabrijel. Amvinjit dăla prijestolje alu Dimizov. P minje atrimjes la tinje s c aduk asta bună vorbă.
2a011400bc	Jakă, da akuma osă rămăj mut š nusă poc s rubještj tot pănla zuvaja pănd s nu dogodja aja, daja če naj krizut ăn vorbilje alji mjalje, karje osă ispunjaskă d vrijamje alor.”
2a01150060	Ăn vrijamjaja narodu aštiptat p Zaharija š na razumit dăče atăta sa zabuvit ăn Svetište.
2a011600af	Kănd jel napokon aišăt, na putut nimik s lji zăkă š s lja udă. Kănd lumja avizut aja, š znakurlje karje lja dat ku mănilje, ashvatit k jel avut vizije ăn Svetište.
2a01170055	Kănd azavršăt zuvilje alu Zaharija s lukrjază kašă popa ăn Hram, sa tors akas.
2a0118006e	Dăpă duavă trje zălje, mujarja aluj Elizabeta arămas grja, š činč lunj na išăt dăn kasă. Ja azăs:
2a01190075	“Aša Domnu sa pobrinit d minje š askinit rušunja dăpă minje la intja alu lumje daja če na putut s am kupi.”
2a011a006f	Kănd Elizabeta irja grja šasă lunj, Dimizov atrimjes p anđelu Gabrijel ăn sat Nazaret ăn regija Galileja,
2a011b007b	la djevică karje zaručită dăpă om karje s kjamă Josip. Jel irja d sămăncă alu caru David, a djevica s kima Marija.
2a011c0052	Gabrijel avinjit š azăs alu je: “Zdravo! Domnu ku tinje. Dimizov ta kuljes!”
2a011d0051	P aja Marija sa uznemirit š na razumit če anđelu avrut s zăkă ku pozdravula.
2a011e004e	Anđelu azăs: “Na vja frikă, Marija. Tu ješt aja p karje Dimizov akuljes!
2a011f0041	Jakă osă fi grja š osă fač fičor p karje osă l kjem Isusu.
