010000000a	Бытие
010101003f	В начале сотворил Бог небо и землю.
0101020092	Земля же была безвидна и пуста, и тьма над бездною, и Дух Божий носился над водою.
0101030047	И сказал Бог: да будет свет. И стал свет.
0101040069	И увидел Бог свет, что он хорош, и отделил Бог свет от тьмы.
0101050080	И назвал Бог свет днем, а тьму ночью. И был вечер, и было утро: день один.
010106009b	И сказал Бог: да будет твердь посреди воды, и да отделяет она воду от воды. И стало так.
01010700b1	И создал Бог твердь, и отделил воду, которая под твердью, от воды, которая над твердью. И стало так.
01010800a6	И назвал Бог твердь небом. И увидел Бог, что это хорошо. И был вечер, и было утро: день второй.
010109010d	И сказал Бог: да соберется вода, которая под небом, в одно место, и да явится суша. И стало так. И собралась вода под небом в свои места, и явилась суша.
01010a0097	И назвал Бог сушу землею, а собрание вод назвал морями. И увидел Бог, что это хорошо.
01010b0142	И сказал Бог: да произрастит земля зелень, траву, сеющую семя по роду и по подобию ее, и дерево плодовитое, приносящее по роду своему плод, в котором семя его на земле. И стало так.
01010c013c	И произвела земля зелень, траву, сеющую семя по роду и по подобию ее, и дерево плодовитое, приносящее плод, в котором семя его по роду его на земле. И увидел Бог, что это хорошо.
01010d0042	И был вечер, и было утро: день третий.
01010e00fa	И сказал Бог: да будут светила на тверди небесной для освещения земли и для отделения дня от ночи, и для знамений, и времен, и дней, и годов;
01010f0099	и да будут они светильниками на тверди небесной, чтобы светить на землю. И стало так.
01011000dc	И создал Бог два светила великие: светило большее, для управления днем, и светило меньшее, для управления ночью, и звезды;
010111006e	и поставил их Бог на тверди небесной, чтобы светить на землю,
010112008d	и управлять днем и ночью, и отделять свет от тьмы. И увидел Бог, что это хорошо.
0101130048	И был вечер, и было утро: день четвертый.
01011400de	И сказал Бог: да произведет вода пресмыкающихся, душу живую; и птицы да полетят над землею, по тверди небесной. И стало так.
010115012c	И сотворил Бог рыб больших и всякую душу животных пресмыкающихся, которых произвела вода, по роду их, и всякую птицу пернатую по роду ее. И увидел Бог, что это хорошо.
01011600d3	И благословил их Бог, говоря: плодитесь и размножайтесь, и наполняйте воды в морях, и птицы да размножаются на земле.
0101170040	И был вечер, и было утро: день пятый.
01011800c8	И сказал Бог: да произведет земля душу живую по роду ее, скотов, и гадов, и зверей земных по роду их. И стало так.
01011900d2	И создал Бог зверей земных по роду их, и скот по роду его, и всех гадов земных по роду их. И увидел Бог, что это хорошо.
01011a01a0	И сказал Бог: сотворим человека по образу Нашему и по подобию Нашему, и да владычествуют они над рыбами морскими, и над птицами небесными, и над зверями, и над скотом, и над всею землею, и над всеми гадами, пресмыкающимися по земле.
01011b00b9	И сотворил Бог человека по образу Своему, по образу Божию сотворил его; мужчину и женщину сотворил их.
01011c01de	И благословил их Бог, и сказал им Бог: плодитесь и размножайтесь, и наполняйте землю, и обладайте ею, и владычествуйте над рыбами морскими и над зверями, и над птицами небесными, и над всяким скотом, и над всею землею, и над всяким животным, пресмыкающимся по земле.
01011d011c	И сказал Бог: вот, Я дал вам всякую траву, сеющую семя, какая есть на всей земле, и всякое дерево, у которого плод древесный, сеющий семя; - вам сие будет в пищу;
01011e0114	а всем зверям земным, и всем птицам небесным, и всякому гаду, пресмыкающемуся по земле, в котором душа живая, дал Я всю зелень травную в пищу. И стало так.
01011f00a1	И увидел Бог все, что Он создал, и вот, хорошо весьма. И был вечер, и было утро: день шестой.
0102010051	Так совершены небо и земля и все воинство их.
01020200cd	И совершил Бог к седьмому дню дела Свои, которые Он делал, и почил в день седьмый от всех дел Своих, которые делал.
01020300c8	И благословил Бог седьмой день, и освятил его, ибо в оный почил от всех дел Своих, которые Бог творил и созидал.
01020400b5	Вот происхождение неба и земли, при сотворении их, в то время, когда Господь Бог создал землю и небо,
0102050156	и всякий полевой кустарник, которого еще не было на земле, и всякую полевую траву, которая еще не росла, ибо Господь Бог не посылал дождя на землю, и не было человека для возделывания земли,
010206005a	но пар поднимался с земли и орошал все лице земли.
01020700c6	И создал Господь Бог человека из праха земного, и вдунул в лице его дыхание жизни, и стал человек душею живою.
010208009d	И насадил Господь Бог рай в Едеме на востоке, и поместил там человека, которого создал.
0102090103	И произрастил Господь Бог из земли всякое дерево, приятное на вид и хорошее для пищи, и дерево жизни посреди рая, и дерево познания добра и зла.
01020a008a	Из Едема выходила река для орошения рая; и потом разделялась на четыре реки.
01020b0070	Имя одной Фисон: она обтекает всю землю Хавила, ту, где золото;
01020c0061	и золото той земли хорошее; там бдолах и камень оникс.
01020d0065	Имя второй реки Гихон (Геон): она обтекает всю землю Куш.
01020e009c	Имя третьей реки Хиддекель (Тигр): она протекает пред Ассириею. Четвертая река Евфрат.
01020f00cc	И взял Господь Бог человека, которого создал, и поселил его в саду Едемском, чтобы возделывать его и хранить его.
0102100094	И заповедал Господь Бог человеку, говоря: от всякого дерева в саду ты будешь есть,
01021100bb	а от дерева познания добра и зла не ешь от него, ибо в день, в который ты вкусишь от него, смертью умрешь.
01021200b5	И сказал Господь Бог: не хорошо быть человеку одному; сотворим ему помощника, соответственного ему.
0102130162	Господь Бог образовал из земли всех животных полевых и всех птиц небесных, и привел их к человеку, чтобы видеть, как он назовет их, и чтобы, как наречет человек всякую душу живую, так и было имя ей.
01021400e7	И нарек человек имена всем скотам и птицам небесным и всем зверям полевым; но для человека не нашлось помощника, подобного ему.
01021500c8	И навел Господь Бог на человека крепкий сон; и, когда он уснул, взял одно из ребер его, и закрыл то место плотию.
010216008e	И создал Господь Бог из ребра, взятого у человека, жену, и привел ее к человеку.
01021700dd	И сказал человек: вот, это кость от костей моих и плоть от плоти моей; она будет называться женою, ибо взята от мужа своего.
01021800af	Потому оставит человек отца своего и мать свою и прилепится к жене своей; и будут два одна плоть.
0102190055	И были оба наги, Адам и жена его, и не стыдились.
0103010102	Змей был хитрее всех зверей полевых, которых создал Господь Бог. И сказал змей жене: подлинно ли сказал Бог: не ешьте ни от какого дерева в раю?
0103020057	И сказала жена змею: плоды с дерев мы можем есть,
01030300c6	только плодов дерева, которое среди рая, сказал Бог, не ешьте их и не прикасайтесь к ним, чтобы вам не умереть.
010304003d	И сказал змей жене: нет, не умрете,
01030500cb	но знает Бог, что в день, в который вы вкусите их, откроются глаза ваши, и вы будете, как боги, знающие добро и зло.
010306012a	И увидела жена, что дерево хорошо для пищи, и что оно приятно для глаз и вожделенно, потому что дает знание; и взяла плодов его и ела; и дала также мужу своему, и он ел.
01030700bd	И открылись глаза у них обоих, и узнали они, что наги, и сшили смоковные листья, и сделали себе опоясания.
01030800f5	И услышали голос Господа Бога, ходящего в раю во время прохлады дня; и скрылся Адам и жена его от лица Господа Бога между деревьями рая.
0103090064	И воззвал Господь Бог к Адаму и сказал ему: Адам, где ты?
01030a0088	Он сказал: голос Твой я услышал в раю, и убоялся, потому что я наг, и скрылся.
01030b00ab	И сказал Бог: кто сказал тебе, что ты наг? не ел ли ты от дерева, с которого Я запретил тебе есть?
01030c0079	Адам сказал: жена, которую Ты мне дал, она дала мне от дерева, и я ел.
01030d009f	И сказал Господь Бог жене: что ты это сделала? Жена сказала: змей обольстил меня, и я ела.
01030e0151	И сказал Господь Бог змею: за то, что ты сделал это, проклят ты пред всеми скотами и пред всеми зверями полевыми; ты будешь ходить на чреве твоем, и будешь есть прах во все дни жизни твоей;
01030f010a	и вражду положу между тобою и между женою, и между семенем твоим и между семенем ее; оно будет поражать тебя в голову, а ты будешь жалить его в пяту.
0103100124	Жене сказал: умножая умножу скорбь твою в беременности твоей; в болезни будешь рождать детей; и к мужу твоему влечение твое, и он будет господствовать над тобою.
010311016f	Адаму же сказал: за то, что ты послушал голоса жены твоей и ел от дерева, о котором Я заповедал тебе, сказав: не ешь от него, проклята земля за тебя; со скорбью будешь питаться от нее во все дни жизни твоей;
0103120082	терния и волчцы произрастит она тебе; и будешь питаться полевою травою;
01031300dc	в поте лица твоего будешь есть хлеб, доколе не возвратишься в землю, из которой ты взят, ибо прах ты и в прах возвратишься.
