2800000007	Mathayo
280101004c	Ishitabu ishashikholo isha Yesu Klisiti umwana wa Daudi, umwana wa Ibrahimu.
280102006b	U Ibrahimu ahali yise wa Isaka, Uisaka ahali yise wa Yakobo, u Yakobo ahali yise wa Yuda na bhaholo bhakwe.
2801030061	U Yuda ahali yise wa Peresi nu Sera hwa Tamari, Peresi yise wa Hezeroni, u Hezeroni yise wa Ramu.
280104005d	U Ramu ahali yise wa Aminadabu, u Aminadabu ahali yise wa Nshoni, u Nashoni yise wa Salimoni.
2801050060	U Salimoni ahali yise wa Boazi hwa Rahabu, u Boazi yise wa Obedi hwa Ruth, U Obedi yise wa Yese,
2801060056	u Yese ahali yise wa mfalume u Daudi. U Daudi ahali yise wa Sulemani hwa nshi wa Uria.
2801070052	Usulemani ahali yise wa Rehoboamu, u Rehoboamu yise wa Abiya, u Abiya yise wa Asa.
2801080055	U Asa ahali yise wa Yehoshafati, u Yehoshafati yise wa Yoramu, u Yoramu yise wa Uzia.
280109004f	U Uzia ahali yise wa Yothamu, u Yothamu yise wa Ahazi, u Ahazi yise wa Hezekia.
28010a004d	U Hezekia ahali yise wa Manase, u Manase yise wa Amoni u Amoni yise wa Yosia.
28010b004c	U Yosia ahali yise wa Yekonia na kaka bhakwe lwebhahegwaga abhale hu Babeli.
28010c006d	Baada ya hwegwe abhale hu Babeli, u Yekonia ahali yise wa Shatieli, u Shatieli ahali mwizukulu wa Zerubabeli.
28010d0057	u Zerubabeli ahali yise wa Abiudi, u Abiudi yise wa Eliakimu, u Eliakimu yise wa Azori.
28010e004c	U Azori ahali yise wa Zadoki, u Zadoki yise wa Akimu u Akimu yise wa Eliudi.
28010f004f	U Eliudi ahali yise wa Elieza, u Elieza yise wa Matani u Matani yise wa Yakobo.
2801100060	U Yakobo ahali yise wa Yusufu unume wa Mariamu, yehwamwene u Yesu ahapapwilwe, yahwitwa Klisiti.
