0100000007	Genesis
0101010031	Fɔlɔfɔlɔ, Alla ka sankolo dan ka duukolo dan,
01010200ae	kɔni duu rabɛnni tɛrɛ tɛ waati wo rɔ. Fen fen tɛrɛ sa a kan. Ji dunba le tɛrɛ a yɔrɔ bɛɛ rɔ, a ni dibi. Alla la Nii tɛrɛ ye taa ni sɛ kɛla ji kunna san ma.
0101030032	Alla ka a fɔ ko: «Kɛnɛ ye bɔ!» Kɛnɛ bɔra.
0101040046	Alla ka a yen ko kɛnɛ ka ɲi. A ka kɛnɛ ni dibi fara i ɲɔɔn na.
0101050069	A ka kɛnɛ tɔɔ la ko tele, ka dibi tɔɔ la ko su. Nba, su kora ka kɛnɛ bɔ. Wo kɛra lon fɔlɔ ri.
0101060049	Alla kumara ikɔ ko: «Dan ye kɛ jiilu tɛma, ka ii fara i ɲɔɔn na.»
010107009d	Wo kɛra. Ji mɛn tɛrɛ san ma, a ni mɛn tɛrɛ duu ma, a ka woilu fara i ɲɔɔn na, ka kɛnɛgbɛ ladan ii tɛma. Alla ka a fɔ ɲa mɛn ma, a kɛra ten.
0101080054	A ka kɛnɛgbɛ tɔɔ la ko san. Nba, su kora ka kɛnɛ bɔ. Wo kɛra lon filana ri.
010109009e	Alla kumara ikɔ ko: «Ji mɛn ye san kɔrɔ, wo bɛɛ ye ladɛn yɔrɔ kelen dɔ, kosa gbelemala ye bɔ gbɛ ma.» A ka a fɔ ɲa mɛn ma, a kɛra wo ɲa ma.
01010a0063	A ka gbelemala wo tɔɔ la ko duu, ka ji ladɛnnin tɔɔ la ko kɔɔji. Alla ka a yen ko wo ka ɲi.
01010b00d5	Nba, a ka a fɔ ko: «Binilu ni sumanilu ye fɛrɛn duu kan ka ii kisɛilu labɔ ka kɛ si ri. Jiri denta su bɛɛ fanan ye bɔ, mɛn ye kisɛ ni kolo kɛla ii den dɔ.» Alla ka a fɔ ɲa mɛn ma, a kɛra wo ɲa.
01010c0094	Duu ka bin su bɛɛ labɔ, mɛn ye kisɛ kɛla. Jiri denta su bɛɛ fanan bɔra, mɛn ye kisɛ ni kolo kɛla ii den dɔ. Alla ka a yen ko wo ka ɲi.
01010d0033	Nba, su kora ka kɛnɛ bɔ. Wo kɛra lon sawana ri.
01010e0090	Alla kumara ikɔ ko: «Kɛnɛbɔlan ye bɔ san dɔ, ka tele ni su fara i ɲɔɔn na. Woilu ye sali lonilu yiraka, a ni lon damira ni san damira.
01010f0058	Woilu ye kɛ san dɔ, ka kɛnɛ labɔ duu kan.» Alla ka a fɔ ɲa mɛn ma, a kɛra ten.
01011000c3	Alla ka kɛnɛbɔlan belebele fila rabɛn, tele ni karo. Woilu rɔ bonba ba, tele kɔnin, Alla ka wo lasii lon kun na. Mɛn dɔɔman, karo kɔnin, a ka wo lasii su kun na. A ka loloilu fanan dan.
0101110045	A ka kɛnɛbɔlan woilu kɛ san dɔ, kosa ii ri kɛnɛ labɔ duu kan.
0101120061	A ka ii lasii tele ni su kun na, ka kɛnɛ ni dibi fara i ɲɔɔn na. Alla ka a yen ko wo ka ɲi.
0101130035	Nba, su kora ka kɛnɛ bɔ. Wo kɛra lon naaninna ri.
0101140068	Alla kumara ikɔ ko: «Niimafen ye kɛ ji rɔ ka siyaya kosɛbɛ. Kɔnɔilu ye ii gban san ni duu tɛ.»
01011500c5	A ka ji rɔ niimafen masilani belebelebailu dan, a ni ji rɔ niimafen tɔ bɛɛ. Fen woilu bɛɛ kɛra ji rɔ ka siyaya, a bɛɛ ni a su. A ka kɔnɔ su bɛɛ fanan dan. Alla ka a yen ko wo ka ɲi.
01011600a0	A kumara ka baraka don ii rɔ. A ka a fɔ ko: «Ai ye jiri ka siyaya kɔɔji fan bɛɛ rɔ.» A ka a fɔ kɔnɔilu yɛ ko: «Ai ye jiri ka siyaya duukolo kan.»
0101170034	Nba, su kora ka kɛnɛ bɔ. Wo kɛra lon looluna ri.
01011800c9	Alla kumara ikɔ ko: «Nimafen su bɛɛ ye kɛ duu kan, so kɔndɔ kolofenilu wo, waa rɔ soboilu wo, ni niimafen mɛsɛn mɛn ye taamala duu ma, a bɛɛ ni a su!» A ka a fɔ ɲa mɛn ma, a kɛra ten.
0101190082	Waarɔ sobo ni so kɔndɔ kolofen ni niimafen mɛsɛn mɛn ye taamala duu ma, a ka woilu su bɛɛ dan. Alla ka a yen ko wo ka ɲi.
01011a00e7	Wo kɔ, Alla ka a fɔ ko: «An di adamaden dan ka a kɛ an munuɲa ri, ka a su sudunya an ɲɔɔn na. Ii ri ii sii duu bɛɛ kun na, ka ii sii jɛɛ kun na, a ni kɔnɔilu ni kolofenilu ni niimafen mɛsɛn mɛn ye taamala duu ma.»
01011b007f	Nba, Alla ka adamaden dan ka a kɛ a jɛrɛ munuɲa le ri. Wo rɔ, a ka cɛɛ dan, ka muso fanan dan. A ka adamaden dan ten de.
01011c00bb	Alla kumara ka baraka don ii rɔ. A ka a fɔ ko: «Ai ye jiri ka jɛnsɛn duu fan bɛɛ rɔ, ka ai la fanka sii duu kan. Ai ye ai sii jɛɛ ni kɔnɔilu ni niimafen tɔilu bɛɛ kun na.»
01011d00d4	A ka a fɔ ii yɛ ko: «Duu suman su su, n da wo bɛɛ di ai ma. Ka a la wo kan, jiri denta fen fen ye duu kan, n da wo fanan bɛɛ di ai ma, mɛn ye kisɛ ni kolo kɛla ii denilu rɔ. Wo bɛɛ ri kɛ ai balo ri.
01011e00da	So kɔndɔ kolofenilu ni waa rɔ soboilu ni kɔnɔilu ni niimafen mɛsɛn mɛn ye taamala duu ma, niimafen bɛɛ kɔnin, n da bin ni fira bɛɛ di woilu ma ka kɛ ii balo ri.» Nba, a ka a fɔ ɲa mɛn ma, a kɛra ten.
01011f0070	Alla ka dalifen mɛn dan, a ka a yen ko wo ka ɲi bakɛ. Nba, su kora ka kɛnɛ bɔ. Wo kɛra lon wɔɔrɔna ri.
010201004e	Nba, sankolo ni duukolo ni ii kɔndɔfen bɛɛ danda ɲa mɛn ma, wo le wo ri.
010202009d	Tele wɔrɔnwulana sera ka a tɛrɛn Alla ra ban baarala. A ka a la baara bɛɛ ban tele wɔɔrɔ wo le kɔrɔ. Tele wɔrɔnwulana lon, a ka ɲɔɲɔ wo lon.
0102030061	Alla ka tele wɔrɔnwulana bonya ka a bɔ lon tɔilu ma, ka a masɔrɔn a ma baara si kɛ wo lon.
010204007a	Nba, Alla ka sankolo ni duukolo dan ɲa mɛn ma, wo le ye ɲin di. Allabatala Alla ka sankolo ni duukolo dan tuma mɛn na,
010205008d	bin ni jiri tun tɛ duukolo kan fɔlɔ, baa Allabatala Alla tun ma sanci lana duu kan fɔlɔ. Mɔɔ si tun tɛ ye fɔlɔ ka duu sɛnɛ fanan.
0102060039	Tenke le tɛrɛ bɔla duu kɔrɔ ka duu yɔrɔ bɛɛ sɔ.
010207008b	Allabatala Alla ka duu buuri ta ka adamaden dabɛn wo la. A ka ɲenemaya fɔɲɔ fɛ adamaden nunwo rɔ. Wo rɔ, adamaden wo kɛra nima ri.
010208008a	Nba, Allabatala Alla ka nakɔ labɔ Edɛni jamana rɔ, mɛn ye telebɔ fan fɛ. A tun ka adamaden mɛn dan, a ka wo bila nakɔ wo kɔndɔ.
01020900fd	Allabatala Alla ka jiri su bɛɛ lafɛrɛn yɔrɔ wo rɔ, jiri mɛnilu ka ɲi kosɛbɛ. Ii den duman. A ka jiri su fila gbɛrɛ lafɛrɛn nakɔ tɛma. Kelen tɛrɛ ɲenemaya jiri ri. A tɔ kelen tɛrɛ mɔɔ lalɔnniɲala koɲuma ni kojuu faranfaasi la.
01020a00a3	Ba do tɛrɛ bɔni Edɛni jamana rɔ ka latamin nakɔ wo rɔ, mɛn ye a yɔrɔ bɛɛ sɔla ji la. A bɔ mɛn kɛni nakɔ wo rɔ, a farara ka kɛ ba bolo naanin di.
01020b0060	Ba fɔlɔ tɔɔ ko Pisɔn. Wo ye woyenna ka Habila jamana laminin. Sanin ye bɔla jamana wo rɔ.
01020c0084	Sanin wo ye sanin jɛrɛwolo le ri. Jiri kasila latikɔlɔnnaman fanan ye ye. Kabakurun do fanan ye bɔla ye, mɛn tɔɔ ko onikisi.
01020d0055	Ba filana tɔɔ ko Kiyɔn. Wo le ye woyenna ka Kusi bɔnsɔn na jamana bɛɛ laminin.
01020e0069	Ba sawana tɔɔ ko Tikire. Wo le ye woyenna ka wa Asuri so telebɔ fan fɛ. Ba naaninna tɔɔ ko Efirati.
01020f0060	Nba, Allabatala Alla ka adamaden bila Edɛni nakɔ ɲuma rɔ, ko a ye a sɛnɛ ka a janto a rɔ.
010210005b	Allabatala Alla ka a fɔ a yɛ ko: «Jiriden dɔɔnta fen fen ye yan, i ye wo bɛɛ dɔɔn.
010211008a	Kɔni, jiri mɛn ye mɔɔ lalɔnniɲala koɲuma ni kojuu faranfaasi la, i kana wo den dɔɔn de! Ni i ka a dɔɔn lon mɛn na, i ri faa.»
0102120077	Wo kɔ, Allabatala Alla ka a fɔ ko: «Ka cɛɛ to a kelen na, wo ma ɲi. N di a dɛmɛnba rabɛn, mɛn di bɛn a ma.»
01021300c7	Wo rɔ, Allabatala Alla ka sobo su bɛɛ ni kɔnɔ su bɛɛ dan duu buuri la, ka ii bɛɛ lana cɛɛ ma, kosa a ri ii kelen kelenna bɛɛ tɔɔ la. A ka tɔɔ mɛnilu fɔ, woilu kɛra ii tɔɔilu ri.
0102140090	Cɛɛ ka tɔɔ la so kɔndɔ kolofen ni kɔnɔilu, ni waa rɔ soboilu bɛɛ la. Kɔni a dɛmɛnba ma sɔrɔn woilu rɔ, mɛn bɛnni a ma kɔnin.
01021500b7	Wo rɔ Allabatala Alla ka sunoo ba don cɛɛ ɲa rɔ. A sunoora. Ka a to sunoo rɔ, Allabatala Alla ka barasa kolo kelen ta cɛɛ fari rɔ, ka sobo bila wo nɔ rɔ ka a da tuun wo la.
010216004c	Allabatala Alla ka barasa kolo wo ta ka muso rabɛn, ka na muso di cɛɛ ma.
0102170092	Cɛɛ ka a fɔ ko: «A koloilu bɔni n koloilu le rɔ. A fari bɔni n fari le rɔ. N di a tɔɔ la ko muso, ka a masɔrɔn a bɔni cɛɛ le rɔ.»
010218005f	Wo le kosɔn, cɛɛ ri a mataa a fa ni a na la, ka to a muso fɛ. A fila ri kɛ mɔɔ kelen di.
010219006d	Nba, wo tuma cɛɛ ni a muso fila bɛɛ fari makolon de tɛrɛ, kɔni fari makolontɔya maloya tun tɛ ii la.
01030100d0	Nba, Allabatala Alla ka waa rɔ sobo mɛnilu dan, duuma sa le kewuyani tɛrɛ wo tɔ bɛɛ ko. Lon do rɔ, sa ka a fɔ muso yɛ ko: «Tuɲa wa, Alla ka a fɔ ko: ‹Ai kana nakɔ ɲuma jiriden si dɔɔn?›»
010302003c	Muso ka a jabi: «A sɔnni an ye nakɔ ɲuma jiriden dɔɔn.
0103030096	Kɔni jiri mɛn ye nakɔ ɲuma tɛma, Alla ka a fɔ an yɛ ko: ‹Ai kana wo le den dɔɔn. Ai kana ai maa a la. Ni ai ka ai maa a la, ai ri faa.›»
010304003e	Sa ka a fɔ muso yɛ ko: «Tuɲa tɛ wo rɔ. Ai tɛ faa fɛwu!
010305008f	Alla ka a lɔn ko ai wa jiriden wo dɔɔn lon mɛn na, ai ri kɛ hankilimailu ri. Ai ri kɛ ikomin Alla, ka koɲuma ni kojuu faranfaasi lɔn.»
01030600e0	Muso ka a yen ko jiriden wo ka ɲi, a duman kosɛbɛ. A ka a yen fanan ko jiriden wo ri mɔɔ kɛ hankilima ri. Wo rɔ, muso ka do kadi ka a dɔɔn, ka do di a cɛɛ ma, mɛn lɔni tɛrɛ a tɔrɔfɛ. Wo ka a ta ka a dɔɔn.
01030700bf	Ii banni a dɔɔnna, ii ka hankili sɔrɔn ka ii jɛrɛ yen ɲa gbɛrɛ ma. Ii ka a yen ko ii fari makolon de. Ii ka toro firailu kara i ɲɔɔn na ka ii kɛ feriyabɔ ri ka ii jɛrɛ sutura.
