2800000006	mathiH
280101004f	ibrAhImaH santAno dAyUd tasya santAno yIzukhrISTastasya pUrvvapuruSavaMzazreNI|
280102004d	ibrAhImaH putra ishAk tasya putro yAkUb tasya putro yihUdAstasya bhrAtarazca|
2801030060	tasmAd yihUdAtastAmaro garbhe perasserahau jajJAte, tasya perasaH putro hiSroN tasya putro 'rAm|
280104003e	tasya putro 'mmInAdab tasya putro nahazon tasya putraH salmon|
2801050055	tasmAd rAhabo garbhe boyam jajJe, tasmAd rUto garbhe obed jajJe, tasya putro yizayaH|
2801060041	tasya putro dAyUd rAjaH tasmAd mRtoriyasya jAyAyAM sulemAn jajJe|
280107003c	tasya putro rihabiyAm, tasya putro'biyaH, tasya putra AsA: |
280108003c	tasya suto yihozAphaT tasya suto yihorAma tasya suta uSiyaH|
2801090036	tasya suto yotham tasya suta Aham tasya suto hiSkiyaH|
28010a0037	tasya suto minaziH, tasya suta Amon tasya suto yoziyaH|
28010b0050	bAbilnagare pravasanAt pUrvvaM sa yoziyo yikhaniyaM tasya bhrAtRMzca janayAmAsa|
28010c0053	tato bAbili pravasanakAle yikhaniyaH zaltIyelaM janayAmAsa, tasya sutaH sirubbAvil|
28010d0035	tasya suto 'bohud tasya suta ilIyAkIm tasya suto'sor|
28010e0036	asoraH sutaH sAdok tasya suta AkhIm tasya suta ilIhUd|
28010f0026	tasya suta iliyAsar tasya suto mattan|
280110007c	tasya suto yAkUb tasya suto yUSaph tasya jAyA mariyam; tasya garbhe yIzurajani, tameva khrISTam (arthAd abhiSiktaM) vadanti|
28011100c6	ittham ibrAhImo dAyUdaM yAvat sAkalyena caturdazapuruSAH; A dAyUdaH kAlAd bAbili pravasanakAlaM yAvat caturdazapuruSA bhavanti| bAbili pravAsanakAlAt khrISTasya kAlaM yAvat caturdazapuruSA bhavanti|
280112008e	yIzukhrISTasya janma kaththate| mariyam nAmikA kanyA yUSaphe vAgdattAsIt, tadA tayoH saGgamAt prAk sA kanyA pavitreNAtmanA garbhavatI babhUva|
280113006e	tatra tasyAH pati ryUSaph saujanyAt tasyAH kalaGgaM prakAzayitum anicchan gopanene tAM pArityaktuM manazcakre|
28011400a1	sa tathaiva bhAvayati, tadAnIM paramezvarasya dUtaH svapne taM darzanaM dattvA vyAjahAra, he dAyUdaH santAna yUSaph tvaM nijAM jAyAM mariyamam AdAtuM mA bhaiSIH|
28011500b1	yatastasyA garbhaH pavitrAdAtmano'bhavat, sA ca putraM prasaviSyate, tadA tvaM tasya nAma yIzum (arthAt trAtAraM) karISyase, yasmAt sa nijamanujAn teSAM kaluSebhya uddhariSyati|
280116008c	itthaM sati, pazya garbhavatI kanyA tanayaM prasaviSyate| immAnUyel tadIyaJca nAmadheyaM bhaviSyati|| immAnUyel asmAkaM saGgIzvaraityarthaH|
2801170058	iti yad vacanaM purvvaM bhaviSyadvaktrA IzvaraH kathAyAmAsa, tat tadAnIM siddhamabhavat|
2801180062	anantaraM yUSaph nidrAto jAgarita utthAya paramezvarIyadUtasya nidezAnusAreNa nijAM jAyAM jagrAha,
2801190063	kintu yAvat sA nijaM prathamasutaM a suSuve, tAvat tAM nopAgacchat, tataH sutasya nAma yIzuM cakre|
28020100ad	anantaraM herod saMjJake rAjJi rAjyaM zAsati yihUdIyadezasya baitlehami nagare yIzau jAtavati ca, katipayA jyotirvvudaH pUrvvasyA dizo yirUzAlamnagaraM sametya kathayamAsuH,
2802020080	yo yihUdIyAnAM rAjA jAtavAn, sa kutrAste? vayaM pUrvvasyAM dizi tiSThantastadIyAM tArakAm apazyAma tasmAt taM praNantum agamAma|
280203005a	tadA herod rAjA kathAmetAM nizamya yirUzAlamnagarasthitaiH sarvvamAnavaiH sArddham udvijya
2802040057	sarvvAn pradhAnayAjakAn adhyApakAMzca samAhUyAnIya papraccha, khrISTaH kutra janiSyate?
