2800000008	mathiḥ
2801010068	ibrāhīmaḥ santāno dāyūd tasya santāno yīśukhrīṣṭastasya pūrvvapuruṣavaṁśaśreṇī|
2801020058	ibrāhīmaḥ putra ishāk tasya putro yākūb tasya putro yihūdāstasya bhrātaraśca|
280103006d	tasmād yihūdātastāmaro garbhe perasserahau jajñāte, tasya perasaḥ putro hiṣroṇ tasya putro 'rām|
2801040043	tasya putro 'mmīnādab tasya putro nahaśon tasya putraḥ salmon|
280105005e	tasmād rāhabo garbhe boyam jajñe, tasmād rūto garbhe obed jajñe, tasya putro yiśayaḥ|
2801060050	tasya putro dāyūd rājaḥ tasmād mṛtoriyasya jāyāyāṁ sulemān jajñe|
2801070041	tasya putro rihabiyām, tasya putro'biyaḥ, tasya putra āsā: |
2801080045	tasya suto yihośāphaṭ tasya suto yihorāma tasya suta uṣiyaḥ|
280109003b	tasya suto yotham tasya suta āham tasya suto hiṣkiyaḥ|
28010a003e	tasya suto minaśiḥ, tasya suta āmon tasya suto yośiyaḥ|
28010b0060	bābilnagare pravasanāt pūrvvaṁ sa yośiyo yikhaniyaṁ tasya bhrātṛṁśca janayāmāsa|
28010c0060	tato bābili pravasanakāle yikhaniyaḥ śaltīyelaṁ janayāmāsa, tasya sutaḥ sirubbāvil|
28010d0038	tasya suto 'bohud tasya suta ilīyākīm tasya suto'sor|
28010e003f	asoraḥ sutaḥ sādok tasya suta ākhīm tasya suta ilīhūd|
28010f0027	tasya suta iliyāsar tasya suto mattan|
280110008f	tasya suto yākūb tasya suto yūṣaph tasya jāyā mariyam; tasya garbhe yīśurajani, tameva khrīṣṭam (arthād abhiṣiktaṁ) vadanti|
28011100f5	ittham ibrāhīmo dāyūdaṁ yāvat sākalyena caturdaśapuruṣāḥ; ā dāyūdaḥ kālād bābili pravasanakālaṁ yāvat caturdaśapuruṣā bhavanti| bābili pravāsanakālāt khrīṣṭasya kālaṁ yāvat caturdaśapuruṣā bhavanti|
28011200ad	yīśukhrīṣṭasya janma kaththate| mariyam nāmikā kanyā yūṣaphe vāgdattāsīt, tadā tayoḥ saṅgamāt prāk sā kanyā pavitreṇātmanā garbhavatī babhūva|
2801130085	tatra tasyāḥ pati ryūṣaph saujanyāt tasyāḥ kalaṅgaṁ prakāśayitum anicchan gopanene tāṁ pārityaktuṁ manaścakre|
28011400cd	sa tathaiva bhāvayati, tadānīṁ parameśvarasya dūtaḥ svapne taṁ darśanaṁ dattvā vyājahāra, he dāyūdaḥ santāna yūṣaph tvaṁ nijāṁ jāyāṁ mariyamam ādātuṁ mā bhaiṣīḥ|
28011500d4	yatastasyā garbhaḥ pavitrādātmano'bhavat, sā ca putraṁ prasaviṣyate, tadā tvaṁ tasya nāma yīśum (arthāt trātāraṁ) karīṣyase, yasmāt sa nijamanujān teṣāṁ kaluṣebhya uddhariṣyati|
28011600ab	itthaṁ sati, paśya garbhavatī kanyā tanayaṁ prasaviṣyate| immānūyel tadīyañca nāmadheyaṁ bhaviṣyati|| immānūyel asmākaṁ saṅgīśvara̮ityarthaḥ|
280117006a	iti yad vacanaṁ purvvaṁ bhaviṣyadvaktrā īśvaraḥ kathāyāmāsa, tat tadānīṁ siddhamabhavat|
280118007a	anantaraṁ yūṣaph nidrāto jāgarita utthāya parameśvarīyadūtasya nideśānusāreṇa nijāṁ jāyāṁ jagrāha,
2801190077	kintu yāvat sā nijaṁ prathamasutaṁ a suṣuve, tāvat tāṁ nopāgacchat, tataḥ sutasya nāma yīśuṁ cakre|
28020100cd	anantaraṁ herod saṁjñake rājñi rājyaṁ śāsati yihūdīyadeśasya baitlehami nagare yīśau jātavati ca, katipayā jyotirvvudaḥ pūrvvasyā diśo yirūśālamnagaraṁ sametya kathayamāsuḥ,
28020200a4	yo yihūdīyānāṁ rājā jātavān, sa kutrāste? vayaṁ pūrvvasyāṁ diśi tiṣṭhantastadīyāṁ tārakām apaśyāma tasmāt taṁ praṇantum agamāma|
280203006b	tadā herod rājā kathāmetāṁ niśamya yirūśālamnagarasthitaiḥ sarvvamānavaiḥ sārddham udvijya
280204006d	sarvvān pradhānayājakān adhyāpakāṁśca samāhūyānīya papraccha, khrīṣṭaḥ kutra janiṣyate?
2802050071	tadā te kathayāmāsuḥ, yihūdīyadeśasya baitlehami nagare, yato bhaviṣyadvādinā itthaṁ likhitamāste,
28020600d1	sarvvābhyo rājadhānībhyo yihūdīyasya nīvṛtaḥ| he yīhūdīyadeśasye baitleham tvaṁ na cāvarā|isrāyelīyalokān me yato yaḥ pālayiṣyati| tādṛgeko mahārājastvanmadhya udbhaviṣyatī||
2802070076	tadānīṁ herod rājā tān jyotirvvido gopanam āhūya sā tārakā kadā dṛṣṭābhavat, tad viniścayāmāsa|
28020800bc	aparaṁ tān baitlehamaṁ prahītya gaditavān, yūyaṁ yāta, yatnāt taṁ śiśum anviṣya taduddeśe prāpte mahyaṁ vārttāṁ dāsyatha, tato mayāpi gatvā sa praṇaṁsyate|
28020900ee	tadānīṁ rājña etādṛśīm ājñāṁ prāpya te pratasthire, tataḥ pūrvvarsyāṁ diśi sthitaistai ryā tārakā dṛṣṭā sā tārakā teṣāmagre gatvā yatra sthāne śiśūrāste, tasya sthānasyopari sthagitā tasyau|
28020a002f	tad dṛṣṭvā te mahānanditā babhūvuḥ,
28020b00fa	tato gehamadhya praviśya tasya mātrā mariyamā sāddhaṁ taṁ śiśuṁ nirīkṣaya daṇḍavad bhūtvā praṇemuḥ, aparaṁ sveṣāṁ ghanasampattiṁ mocayitvā suvarṇaṁ kunduruṁ gandharamañca tasmai darśanīyaṁ dattavantaḥ|
28020c008e	paścād herod rājasya samīpaṁ punarapi gantuṁ svapna īśvareṇa niṣiddhāḥ santo 'nyena pathā te nijadeśaṁ prati pratasthire|
28020d0140	anantaraṁ teṣu gatavatmu parameśvarasya dūto yūṣaphe svapne darśanaṁ datvā jagāda, tvam utthāya śiśuṁ tanmātarañca gṛhītvā misardeśaṁ palāyasva, aparaṁ yāvadahaṁ tubhyaṁ vārttāṁ na kathayiṣyāmi, tāvat tatraiva nivasa, yato rājā herod śiśuṁ nāśayituṁ mṛgayiṣyate|
28020e006e	tadānīṁ yūṣaph utthāya rajanyāṁ śiśuṁ tanmātarañca gṛhītvā misardeśaṁ prati pratasthe,
28020f00d0	gatvā ca herodo nṛpate rmaraṇaparyyantaṁ tatra deśe nyuvāsa, tena misardeśādahaṁ putraṁ svakīyaṁ samupāhūyam| yadetadvacanam īśvareṇa bhaviṣyadvādinā kathitaṁ tat saphalamabhūt|
2802100133	anantaraṁ herod jyotirvidbhirātmānaṁ pravañcitaṁ vijñāya bhṛśaṁ cukopa; aparaṁ jyotirvvidbhyastena viniścitaṁ yad dinaṁ taddinād gaṇayitvā dvitīyavatsaraṁ praviṣṭā yāvanto bālakā asmin baitlehamnagare tatsīmamadhye cāsan, lokān prahitya tān sarvvān ghātayāmāsa|
28021100cb	ataḥ anekasya vilāpasya nināda: krandanasya ca| śokena kṛtaśabdaśca rāmāyāṁ saṁniśamyate| svabālagaṇahetorvai rāhel nārī tu rodinī| na manyate prabodhantu yataste naiva manti hi||
2802120061	yadetad vacanaṁ yirīmiyanāmakabhaviṣyadvādinā kathitaṁ tat tadānīṁ saphalam abhūt|
2802130077	tadanantaraṁ heredi rājani mṛte parameśvarasya dūto misardeśe svapne darśanaṁ dattvā yūṣaphe kathitavān
2802140098	tvam utthāya śiśuṁ tanmātarañca gṛhītvā punarapīsrāyelo deśaṁ yāhī, ye janāḥ śiśuṁ nāśayitum amṛgayanta, te mṛtavantaḥ|
2802150053	tadānīṁ sa utthāya śiśuṁ tanmātarañca gṛhlan isrāyeldeśam ājagāma|
