2800000008	mathiḥ
280101006b	ibrāhīmaḥ santānō dāyūd tasya santānō yīśukhrīṣṭastasya pūrvvapuruṣavaṁśaśrēṇī|
280102005a	ibrāhīmaḥ putra ishāk tasya putrō yākūb tasya putrō yihūdāstasya bhrātaraśca|
2801030076	tasmād yihūdātastāmarō garbhē pērassērahau jajñātē, tasya pērasaḥ putrō hiṣrōṇ tasya putrō 'rām|
2801040047	tasya putrō 'mmīnādab tasya putrō nahaśōn tasya putraḥ salmōn|
2801050068	tasmād rāhabō garbhē bōyam jajñē, tasmād rūtō garbhē ōbēd jajñē, tasya putrō yiśayaḥ|
2801060054	tasya putrō dāyūd rājaḥ tasmād mr̥tōriyasya jāyāyāṁ sulēmān jajñē|
2801070043	tasya putrō rihabiyām, tasya putrō'biyaḥ, tasya putra āsā: |
2801080049	tasya sutō yihōśāphaṭ tasya sutō yihōrāma tasya suta uṣiyaḥ|
280109003e	tasya sutō yōtham tasya suta āham tasya sutō hiṣkiyaḥ|
28010a0042	tasya sutō minaśiḥ, tasya suta āmōn tasya sutō yōśiyaḥ|
28010b0063	bābilnagarē pravasanāt pūrvvaṁ sa yōśiyō yikhaniyaṁ tasya bhrātr̥ṁśca janayāmāsa|
28010c0063	tatō bābili pravasanakālē yikhaniyaḥ śaltīyēlaṁ janayāmāsa, tasya sutaḥ sirubbāvil|
28010d003c	tasya sutō 'bōhud tasya suta ilīyākīm tasya sutō'sōr|
28010e0041	asōraḥ sutaḥ sādōk tasya suta ākhīm tasya suta ilīhūd|
28010f0028	tasya suta iliyāsar tasya sutō mattan|
2801100093	tasya sutō yākūb tasya sutō yūṣaph tasya jāyā mariyam; tasya garbhē yīśurajani, tamēva khrīṣṭam (arthād abhiṣiktaṁ) vadanti|
28011100f7	ittham ibrāhīmō dāyūdaṁ yāvat sākalyēna caturdaśapuruṣāḥ; ā dāyūdaḥ kālād bābili pravasanakālaṁ yāvat caturdaśapuruṣā bhavanti| bābili pravāsanakālāt khrīṣṭasya kālaṁ yāvat caturdaśapuruṣā bhavanti|
28011200b1	yīśukhrīṣṭasya janma kaththatē| mariyam nāmikā kanyā yūṣaphē vāgdattāsīt, tadā tayōḥ saṅgamāt prāk sā kanyā pavitrēṇātmanā garbhavatī babhūva|
2801130089	tatra tasyāḥ pati ryūṣaph saujanyāt tasyāḥ kalaṅgaṁ prakāśayitum anicchan gōpanēnē tāṁ pārityaktuṁ manaścakrē|
