2800000006	mathiH
2801010054	ibrAhImaH santAno dAyUd tasya santAno yIshukhrIShTastasya pUrvvapuruShavaMshashreNI|
280102004f	ibrAhImaH putra ishAk tasya putro yAkUb tasya putro yihUdAstasya bhrAtarashcha|
2801030063	tasmAd yihUdAtastAmaro garbhe perasserahau jaj nAte, tasya perasaH putro hiShroN tasya putro. arAm|
2801040040	tasya putro. ammInAdab tasya putro nahashon tasya putraH salmon|
2801050058	tasmAd rAhabo garbhe boyam jaj ne, tasmAd rUto garbhe obed jaj ne, tasya putro yishayaH|
2801060044	tasya putro dAyUd rAjaH tasmAd mR^itoriyasya jAyAyAM sulemAn jaj ne|
280107003e	tasya putro rihabiyAm, tasya putro. abiyaH, tasya putra AsA: |
280108003e	tasya suto yihoshAphaT tasya suto yihorAma tasya suta uShiyaH|
2801090037	tasya suto yotham tasya suta Aham tasya suto hiShkiyaH|
28010a0039	tasya suto minashiH, tasya suta Amon tasya suto yoshiyaH|
28010b0055	bAbilnagare pravasanAt pUrvvaM sa yoshiyo yikhaniyaM tasya bhrAtR^iMshcha janayAmAsa|
28010c0054	tato bAbili pravasanakAle yikhaniyaH shaltIyelaM janayAmAsa, tasya sutaH sirubbAvil|
28010d0038	tasya suto. abohud tasya suta ilIyAkIm tasya suto. asor|
28010e0036	asoraH sutaH sAdok tasya suta AkhIm tasya suta ilIhUd|
28010f0026	tasya suta iliyAsar tasya suto mattan|
2801100080	tasya suto yAkUb tasya suto yUShaph tasya jAyA mariyam; tasya garbhe yIshurajani, tameva khrIShTam (arthAd abhiShiktaM) vadanti|
28011100d0	ittham ibrAhImo dAyUdaM yAvat sAkalyena chaturdashapuruShAH; A dAyUdaH kAlAd bAbili pravasanakAlaM yAvat chaturdashapuruShA bhavanti| bAbili pravAsanakAlAt khrIShTasya kAlaM yAvat chaturdashapuruShA bhavanti|
2801120092	yIshukhrIShTasya janma kaththate| mariyam nAmikA kanyA yUShaphe vAgdattAsIt, tadA tayoH sa NgamAt prAk sA kanyA pavitreNAtmanA garbhavatI babhUva|
2801130074	tatra tasyAH pati ryUShaph saujanyAt tasyAH kala NgaM prakAshayitum anichChan gopanene tAM pArityaktuM manashchakre|
28011400a5	sa tathaiva bhAvayati, tadAnIM parameshvarasya dUtaH svapne taM darshanaM dattvA vyAjahAra, he dAyUdaH santAna yUShaph tvaM nijAM jAyAM mariyamam AdAtuM mA bhaiShIH|
28011500ba	yatastasyA garbhaH pavitrAdAtmano. abhavat, sA cha putraM prasaviShyate, tadA tvaM tasya nAma yIshum (arthAt trAtAraM) karIShyase, yasmAt sa nijamanujAn teShAM kaluShebhya uddhariShyati|
2801160093	itthaM sati, pashya garbhavatI kanyA tanayaM prasaviShyate| immAnUyel tadIya ncha nAmadheyaM bhaviShyati|| immAnUyel asmAkaM sa NgIshvaraityarthaH|
280117005b	iti yad vachanaM purvvaM bhaviShyadvaktrA IshvaraH kathAyAmAsa, tat tadAnIM siddhamabhavat|
2801180065	anantaraM yUShaph nidrAto jAgarita utthAya parameshvarIyadUtasya nideshAnusAreNa nijAM jAyAM jagrAha,
2801190067	kintu yAvat sA nijaM prathamasutaM a suShuve, tAvat tAM nopAgachChat, tataH sutasya nAma yIshuM chakre|
28020100b5	anantaraM herod saMj nake rAj ni rAjyaM shAsati yihUdIyadeshasya baitlehami nagare yIshau jAtavati cha, katipayA jyotirvvudaH pUrvvasyA disho yirUshAlamnagaraM sametya kathayamAsuH,
