280000000c	ମଥିଃ
28010100dc	ଇବ୍ରାହୀମଃ ସନ୍ତାନୋ ଦାଯୂଦ୍ ତସ୍ୟ ସନ୍ତାନୋ ଯୀଶୁଖ୍ରୀଷ୍ଟସ୍ତସ୍ୟ ପୂର୍ୱ୍ୱପୁରୁଷୱଂଶଶ୍ରେଣୀ|
28010200d6	ଇବ୍ରାହୀମଃ ପୁତ୍ର ଇସ୍ହାକ୍ ତସ୍ୟ ପୁତ୍ରୋ ଯାକୂବ୍ ତସ୍ୟ ପୁତ୍ରୋ ଯିହୂଦାସ୍ତସ୍ୟ ଭ୍ରାତରଶ୍ଚ|
2801030100	ତସ୍ମାଦ୍ ଯିହୂଦାତସ୍ତାମରୋ ଗର୍ଭେ ପେରସ୍ସେରହୌ ଜଜ୍ଞାତେ, ତସ୍ୟ ପେରସଃ ପୁତ୍ରୋ ହିଷ୍ରୋଣ୍ ତସ୍ୟ ପୁତ୍ରୋ ଽରାମ୍|
28010400a8	ତସ୍ୟ ପୁତ୍ରୋ ଽମ୍ମୀନାଦବ୍ ତସ୍ୟ ପୁତ୍ରୋ ନହଶୋନ୍ ତସ୍ୟ ପୁତ୍ରଃ ସଲ୍ମୋନ୍|
28010500db	ତସ୍ମାଦ୍ ରାହବୋ ଗର୍ଭେ ବୋଯମ୍ ଜଜ୍ଞେ, ତସ୍ମାଦ୍ ରୂତୋ ଗର୍ଭେ ଓବେଦ୍ ଜଜ୍ଞେ, ତସ୍ୟ ପୁତ୍ରୋ ଯିଶଯଃ|
28010600b4	ତସ୍ୟ ପୁତ୍ରୋ ଦାଯୂଦ୍ ରାଜଃ ତସ୍ମାଦ୍ ମୃତୋରିଯସ୍ୟ ଜାଯାଯାଂ ସୁଲେମାନ୍ ଜଜ୍ଞେ|
2801070096	ତସ୍ୟ ପୁତ୍ରୋ ରିହବିଯାମ୍, ତସ୍ୟ ପୁତ୍ରୋଽବିଯଃ, ତସ୍ୟ ପୁତ୍ର ଆସା: |
280108008d	ତସ୍ୟ ସୁତୋ ଯିହୋଶାଫଟ୍ ତସ୍ୟ ସୁତୋ ଯିହୋରାମ ତସ୍ୟ ସୁତ ଉଷିଯଃ|
2801090081	ତସ୍ୟ ସୁତୋ ଯୋଥମ୍ ତସ୍ୟ ସୁତ ଆହମ୍ ତସ୍ୟ ସୁତୋ ହିଷ୍କିଯଃ|
28010a0082	ତସ୍ୟ ସୁତୋ ମିନଶିଃ, ତସ୍ୟ ସୁତ ଆମୋନ୍ ତସ୍ୟ ସୁତୋ ଯୋଶିଯଃ|
