2800000007	mathi.h
2801010067	ibraahiima. h santaano daayuud tasya santaano yii"sukhrii. s.tastasya puurvvapuru. sava. m"sa"sre. nii|
2801020058	ibraahiima. h putra ishaak tasya putro yaakuub tasya putro yihuudaastasya bhraatara"sca|
280103006e	tasmaad yihuudaatastaamaro garbhe perasserahau jaj naate, tasya perasa. h putro hi. sro. n tasya putro. araam|
2801040044	tasya putro. ammiinaadab tasya putro naha"son tasya putra. h salmon|
280105005e	tasmaad raahabo garbhe boyam jaj ne, tasmaad ruuto garbhe obed jaj ne, tasya putro yi"saya. h|
2801060050	tasya putro daayuud raaja. h tasmaad m. rtoriyasya jaayaayaa. m sulemaan jaj ne|
2801070043	tasya putro rihabiyaam, tasya putro. abiya. h, tasya putra aasaa: |
2801080045	tasya suto yiho"saapha. t tasya suto yihoraama tasya suta u. siya. h|
280109003b	tasya suto yotham tasya suta aaham tasya suto hi. skiya. h|
28010a003e	tasya suto mina"si. h, tasya suta aamon tasya suto yo"siya. h|
28010b005f	baabilnagare pravasanaat puurvva. m sa yo"siyo yikhaniya. m tasya bhraat. r.m"sca janayaamaasa|
28010c0060	tato baabili pravasanakaale yikhaniya. h "saltiiyela. m janayaamaasa, tasya suta. h sirubbaavil|
28010d003b	tasya suto. abohud tasya suta iliiyaakiim tasya suto. asor|
28010e003f	asora. h suta. h saadok tasya suta aakhiim tasya suta iliihuud|
28010f0027	tasya suta iliyaasar tasya suto mattan|
280110008e	tasya suto yaakuub tasya suto yuu. saph tasya jaayaa mariyam; tasya garbhe yii"surajani, tameva khrii. s.tam (arthaad abhi. sikta. m) vadanti|
28011100f4	ittham ibraahiimo daayuuda. m yaavat saakalyena caturda"sapuru. saa. h; aa daayuuda. h kaalaad baabili pravasanakaala. m yaavat caturda"sapuru. saa bhavanti| baabili pravaasanakaalaat khrii. s.tasya kaala. m yaavat caturda"sapuru. saa bhavanti|
28011200ab	yii"sukhrii. s.tasya janma kaththate| mariyam naamikaa kanyaa yuu. saphe vaagdattaasiit, tadaa tayo. h sa"ngamaat praak saa kanyaa pavitre. naatmanaa garbhavatii babhuuva|
2801130084	tatra tasyaa. h pati ryuu. saph saujanyaat tasyaa. h kala"nga. m prakaa"sayitum anicchan gopanene taa. m paarityaktu. m mana"scakre|
28011400cd	sa tathaiva bhaavayati, tadaanii. m parame"svarasya duuta. h svapne ta. m dar"sana. m dattvaa vyaajahaara, he daayuuda. h santaana yuu. saph tva. m nijaa. m jaayaa. m mariyamam aadaatu. m maa bhai. sii. h|
28011500d6	yatastasyaa garbha. h pavitraadaatmano. abhavat, saa ca putra. m prasavi. syate, tadaa tva. m tasya naama yii"sum (arthaat traataara. m) karii. syase, yasmaat sa nijamanujaan te. saa. m kalu. sebhya uddhari. syati|
28011600a8	ittha. m sati, pa"sya garbhavatii kanyaa tanaya. m prasavi. syate| immaanuuyel tadiiya nca naamadheya. m bhavi. syati|| immaanuuyel asmaaka. m sa"ngii"svaraityartha. h|
280117006a	iti yad vacana. m purvva. m bhavi. syadvaktraa ii"svara. h kathaayaamaasa, tat tadaanii. m siddhamabhavat|
280118007a	anantara. m yuu. saph nidraato jaagarita utthaaya parame"svariiyaduutasya nide"saanusaare. na nijaa. m jaayaa. m jagraaha,
2801190077	kintu yaavat saa nija. m prathamasuta. m a su. suve, taavat taa. m nopaagacchat, tata. h sutasya naama yii"su. m cakre|
28020100cd	anantara. m herod sa. mj nake raaj ni raajya. m "saasati yihuudiiyade"sasya baitlehami nagare yii"sau jaatavati ca, katipayaa jyotirvvuda. h puurvvasyaa di"so yiruu"saalamnagara. m sametya kathayamaasu. h,
28020200a3	yo yihuudiiyaanaa. m raajaa jaatavaan, sa kutraaste? vaya. m puurvvasyaa. m di"si ti. s.thantastadiiyaa. m taarakaam apa"syaama tasmaat ta. m pra. nantum agamaama|
280203006b	tadaa herod raajaa kathaametaa. m ni"samya yiruu"saalamnagarasthitai. h sarvvamaanavai. h saarddham udvijya
280204006c	sarvvaan pradhaanayaajakaan adhyaapakaa. m"sca samaahuuyaaniiya papraccha, khrii. s.ta. h kutra jani. syate?
2802050071	tadaa te kathayaamaasu. h, yihuudiiyade"sasya baitlehami nagare, yato bhavi. syadvaadinaa ittha. m likhitamaaste,
28020600d1	sarvvaabhyo raajadhaaniibhyo yihuudiiyasya niiv. rta. h| he yiihuudiiyade"sasye baitleham tva. m na caavaraa|israayeliiyalokaan me yato ya. h paalayi. syati| taad. rgeko mahaaraajastvanmadhya udbhavi. syatii||
2802070075	tadaanii. m herod raajaa taan jyotirvvido gopanam aahuuya saa taarakaa kadaa d. r.s. taabhavat, tad vini"scayaamaasa|
28020800bc	apara. m taan baitlehama. m prahiitya gaditavaan, yuuya. m yaata, yatnaat ta. m "si"sum anvi. sya tadudde"se praapte mahya. m vaarttaa. m daasyatha, tato mayaapi gatvaa sa pra. na. msyate|
28020900ed	tadaanii. m raaj na etaad. r"siim aaj naa. m praapya te pratasthire, tata. h puurvvarsyaa. m di"si sthitaistai ryaa taarakaa d. r.s. taa saa taarakaa te. saamagre gatvaa yatra sthaane "si"suuraaste, tasya sthaanasyopari sthagitaa tasyau|
28020a002e	tad d. r.s. tvaa te mahaananditaa babhuuvu. h,
28020b00f9	tato gehamadhya pravi"sya tasya maatraa mariyamaa saaddha. m ta. m "si"su. m niriik. saya da. n.davad bhuutvaa pra. nemu. h, apara. m sve. saa. m ghanasampatti. m mocayitvaa suvar. na. m kunduru. m gandharama nca tasmai dar"saniiya. m dattavanta. h|
28020c008f	pa"scaad herod raajasya samiipa. m punarapi gantu. m svapna ii"svare. na ni. siddhaa. h santo. anyena pathaa te nijade"sa. m prati pratasthire|
28020d0140	anantara. m te. su gatavatmu parame"svarasya duuto yuu. saphe svapne dar"sana. m datvaa jagaada, tvam utthaaya "si"su. m tanmaatara nca g. rhiitvaa misarde"sa. m palaayasva, apara. m yaavadaha. m tubhya. m vaarttaa. m na kathayi. syaami, taavat tatraiva nivasa, yato raajaa herod "si"su. m naa"sayitu. m m. rgayi. syate|
28020e006e	tadaanii. m yuu. saph utthaaya rajanyaa. m "si"su. m tanmaatara nca g. rhiitvaa misarde"sa. m prati pratasthe,
28020f00d0	gatvaa ca herodo n. rpate rmara. naparyyanta. m tatra de"se nyuvaasa, tena misarde"saadaha. m putra. m svakiiya. m samupaahuuyam| yadetadvacanam ii"svare. na bhavi. syadvaadinaa kathita. m tat saphalamabhuut|
2802100132	anantara. m herod jyotirvidbhiraatmaana. m prava ncita. m vij naaya bh. r"sa. m cukopa; apara. m jyotirvvidbhyastena vini"scita. m yad dina. m taddinaad ga. nayitvaa dvitiiyavatsara. m pravi. s.taa yaavanto baalakaa asmin baitlehamnagare tatsiimamadhye caasan, lokaan prahitya taan sarvvaan ghaatayaamaasa|
28021100cb	ata. h anekasya vilaapasya ninaada: krandanasya ca| "sokena k. rta"sabda"sca raamaayaa. m sa. mni"samyate| svabaalaga. nahetorvai raahel naarii tu rodinii| na manyate prabodhantu yataste naiva manti hi||
2802120061	yadetad vacana. m yiriimiyanaamakabhavi. syadvaadinaa kathita. m tat tadaanii. m saphalam abhuut|
2802130077	tadanantara. m heredi raajani m. rte parame"svarasya duuto misarde"se svapne dar"sana. m dattvaa yuu. saphe kathitavaan
2802140098	tvam utthaaya "si"su. m tanmaatara nca g. rhiitvaa punarapiisraayelo de"sa. m yaahii, ye janaa. h "si"su. m naa"sayitum am. rgayanta, te m. rtavanta. h|
2802150053	tadaanii. m sa utthaaya "si"su. m tanmaatara nca g. rhlan israayelde"sam aajagaama|
