0100000014	1 Мојсијева
010101003d	У почетку створи Бог небо и земљу.
01010200c9	Међутим, земља је била пуста и безоблична, и тама се простирала над безданом, а Дух Божији је лебдео над водама.
0101030067	Тада рече Бог: „Нека буде светлост!“ И постаде светлост.
0101040078	Бог је видео да је светлост добра, па је разделио светлост од таме.
01010500a3	Светлост је Бог назвао „дан“, а таму је назвао „ноћ“. Прође вече, свану јутро – дан први.
010106009d	Затим рече Бог: „Нека се простре свод посред вода да дели [доње] воде од [горњих] вода!“
010107008c	Бог начини свод, те одвоји воде под сводом од вода над сводом. Тако се и збило.
010108006c	Свод назва Бог „небо“. Прође вече, свану јутро – дан други.
01010900bb	Затим рече Бог: „Воде под сводом нека се саберу на једно место и нека се покаже копно!“ Тако се и збило.
01010a0091	Копно је Бог назвао „земља“, а водена зборишта „море“. Виде Бог да је то добро.
01010b0160	Затим рече Бог: „Нека из земље никне биље: оно које у себи носи зрневље и дрвета која рађају плод; све биље које, свако према својој врсти, рађа на земљи, и у себи носи своје семе!“ Тако се и збило.
01010c0127	Из земље изникне биље које у себи носи зрневље, свако према својој врсти и дрвета која рађају плодове са семеном, свако према својој врсти. Виде Бог да је то добро.
01010d0041	Прође вече, свану јутро – дан трећи.
01010e00d6	Затим рече Бог: „Нека буду светила на небеском своду да деле дан од ноћи, и да означавају утврђена доба, дане и године,
01010f007e	те да светле на небеском своду осветљавајући земљу!“ Тако се и збило.
01011000c2	Бог је створио два велика светила: веће светило да управља даном и мање светило да управља ноћу – и звезде.
0101110066	Бог их је поставио на небески свод да осветљавају земљу,
0101120086	да управљају даном и ноћи и да деле светло од таме. Виде Бог да је то добро.
0101130045	Прође вече, свану јутро – дан четврти.
01011400af	Затим рече Бог: „Нека проврве водом жива бића, и птице нек полете над земљом по небеском своду!“
0101150102	Бог је створио и морске немани и свакојака жива бића што се крећу и врве у води, те све птице крилате по својим врстама. Виде Бог да је то добро.
01011600ce	Бог их благослови говорећи: „Плодите се и множите и напуните морске воде! Тако и птице нека се намноже на земљи!“
010117003f	Прође вече, свану јутро – дан пети.
01011800fa	Затим рече Бог: „Нека земља произведе жива бића, свако према својој врсти: стоку, гмизавце и дивље животиње сваке врсте!“ Тако се и збило.
01011900da	Бог створи сваковрсне дивље животиње, сваковрсну стоку и сваковрсне гмизавце што пузе по земљи. Виде Бог да је то добро.
01011a0137	Затим рече Бог: „Начинимо човека по свом лику, да личи на нас, да буде владар рибама морским, птицама у ваздуху и стоци по целој земљи, и свим гмизавцима што пузе по земљи!“
01011b00a3	Тако створи Бог човека по свом лику, по Божијем лику га створи, створи их – мушко и женско.
01011c013a	И благослови их Бог говорећи: „Плодите се и множите се и напуните земљу! Подложите је себи и владајте рибама морским, птицама на небу и свим живим бићима што пузе по земљи!“
01011d010d	Затим рече Бог: „Ево, дајем вам за храну све биље на земљи што у себи носи зрневље, и сва дрвета што у своме плоду носе семе! Нека вам то буде за храну.
01011e0114	А дивљим животињама на земљи, птицама у ваздуху и гмизавцима што пузе по земљи у којима је дах живота – дајем за храну све зелено биље.“ Тако се и збило.
01011f00a8	Бог погледа све што је створио и све је било веома добро. Прође вече, свану јутро – дан шести.
0102010062	Тако је довршено небо и земља са свим својим мноштвом.
01020200bc	[До] седмога дана је Бог довршио своје дело које је створио; седмога дана је починуо од свих својих дела.
01020300d5	Тада је Бог благословио седми дан и посветио га, јер је до тог дана довршио стварање свих својих дела која је створио.
01020400b3	То је извештај о пореклу неба и земље кад су били створени. Када је Господ Бог створио земљу и небо,
0102050138	још није било никаквог пољског растиња, нити је било изникло икакво биље по пољима. Господ Бог, наиме, још није пустио кишу на земљу, а није било ни човека да обрађује земљу.
0102060054	Ипак, вода је извирала из земље и натапала тле.
01020700bd	Тада Господ Бог начини човека од земног праха и удахну му у носнице дах живота, те поста човек живо биће.
01020800a2	Онда је Господ Бог засадио врт на истоку, у Едену, и у њега сместио човека кога је начинио.
01020900fc	Господ Бог је учинио да из земље израсту сваковрсна дрвета примамљивог изгледа и добра за храну, те дрво живота и дрво познања добра и зла.
01020a008e	У Едену је извирала река која је напајала врт. Оданде се гранала у четири реке.
01020b0081	Првој је име Фисон; она протиче свом земљом евилском, у којој има злата.
01020c005d	Злато те земље је добро, а има тамо и смоле и оникса.
01020d0067	Другој реци је име Гион; она протиче целом кушком земљом.
01020e008b	Трећој реци је име Тигар; она тече источним делом Асирије. Четврта је Еуфрат.
01020f0099	Господ Бог узме човека и постави га у еденски врт да га обрађује и да се стара о њему.
010210007b	Господ Бог заповеди човеку: „Са сваког дрвета у врту слободно једи,
01021100c5	али са дрвета познања добра и зла не смеш јести! Јер, тога дана када будеш окусио с њега, сигурно ћеш умрети.“
01021200af	Затим Господ Бог рече: „Није добро да је човек сам. Начинићу му помоћника који ће му приличити.“
0102130156	Господ Бог је начинио из земље све дивље животиње, и све птице на небу, па их је довео човеку да види како ће коју назвати. Свако живо биће требало је да се зове онако како га је човек назвао.
01021400ed	Човек је дао имена свој стоци, свим птицама на небу и дивљим животињама. Ипак, за човека се није нашао помоћник који би му приличио.
01021500d2	Господ Бог учини да човек утоне у дубок сан. Када је човек заспао, Бог узме од њега једно ребро, а место попуни месом.
0102160084	Од ребра што је узео од човека, Господ Бог начини жену и доведе је човеку.
01021700d1	А човек рече: „Ево, ово је кост од моје кости и тело од мога тела! Нека се зато зове ’жена’, јер је од човека узета.“
01021800b6	Стога ће човек оставити свога оца и своју мајку, те се приљубити уз своју жену, па ће бити једно тело.
010219006f	Обоје су били голи, и човек и његова жена, али се нису стидели.
010301012a	Змија је била лукавија од свих дивљих животиња које је створио Господ Бог. Она рече жени: „Зар вам је Бог стварно рекао да не смете јести ни с једног дрвета у врту?“
0103020073	Жена одговори змији: „Плодове са дрвета у врту смемо да једемо,
01030300d9	осим плода са дрвета што је насред врта. [За њега] је Бог рекао: ’Не једите с њега нити га дотичите, иначе ћете умрети!’“
010304004a	Змија рече жени: „Сигурно нећете умрети!
01030500d2	Наиме, зна Бог да ће вам се, када окусите његов плод, отворити очи, па ћете бити као богови који познају добро и зло.“
010306011d	Виде жена да је дрво добро за јело, за очи мило и примамљиво за мудрост. Узме она од његовог плода и поједе. Дала је и свом мужу који је био с њом, па је и он јео.
01030700c0	Уто им се обома отворе очи и они схвате да су голи. Зато су сплели смоквино лишће и направили себи прегаче.
01030800cf	Тада су зачули корак Господа Бога, који је шетао вртом при дневном поветарцу, па су се сакрили међу дрвећем у врту.
010309003f	Господ Бог позва човека: „Где си!“
01030a00b5	„Чуо сам твој корак у врту, али сам се уплашио зато што сам го, па сам се сакрио“ – одазва се [човек].
01030b00b5	„Ко ти је рекао да си го? – упита га Бог. Зар си јео плод са дрвета с којег сам ти забранио да једеш?“
01030c00a7	„Жена коју си ти дао да буде са мном ми је дала плод са дрвета, па сам јео“ – одговори човек.
01030d00b6	„Шта си то учинила?“ – упита Господ Бог жену. „Змија ме је преварила, па сам јела“ – одговори жена.
01030e0126	Тада Господ Бог рече змији: „Кад си то учинила, проклета буди међу свим животињама и свим дивљим зверима. На свом трбуху ћеш пузати и јести прах целог свог века!“
01030f00fc	Ево, замећем непријатељство између тебе и жене; између твог потомства и њеног потомства: Оно ће ти главу сатирати, а ти ћеш му пету уједати.
01031000e5	А жени рече: „Умножићу твоје трудничке муке, те ћеш с муком децу рађати. Жудећеш за својим мужем, али он ће владати над тобом!“
010311016c	Адаму, пак, рече: „Зато што си послушао своју жену, те јео плод са дрвета за који сам ти заповедио: ’Не једи с њега!’, ево: Земља нека буде проклета због тебе, с муком ћеш се од ње хранити целог свог века!
010312005d	Рађаће ти трње и коров, а хранићеш се пољским биљем.
01031300da	Свој хлеб ћеш јести у зноју свога лица док се не вратиш у земљу, пошто си из ње узет. Јер прах си, и у прах ћеш се вратити.“
010314007b	Човек даде својој жени име „Ева“, јер је постала мајка свим живима.
