010000000b	Murhondêro
0101010035	Aha murhondêro Nnâmahanga alema amalunga n’igulu.
010102008e	Igulu lyàli cingiringiri, civange, cimpinage lirhaligwêrhe oku liyôsire lirhanalimwo bici ci Mûka gwa Nnâmahanga akagiyerêra oku mîshi.
010103004b	Nnâmahanga aderha, erhi: «Obulangashane bubè». Obulangashane bwanaciba.
0101040059	Nnâmahanga abona oku obulangashane buli bwinjà. Anaberûla obulangashane n’omwizimya.
0101050064	Ayîrika obulangashane mûshi n’omwizimya aguyîrika budufu. Bwayira bwanaca, lwo lusiku lurhanzi.
0101060062	Nnâmahanga aderha, erhi: «Ecirêre cibè aha karhî k’amîshi ciberûle amîshi n’amîshi».
0101070071	Nnâmahanga ajira ecirêre câbà lubibi lw’amîshi gali idako n’agali enyanya ly’ecirêre. Byanacibà ntyo
010108004e	Nnâmahanga ayîrika ecirêre malunga. Bwayira bwanaca, lwo lusiku lwa kabiri.
010109007a	Nnâmahanga aderha, erhi: «Amîshi gali idako ly’ecirêre gacigushe haguma n’ahakazire habonekane». Byanacibà ntyo.
01010a0075	Nnâmahanga ayîrika ahakazire budaka n’ecirundo c’amîshi aciyîrika nyanja. Nnâmahanga abona oku kuli kwinjà.
01010b00be	Nnâmahanga aderha, erhi: «Obudaka bumerekwo olubala lulimwo emburho, ngasi lubero n’emirhi y’amalehe, era emera oku idaho enaleheke n’obujuru bwâyo, ngasi lubero». Byanacibà ntyo.
01010c0087	Idaho lyamerakwo olubala lubamwo obujuru, ngasi lubero n’emirhi eleheka n’olugemu ngasi lubero. Nnâmahanga abona oku kuli kwinjà.
01010d0029	Bwayira bwanaca, lwo lusiku lwa kasharhu.
01010e00a5	Nnâmahanga aderha, erhi: «Ebimole bibè omu cirêre c’emalunga lyo biberûla omûshi n’obudufu; byâbà bimanyîso by’empondo n’ecanda, ensiku n’emyâka,
01010f0048	binabè bimole bimanike emalunga bya kumolekera igulu». Byanacibà ntyo
0101100094	Nnâmahanga ajira bimole bibiri binene, ecimole cinênênè mpu cikamoleka mûshi, n’ecimole cinyinyi mpu cikamoleka budufu, boshi n’enyenyêzi.
0101110046	Nnâmahanga abimanika omu cirêre c’emalunga mpu bikamolekera igulu,
0101120073	mpu binamanyise omûshi n’obudufu n’okuberûla obulangashane n’omwizimya. Nnâmahanga abona oku kuli kwinjà.
0101130025	Bwayira bwanaca, lwo lusiku lwa kani.
0101140088	Nnâmahanga aderha, erhi: «Amîshi gadudûsemwo ebizîne n’ebinyunyi bibalale enyanya ly’igulu, embere z’ecirêre c’amalunga».
01011500e4	Nnâmahanga alema abasimba banênênè b’omu nyanja na ngasi bizîne biyandala n’ebidûdûsa omu mîshi, bya ngasi lubero na ngasi rhunyunyi rhujira ebyûbi kushimbana n’olubero lwarhwo. Nnâmahanga abona oku kuli kwinjà.
0101160073	Nnâmahanga abigisha erhi: «Muyôloloke, muluge, mubumbe enyîshi n’enyanja; n’ebinyunyi biluge okw’igulu».
0101170028	Bwayira bwanaca, lwo lusiku lwa karhanu.
010118009b	Nnâmahanga aderha, erhi: «Obudaka buvûlule ebizîne bya ngasi lubero: ensimba, ebinyâgârha n’ensimba z’erubala za ngasi lubero». Byanacibà ntyo.
01011900ad	Nnâmahanga anacilera eby’erubala bya ngasi lubero, ebintu bishwêkwa bya ngasi lubero n’orhusimba rhw’oku idaho rhwa ngasi lubero. Nnâmahanga abona oku kuli kwinjà.
01011a00e8	Nnâmahanga aderha, erhi: «Rhujire omuntu orhushusha, orhugwerhekwo ecikebo, yewârhambula enfî z’omu nyanja n’orhunyunyi rhw’emalunga, ebishwêkwa n’eby’erubala byoshi, n’ebinyâgârha byoshi binadûdûsa oku igulu.»
01011b0067	Nnâmahanga alema omuntu omushusha: oku nshusho ya Nnâmahanga àmulemire, àmulema mulume n’omukazi.
01011c00bb	Nnâmahanga àbagisha anababwîra, erhi: «Muburhe muluge, mubumbe igulu, mulirhambule munarhegeke enfî z’omu nyanja n’orhunyunyi rhw’emalunga, na ngasi cizîne cigera oku idaho.»
01011d00a4	Nnâmahanga ashub’iderha, erhi: «Loli oku mmuhîre ngasi lubala lujira obujuru lunali oku idaho na ngasi murhi guleheka gunajira obujuru byo byâbà biryo binyu.
01011e008a	Olubala nkana byo biryo mpîre ngasi c’erubala, ngasi kanyunyi k’emalunga, ngasi cigera oku idaho cinayîsa omûka». Byanacibà ntyo.
01011f0066	Nnâmahanga abona oku ebi anajiraga biri binjà bwenêne. Bwayira bwanaca, lwo lusiku lwa kali ndarhu.
0102010047	Ntyo kwo amalunga n’igulu bya shwinjagwa; haguma n’ebimubà byoshi.
0102020077	Erhi abà amâyûsa omukolo akazâgikola, Nyamuzinda arhamûka oku lusiku lwa kali nda, ahûmûka omu mukolo akâgijira
010203003f	Nyamuzinda ahûmûka oku lusiku lwa kali nda, alujira lwimâna.
0102040067	Yo nkomoka y’amalunga n’igulu eyo erhi bilemwa. Erhi Nyakasane Nyamuzinda ajira igulu n’amalunga,
0102050099	ntà ishaka lyaliciba en’igulu, ntà lubala lwalilucimera – bulya Nyakasane Nyamuzinda arhaliciniêsa enkuba en’igulu na ntâye walicihinga obudaka
010206003d	erhi okuhuluza amîshi omu mibunda y’okudômerera obudaka-;
0102070091	Nyakasane Nyamuzinda abumba omuntu n’akatulo k’oku idaho, amubûhira omûka gw’obuzîne omu mazûlu, ntyo nyamutu ahinduka ciremwa cizîne.
0102080068	Obwo Nyakasane Nyamuzinda arhwêra ishwa ly’amalehe e Edeni, ebushoshôkero, ahiramwo omuntu àbumbaga
01020900c2	Nyakasane Nyamuzinda ameza oku budaka emirhi ya ngasi bûko, yakusîmîsa isù na minjà okulîbwa, yalimwo omurhi gw’obuzîne aha karhî k’ishwa n’omurhi gw’okumanya aminjà n’amabî.
01020a0085	Kurhenga omu Edeni (ishwa ly’amasîma) olwîshi lwakâg’ihulula lwaj’idômerera ishwa, lwakacigabamwo kani lushube nyîshi ini.
01020b005e	Olwîshi lurhanzi ye Pishone, luhulula luzunguluke ecihugo ca Havila, era munda ebà amasholo,
01020c0063	n’amasholo g’eyo garhahimwa kuyinjiha, eyo ebà n’obukù bubaya bwinjà n’ibuye ly’onice.
01020d004e	Olwîshi lwa kabiri luderhwa Gihoni: luhulula luzunguluke ecihugo ca Etiopiya.
01020e006b	Olwîshi lwa kasharhu luderhwa Tigri: luhulula ebushohokero bwa Asûru. Olwîshi lwa kani luderhwa Eufrate.
01020f005f	Nyakasane Nyamuzinda arhôla olya muntu amuhira omu ishwa lya Edeni, mpu akalihinga analilange.
0102100057	Nyakasane Nyamuzinda aha omuntu eri irhegeko: «Wanalya oku ngasi murhi guli omu ishwa,
0102110078	ci omurhi gw’okumanya aminjà n’amabî orhahîraga okagulyâkwo, bulya amango wacîshomya wagulyakwo erhi onafire».
0102120071	Nyakasane Nyamuzinda aderha, erhi: «Kurhali kwinjà omuntu ayôrhe yêne, rhumujirire omurhabâzi omushushire».
01021300cc	Nyakasane Nyamuzinda arhôla obudaka abumbamwo ngasi nsimba z’erubala n’ebinyunyi by’emalunga byoshi, abihêkera omuntu mpu alole kurhi abiyîrika: ngasi oku omuntu abiyîrikaga kwo byanayîrisirwe.
0102140093	Ntyo omuntu ayîrika ebishwêkwa byoshi, orhunyunyi rhw’emalunga rhwoshi n’ensimba z’erubala, ci omuntu arhabonagamwo murhabâzi omushushire.
0102150091	Nyakasane Nyamuzinda arhogezakwo omuntu îrò ly’enkwîra, nyamuntu ahunira; amushugula omurhibadu ashosha eminyafu aha omurhibadu gwarhengaga.
0102160064	Ogwo murhibadu, Nyakasane Nyamuzinda àshugulaga oku mulume, atulamwo omukazi anamulêrhera omulume.
01021700dc	Nnamulume, erhi: «Lêro oyu ye munyafu gw’omunyafu gwâni na kavuha k’orhuvuha rhwâni. Ayish’ikaderhwa mukazi (isha) bulya omu mulume (ish) arhenzire» (Ayish’ikaderhwa mukà-mulume bulya omu mulume arhenzire).
0102180091	Co cirhuma omulume akwânîne aleke îshe na nnina acîshwekerekwo mukâge n’oku bali babiri bahinduke mubiri muguma (bayish’ihinduka muguma)
0102190056	N’obwo bombi bàli bushugunu; omulume n’omukazi, ci barhakâg’iyumvanya nshonyi.
01030100e0	Enjoka yo yali nsimba nyengûza omu nsimba z’erubala zoshi Nyakasane Nyamuzinda ajiraga. Wanjoka abwîra omukazi, erhi: «Ka kwo kunali Nnâmahanga adesire: Murhahîraga mukalya oku murhi ciru n’omuguma gw’omu ishwa?»
010302004d	Nyamukazi ashuza wanjoka, erhi: «Rhwanalya amalehe g’emirhi eri omu ishwa,
0103030091	ci amalehe g’omurhi guli aha kâgarhî k’ishwa gwoki, Nnâmahanga adesire: murhagalyagakwo, ciru murhaguhumagakwo bulya erhi kufà munafire»
010304003d	Ci wanjoka abwîra nnamukazi, erhi: «Nanga murhakafa mâshi!
010305008f	Kali ciru Nnâmahanga amanyire oku amango mwânagulyekwo amasù ginyu gânayiguke munahinduke nka banyamuzinda mukâmanya aminjà n’amabî».
01030600c6	Lêro nyamukazi abona nk’omurhi guli mwinjà okulîbwa, gunali gwa kusîmîsa amasù gunali gwa kucîfinjwa n’okudômwamwo obwenge; arhôla irehe alyâko, anahà ibà wali bonaye, naye alyâkwo.
0103070079	Erhi amasù gâbo bombi gayiguka, bàbona oku bali bashugunu; bazingazinga ebyâsi by’omulehe babiyambalira omu cibunu.
01030800b0	Banaciyumva Nyakasane Nyamuzinda ajà acîgezageza omu ishwa oku hihûsi hy’olusiku, omulume na mukâge bacîfulika Nyakasane Nyamuzinda, omu karhî k’emirhi y’omu ishwa.
0103090049	Ci Nyakasane Nyamuzinda ayâkûza omulume amubwîra, erhi: «Ngahi oli?»
01030a0075	Ashuza, erhi: «Nayumvîrhe wadunda amashando omu ishwa, namayôboha, bulya ndi mushugunu co carhumire nacîfulika».
01030b008c	Ashub’idôsa, erhi: «Ndi wakumanyisize oku oli mushugunu? Ci akabà walire kwa gulya murhi nakuhanzagya nti irhondo orhahîraga okalya?»
01030c0069	Nyamulume ashuza, erhi: «Omukazi wampebaga aha burhambi anampîre kwa gulya murhi nâni namanalyâkwo».
01030d008b	Nyakasane Nyamuzinda abwîra omukazi, erhi: «Bici ebyo wamajira wâni?». Nnamukazi ashuza, erhi: «Kali enjoka yamanteba lêro namalya».
01030e00ef	Go mango Nyakasane Nyamuzinda abwîzirage enjoka, erhi: «Obwo wanajizire ntyo, ohehêrirwe kulusha ngasi cishwêkwa na kulusha ensimba z’erubala zoshi; oku nda okola wâkagendera na katulo okola wâkâlya ensiku zoshi z’akalamo kâwe.
01030f0095	Nkola naheba enshombo ekarhî kâwe n’omukazi, ekarhî k’iburha lyâwe n’iburha lyâge: oyu âkusinaga irhwe nâwe omukomolere oku kansisira».
01031000c0	Abwîra nyamukazi, erhi: «Nkolanayûshûla amalumwa gâwe, n’amazîmi gâwe omu malumwa okola wakaburha abâna. Kulalikira okolaga wakalalikira balo, ci naye akola ayish’ikâkuzidohera.»
01031100fa	Abwîra nyamulume, erhi: «Obwo wayumvîrhe mukâwe, wanalya kuli gulya murhi, n’obwo nakurhegekaga, nti irhondo orhahîraga okagulyâkwo, idaho lihehêrîrwe erhi we rhuma. Omu malibuko okola wakâkulamwo eci walya, ensiku zoshi z’akalamo kâwe.
0103120048	Mahwa n’emishûgi likola lyakâkufulukiza, okâlya n’enshogo lubala.
0103130098	Kurhûbanukirwa emalanga okola wakâbonamwo omugati (biryo): kuhika oshubire omu budaka bulya mwo warhengaga. Oli katulo n’omu katulo wânashubire!».
010314004c	Omuntu ayîrika mukâge erya Eva, «Hawa» bulya ye nnina wa abazîne boshi.
0103150053	Nyakasane Nyamuzinda àjirira omulume n’omukazi ebishûli by’empù àbayambika.
01031600e7	Nyakasane Nyamuzinda aderha, erhi: «Alagi oku omuntu akola ali ak’îrhu erhi kumanya aminjà n’amabî kurhuma. Mumanyage, arhacihîraga alîka okuboko kwâge mpu ahumbûle oku murhi gw’obuzîne, agulye alame ensiku zoshi!».
010317006a	Nyakasane Nyamuzinda amuhimva omu ishwa lya Edeni (masîma), mpu ly’agend’ihinga obudaka arhengagamwo.
01031800d7	Ahimva omuntu anahira bakerubini n’engulumira y’engôrho yalaza ebushoshôkero bw’ishwa ly’amasîma, lyo balanga enjira ejà ebwa murhi gw’obuzîne (lyo bahagalika omuntu arhahume oku murhi gw’obuzîne).
0104010074	Adamu ashamuka kuli mukâge Eva. Eva ayâlala anaburha Kayini. Aderha, erhi: «Namashobôla omuntu emwa Nyakasane».
0104020061	Ashub’iburha omulumuna Abeli. Abeli ali mushwesi wa bishwêkwa ci Kayini ali muhinzi wa budaka.
0104030054	Erhi kugera mango, Kayini arhûla nterekêro emwa Nyakasane ebi akûlaga omu budaka,
010404007d	Abeli naye arhûla ebiburhwa birhanzi by’ebibuzi byâge n’amashushi gâbyo. Nyakasane ayankirira Abeli n’entûlo yâge,
0104050062	ci arhayankiriraga Kayini n’eyâge ntûlo. Kayini akunirira okwo n’obusù bwâge bwazinzibala.
010406005b	Nyakasane abwîra Kayini, erhi: «Cirhumire wakunira, cirhumire obusù bwâwe bwazinzibala?
01040700ab	Nkawal’ijizire bwinjà, karhinga orhayinamwiri amalanga? Ci akabà orhajiziri bwinjà, ecâha cishurhamire aha lusò lwâwe, ciri cakulalîra, ci ocîhangâne ocihime».
