0100000008	Genesisi
0101010028	Pakutanga Mwari akasika matenga nenyika.
0101020099	Zvino nyika yakanga isina kugadzirwa uye isina chinhu, rima rakanga riri pamusoro pemvura yakadzika, uye Mweya waMwari wakanga uchigara pamusoro pemvura.
010103003d	Uye Mwari akati, “Chiedza ngachivepo,” chiedza chikavapo.
0101040050	Mwari akaona kuti chiedza chakanga chakanaka, uye akaparadzanisa chiedza nerima.
0101050092	Mwari akatumidza chiedza kuti “masikati,” uye rima akaritumidza kuti “usiku.” Uye madekwana akavapo, namangwanani akavapo, zuva rokutanga.
0101060058	Uye Mwari akati, “Ngapave nenzvimbo pakati pemvura kuti iparadzanise mvura nemvura.”
0101070092	Saka Mwari akaita nzvimbo uye akaparadzanisa mvura yakanga iri pasi penzvimbo iyi kubva pamvura yakanga iri pamusoro payo. Uye zvakaita saizvozvo.
010108006b	Mwari akatumidza nzvimbo iyi kuti “denga.” Uye madekwana akavapo, namangwanani akavapo, zuva rechipiri.
0101090084	Uye Mwari akati, “Mvura iri pasi pedenga ngaiungane panzvimbo imwe chete, uye pasi pakaoma ngapaonekwe.” Uye zvakaita saizvozvo.
01010a0086	Mwari akatumidza pasi pakaoma kuti, “nyika,” uye mvura yakaungana akaiti “makungwa.” Uye Mwari akaona kuti zvakanga zvakanaka.
01010b00c3	Ipapo Mwari akati, “Nyika ngaimerese uswa: miriwo inobereka mbeu nemiti panyika inobereka michero ine mhodzi mukati mayo, maererano nemhando dzayo dzakasiyana-siyana.” Uye zvakaita saizvozvo.
01010c00ba	Nyika yakameresa uswa: miriwo inobereka mbeu maererano nemhando dzayo nemiti inobereka michero ine mhodzi mukati mayo, maererano nemhando dzayo. Uye Mwari akaona kuti zvakanga zvakanaka.
01010d003c	Uye madekwana akavapo, namangwanani akavapo, zuva rechitatu.
01010e00ab	Uye Mwari akati, “Ngakuve nezviedza munzvimbo yedenga kuti zviparadzanise masikati kubva pausiku, uye ngazvishande sezviratidzo zvokucherechedza mwaka namazuva namakore,
01010f005c	uye ngazvive zviedza munzvimbo yedenga kuti zvivhenekere panyika.” Uye zvakaita saizvozvo.
0101100090	Mwari akaita zviedza zvikuru zviviri, chiedza chikuru kuti chibate ushe masikati uye chiedza chiduku kuti chibate ushe usiku. Akaitawo nyeredzi.
010111003c	Mwari akazviisa munzvimbo yedenga kuti zvivhenekere panyika,
010112007b	kuti zvibate ushe masikati nousiku, uye kuti zviparadzanise chiedza kubva parima. Uye Mwari akaona kuti zvakanga zvakanaka.
010113003a	Uye madekwana akavapo, namangwanani akavapo, zuva rechina.
0101140076	Uye Mwari akati, “Mvura ngaive nezvisikwa zvipenyu, uye shiri ngadzibhururuke pamusoro penyika munzvimbo yedenga.”
01011500d9	Saka Mwari akasika zvisikwa zvikuru zvegungwa nezvipenyu zvose zvinokambaira zvinogara mumvura, maererano namarudzi azvo, uye neshiri dzina mapapiro, maererano namarudzi adzo. Uye Mwari akaona kuti zvakanga zvakanaka.
0101160071	Mwari akazviropafadza akati, “Berekanai muwande muzadze mvura iri mumakungwa, uye shiri ngadziwande panyika.”
010117003d	Uye madekwana akavapo, namangwanani akavapo, zuva rechishanu.
01011800c9	Uye Mwari akati, “Nyika ngaibereke zvisikwa zvipenyu maererano namarudzi azvo: zvipfuwo, zvisikwa zvinokambaira panyika, nezvikara zvesango, chimwe nechimwe nemhando yacho.” Uye zvakaita saizvozvo.
01011900b9	Mwari akaita mhuka dzesango maererano namarudzi adzo, zvipfuwo namarudzi azvo, nezvisikwa zvose zvinokambaira panyika maererano namarudzi azvo. Uye Mwari akaona kuti zvakanga zvakanaka.
01011a00fb	Ipapo Mwari akati, “Ngatiitei munhu nomufananidzo wedu, akafanana nesu, uye ngavave nesimba pamusoro pehove dzegungwa napamusoro peshiri dzedenga, napamusoro pemombe, napamusoro penyika yose, uye napamusoro pezvisikwa zvose zvinokambaira panyika.”
01011b0069	Saka Mwari akasika munhu nomufananidzo wake, akamusika mumufananidzo waMwari; akavasika murume nomukadzi.
01011c00e1	Mwari akavaropafadza akati kwavari, “Berekanai muwande; zadzai nyika uye mubate ushe pamusoro payo. Muve nesimba pamusoro pehove dzegungwa napamusoro peshiri dzedenga napamusoro pezvisikwa zvipenyu zvinokambaira panyika.”
01011d009b	Ipapo Mwari akati, “Ndinokupai miriwo yose inobereka iri pamusoro penyika yose nemiti yose ine michero, ine mhodzi mukati mayo. Zvichava zvokudya zvenyu.
01011e00bf	Uye kumhuka dzose dzapanyika neshiri dzose dzedenga nokuzvisikwa zvose zvinokambaira panyika, zvose zvinofema, ndinozvipa miriwo minyoro kuti zvive zvokudya zvazvo.” Uye zvakaita saizvozvo.
01011f0082	Mwari akaona zvose zvaakanga aita, kuti zvakanga zvakanaka kwazvo. Uye madekwana akavapo, namangwanani akavapo, zuva rechitanhatu.
0102010047	Naizvozvo matenga nenyika zvakapera mukushongedzwa kukuru kwazvo kwose.
010202006f	Pazuva rechinomwe Mwari akanga apedza basa raakanga achiita; saka pazuva rechinomwe akazorora pamabasa ake ose.
0102030076	Uye Mwari akaropafadza zuva rechinomwe akariita dzvene nokuti pazuva iro akazorora pabasa rose rokusika raakanga aita.
010204005c	Iyi ndiyo rondedzero yamatenga nenyika pazvakasikwa. Jehovha Mwari paakaita nyika namatenga,
01020500c3	uye kwakanga kusati kwava namakwenzi esango panyika, uye miriwo yesango yakanga isati yamera, nokuti Jehovha Mwari akanga asati anayisa mvura panyika uye kwakanga kusina munhu wokuzorima panyika,
010206003f	asi hova dzaibuda dzichibva pasi uye dzichinyorovesa pasi pose,
0102070075	Jehovha Mwari akaumba munhu kubva paguruva revhu uye akafemera mweya woupenyu mumhino dzake, uye munhu akava mupenyu.
0102080065	Zvino Jehovha Mwari akanga adyara bindu kumabvazuva, muEdheni; uye akaisa munhu waakanga aumba imomo.
01020900c8	Uye Jehovha Mwari akaita mhando dzose dzemiti kuti dzimere kubva muvhu, miti yaifadza meso uye yakanga yakanaka pakudya. Pakati pebindu pakanga pano muti woupenyu nomuti wokuziva zvakanaka nezvakaipa.
01020a0061	Rwizi rwaidiridza bindu rwaiyerera ruchibva muEdheni; kubva imomo rwakaparadzana rukava hova ina.
01020b0058	Zita rerwokutanga ndiPishoni; runopoterera nomunyika yose yeHavhira, imomo mune goridhe.
01020c004b	(Goridhe romunyika iyoyo rakanaka; uyewo dheriamu nebwe reonikisi zvirimo.)
01020d0049	Zita rorwizi rwechipiri ndiGihoni; runopoterera nomunyika yose yeEtiopia.
01020e007b	Zita rorwizi rwechitatu ndiTigirisi; runoyerera ruchitevedza rutivi rwamabvazuva eAshuri. Uye rwizi rwechina ndiYufuratesi.
01020f0052	Jehovha Mwari akatora munhu akamuisa mubindu reEdheni kuti aririme nokurichengeta.
010210006b	Uye Jehovha Mwari akarayira munhu achiti, “Wakasununguka kuti udye zvinobva pamuti upi zvawo uri mubindu;
010211006b	asi haufaniri kudya zvinobva pamuti wokuziva zvakanaka nezvakaipa, nokuti pauchaudya uchafa zvirokwazvo.”
0102120069	Jehovha Mwari akati, “Hazvina kunaka kuti munhu agare ari oga. Ndichamuitira mubatsiri akamukwanira.”
01021300f3	Zvino Jehovha Mwari akanga aumba kubva muvhu, mhuka dzose dzesango neshiri dzose dzedenga. Akazviuyisa kumunhu kuti aone kuti achazvitumidza mazita api, uye chisikwa chipenyu chimwe nechimwe sezvachakatumidzwa nomunhu, ndiro rakava zita racho.
01021400a1	Saka munhu akatumidza mazita kuzvipfuwo zvose, nokushiri dzose dzedenga nemhuka dzose dzesango. Asi kuna Adhamu kwakanga kusina kuwanikwa mubatsiri akamukwanira.
0102150095	Saka Jehovha Mwari akaita kuti munhu avate hope huru; uye paakanga achakavata, akatora rumwe rumbabvu rwomunhu akavhara nenyama nzvimbo yaakarubvisa.
0102160066	Ipapo Jehovha Mwari akaita mukadzi kubva parumbabvu rwaakanga abvisa pamunhu, uye akamuuyisa kumurume.
0102170081	Murume akati, “Zvino uyu ibvupa ramapfupa angu nenyama yenyama yangu; achanzi ‘mukadzi’, nokuti akatorwa kubva pamurume.”
010218006e	Nokuda kwechikonzero ichi, murume achasiya baba namai vake agonamatira kumukadzi wake, uye vachava nyama imwe.
010219004c	Murume nomukadzi wake vakanga vasina kusimira vose, uye havana kutongonyara.
01030100be	Zvino nyoka yakanga ina manomano kupfuura mhuka dzose dzakasikwa naJehovha Mwari. Yakati kumukadzi, “Ko, chaizvoizvo Mwari akati, ‘Hamufaniri kudya muti upi zvawo uri mubindu here’?”
010302004a	Mukadzi akati kunyoka, “Tingadya hedu michero inobva mumiti iri mubindu,
0103030074	asi Mwari akati, ‘Hamufaniri kudya muchero unobva pamuti uri pakati pebindu, uye musaubata kuti murege kufa.’”
0103040031	Nyoka yakati kumukadzi, “Hamungafi zvirokwazvo.
0103050072	Nokuti Mwari anoziva kuti mukaudya meso enyu achasvinudzwa, uye muchaita saMwari mugoziva zvakanaka nezvakaipa.”
01030600da	Mukadzi akati aona kuti muchero womuti wakanga wakanaka kuudya uye kuti waifadza meso, uye kuti waidikanwa kuti munhu ave nouchenjeri, akatora mumwe akadya. Akapawo mumwe kumurume wake, uyo akanga anaye, naiye akaudya.
01030700a0	Ipapo meso avo vose vari vaviri akasvinudzwa, uye vakaziva kuti vakanga vasina kusimira; saka vakasonanidza mashizha omuonde pamwe chete ndokuzvigadzirira nguo.
010308009f	Ipapo murume nomukadzi wake vakanzwa inzwi raJehovha Mwari paakanga achifamba mubindu kwotonhorera, vakavanda pamberi paJehovha Mwari, pakati pemiti yomubindu.
0103090036	Asi Jehovha Mwari akadana murume akati, “Uripiko?”
01030a006e	Akapindura akati, “Ndanzwa inzwi renyu mubindu, uye ndatya nokuti ndanga ndisina kusimira; saka ndavanda.”
01030b006b	Uye iye akati, “Ndiani akuudza kuti hauna kusimira? Wadya kanhi muti wandakakurayira kuti urege kudya?”
01030c0070	Murume akati, “Mukadzi wamakandipa kuno kuti ave neni, ndiye andipa mumwe muchero womuti, uye ini ndikadya.”
01030d0074	Ipapo Jehovha Mwari akati kumukadzi, “Chiiko ichi chawaita?” Mukadzi akati, “Nyoka yandinyengera, ndikadya.”
01030e00be	Saka Jehovha Mwari akati kunyoka, “Nokuti waita izvi, “Watukwa kupfuura zvipfuwo zvose, kupfuura mhuka dzose dzesango! Uchafamba nedumbu rako uye uchadya guruva mazuva ose oupenyu hwako.
01030f0093	Uye ndichaisa ruvengo pakati pako nomukadzi, uye pakati porudzi rwako nerwomukadzi; achapwanya musoro wako, uye iwe ucharuma chitsitsinho chake.”
01031000af	Kumukadzi akati, “Ndichawedzera kwazvo kurwadziwa kwako mukubereka vana; uchabereka vana mukurwadziwa. Kuda kwako kuchava kumurume wako, uye achava nesimba pamusoro pako.”
01031100eb	Kuna Adhamu akati, “Nokuti wakateerera kumukadzi wako uye ukadya zvakabva pamuti wandakakurayira ndichiti, ‘Haufaniri kuudya,’ “Ivhu ratukwa nokuda kwako; mukushanda kunorwadza, uchadya zvibereko zvaro mazuva ose oupenyu hwako.
010312003e	Richakuberekera minzwa norukato, uye uchadya miriwo yomusango.
010313008e	Neziya rechiso chako uchadya zvokudya zvako kusvikira wadzokera kuguruva, sezvo wakatorwa kwariri; nokuti uri guruva, kuguruva uchadzokera.”
010314004f	Uye Adhamu akatumidza mukadzi wake kuti Evha, nokuti aizova mai vavapenyu vose.
010315004e	Jehovha Mwari akaitira Adhamu nomukadzi wake nguo dzamatehwe uye akavafukidza.
01031600d5	Uye Jehovha Mwari akati, “Munhu ava somumwe wedu, anoziva zvakanaka nezvakaipa. Haafaniri kutenderwa kutambanudza ruoko rwake kuti atorewo zvinobva pamuti woupenyu uye kuti azvidye, akazorarama nokusingaperi.”
0103170053	Saka Jehovha Mwari akamudzinga mubindu reEdheni kuti arime ivhu raakatorwa kwariri.
01031800b6	Mushure mokunge adzinga munhu, akaisa makerubhi kurutivi rwokumabvazuva kweBindu reEdheni nomunondo unopfuta uye uchivheyeswa mberi neshure kuti urinde nzira inoenda kumuti woupenyu.
010401007d	Adhamu akarara nomukadzi wake Evha, uye akava nemimba akabereka Kaini. Akati, “Norubatsiro rwaJehovha, ndabereka murume.”
010402006a	Mushure akabereka mununʼuna wake Abheri. Zvino Abheri aiva mufudzi wamakwai, uye Kaini aiva murimi wevhu.
0104030057	Mukufamba kwenguva, Kaini akauya nezvimwe zvezvibereko zvevhu sechipiriso kuna Jehovha.
010404006e	Asi Abheri akauya nomugove wamafuta aibva mumhongora dzamakwai. Jehovha akagamuchira Abheri nechipiriso chake,
