2800000005	Mateo
2801010050	Bhuku redzinza raJesu Kristu, Mwanakomana waDhavhidhi, mwanakomana waAbhurahama.
280102006b	Abhurahama wakabereka Isaka; Isaka ndokubereka Jakobho; Jakobho ndokubereka Judha nevanakomana vababa vake;
2801030063	Judha ndokubereka Faresi naZara kuna Tamari; Faresi ndokubereka Esiromi; Esiromi ndokubereka Arami;
280104005f	Arami ndokubereka Aminadhabhi; Aminadhabhi ndokubereka Naashoni; Naashoni ndokubereka Sarimoni;
280105006b	Sarimoni ndokubereka Bhowazi kuna Rahabhi; Bhowazi ndokubereka Obhedhi kuna Rute; Obhedhi ndokubereka Jese;
280106005d	Jese ndokubereka Dhavhidhi mambo; Dhavhidhi mambo ndokubereka Soromoni kumukadziwaiva waUria;
2801070053	Soromoni ndokubereka Robhoami; Robhoami ndokubereka Abhiya; Abhiya ndokubereka Asa;
2801080051	Asa ndokubereka Josafati; Josafati ndokubereka Joramu; Joramu ndokubereka Oziasi;
280109004f	Oziasi ndokubereka Jotamu; Jotamu ndokubereka Akazi; Akazi ndokubereka Hezekia;
28010a0051	Hezekia ndokubereka Manase; Manase ndokubereka Amoni; Amoni ndokubereka Josiyasi;
28010b0058	Josiyasi ndokubereka Jekoniasi nevanakomana vamai vake nenguva yekutapirwa kuBhabhironi.
28010c006a	Zvino shure kwekutapirwa kuBhabhironi, Jekoniasi wakabereka Saratieri; Saratieri ndokubereka Zerubhabheri;
28010d005d	Zerubhabheri ndokubereka Abhiudhi; Abhiudhi ndokubereka Eriakimi; Eriakimi ndokubereka Azori;
28010e0051	Azori ndokubereka Sadhoki; Sadhoki ndokubereka Akimi; Akimi ndokubereka Eriyudhi;
28010f0057	Eriyudhi ndokubereka Eriazari; Eriazari ndokubereka Matani; Matani ndokubereka Jakobho;
2801100052	Jakobho ndokubereka Josefa murume waMaria, kwakazvarwa kwaari Jesu, anonzi Kristu.
28011100f0	Naizvozvo mazera ese kubva kuna Abhurahama kusvikira kuna Dhavhidhi mazera gumi nemana; nekubva kuna Dhavhidhi kusvikira pakutapirwa kuBhabhironi mazera gumi nemana; nekubva pakutapirwa kuBhabhironi kusvikira kuna Kristu mazera gumi nemana.
28011200ac	Zvino kuberekwa kwaJesu Kristu kwaiva kwakadai: Nokuti mai vake Maria vakati vatsidzirwa kuroorwa naJosefa, vasati vasangana vakaonekwa vava nemimba kubva kuMweya Mutsvene.
2801130063	Zvino Josefa murume wavo zvaakange ari wakarurama, asingadi kuvafumura, waida kuvaramba muchivande.
28011400e4	Asi zvino wakati acharangarira zvinhu izvozvi, tarira, mutumwa waIshe wakaonekwa kwaari muchiroto achiti: Josefa, mwanakomana waDhavhidhi, usatya kuzvitorera Maria mukadzi wako; nokuti icho chakaumbwa maari ndecheMweya Mutsvene.
280115006b	Uye achabereka Mwanakomana, uye uchatumidza zita rake Jesu, nokuti iye achaponesa vanhu vake pazvivi zvavo.
