1300000006	Psalmi
1301010070	Blagor možu, ki ne hodi po sovetu krivičnih in ne stopa na grešnikov pot ter ne sedeva v zboru zasmehovalcev;
1301020059	Nego veselje njegovo je v postavi Gospodovi, in postavo njegovo premišljuje noč in dan.
13010300a8	Je namreč kakor drevo zasajeno ob vodnih potocih, katero sad svoj rodi o svojem času, in listje njegovo ne odpada: zatorej karkoli bode počel, posrečilo se mu bode.
130104003b	Ne tako krivični; nego kakor pleve, katere veter raznaša.
130105004c	Zatorej ne ostanejo krivični v óni sodbi; ne grešniki v zboru pravičnih.
130106003a	Ker Gospod pozna pravičnih pot; pot pa krivičnih izgine.
1302010036	Zakaj hrumé narodi in ljudstva si izmišljajo prazno?
1302020063	Zemlje kralji vstajajo in prvaki se posvetujejo skupaj zoper Gospoda in zoper maziljenca njegovega:
130203003a	Raztrgajmo njih vezí in sè sebe vrzimo njih debele vrvi!
1302040031	Sedeči v nebesih se smeje; zasmehuje jih Gospod.
1302050041	Tedaj jih ogovorí v jezi svoji, in v srdu svojem jih prestraši:
1302060053	Saj sem jaz pomazilil kralja svojega ter postavil čez Sijon, gôro svetosti svoje.
130207004a	Oznanim naj sklep: Gospod mi je rekel: Sin si moj, jaz sem te danes rodil.
130208004c	Prosi me, in narode ti dam v posest in kraje zemlje v pravico posesti tvoje.
1302090042	Zdrobiš jih s šibo železno; kakor prsteno posodo jih razsuješ.
13020a0043	Zdaj torej, kralji, poslušajte; poduk sprejmite, o zemlje sodniki!
13020b003a	V svetem strahu služite Gospodu, in radujte se v trepetu!
13020c0089	Poljubite Sina, da se ne razsrdi in ne poginete na potu, ako se le kolikaj razvname jeza njegova; blagor vsem, kateri pribegajo do njega.
130301007d	Psalm Davidov, ko je bežal pred Absalomom, sinom svojim. Gospod, koliko je sovražnikov mojih, koliko jih vstaja proti meni!
1303020042	Koliko jih govori za dušo mojo: Ni je pomoči njej v Bogu nobene.
1303030044	Ti pa, Gospod, ščit si meni, slava moja, in glavo mojo vzdiguješ.
130304004b	Z glasom svojim vpijočemu v Gospoda odgovoril mi je z gore svetosti svoje.
130305003d	Jaz sem ležal in spal, zbudil sem se, ker Gospod me podpira.
130306004d	Ne bodem se bal ljudstva tisočin, katere bodo okrog razpostavili proti meni.
130307006b	Vstani, Gospod; reši me, moj Bog, ki si udaril vse sovražnike moje po čeljusti, zobe zdrobil krivičnim.
130308003b	Gospodovo je rešenje; nad ljudstvom tvojim blagoslov tvoj!
13040100a0	Načelniku godbe na strune; psalm Davidov. Ko te kličem, usliši me, Bog pravice moje; v stiski dal si mi prostora; milosten mi bodi in poslušaj molitev mojo.
130402005f	Sinovi človeški, doklej bodi slava moja v nečast? ljubili bodete ničnost? hodili za lažjo?
1304030081	Spoznajte vendar, da si je Gospod posebe odbral njega, katerega prijazno sprejema; da bode uslišal Gospod, ko ga bodem zaklical.
1304040057	Prestrašite se in ne grešite; mislite v srci svojem, na ležišči svojem in mirujte!
1304050036	Darujte daritve pravice, in zaupanje imejte v Gospoda.
1304060058	Mnogi govoré: O da bi vživali dobro! Dvigni nad nas svetlobo obličja svojega, Gospod!
130407005d	Vlij radost v srce moje, večjo nego o času, ko spravljajo žito svoje in vino svoje obilno.
1304080053	V miru ležem in zdajci zaspim; ker ti sam, Gospod, daješ, da prebivam brez skrbi.
1305010068	Načelniku godbe na piščali; psalm Davidov. Besede moje čuj, Gospod; ozri se na premišljevanje moje.
130502004e	Poslušaj vpitja mojega glas, kralj moj in Bog moj: ker pri tebi imam molitev.
1305030052	Gospod, zgodaj bodeš slišal glas moj; zgodaj bodem govoril pred teboj in čakal.
130504005a	Ker ti nisi Bog mogočni, kateri bi se radoval krivice; pred teboj ne bode prebivalo hudo.
1305050047	Blazni ne stopajo ti pred óči; sovražiš vse, kateri delajo krivico.
1305060057	Pogubiti hočeš nje, ki laž govoré; moža krvoželjnega in zvijačnega studi Gospod.
130507007d	Jaz pa vnidem obdan z obilnostjo milosti tvoje v hišo tvojo; priklonim se proti hramu svetosti tvoje v svetem strahu tvojem.
130508005d	Gospod, spremljaj me v pravici svoji zavoljo zalezovalcev mojih; pot svojo ugladi pred menoj.
1305090079	Ker v ustih njihovih ni pravice; notranjost njih: nadloge, grob odprt njih grlo; z jezikom svojim se dobrikajo zvijačno.
13050a0079	Pokôri jih, o Bog; izpodleté naj v naklepih svojih; pahni jih dol po obilosti njih pregréh, ker upirajo se zoper tebe.
13050b0095	In veselili se bodo vsi, kateri pribegajo k tebi; na veke bodo prepevali, katerim bodeš bramba, in radovali se bodo v tebi ljubitelji tvojega imena.
13050c0053	Ker ti blagoslavljaš pravičnega, Gospod, delaš, da ga milost krije kakor ščit.
1306010075	Načelniku godbe na strune po osmini; psalm Davidov. Gospod, v jezi svoji ne pokôri me; in v srdu svojem ne tepi me.
130602005d	Milosten mi bodi, Gospod, ker opešal sem: ozdravi me, Gospod, ker preplašene so kosti moje.
130603003d	In duša moja je preplašena silno, ti torej, Gospod, doklej?
130604003e	Povrni se, Gospod; otmi dušo mojo, po milosti svoji reši me.
130605003d	Ker spomina nate ni v smrti sami; v grobu kdo te bode slavil?
1306060080	Utrujen sem v zdihovanji svojem; storil sem, da plava vso noč postelja moja; sè solzami svojimi sem raztopil ležišče svoje.
130607004f	Otemnelo je od žalovanja moje oko; postaralo se je med vsemi mojimi zatiralci.
1306080051	Poberite se od mene vsi, ki delate krivico; ker Gospod posluša glas mojega joka.
1306090040	Gospod posluša prošnjo mojo; Gospodu je prijetna molitev moja.
13060a0064	Osramoté se naj in preplašijo silno vsi sovražniki moji; vrnejo se naj, osramoté pri tej priči.
130701009c	Pesem meševita Davidova, katero je pel Gospodu na besede Kusa Benjaminca. Gospod, Bog moj, k tebi pribegam; reši me vseh preganjalcev mojih in oprosti me.
130702003f	Da ne zgrabi kakor lev duše moje in raztrga, ko ni pomočnika.
1307030045	Gospod, Bog moj, ako sem storil tisto, ako je krivica na rokah mojih:
1307040065	Ako sem storil hudo v miru živečemu z menoj, ki sem mu rad pomagal, kateri me je zatiral po krivem:
130705007c	Preganja naj sovražnik dušo mojo in dohiti ter potepta na tleh življenje moje; in storí naj, da v prahu biva slava moja.
130706007a	Vstani, Gospod, v jezi svoji; dvigni se silno razkačen proti njim, ki me zatirajo; in čuj nad menoj, sodbo si zapovedal.
130707003e	Torej narodov zbor naj te obdá in nad njim vrni se v višavo.
1307080061	Gospod sodi ljudstva; sodi me, Gospod, po pravičnosti moji in po nedolžnosti moji razsodi zame.
130709006b	Propade naj, prosim, zlo krivičnih, in pravičnega utrdi; kakor preiskuješ srca in obisti, Bog pravični.
13070a0039	Ščit moj je v Bogu, ki daje blaginjo pravičnim v srci,
13070b0048	V Bogu, ki je pravičnemu bramba in Bogu mogočnem, ki se srdi vsak dan.
13070c0056	Ako se ne izpreobrne krivični, nabrusi svoj meč; lok svoj je napél in pomeril vanj.
13070d0046	Pomeril je vanj smrtno orožje; pušice svoje zgrabi zoper divjajoče.
13070e004e	Glej, rodil bode ničemurnost; kakor je spočel nadlogo, tako bode rodil laž.
13070f004d	Vodnjak je kopal in izglobal ga; vanj je planil, v jami opravljat delo svoje.
1307100056	Povrne se nadloga njegova na glavo njegovo in nad téme njegovo pride njegova krivica.
1307110056	Slaviti hočem Gospoda po pravici njegovi in prepeval bodem imenu Gospoda najvišjega.
13080100a7	Načelniku godbe pri postaji Gitajski, psalm Davidov. Gospod, kralj naš, kako veličastno je ime tvoje na vesoljni zemlji, kateri razodevaš nadnebeško lepoto svojo.
130802007d	Iz ust otrok in dojencev si ustanovil si utrjeno hvalo, zavoljo sovražnikov svojih, da krotiš neprijatelja in maščevalca.
1308030053	Ko ogledujem nebesa tvoja, prstov tvojih delo, mesec in zvezde, ki si jih napravil;
1308040049	Kaj je človek, da se ga spominjaš, ali sin človekov, da ga obiskuješ!
1308050050	Malo si ga sicer postavil pod angele, a venčal si ga sè slavo in veličastvom.
1308060047	Postavil si ga čez dela svojih rók; vse si položil pod noge njegove:
130807003c	Drobnico in goveda, kolikor jih je, in tudi poljske živali;
1308080047	Tice pod nebom in ribe v morji; karkoli se izprehaja po morskih stezah.
1308090045	Gospod, kralj naš, kako veličastno je ime tvoje na vesoljni zemlji!
1309010083	Načelniku godbe, visoke do srednje, psalm Davidov. Slavil bodem, Gospod, iz vsega srca svojega, oznanjal vsa čudovita dela tvoja,
130902004c	Veselil se bodem in radoval v tebi, prepeval bodem tvojemu imenu, Najvišji:
1309030048	Da sovražniki moji umikajoč se padajo in ginejo pred obličjem tvojim.
1309040054	Ker sodil si pravico mojo in pravdo mojo, sedel si na prestolu, o branitelj pravice.
130905004d	Pokaral si narode, pogubil krivičnega, ime njih si izbrisal na večne čase.
