2a00000004	Luke
2a0101007c	Karainaku apu Tiopilusu, ekime xokupa apue xupuniki eruruneri Xoiteue sini xopu asinaku kapia kakeyaire mua kuna xayawoniai.
2a010200a8	Ximuximu kapia xotapa yara xati apu ekinikie xekoniai nikau kuna taineri, xayawoteneai. Pa apu teu nini Xoiteupo kunapu saina apu purirounerie, mua kuna asi siketeneai.
2a010300a6	Pa xati ye rania, mua kuna asi xayau xesarinepure xine. Ye xuwau yause saina tine xokupa kapia xotapaure ati kotoniki sipauweine, pa kapia yaraxeyaireni kutu xayaune.
2a01040051	Ne nina xinau ati sipawowai, mua kuna ninie uworineniai paiya, xiri suwauni kutu.
2a010500aa	Erotie Yutiapu kokemu purotai yause xosa, kire xuria titie purotai, nupo wenumu Sekaraia. Nu Apiyapu apu kinipo xuria titi. Nupo xui wenumu Elisapeti, nu Aronipo apu nou.
2a0106009c	Nini Xoiteu ekero ati purineri, nupo xokupa tu xeika, kuna xeika ati tairounexeri. Kakineri Xoiteu ekero asinaku kapia tainexeri poripori xuweu purirouneri.
2a01070041	Nini nono xuwe. Pa amure, Elisapeti xoso xati ai sakauwexeteneai.
2a01080065	Kire yause Sekaraiapu emeumanae xuria titi saina teri, nue rania Xoiteu ekero xuria tepi saina tetai.
2a010900f5	Yu xuria titierau akeri Xoiteupo ata minika mana xepi kararati xepitutu asinaku uritukuwe Xoiteu xou iwopinaure, xuria titi nikou kapia taineri satu nerawoteneai. Pa kapiarei Sekaraia tumuworeri, nue Xoiteu xou iwopure ata minikani kutu manetai.
2a010a0044	Pa yause xosa, xokupa xuiapue kisau kunununeri, kunikuni puroteneai.
2a010b0092	Kakeria, kire Xoiteupo xenikorokoroe, lemeni Sekaraia maiyeuna Xoiteu xouineri xepi karareri xepi tu xirouna sakapu xupo meru kisaro tumu purotai.
2a010c0043	Kakatia Sekaraiae xenikorokoro xekerina ureri xouxouwari ximiketai.
2a010d00b0	Kakatia xenikorokoroe ipaki kauna, “Sekaraia, ne kaki xanau ximikeu, Xoiteue neu kunikuni iyesetai. Neu ineni Elisapetie sawai nono iyarepina. Wenunauwa Yoni wowai,” wotai.
2a010e0071	“Pa nono iyarepina yause xosa, xonikemu asinaku purati nimaririwowai. Kakauwa xokupa xui apue nimaririwopineri.
2a010f00b9	Pa amure, nu Xoiteu ekero kokai wenumu tuku xepina. Nu xisa xeika sokisoki ene xeika nepuwati xana xuwe. Nu ana kamoro puratiporoni, Xoiteupo Sokisoki Supo Youyae nu xosa xopoke xepina.
2a01100056	Nue kakatia Israilipo xokupa xuiapue pirixineri, nikou Xoiteu Kokaipa xosa xowopineri.
2a0111012d	Nue Ilaisapu kapia xeika sokisoki xeika tinapa Kokaipa xosa akeri xowopina. Kakinapa nonomi eminikimanapu xoniki tumainikepina. Pani kuna seki ereteneai apu nikau nanunanu kutunikatia, asinaku apu nikau nanunanu sie tepineri. Yonie xuiapu ireinikatia, nini ati purineri Kokaipa yakuwopineri,” wotai.
2a0112008c	Kakati Sekaraiae xenikorokoro ipaki kauna, “Amakinei neu kuna suwau xinei sipawopinena? Ye sakau xiti, yeu xui rania sakaurotai,” wotai.
2a01130089	Kakatia xenikorokoroe xiyeri kuna kauna, “Ye Kepreli, ye Xoiteu ekero puriroune, Xoiteu nukoini xesayati asinaku kuna kanepure koutiai.
