0100000008	Génesis
0101010036	En un principio ʼElohim creó los cielos y la tierra.
01010200a0	Pero la tierra estaba desolada y vacía, y había oscuridad sobre la superficie del abismo. El Espíritu de ʼElohim se movía sobre la superficie de las aguas.
010103002d	Entonces ʼElohim dijo: Haya luz. Y hubo luz.
0101040051	ʼElohim vio que la luz era buena e hizo separación entre la luz y la oscuridad.
010105006b	ʼElohim llamó a la luz día y a la oscuridad llamó noche. Y fue la tarde y fue la mañana: Día primero.
0101060055	ʼElohim dijo: Haya expansión en medio de las aguas y separe las aguas de las aguas.
010107009d	ʼElohim hizo la expansión y estableció separación entre las aguas que estaban debajo de la expansión y las aguas que estaban encima de ella. Y fue así.
0101080056	ʼElohim llamó a la expansión cielos. Y fue la tarde y fue la mañana: Día segundo.
0101090070	ʼElohim dijo: Sean reunidas las aguas de debajo de los cielos en un solo lugar, y aparezca lo seco. Y fue así.
01010a006c	ʼElohim llamó a lo seco tierra, y a la reunión de las aguas llamó mares. Y ʼElohim vio que estaba bien.
01010b00c0	Entonces ʼElohim dijo: Produzca la tierra vegetación: hierba que haga germinar semilla y árbol frutal que dé fruto sobre la tierra según su especie, cuya semilla esté en él. Y fue así.
01010c00bb	La tierra hizo brotar vegetación: hierba que hace germinar semilla según su especie, y árbol que da fruto, cuya semilla está en él, según su especie. Y ʼElohim vio que estaba bien.
01010d002e	Y fue la tarde y fue la mañana: Día tercero.
01010e00a8	ʼElohim dijo: Haya lumbreras en la expansión de los cielos para diferenciar entre el día y la noche, y sirvan para señales, para las estaciones, para días y años,
01010f005b	y sean luminarias en la expansión de los cielos para alumbrar sobre la tierra. Y fue así.
0101100076	ʼElohim hizo las dos grandes lumbreras: la lumbrera mayor para regir el día y la lumbrera menor para regir la noche.
010111005c	ʼElohim colocó las estrellas en la expansión de los cielos para alumbrar sobre la tierra,
010112006d	para regir durante el día y la noche, y para separar la luz de la oscuridad. Y ʼElohim vio que estaba bien.
010113002d	Y fue la tarde y fue la mañana: Día cuarto.
010114007d	Entonces ʼElohim dijo: Llénense las aguas seres vivientes y aves que vuelen sobre la tierra en la expansión de los cielos.
01011500c3	ʼElohim creó los grandes monstruos marinos y todos los seres vivos que se mueven y que poblaron las aguas, según su especie, y toda ave alada según su especie. Y ʼElohim vio que estaba bien.
010116007c	ʼElohim los bendijo: Fructifiquen y multiplíquense. Llenen las aguas en los mares y multiplíquense las aves en la tierra.
010117002d	Y fue la tarde y fue la mañana: Día quinto.
0101180095	Entonces ʼElohim dijo: Produzca la tierra seres vivientes según su especie: ganado, reptiles y bestias de la tierra, según su especie. Y fue así.
01011900a1	ʼElohim hizo las bestias de la tierra según su especie, el ganado según su especie, y todo reptil del suelo según su especie. Y ʼElohim vio que estaba bien.
01011a00f7	Entonces ʼElohim dijo: Hagamos al hombre a nuestra imagen, conforme a nuestra semejanza, y ejerza dominio sobre los peces del mar, sobre las aves de los cielos, sobre el ganado, sobre toda la tierra, y sobre todo reptil que repta sobre la tierra.
01011b005f	ʼElohim creó al hombre a su imagen. A imagen de ʼElohim lo creó. Varón y hembra los creó.
01011c00de	Luego ʼElohim los bendijo. Y ʼElohim les dijo: Fructifiquen y multiplíquense. Llenen la tierra y sojúzguenla. Dominen sobre los peces del mar y las aves de los cielos y sobre todo ser vivo que se mueve sobre la tierra.
01011d00c3	Y ʼElohim dijo: Aquí les doy toda hierba que produce semilla que está sobre la superficie de toda la tierra, y todo árbol en el cual hay fruto y que produce semilla. Les servirá de alimento.
01011e00a9	Toda hierba verde les servirá de alimento a toda bestia de la tierra, a toda ave de los cielos y a todo lo que repta sobre la tierra en los cuales hay vida. Y fue así.
01011f005e	ʼElohim vio todo lo que hizo, y estaba muy bien. Y fue la tarde y fue la mañana: Día sexto.
0102010037	Fueron hechos los cielos y la tierra, y toda su hueste.
010202006d	En el día séptimo ʼElohim había acabado su labor que hizo. Descansó de toda su obra en el día séptimo.
010203007a	ʼElohim bendijo el día séptimo y lo santificó, porque en él ʼElohim descansó de toda su obra que tenía para hacer.
0102040085	Este fue el origen de los cielos y la tierra cuando fueron creados. El día en el cual Yavé ʼElohim hizo [la] tierra y [los] cielos
01020500c9	no había aún alguna planta del campo. Ni brotaba aún en la tierra alguna hierba del campo, porque Yavé ʼElohim no había enviado lluvia sobre la tierra. Ni había hombre para que labrara el suelo.
0102060045	Pero subía de la tierra un vapor que regaba la superficie del suelo.
0102070085	Entonces Yavé ʼElohim modeló al hombre de la tierra roja, e insufló en su nariz aliento de vida. Y el hombre fue un ser viviente.
010208005a	Yavé ʼElohim plantó un huerto al oriente de Edén, y colocó allí al hombre que creó.
01020900bd	Yavé ʼElohim hizo brotar de la tierra todo árbol agradable a la vista y bueno para comer. En medio del huerto estaba el árbol de la vida y el árbol del conocimiento del bien y del mal.
01020a0059	Del Edén salía un río que regaba el huerto y desde allí se dividía en cuatro cauces.
01020b0060	El nombre del primero era Pisón. Éste es el que rodea toda la tierra de Havila, donde hay oro.
01020c0044	El oro de aquella tierra es bueno. Allí hay ámbar y piedra ónice.
01020d0054	El nombre del segundo río era Guijón. Éste es el que rodea toda la tierra de Cus.
01020e006a	El nombre del tercer río era Hidequel, que fluye al oriente de Asiria. Y el cuarto río era el Éufrates.
01020f006c	Entonces Yavé ʼElohim tomó al hombre y lo puso en el huerto de Edén para que lo cultivara y lo guardara.
0102100049	Yavé ʼElohim ordenó al hombre: De todo árbol del huerto puedes comer.
0102110082	Pero del árbol del conocimiento del bien y del mal, no comerás de él, porque el día cuando comas de él, ciertamente morirás.
010212005c	Y Yavé ʼElohim dijo: No es bueno que el hombre esté solo. Le haré ayuda semejante a él.
01021300d7	Porque Yavé ʼElohim formó de la tierra toda bestia del campo y toda ave de los cielos, y los llevó al hombre para que viera cómo los llamaría. Así como el hombre llamó a cada ser viviente, ése es su nombre.
0102140097	El hombre dio nombres a todos los animales, a las aves del cielo y a toda bestia del campo. Pero para el hombre no se halló una ayuda semejante a él.
0102150090	Entonces Yavé ʼElohim hizo caer al hombre en un sueño profundo. Y mientras dormía, tomó una de sus costillas y cerró la carne en su lugar.
0102160059	De la costilla que Yavé ʼElohim tomó del hombre hizo una mujer, y la llevó al hombre.
010217008c	Y el hombre exclamó: ¡Ahora ésta es hueso de mis huesos y carne de mi carne! Por esto será llamada Varona, porque del varón fue tomada.
0102180063	Por tanto el hombre dejará a su padre y a su madre, se unirá a su esposa y serán una sola carne.
0102190043	El hombre y su esposa estaban ambos desnudos, y no se avergonzaban.
01030100ae	Pero la serpiente era astuta, más que toda bestia del campo que Yavé ʼElohim hizo. Y preguntó a la mujer: ¿Así que ʼElohim dijo: No coman de ningún árbol del huerto?
0103020057	La mujer respondió a la serpiente: Podemos comer del fruto de los árboles del huerto,
0103030078	pero del fruto del árbol que está en medio del huerto, dijo ʼElohim: No coman de él ni lo toquen para que no mueran.
0103040033	Entonces la serpiente dijo a la mujer: No morirán,
010305008e	porque ʼElohim sabe que el día cuando coman de él, se les abrirán los ojos y serán semejantes a ʼElohim, conocedores del bien y del mal.
01030600da	La mujer vio que el árbol era bueno para comer y agradable a los ojos, y que era el árbol deseado para alcanzar conocimiento. Tomó de su fruto y comió. Le dio también a su esposo que estaba con ella, y él comió.
010307009a	Entonces se les abrieron los ojos a ambos y se dieron cuenta que estaban desnudos. Cosieron follaje de higuera y se hicieron delantales para ellos mismos.
01030800bf	Oyeron el sonido de Yavé ʼElohim, Quien se paseaba por el huerto a la brisa del día, y el hombre y su esposa se escondieron de la Presencia de Yavé ʼElohim entre los árboles del huerto.
0103090045	Pero Yavé ʼElohim llamó al hombre y le preguntó: ¿Dónde estás?
01030a0056	Contestó: Oí tu sonido en el huerto y tuve miedo porque estoy desnudo y me escondí.
01030b0070	Le preguntó: ¿Quién te enseñó que estás desnudo? ¿Comiste del árbol del cual te ordené que no comieras?
01030c0050	El hombre respondió: La mujer que pusiste conmigo me dio del árbol y yo comí.
01030d006e	Y Yavé ʼElohim preguntó a la mujer: ¿Qué hiciste? La mujer respondió: La serpiente me engañó, y comí.
01030e00d7	Entonces Yavé ʼElohim dijo a la serpiente: Por cuanto hiciste esto ¡Maldita seas entre todos los animales Y entre todas las bestias del campo! Andarás sobre tu vientre. Polvo comerás todos los días de tu vida.
01030f008c	Pondré enemistad entre ti y la mujer, Y entre tu descendiente y su descendiente. Éste te aplastará la cabeza Cuando tú hieras su talón.
01031000a3	Y dijo a la mujer: Multiplicaré inmensamente los dolores de tus preñeces. Con dolor darás a luz los hijos, Y tendrás deseo de tu marido, Pero él te dominará.
01031100d6	Y dijo al hombre: Por cuanto atendiste la voz de tu esposa, Y comiste del árbol del cual te ordené: No comas de él, ¡Maldita sea la tierra por causa tuya! Con fatiga comerás de ella todos los días de tu vida.
010312003a	Espinos y abrojos te brotará Y comerás hierba del campo.
010313008a	Con el sudor de tu rostro comerás pan Hasta que regreses a la tierra. Porque de ella fuiste tomado, Pues polvo eres y al polvo volverás.
0103140050	El hombre llamó a su esposa Eva, por cuanto ella sería madre de todo viviente.
0103150056	Entonces Yavé ʼElohim hizo túnicas de pieles para Adán y su esposa, y los vistió.
01031600c6	Yavé ʼElohim dijo: Ciertamente el hombre es ahora como uno de Nosotros, conocedor del bien y del mal. Ahora, que no extienda su mano, tome también del árbol de la vida, coma y viva para siempre.
0103170061	Yavé ʼElohim lo expulsó del huerto de Edén para que trabajara la tierra de la que fue tomado.
01031800c3	Así pues, expulsó al hombre y situó querubines al oriente del huerto de Edén, con la espada incandescente que se revolvía a todos los lados para guardar el camino hacia el árbol de la vida.
0104010072	Adán se unió a su esposa Eva, y ella concibió. Dio a luz a Caín, y dijo: Adquirí un varón de parte de Yavé.
0104020065	Volvió a dar a luz, a su hermano Abel. Abel fue pastor de ovejas, y Caín fue labrador de la tierra.
0104030063	Con el transcurso del tiempo, sucedió que Caín llevó a Yavé una ofrenda del fruto de la tierra.
0104040081	También Abel llevó de los primerizos de su rebaño y de los más gordos de ellos. Yavé miró con agrado a Abel y a su ofrenda,
010405006e	pero no miró con agrado a Caín ni la ofrenda suya. Y Caín se enfureció muchísimo, y decayó su semblante.
0104060058	Entonces Yavé dijo a Caín: ¿Por qué te enfureciste, y por qué decayó tu semblante?
010407009d	Si haces lo bueno, ¿no serás enaltecido? Pero si no haces lo bueno, el pecado acecha a la puerta. Su deseo ardiente va contra ti, pero tú debes dominarlo.
01040800a8	Caín habló a su hermano Abel: Vayamos al campo. Y él fue. Pero sucedió que cuando estaban ellos en el campo, Caín se levantó contra su hermano Abel y lo asesinó.
010409007d	Entonces Yavé preguntó a Caín: ¿Dónde está tu hermano Abel? Y él respondió: No sé. ¿Soy yo guardián de mi hermano?
01040a005f	Pero Él dijo: ¿Qué hiciste? ¡La voz de la sangre de tu hermano clama a Mí desde la tierra!
01040b006e	Ahora, ¡maldito seas tú por la tierra que ensanchó su boca para recibir de tu mano la sangre de tu hermano!
01040c0058	Cuando trabajes la tierra no te dará su fuerza. Errante y fugitivo serás en la tierra.
01040d0043	Y Caín respondió a Yavé: ¡Grande es mi castigo para soportarlo!
01040e00b9	Si me expulsas hoy de sobre la superficie de la tierra, estaré oculto de tu presencia. Seré errante y fugitivo en la tierra y sucederá que cualquiera que me encuentre, me asesinará.
