0100000008	Génesis
0101010032	En el principio creó Dios los cielos y la tierra.
0101020095	La tierra estaba desordenada y no tenía forma. La oscuridad cubría el profundo abismo, mientras que el Espíritu de Dios se movía sobre las aguas.
0101030043	Entonces Dios dijo: «¡Que aparezca la luz!». Y apareció la luz.
010104003e	Dios vio que la luz era hermosa, y la separó de la oscuridad.
0101050090	A la luz Dios la llamó «día», y a la oscuridad la llamó «noche». Pasó la tarde y pasó la mañana, y se completó, así, el primer día.
010106005e	Después Dios dijo: «Que aparezca el firmamento en medio de las aguas, para que las separe».
0101070090	Así que Dios hizo el firmamento, para separar las aguas. De modo que una parte de las aguas quedó arriba del firmamento y otra, debajo de él.
0101080071	Al firmamento Dios lo llamó «cielo». Pasó la tarde y pasó la mañana, y se completó, así, el segundo día.
0101090094	Después Dios dijo: «Que las aguas que están debajo del cielo se junten en un solo lugar, de modo que la otra parte quede seca». Y así ocurrió.
01010a007c	A la parte seca Dios le dio el nombre de «tierra», y a las aguas las llamó «mares». Dios vio que todo esto era hermoso.
01010b0163	Así que dijo: «Que de la tierra brote toda clase de vegetación, es decir, plantas que se reproduzcan por medio de semillas, y árboles frutales en cuyos frutos estén sus semillas». Y, tal como Dios lo dijo, de la tierra brotaron las plantas y árboles frutales con sus respectivas semillas para su reproducción. Y Dios vio que todo esto era hermoso.
01010d0048	Pasó la tarde y pasó la mañana, y se completó, así, el tercer día.
01010e00c2	Después Dios dijo: «Que haya luces en el cielo, para que alumbren la tierra y separen el día de la noche, y para que marquen también las estaciones, los días y los años». Y así ocurrió.
01011000a9	Entonces Dios hizo dos grandes luces: la más grande para que alumbre durante el día, y la más pequeña, para que brille en la noche. También Dios hizo las estrellas.
01011100a1	Dios puso estas luces en el cielo para que alumbraran la tierra de día y de noche, y para que separaran la luz de la oscuridad. Y Dios vio que esto era hermoso.
0101130048	Pasó la tarde y pasó la mañana, y se completó, así, el cuarto día.
01011400a7	Después Dios dijo: «Que las aguas se llenen de peces y de otros animales acuáticos, y que también haya aves que vuelen sobre la tierra, en el inmenso firmamento».
01011500d3	Fue así como Dios creó los grandes animales que hay en el mar, y todos los demás seres vivos que hay en el agua. También Dios creó todas las clases de aves que existen. Y Dios vio que todo esto era hermoso.
01011600ad	Luego Dios los bendijo y les dijo: «Tengan muchas, pero muchas crías, para que llenen los mares». Además, dijo: «¡Que las aves se reproduzcan en grandes cantidades!».
0101170048	Pasó la tarde y pasó la mañana, y se completó, así, el quinto día.
010118007a	Después Dios dijo: «Que en la tierra haya toda especie de animales: domésticos, salvajes y reptiles». Y así ocurrió.
0101190095	Así que Dios hizo todos los animales domésticos, los salvajes y los reptiles, todos según su propia especie. Y vio Dios que todo esto era hermoso.
01011a00c7	Entonces Dios dijo: «Hagamos a los seres humanos a nuestra imagen, a nuestra semejanza, para que ejerzan poder sobre los peces, las aves, los animales domésticos y salvajes, y sobre los reptiles».
01011b0079	De modo que Dios creó a los seres humanos a su imagen. Sí, a su imagen Dios los creó. Y Dios los creó hombre y mujer.
01011c00d8	Luego Dios los bendijo y les dijo: «Tengan muchos hijos, para que llenen toda la tierra, y la administren. Ustedes dominarán a los peces del mar, a las aves del cielo, y a todos los animales que hay en la tierra».
01011d0086	También les dijo: «Ustedes se alimentarán de toda planta que se reproduzca por medio de semillas, y de todos los árboles frutales.
01011e0083	Las bestias del campo, las aves del cielo, y todos los seres vivos que se arrastran sobre la tierra se alimentarán de vegetales».
01011f009f	Entonces Dios contempló todo lo que había hecho, y vio que era muy, pero muy hermoso. Pasó la tarde y pasó la mañana, y se completó, así, el sexto día.
010201004f	De este modo fueron creados los cielos y la tierra, y todo lo que hay en ellos.
0102020063	Después de haber terminado todo lo que se había propuesto hacer, Dios descansó el séptimo día.
0102030077	Y bendijo el séptimo día y lo instituyó como día santo, porque en ese día descansó después de haber creado todo.
0102040074	Aquí termina la historia de la creación del cielo y de la tierra. Cuando Dios el Señor hizo la tierra y el cielo,
01020500ce	todavía no había ninguna clase de vegetación en la tierra, porque Dios el Señor aún no había hecho llover. Además, no había quien trabajara la tierra, porque todavía Dios no había hecho al hombre.
