0100000006	Mwanzo
0101010029	Hapo mwanzo Mungu aliumba mbingu na nchi.
010102008a	Nayo nchi haikuwa na umbo na ilikuwa tupu. Giza lilikuwa juu ya uso wa vilindi vya maji. Roho wa Mungu alikuwa akielea juu ya uso wa maji.
0101030037	Mungu akasema, “na kuwe nuru,” na kulikuwa na nuru.
0101040037	Mungu akaona nuru kuwa ni njema. Akaigawa nuru na giza.
0101050065	Mungu akaiita nuru “mchana” na giza akaliita “usiku.” Ikawa jioni na asubuhi, siku ya kwanza.
010106004a	Mungu akasema, “na kuwe na anga kati ya maji, na ligawe maji na maji.”
0101070071	Mungu akafanya anga na kugawanya maji yaliyo kuwa chini ya anga na maji ambayo yalikuwa juu ya anga. Ikawa hivyo.
0101080044	Mungu akaita anga “mbingu.” Ikawa jioni na asubuhi siku ya pili.
0101090077	Mungu akasema, “maji yaliyo chini ya mbingu yakusanyike pamoja mahali pamoja, na ardhi kavu ionekane.” Ikawa hivyo.
01010a0069	Mungu aliita ardhi kavu “nchi,” na maji yaliyo kusanyika akayaita “bahari.” Akaona kuwa ni vyema.
01010b00a9	Mungu akasema, nchi ichipushe mimea: miche itoayo mbegu na miti ya matunda itoayo matunda ambayo mbegu yake imo ndani ya tunda, kila kitu kwa namna yake.” Ikawa hivyo.
01010c0095	Nchi ikatoa mimea, miche itoayo mbegu ya aina yake, na miti itoayo tunda ambalo mbegu yake imo ndani yake, kwa aina yake. Mungu akaona kuwa ni vyema.
01010d0025	Ikawa jioni na asubuhi, siku ya tatu.
01010e007e	Mungu akasema, “kuwe na mianga katika anga kutenganisha mchana na usiku. Na ziwe kama ishara, kwa majira, kwa siku na miaka.
01010f0045	Ziwe mianga katika anga ili kutoa mwanga juu ya nchi.” Ikawa hivyo.
010110007a	Mungu akafanya mianga mikuu miwili, mwanga mkuu zaidi kutawala mchana, na mwanga mdogo kutawala usiku. Akafanya nyota pia.
0101110033	Mungu akazipanga katika anga kutoa mwanga juu nchi,
010112005d	kutawala mchana na usiku, na kugawanya mwanga kutoka kwenye giza. Mungu akaona kuwa ni vyema.
0101130024	Ikawa jioni na asubuhi, siku ya nne.
010114006d	Mungu akasema, “maji yajae idadi kubwa ya viumbe hai, na ndege waruke juu ya nchi katika anga la mbingu.”
01011500c8	Mungu akaumba viumbe wakubwa wa baharini, pamoja na kila kiumbe hai cha aina yake, viumbe waendao na wanaojaa kila mahali majini, na kila ndege mwenye mabawa kwa aina yake. Mungu akaona kuwa ni vyema.
010116006f	Mungu akavibariki, akisema, “zaeni na muongezeke, na mjae majini katika bahari. Ndege waongezeke juu nchi.”
0101170025	Ikawa jioni na asubuhi, siku ya tano.
01011800a8	Mungu akasema, “nchi na itoe viumbe hai, kila kiumbe kwa aina yake, mnyama wa kufugwa, vitu vitambaavyo, na wanyama wa nchi, kila kitu kwa jinsi yake.” Ikawa hivyo.
0101190093	Mungu akafanya wanyama wa nchi kwa aina yake, wanyama wa kufugwa kwa aina yake, na kila kitambaaho juu ya ardhi kwa aina yake. Akaona kuwani vyema.
01011a00f4	Mung akasema, “na tumfanye mtu katika mfano wetu, wa kufanana na sisi. Wawe na mamlaka juu ya samaki wa bahari, juu ya ndege wa angani, juu ya wanyama wa kufuga, juu ya nchi yote, na juu ya kila kitu kitambaacho kinacho tambaa juu ya nchi.”
01011b0060	Mungu akamuumba mtu kwa mfano wake. Katika mfano wake alimuumba. Mwanaume na mwanamke aliwaumba.
01011c00ca	Mungu akawabariki na akawaambia, “zaeni na kuongezeka. Jazeni nchi, na muitawale. Muwe na mamlaka juu ya samaki wa baharini, juu ya ndege wa angani, na juu ya kila kiumbe hai kiendacho juu ya nchi,”
