0100000006	Mwanzo
010101002a	Hapo mwanzo Mungu aliumba mbingu na dunia.
010102008f	Wakati huu dunia ilikuwa haina umbo, tena ilikuwa tupu. Giza lilikuwa juu ya vilindi vya maji, naye Roho wa Mungu alikuwa ametulia juu ya maji.
0101030033	Mungu akasema, “Iwepo nuru,” nayo nuru ikawepo.
010104004b	Mungu akaona ya kuwa nuru ni njema; ndipo Mungu akatenganisha nuru na giza.
010105006a	Mungu akaiita nuru “mchana”, na giza akaliita “usiku”. Ikawa jioni, ikawa asubuhi, siku ya kwanza.
0101060043	Mungu akasema, “Iwepo nafasi kati ya maji, igawe maji na maji.”
0101070074	Kwa hiyo Mungu akafanya nafasi, akatenganisha maji yaliyo chini ya hiyo nafasi na maji yaliyo juu yake. Ikawa hivyo.
010108004f	Mungu akaiita hiyo nafasi “anga”. Ikawa jioni, ikawa asubuhi, siku ya pili.
0101090070	Mungu akasema, “Maji yaliyopo chini ya anga na yakusanyike mahali pamoja, pawepo na nchi kavu.” Ikawa hivyo.
01010a0073	Mungu akaiita nchi kavu “ardhi”, nalo lile kusanyiko la maji akaliita “bahari.” Mungu akaona kuwa ni vyema.
01010b00b5	Kisha Mungu akasema, “Ardhi na itoe mimea: miche itoayo mbegu, miti juu ya nchi itoayo matunda yenye mbegu ndani yake, kila mmea kulingana na aina zake mbalimbali.” Ikawa hivyo.
01010c009f	Ardhi ikachipua mimea: Mimea itoayo mbegu kulingana na aina zake, na miti itoayo matunda yenye mbegu kulingana na aina zake. Mungu akaona ya kuwa hili ni jema.
01010d0029	Ikawa jioni, ikawa asubuhi, siku ya tatu.
01010e0096	Mungu akasema, “Iwepo mianga kwenye nafasi ya anga ili itenganishe usiku na mchana, nayo iwe alama ya kutambulisha majira mbalimbali, siku na miaka,
01010f0051	nayo iwe mianga kwenye nafasi ya anga ya kutia nuru juu ya dunia.” Ikawa hivyo.
010110007c	Mungu akafanya mianga miwili mikubwa: mwanga mkubwa utawale mchana, na mwanga mdogo utawale usiku. Pia Mungu akafanya nyota.
010111003f	Mungu akaiweka hiyo mianga katika nafasi ya anga iangaze dunia,
0101120057	itawale usiku na mchana, na ikatenganishe nuru na giza. Mungu akaona kuwa hili ni jema.
0101130028	Ikawa jioni, ikawa asubuhi, siku ya nne.
0101140070	Mungu akasema, “Kuwepo na viumbe hai tele kwenye maji, nao ndege waruke juu ya dunia katika nafasi ya anga.”
01011500c2	Kwa hiyo Mungu akaumba wanyama wakubwa wa baharini na kila kiumbe hai kiendacho majini kulingana na aina zake, na kila ndege mwenye mabawa kulingana na aina yake. Mungu akaona kuwa hili ni jema.
0101160070	Mungu akavibariki, akasema, “Zaeni mwongezeke, mkayajaze maji ya bahari, nao ndege waongezeke katika dunia.”
0101170029	Ikawa jioni, ikawa asubuhi, siku ya tano.
01011800ac	Mungu akasema, “Ardhi na itoe viumbe hai kulingana na aina zake: mifugo, viumbe vinavyotambaa ardhini na wanyama pori, kila kiumbe kulingana na aina yake.” Ikawa hivyo.
01011900b0	Mungu akafanya wanyama pori kulingana na aina zake, mifugo kulingana na aina zake, na viumbe vyote vinavyotambaa ardhini kulingana na aina zake. Mungu akaona kuwa hili ni jema.
01011a00cd	Ndipo Mungu akasema, “Tufanye mtu kwa mfano wetu, kwa sura yetu, wakatawale samaki wa baharini na ndege wa angani, na mifugo na wanyama pori wote, na dunia yote, na viumbe vyote vinavyotambaa ardhini.”
01011b0073	Kwa hiyo Mungu akamuumba mtu kwa mfano wake mwenyewe, kwa mfano wa Mungu alimuumba; mwanaume na mwanamke aliwaumba.
01011c00b3	Mungu akawabariki na akawaambia, “Zaeni na mkaongezeke, mkaijaze dunia na kuitiisha. Mkatawale samaki wa baharini, ndege wa angani, na kila kiumbe hai kiendacho juu ya ardhi.”
01011d009a	Kisha Mungu akasema, “Nimewapa kila mche utoao mbegu juu ya uso wa dunia yote, na kila mti wenye matunda yenye mbegu ndani yake. Vitakuwa chakula chenu.
01011e00ba	Nao wanyama wote wa nchi, ndege wote wa angani, na viumbe vyote viendavyo juu ya ardhi: yaani kila kiumbe chenye pumzi ya uhai, ninawapa kila mche wa kijani kuwa chakula.” Ikawa hivyo.
01011f0069	Mungu akaona vyote alivyoumba, na tazama, vilikuwa vizuri sana. Ikawa jioni, ikawa asubuhi, siku ya sita.
