0100000009	1 Mosebok
010101002a	I begynnelsen skapade Gud Himmel och Jord.
010102005e	Och jorden var öde och tom, och mörker var på djupet, och Guds Ande sväfde öfver vattnet.
010103002d	Och Gud sade: Varde Ljus, och det vardt Ljus.
010104004c	Och Gud såg ljuset, att det var godt. Då skilde Gud ljuset ifrå mörkret.
010105005b	Och kallade ljuset Dag, och mörkret Natt. Och vardt af afton och morgon den första dagen.
0101060052	Och Gud sade: Varde ett Fäste emellan vattnen, och åtskilje vatten ifrå vatten.
0101070086	Och Gud gjorde fästet, och åtskilde det vattnet, som var under fästet, ifrå det vatten, som var ofvan fästet. Och det skedde så.
010108004e	Och Gud kallade fästet Himmel. Och vardt af afton och morgon den andra dagen.
0101090080	Och Gud sade: Församle sig vattnet, som är under himmelen, uti besynnerligit rum, att det torra må synas. Och det skedde så.
01010a006b	Och Gud kallade det torra Jord, och vattnens församlingar kallade han Haf. Och Gud såg, att det var godt.
01010b00c4	Och Gud sade: Bäre jorden gräs och örter, som frö hafva, och fruktsam trä, att hvart och ett bär frukt efter sin art, och hafver sitt eget frö i sig sjelfvo på jordene. Och det skedde så.
01010c00bb	Och jorden bar gräs och örter, som frö hade, hvart efter sin art, och trä, som frukt båro, och hade sitt eget frö i sig sjelfvo, hvart efter sin art. Och Gud såg, att det var godt.
01010d002f	Och vardt af afton och morgon den tredje dagen.
01010e0075	Och Gud sade: Varde Ljus uti himmelens fäste, och åtskilje dag och natt, och gifve tecken, månader, dagar och år.
01010f0052	Och vare för ljus uti himmelens fäste, och lyse på jordene. Och det skedde så.
0101100078	Och Gud gjorde tu stor ljus; ett stort ljus, som regerade dagen, och ett litet ljus, som regerade nattena; och stjernor.
0101110048	Och Gud satte dem uti himmelens fäste, att de skina skulle på jordena;
0101120060	Och regera dagen och nattena, och åtskilja ljuset och mörkret. Och Gud såg, att det var godt.
010113002f	Och vardt af afton och morgon den fjerde dagen.
0101140079	Och Gud sade: Göre vattnet af sig kräkande och lefvande djur, och foglar, som på jordene flyga under himmelens fäste.
01011500c8	Och Gud skapade stora hvalar, och allahanda lefvande och kräkande djur, som vattnet af sig gör, hvart efter sin art, och allahanda fjäderfoglar, hvart efter sin art. Och Gud såg, att det var godt.
0101160085	Och välsignade dem, och sade: Varer fruktsamme, och förökens, och uppfyller hafsens vatten, och foglarna föröke sig på jordene.
010117002e	Och vardt af afton och morgon den femte dagen.
01011800a0	Och Gud sade: Göre jorden af sig lefvande djur, hvart efter sin art, fänad, kräkande djur, och vilddjur på jordene, hvart efter sin art. Och det skedde så.
01011900a3	Och Gud gjorde vilddjur på jordene, hvart efter sin art, fänad efter sin art, allahanda kräkande djur på jordene efter sin art. Och Gud såg, att det var godt.
01011a00f4	Och Gud sade: Låt oss göra Menniskona till ett beläte, det oss likt är, den råda skall öfver fiskarna i hafvet, och öfver foglarna under himmelen, och öfver fänaden, och öfver hela jordena, och öfver allt det som kräker på jordene.
01011b0075	Och Gud skapade menniskona sig till ett beläte, till Guds beläte skapade han honom, Man och Qvinno skapade han dem.
01011c00fb	Och Gud välsignade dem, och sade till dem: Varer fruktsamme, och föröker eder, och uppfyller jordena, och hafver henne under eder, och råder öfver fiskarna i hafvet, och öfver foglarna under himmelen, och öfver all djur, som kräla på jordene.
01011d00af	Och Gud sade: Si, jag hafver gifvit eder allahanda örter, som frö hafva på hela jordene, och allahanda fruktsam trä, och trä, som frö hafva i sig sjelfvo, eder till mat.
01011e00c3	Och allom djurom på jordene, och allom foglom under himmelen, och allo thy, som kräker på jordene, och lif hafver, att de skola hafva allahanda gröna örter till att äta. Och det skedde så.
01011f007b	Och Gud såg på allt det han gjort hade, och si, det var allt ganska godt. Och vardt af afton och morgon den sjette dagen.
0102010039	Så vardt nu himmel och jord fullkomnad med all sin här.
0102020088	Och Gud fullkomnade på sjunde dagenom sin verk, som han gjort hade, och hvilade på sjunde dagenom af all sin verk, som han gjort hade.
0102030080	Och välsignade sjunde dagen, och helgade honom, derföre att han på honom hvilade af all sin verk, som Gud skapade och gjorde.
0102040070	Alltså är himmel och jord tillkommen, då de skapade vordo på den tid, då Herren Gud gjorde himmel och jord.
01020500c4	Förra än någor stjelk var på markene, och förra än någor ört växte på jordene; förty Herren Gud hade än då intet låtit regna på jordene, och ingen menniska var, som brukade jordena.
010206003c	Men en dimba gick upp af jordene, och vattnade alla markena.
010207008d	Och Herren Gud gjorde menniskona af jordenes stoft, och inblåste uti hans näso en lefvande anda, och så vardt menniskan en lefvande själ.
010208006b	Och Herren Gud planterade en lustgård uti Eden öster ut, och satte der in menniskona, som han gjort hade.
01020900b0	Och Herren Gud lät uppväxa af jordene allahanda trä, lustig till att se och god till att äta; och lifsens trä midt i lustgårdenom, och kunskapsens trä på godt och ondt.
01020a0061	Och utaf Eden gick en ström till att vattna lustgården, och han delade sig i fyra hufvudfloder.
01020b004e	Den förste kallas Pison, den löper om hela Havila land, och der finnes guld.
01020c0059	Och dess landes guld är kosteligit, och der finnes Bedellion, och den ädle stenen Onix.
01020d0041	Den andre floden heter Gihon, den löper kring om hela Ethiopien.
01020e005f	Den tredje floden kallas Hiddekel, den löper fram för Assyrien. Den fjerde floden är Phrath.
01020f006e	Och Herren Gud tog menniskona, och satte honom in uti lustgården Eden, att han honom bruka och bevara skulle.
010210005a	Och Herren Gud böd menniskona, och sade: Du skall äta af allahanda trä i lustgårdenom;
0102110077	Men af kunskapsens trä på godt och ondt skall du icke äta; förty, på hvad dag du deraf äter, skall du döden dö.
0102120080	Och Herren Gud sade: Det är icke godt, att menniskan är allena; jag vill göra honom ena hjelp, den sig till honom hålla må.
0102130104	Som nu Herren Gud gjort hade af jordene allahanda djur på markene, och allahanda foglar under himmelen, hade han dem fram för menniskona, att han skulle se, huru han skulle nämna dem; ty, såsom menniskan allahanda lefvande djur nämnde, så skulle de heta.
01021400bd	Och menniskan gaf hvart och ett fänad, och foglomen under himmelen, och djuren på markene, sina namn. Men till menniskone vardt icke funnen någon hjelp, den sig till honom hålla måtte.
0102150089	Då lät Herren Gud falla en tung sömn på menniskona, och vid han sof, tog han ett af hans sidoref, och uppfyllde kött i samma staden.
0102160071	Och Herren Gud byggde ena Qvinno utaf refvet, som han uttagit hade af menniskone, och hade henne fram för honom.
0102170090	Då sade menniskan: Detta är dock ben af minom benom, och kött af mino kötte, hon skall heta Manna, derföre att hon är tagen utaf mannenom.
0102180072	Fördenskull skall en man öfvergifva fader och moder, och blifva vid sina hustru, och skola varda till ett kött.
0102190049	Och de voro både nakne, menniskan och hans hustru, och de blygdes intet.
01030100b5	Och ormen var listigare än all djur på jordene, som Herren Gud gjort hade, och sade till qvinnona: Ja, skulle Gud hafva sagt, I skolen icke äta af allahanda trä i lustgårdenom?
0103020050	Då sade qvinnan till ormen: Vi äte af de träs frukt, som är i lustgårdenom;
010303008d	Men af frukten af det trät, som är midt i lustgårdenom, hafver Gud sagt: Äter icke deraf, och kommer icke heller dervid, att I icke dön.
010304003c	Då sade ormen till qvinnona: Ingalunda skolen I döden dö.
0103050083	Förty Gud vet, att på hvad dag I äten deraf, skola edor ögon öppnas, och I varden såsom Gud, vetandes hvad godt och ondt är.
01030600da	Och qvinnan såg till, att trät var godt att äta af, och ljufligit uppå se, och att det ett lustigt trä var, efter det gaf förstånd; och tog utaf fruktene, och åt, och gaf desslikes sinom man deraf, och han åt.
0103070083	Då öppnades bägges deras ögon, och de vordo varse, att de voro nakne; och de bundo tillhopa fikonalöf, och gjorde sig skörte.
01030800b2	Och de hörde Herrans Guds röst gångandes i lustgårdenom, då dagen svalkades; och Adam undstack sig, med sine hustru, för Herrans Guds ansigte, ibland trän i lustgårdenom.
010309003f	Och Herren Gud kallade Adam, och sade till honom: Hvar äst du?
01030a0073	Och han sade: Jag hörde dina röst i lustgårdenom, och fruktade mig, ty jag är naken, derföre undstack jag mig.
01030b009d	Han sade: Ho hafver låtit dig förstå, att du äst naken? Hafver du icke ätit af det trä, om hvilket jag dig budit hafver, att du deraf icke äta skulle?
01030c0059	Då sade Adam: Qvinnan, som du till mig gifvit hafver, gaf mig af trät, så att jag åt.
01030d006c	Då sade Herren Gud till qvinnona: Hvi hafver du det gjort? Qvinnan sade: Ormen besvek mig, så att jag åt.
01030e00cf	Och Herren Gud sade till ormen: Efter du detta gjort hafver, förbannad vare du öfver allt det som lif hafver, och öfver all djur på markene; du skall gå på din buk, och äta jord i alla dina lifsdagar.
01030f00b1	Och jag skall sätta fiendskap emellan dig och qvinnona, och emellan dina säd och hennes säd. Den samme skall söndertrampa ditt hufvud, och du skall stinga honom i hans häl.
01031000c8	Och till qvinnona sade han: Jag skall få dig mycken vedermödo, då du aflat hafver. Du skall föda din barn med sveda, och din vilje skall dinom manne undergifven vara, och han skall vara din herre.
01031100f1	Och till Adam sade han: Efter du lydde dine hustrus röst, och åt af trät, om hvilket jag dig böd och sade: Du skall icke äta deraf; förbannad vare marken för dina skull, med bekymmer skall du nära dig på henne i alla dina lifsdagar.
010312004d	Törne och tistlar skall hon bära dig, och du skall äta örter på markene.
010313009d	Du skall äta ditt bröd i dins anletes svett, till dess du varder åter till jord igen, der du af tagen äst; ty du äst jord, och till jord skall du varda.
010314005b	Och Adam kallade sine hustrus namn Heva, derföre att hon en moder är åt allom lefvandom.
0103150054	Och Herren Gud gjorde Adam och hans hustru kjortlar af skinn, och klädde uppå dem.
