0100000007	Genesis
0101010035	Noong simula nilikha ng Diyos ang langit at ang lupa.
010102008e	Ang lupa ay walang anyo at walang laman. Ang kadiliman ay nasa ibabaw ng kalaliman. Ang Espiritu ng Diyos ay kumikilos sa ibabaw ng katubigan.
0101030043	Sinabi ng Diyos, ''Magkaroon ng liwanag” at nagkaroon ng liwanag.
010104005a	Nakita ng Diyos na ang liwanag ay kaaya-aya. Hiniwalay niya ang liwanag mula sa kadiliman.
0101050084	Tinawag ng Diyos ang liwanag na “araw,” at ang kadiliman ay tinawag niyang “gabi”. Naggabi at nag-umaga, ito ang unang araw.
0101060075	Sinabi ng Diyos, “Magkaroon ng puwang sa pagitan ng mga tubig, at hayaang ihiwalay nito ang tubig mula sa tubig.”
0101070090	Ginawa ng Diyos ang puwang at hiniwalay niya ang tubig na nasa silong ng kalawakan mula sa tubig na nasa ibabaw ng kalawakan. At nagkagayon nga.
010108005a	Tinawag ng Diyos ang puwang na “langit.” Naggabi at nag-umaga, ito ang ikalawang araw.
01010900a4	Sinabi ng Diyos, “Hayaang ang katubigang nasa ilalim ng langit ay sama-samang magtipon sa isang lugar, at hayaang lumitaw ang tuyong lupain.” At nagkagayon nga.
01010a0085	Tinawag ng Diyos ang tuyong lupain na “lupa” at ang natipong tubig ay tinawag niyang “dagat.” Nakita niyang ito ay kaaya-aya.
01010b00e6	Sinabi ng Diyos, “Hayaang tumubo ang halaman sa lupa: mga pananim na nagbibigay ng buto at mga namumungang punong kahoy na kung saan ang buto nito'y nasa loob ng kanyang bunga, ayon sa kanyang sariling uri.” At nagkagayon nga.
01010c00c9	Tinubuan ng halaman ang lupa, mga pananim na nagbibigay ng buto mula sa kanilang uri, at mga namumungang punong kahoy na taglay nito ang buto, mula sa kanilang uri. Nakita ng Diyos na ito ay kaaya-aya.
01010d002c	Naggabi at nag-umaga, ito ang ikatlong araw.
01010e00c3	Sinabi ng Diyos, “Hayaang magkaroon ng mga liwanag sa langit upang ihiwalay ang araw mula sa gabi. At hayaan silang maging mga palatandaan, para sa mga panahon, para sa mga araw at sa mga taon.
01010f006b	Hayaan silang maging mga liwanag sa langit upang magbigay liwanag sa ibabaw ng mundo.” At nagkagayon nga.
01011000ba	Ginawa ng Diyos ang dalawang malaking mga liwanag, ang mas malaking liwanag upang pamunuan ang araw, at ang mas maliit na liwanag upang pamunuan ang gabi. Ginawa rin niya ang mga bituin.
010111004b	Inilagay sila ng Diyos sa langit upang magbigay liwanag sa ibabaw ng mundo,
0101120081	upang pamunuan ang buong araw at ang buong gabi, at upang ihiwalay ang liwanag sa kadiliman. Nakita ng Diyos na ito ay kaaya-aya.
010113002e	Naggabi at nag-umaga, ito ang ikaapat na araw.
01011400a6	Sinabi ng Diyos, “Hayaang mapuno ang katubigan ng lahat ng uri ng buhay na nilalang na ginawa ko, mapuno ang himpapawid ng mga ibong lumilipad sa ibabaw ng lupa.”
0101150113	Kaya’t nilikha ng Diyos ang malalaking nilalang na naninirahan sa dagat, gayon din ang bawat buhay na nilikha ayon sa kanyang uri, mga nilalang na kumikilos at nagkukumpol sa katubigan, at bawat mga ibong may pakpak ayon sa kanyang uri. Nakita ng Diyos na ito ay kaaya-aya.
0101160099	Pinagpala sila ng Diyos, sinasabing, “Maging mabunga kayo at magpakarami, punuin niyo ang katubigan sa mga dagat. Hayaang dumami ang mga ibon sa mundo.
010117002d	Naggabi at nag-umaga, ito ang ikalimang araw.
01011800f9	Sinabi ng Diyos, “Hayaang magdulot ang mundo ng buhay na mga nilalang, bawat isa ayon sa kanyang sariling uri, mga hayop, mga gumagapang na bagay, at mga mababangis na hayop ng mundo, bawat isa nito ayon sa kanyang sariling uri”. Nagkagayon nga.
01011900da	Ginawa ng Diyos ang mga mababangis na hayop sa mundo ayon sa kanilang uri, ang mga hayop ayon sa kanilang mga uri, at lahat ng bagay na gumagapang sa ibabaw ng lupa ayon sa kanyang uri. Nakita niya na ito ay kaaya-aya.
01011a00ed	Sinabi ng Diyos, “Gawin natin ang tao ayon sa ating wangis, ayon sa ating larawan. Hayaan silang mamahala sa isda sa dagat, sa mga ibon sa langit, sa mga hayop, sa buong mundo, at sa lahat ng gumagapang na bagay na gumagapang sa mundo.
01011b0086	Nilikha ng Diyos ang tao ayon sa kanyang sariling wangis. Ayon sa kanyang wangis nilikha niya siya. Lalaki at babae nilikha niya sila.
01011c00ff	Pinagpala sila ng Diyos at sinabihan silang, “Maging mabunga kayo, at magpakarami. Punuin niyo ang mundo, at supilin ito. Maging tagapamahala kayo sa isda sa dagat, sa mga ibon sa langit, at sa lahat ng buhay na bagay na kumikilos sa ibabaw ng mundo.”
01011d00dd	Sinabi ng Diyos, “Tingnan ninyo, ibinigay ko sa inyo ang bawat pananim na nagbibigay ng buto na nasa ibabaw ng buong mundo, at bawat punong-kahoy kasama ang bungang may buto sa loob nito. Sila ay magiging pagkain ninyo.
01011e00ea	Sa bawa't hayop sa mundo, sa bawat ibon sa kalangitan, at sa lahat ng bagay na gumagapang sa ibabaw ng mundo, at sa bawat nilikhang may hininga ng buhay ibinigay ko ang bawat luntiang halaman para maging pagkain.” At nagkagayon nga.
01011f0080	Nakita ng Diyos ang lahat ng bagay na kanyang ginawa. Pagmasdan, ito ay napakabuti. Naggabi at nag-umaga, ito ang ika anim araw.
0102010068	Kaya’t ang kalangitan at ang mundo ay natapos, at ang lahat ng buhay na mga bagay na pumuno sa kanila.
0102020094	Sa ikapitong araw dumating ang Diyos sa pagtatapos ng gawain na kanyang ginawa, at siya ay nagpahinga sa ikapitong araw mula sa lahat niyang gawain.
0102030096	Pinagpala ng Diyos ang ikapitong araw at ginawang banal ito, dahil doon siya nagpahinga mula sa lahat ng gawain na kanyang nagawa sa kanyang paglikha.
010204008b	to ang mga kaganapan ukol sa kalangitan at sa mundo, nang sila ay nilikha, sa araw na ginawa ni Yahweh na Diyos ang lupa at ang kalangitan.
01020500c2	Wala pang halamang bukid ang nasa mundo, at wala pang pananim ng bukid ang tumutubo, sapagkat hindi pa dinulot ni Yahweh na Diyos na umulan sa ibabaw ng mundo, at walang taong bubungkal ng lupa.
010206004b	Pero umakyat ang hamog mula sa mundo at diniligan ang buong ibabaw ng lupa.
01020700a6	Si Yahweh na Diyos ay ginawa ang tao mula sa alabok ng lupa, at hiningahan ang mga butas ng kanyang ilong ng hininga ng buhay, at ang tao ay naging buhay na nilalang.
