010000001b	ஆதியாகமம்
0101010095	ஆரம்பத்தில் இறைவன் வானங்களையும் பூமியையும் படைத்தார்.
010102017c	பூமி உருவமற்று வெறுமையாய் இருந்தது. ஆழத்தின் மேற்பரப்பில் இருள் பரவியிருந்தது. இறைவனின் ஆவியானவர் தண்ணீரின்மேல் அசைவாடிக்கொண்டிருந்தார்.
01010300b8	அதன்பின் இறைவன், “ஒளி உண்டாகட்டும்” என்று சொன்னார்; ஒளி உண்டாயிற்று.
01010400c1	ஒளி நல்லது என்று இறைவன் கண்டார், அவர் இருளிலிருந்து ஒளியைப் பிரித்தார்.
0101050131	இறைவன் ஒளிக்குப் “பகல்” என்றும் இருளுக்கு “இரவு” என்றும் பெயரிட்டார். மாலையும் காலையுமாகி முதலாம் நாள் ஆயிற்று.
01010601ec	அதன்பின் இறைவன், “தண்ணீர்திரளுக்கு இடையில் ஒரு வானவெளி உண்டாகட்டும்; அந்த வானவெளி கீழே இருக்கிற தண்ணீரிலிருந்து வானவெளிக்கு மேலே இருக்கிற தண்ணீரைப் பிரிக்கட்டும்” என்று சொன்னார்.
0101070145	இவ்வாறு இறைவன் இந்த வானவெளியை உண்டாக்கி, கீழேயுள்ள தண்ணீரை, மேலேயுள்ள தண்ணீரிலிருந்து பிரித்தார். அது அப்படியே ஆயிற்று.
0101080111	இறைவன் வானவெளிக்கு “ஆகாயம்” என்று பெயரிட்டார். அப்பொழுது மாலையும் காலையுமாகி இரண்டாம் நாள் ஆயிற்று.
010109015c	அதன்பின் இறைவன், “ஆகாயத்தின் கீழுள்ள தண்ணீர் ஓரிடத்தில் சேர்ந்து, உலர்ந்த தரை தோன்றட்டும்” என்று சொன்னார். அது அப்படியே ஆயிற்று.
01010a0146	இறைவன் உலர்ந்த தரைக்கு “நிலம்” என்றும், சேர்ந்த தண்ணீருக்கு “கடல்” என்றும் பெயரிட்டார். அது நல்லது என்று இறைவன் கண்டார்.
01010b0226	அதன்பின் இறைவன், “நிலம் தாவர வகைகளை முளைப்பிக்கட்டும்: விதை தரும் பயிர்களையும், விதையுள்ள பழங்களைக் கொடுக்கும் மரங்களையும் தன்தன் வகைகளின்படியே முளைப்பிக்கட்டும்” என்று சொன்னார். அது அப்படியே ஆயிற்று.
01010c0224	நிலம் தாவரங்களை முளைப்பித்தது: விதையை பிறப்பிக்கும் பயிர்களை அவற்றின் வகைகளின்படியும், விதையுள்ள பழங்களைக் கொடுக்கும் மரங்களை அவற்றின் வகைகளின்படியும் முளைப்பித்தது. அது நல்லது என்று இறைவன் கண்டார்.
01010d0090	அப்பொழுது மாலையும் காலையுமாகி மூன்றாம் நாள் ஆயிற்று.
01010e01fb	அதன்பின் இறைவன், “வானவெளியில் ஒளிச்சுடர்கள் உண்டாகட்டும், அவை இரவிலிருந்து பகலைப் பிரிக்கட்டும்; அவை பூமியில் பருவகாலங்களையும், நாட்களையும், வருடங்களையும் குறிக்கும் அடையாளங்களாகவும்,
01010f0131	அவை பூமிக்கு ஒளி கொடுக்கும்படி, வானவெளியில் ஒளிச்சுடர்களாய் இருக்கட்டும்” என்று சொன்னார். அது அப்படியே ஆயிற்று.
010110019c	பகலை ஆளுவதற்குப் பெரிய சுடரும், இரவை ஆளுவதற்குச் சிறிய சுடருமாக, இறைவன் இரு பெரும் ஒளிச்சுடர்களை உண்டாக்கினார். அவர் நட்சத்திரங்களையும் உண்டாக்கினார்.
01011100c4	இறைவன் அவற்றைப் பூமிக்கு வெளிச்சம் கொடுப்பதற்காக வானவெளியில் வைத்தார்.
0101120153	பகலையும் இரவையும் ஆளுவதற்காகவும், இருளிலிருந்து ஒளியைப் பிரிப்பதற்காகவும் அவற்றை வைத்தார். அது நல்லது என்று இறைவன் கண்டார்.
0101130091	அப்பொழுது மாலையும் காலையுமாகி, நான்காம் நாள் ஆயிற்று.
0101140165	அதன்பின் இறைவன், “தண்ணீரில் நீந்தும் உயிரினங்கள் பெருகட்டும், பூமிக்கு மேலாக வானவெளியெங்கும் பறவைகள் பறக்கட்டும்” என்று சொன்னார்.
0101150236	இவ்வாறு இறைவன் பெரிய கடல் விலங்குகளையும், நீரில் நீந்தி வாழும் எல்லா உயிரினங்களையும் அவற்றின் வகைகளின்படியும், சிறகுள்ள எல்லா பறவைகளையும் அதினதின் வகைகளின்படியும் படைத்தார். அது நல்லது என்று இறைவன் கண்டார்.
010116015d	இறைவன் அவற்றை ஆசீர்வதித்து, “பலுகி எண்ணிக்கையில் பெருகி, கடல்நீரை நிரப்புங்கள், பூமியில் பறவைகளும் பெருகட்டும்” என்று சொன்னார்.
010117008e	அப்பொழுது மாலையும் காலையுமாகி, ஐந்தாம் நாள் ஆயிற்று.
010118024e	அதன்பின் இறைவன், “நிலம் உயிரினங்களை அவற்றின் வகைகளின்படி உண்டாக்கட்டும்: வளர்ப்பு மிருகங்களையும், ஊரும் பிராணிகளையும், காட்டு மிருகங்களையும் அதினதின் வகையின்படி உண்டாக்கட்டும்” என்று சொன்னார். அது அப்படியே ஆயிற்று.
0101190246	இறைவன் காட்டு மிருகங்களை அவற்றின் வகைகளின்படியும், வளர்ப்பு மிருகங்களை அவற்றின் வகைகளின்படியும், தரையில் ஊரும் உயிரினங்கள் எல்லாவற்றையும் அவற்றின் வகைகளின்படியும் உண்டாக்கினார். அது நல்லது என்று இறைவன் கண்டார்.
01011a02bd	அதன்பின் இறைவன், “நமது உருவிலும் நமது சாயலின்படியும் மனிதனை உண்டாக்குவோம்; அவர்கள் கடலின் மீன்களையும், ஆகாயத்துப் பறவைகளையும், வளர்ப்பு மிருகங்களையும், எல்லா காட்டு மிருகங்களையும், தரையெங்கும் ஊரும் எல்லா உயிரினங்களையும் ஆளுகை செய்யட்டும்” என்று சொன்னார்.
01011b0171	அப்படியே இறைவன் தமது சாயலில் மனிதனைப் படைத்தார், இறைவனின் சாயலிலேயே அவர் அவர்களைப் படைத்தார். அவர் அவர்களை ஆணும் பெண்ணுமாகப் படைத்தார்.
01011c027f	அதன்பின் இறைவன் அவர்களை ஆசீர்வதித்து, “நீங்கள் பலுகி எண்ணிக்கையில் பெருகி, பூமியை நிரப்பி, அதைக் கீழ்ப்படுத்துங்கள். கடலின் மீன்களையும், ஆகாயத்துப் பறவைகளையும், தரையில் நடமாடும் எல்லா உயிரினங்களையும் ஆண்டு நடத்துங்கள்” எனக் கூறினார்.
01011d01f5	அதன்பின் இறைவன், “பூமி முழுவதும் மேற்பரப்பிலுள்ள விதை தரும் தாவரங்களையும், விதையுள்ள பழங்களைக் கொடுக்கும் எல்லா மரங்களையும் உங்களுக்குக் கொடுக்கிறேன். அவை உங்களுக்கு உணவாயிருக்கும்.
01011e02c7	பூமியிலுள்ள எல்லா மிருகங்களுக்கும், ஆகாயத்துப் பறவைகளுக்கும், தரையில் நடமாடும் எல்லா உயிரினங்களுக்கும், அதாவது தன்னில் உயிர்மூச்சு உள்ள எல்லா உயிரினங்களுக்கும் நான் பச்சைத் தாவரங்கள் எல்லாவற்றையும் உணவாகக் கொடுக்கிறேன்” என்று சொன்னார். அது அப்படியே ஆயிற்று.
01011f0152	இறைவன் தாம் உண்டாக்கிய எல்லாவற்றையும் பார்த்தார், அது மிக நன்றாயிருந்தது. அப்பொழுது மாலையும் காலையுமாகி, ஆறாம் நாள் ஆயிற்று.
01020100c9	இவ்வாறு வானமும் பூமியும், அவற்றில் உள்ள எல்லாம் உண்டாக்கப்பட்டு முடிந்தன.
0102020171	ஏழாம்நாள் ஆகும்போது இறைவன் தான் செய்துகொண்டிருந்த வேலையை முடித்தார்; ஆதலால் அவர், ஏழாம்நாளில் எல்லா வேலையிலிருந்தும் ஓய்ந்திருந்தார்.
010203019b	இறைவன் தாம் செய்துமுடித்த படைப்பின் வேலைகள் எல்லாவற்றிலுமிருந்து ஏழாம்நாளில் ஓய்ந்திருந்தபடியால், அந்த நாளை ஆசீர்வதித்து, அதைப் பரிசுத்தமாக்கினார்.
0102040116	இறைவனாகிய யெகோவா வானத்தையும் பூமியையும் உண்டாக்கியபோது, வானமும் பூமியும் படைக்கப்பட்ட வரலாறு இவைகளே.
010205021d	இறைவனாகிய யெகோவா பூமியில் மழையை அனுப்பாதிருந்ததினால், பூமியில் எந்தப் புதரும் இன்னும் காணப்படவுமில்லை, எந்த செடிகளும் இன்னும் முளைத்திருக்கவும் இல்லை; நிலத்தைப் பண்படுத்தவும் யாரும் இருக்கவில்லை.
01020600ed	ஆனாலும், பூமியிலிருந்து மூடுபனி மேலெழும்பி நிலத்தின் மேற்பரப்பு முழுவதையும் நனைத்தது.
010207015c	இறைவனாகிய யெகோவா நிலத்தின் மண்ணினால் மனிதனை உருவாக்கி, அவனுடைய நாசியில் உயிர்மூச்சை ஊதினார்; அப்பொழுது மனிதன் உயிருள்ளவனானான்.
0102080141	இறைவனாகிய யெகோவா, கிழக்குத் திசையிலுள்ள ஏதேனில் ஒரு தோட்டத்தை அமைத்து, தாம் உருவாக்கிய மனிதனை அங்கே குடியமர்த்தினார்.
0102090220	இறைவனாகிய யெகோவா பார்வைக்கு இனியதும் உணவுக்கு ஏற்றதுமான எல்லா வகையான மரங்களையும் அத்தோட்டத்தில் வளரச்செய்தார். தோட்டத்தின் நடுவில் வாழ்வளிக்கும் மரமும் நன்மை தீமையின் அறிவைத் தரும் மரமும் இருந்தன.
01020a012f	ஏதேனிலிருந்து ஒரு ஆறு ஓடி, தோட்டத்திற்கு தண்ணீர் பாய்ச்சியது. அங்கிருந்து அது நான்கு ஆறுகளாகப் பிரிந்து ஓடியது.
01020b011a	முதலாம் ஆற்றின் பெயர் பைசோன்; அது தங்கம் விளையும் தேசமான ஆவிலா நாடு முழுவதின் வழியாகவும் வளைந்து ஓடியது.
01020c00ff	அந்த நாட்டின் தங்கம் மிகத் தரமானது; அங்கே நறுமணமுள்ள சாம்பிராணியும் கோமேதகக் கல்லும் இருந்தன.
01020d00f6	இரண்டாம் ஆற்றின் பெயர் கீகோன். அது எத்தியோப்பியா நாடு முழுவதின் வழியாகவும் வளைந்து ஓடியது.
01020e016f	மூன்றாம் ஆற்றின் பெயர் திக்ரீசு என்ற இதெக்கேல். இது அசீரியா நாட்டின் கிழக்குப் பக்கம் ஓடியது. நான்காம் ஆற்றுக்கு ஐபிராத்து என்று பெயர்.
01020f013a	இறைவனாகிய யெகோவா, மனிதனைக் கொண்டுபோய், ஏதேன் தோட்டத்தைப் பண்படுத்தவும், பாதுகாக்கவும் அவனை அங்கு குடியமர்த்தினார்.
01021000fd	பின்பு இறைவனாகிய யெகோவா கட்டளையிட்டு, “நீ தோட்டத்திலுள்ள எந்த மரத்திலிருந்தும் சாப்பிடலாம்;
01021101b5	ஆனால் நீ நன்மை தீமையின் அறிவைத் தரும் மரத்திலிருந்து மட்டும் சாப்பிடக்கூடாது, ஏனெனில் அதிலிருந்து சாப்பிடும் நாளில் நிச்சயமாய் நீ சாகவே சாவாய்” என்று சொன்னார்.
0102120135	பின்பு இறைவனாகிய யெகோவா, “மனிதன் தனிமையாக இருப்பது நல்லதல்ல; அவனுக்குத் தகுந்த ஒரு துணையை உண்டாக்குவேன்” என்றார்.
0102130314	அப்பொழுது இறைவனாகிய யெகோவா எல்லா காட்டு மிருகங்களையும், எல்லா ஆகாயத்துப் பறவைகளையும் மண்ணிலிருந்து உருவாக்கியிருந்தார். மனிதன் அவற்றுக்கு என்ன பெயரிடுவான் என்று பார்க்கும்படி அவர் அவற்றை அவனிடம் கொண்டுவந்தார்; மனிதன் ஒவ்வொரு உயிரினத்தையும் எப்படி அழைத்தானோ அதுவே அதற்குப் பெயராயிற்று.
01021401b2	இவ்வாறு மனிதன் எல்லா வளர்ப்பு மிருகங்கள், ஆகாயத்துப் பறவைகள், காட்டு மிருகங்கள் அனைத்திற்கும் பெயரிட்டான். ஆனால் ஆதாமுக்கோ தகுந்த துணை இன்னமும் காணப்படவில்லை.
01021501de	எனவே இறைவனாகிய யெகோவா மனிதனுக்கு ஆழ்ந்த நித்திரையை வரப்பண்ணினார்; அவன் நித்திரையாய் இருந்தபோது, அவர் அவனுடைய விலா எலும்புகளில் ஒன்றை எடுத்து அந்த இடத்தைச் சதையினால் மூடினார்.
0102160154	பின்பு இறைவனாகிய யெகோவா, தான் மனிதனிலிருந்து எடுத்த விலா எலும்பிலிருந்து ஒரு பெண்ணை உண்டாக்கி, அவளை மனிதனிடம் கொண்டுவந்தார்.
01021701d0	அப்பொழுது மனிதன் சொன்னான்: “இவள் என் எலும்பின் எலும்பாகவும் என் சதையின் சதையாகவும் இருக்கிறாள்; இவள் மனிதனிலிருந்து எடுக்கப்பட்டபடியால், ‘மனுஷி’ என்று அழைக்கப்படுவாள்.”
0102180137	இதனாலேயே மனிதன் தன் தகப்பனையும் தாயையும் விட்டு, தனது மனைவியுடன் இணைந்திருப்பான்; இருவரும் ஒரே உடலாயிருப்பார்கள்.
01021900e1	ஆதாமும் அவன் மனைவியும் நிர்வாணமாய் இருந்தார்கள். ஆனாலும் அவர்கள் வெட்கப்படவில்லை.
0103010298	இறைவனாகிய யெகோவா உண்டாக்கியிருந்த காட்டு மிருகங்கள் எல்லாவற்றையும்விட, பாம்பு அதிக தந்திரமுள்ளதாய் இருந்தது. பாம்பு அப்பெண்ணிடம், “தோட்டத்தில் உள்ள எந்த ஒரு மரத்திலிருந்தும் சாப்பிடவேண்டாம் என்று இறைவன் உங்களுக்குச் சொன்னாரோ?” எனக் கேட்டது.
01030200e8	அதற்கு அந்தப் பெண் பாம்பிடம், “தோட்டத்திலுள்ள மரங்களின் பழங்களை நாங்கள் சாப்பிடலாம்;
01030301bd	ஆனால் இறைவன், ‘நீங்கள் தோட்டத்தின் நடுவிலுள்ள மரத்திலிருந்து பழத்தை சாப்பிடக்கூடாது, அதைத் தொடவும் கூடாது, மீறினால் சாவீர்கள்’ என்று சொல்லியிருக்கிறார்” என்றாள்.
01030400ec	அதற்குப் பாம்பு அந்தப் பெண்ணிடம், “நிச்சயமாக நீங்கள் சாகவே மாட்டீர்கள்” என்று சொன்னது.
01030501dd	“ஏனெனில் அந்த மரத்திலிருந்து சாப்பிடும் நாளிலே, உங்கள் கண்கள் திறக்கப்படும். நீங்கள் இறைவனைப் போலாகி, நன்மையையும் தீமையையும் அறிவீர்கள் என்பது இறைவனுக்குத் தெரியும்” என்றது.
