0200000003	Nfa
020101005b	Aɗin ovan oga aIsa̱rila ova̱ ga aMasar ká̱ uYakup, udanggo ká̱ nzhi wò te oma ta̱.
0201020031	URuben ká̱ uSimeyon, ká̱ uLawi ká̱ uYahuda,
0201030030	ká̱ uYisakar, ká̱ uZebulun, ká̱ uBenjamin,
0201040035	ká̱ uDan, ká̱ uNaftali, ká̱ uGat, ká̱ uAsher.
020105006d	Akum ìjili aYakup pa̱ kpaktak te, ìsəm pa̱ ifangshat. UYusufu ka̱ yà chit ka̱ ashe mbin aMasar jiwò.
020106003b	UYusufu ká̱ nkpaktak ogənang wò ká̱ nlwàk oza̱ kú.
0201070079	Ká̱ nna te oga aIsa̱rila myak ga mpyal pa̱ makmak, á kam pa̱ gənggəng kang oza̱ yə́l mələk ashe mbin aMasar.
0201080059	Te uponzhi upipye uro wong yà ka̱ aMasar, uva̱ nyi iya̱m iro ka̱ apal aYusufu ka̱t.
0201090064	Uza̱ là onəm wò pa̱, “Ó dər, onəm oga aIsa̱rila ova̱ ta̱ yə́l kang à kam chit ji yi.
02010a00ab	Re í mwo aghan aga nggəl mmyak oza̱ ka̱t te, onəm oga nkpàng yi á ru yi ká̱ ìkum te, oza̱ i gwang awo ká̱ oza̱ i lung yi. Te i wong i chəng i re mbin yi.”
02010b00fc	Te uPonzhi uga aMasar ká̱ onəm ochumchum wò nak onəm oga mpángchí ozwal pa̱ á na inok iɗəkɗək ôvan oga aIsa̱rila i va i na idumdùm ôza̱ pa̱ makmak. Á me oga ìtong ka̱kul mɓut iya̱m ûFirona va mí wór pa̱ aFitom ka̱ aRamaset.
02010c0093	Kap ká̱ nva̱ pa̱ oga aMasar kà̱ nnəm idumdùm oIsa̱rila te, oIsa̱rila ga mpyal ká̱ mmyak ga chu iyə́l oza̱ ɓan nna ayər oga aMasar.
02010d0042	Te oga aMasar nəm ifan oza̱ pa̱ zhalatzhalat kà̱ nnəm izwal.
02010e00b7	Oza̱ dungshi ìgwak oga aIsa̱rila ká̱ inok iɗəkɗək, i nak oza̱ i kà̱p amyè, i tòng, i nəm abərki ká̱. Kang à nəm ifan ôza̱ kà̱ nnəm inok ka̱ ashe íram oza̱.
02010f006c	UPonzhi oga aMasar là ôchar va̱ kà̱ nnəm inok nka̱m amar óchar oHiburu, oma uSifira ka̱ uFuya pa̱,
0201100097	“O wong nka̱mshi ochar oHiburu kà̱ mmar te, o dər a yà pa̱ uyennunggwan te, o gba̱l, kang a yà pa̱ uyenchar nnyi te, o re na ka̱ irirì.”
020111007f	Ka̱kul pa̱ ochar ova̱ ta ra ayər Inan ra te, oza̱ kpak iya̱m iva̱ uponzhi là ka̱t, oza̱ re onunggwan ka̱ irirì kpa.
020112009c	Te uponzhi oga aMasar wór ochar ova̱ ta ɓəp oza̱ pa̱, “Sang kang o nəm wa nva̱ ta̱ yà? Ó nəm sang kang o re ovan onunggwan ka̱ irirì yà?”
0201130088	Ochar ova̱ ta là uFirona pa̱, “Ochar oHiburu wa oga aMasar ka̱t, oza̱ kam byet, kang î ga ka̱ atak oza̱ te, oza̱ mar chit.”
020114006b	Inan nəm inəna̱n ôchar oga nka̱m amar ava̱ ta. Te à nak onəm yə́l kang oza̱ kam pa̱ gənggəng.
0201150051	Ka̱kul ochar ova̱ ta̱ oma ka̱ ayər Inan te, Inan na ovan ôza̱ pa̱ makmak.
020116009f	Te uFirona nak nkpaktak onəm wò pa̱, “Nza̱ uyennunggwan nggo mmá mar te, o mang ka̱ ashe awang aNilu. Kang nza̱ uyenchar nggo te, o re ka̱ irirì.”
0202010036	UNəm uro ka̱ akum aLawi ka̱m uchar ka̱ akum oza̱.
020202006f	Uchar uva̱ ta yar anyám te, á mar uyennunggwan. Uza̱ ya ri ìgwak à na te, à bwam na apye pa̱ shatɗing.
0202030106	Kang uza̱ ya pa̱ ò kur mbwam na làp ka̱t te, uza̱ yar nya mbanda̱r nro nva ngga nlòk ká̱ amár kang uza̱ ɓam nsəsəm ka̱ njəng ìkáng, te uza̱ nak uyen va̱ ta ka̱ ashishe, à yar gá nak ka̱ ashe oga isəksək ka̱ anung akonkong awang aNilu.
020204006d	Ugənang ayenba̱k uva̱ ta uchar ta̱l ka̱ atak aro pa̱ gba̱ngba̱ng na ô dər pa̱ iza̱ i nəm na yà.
0202050101	Uya aFirona uyenchar fər ga ngwòr izər ka̱ awang aNilu, kang ovan ochar ozwal oga nnəm inok á na nnyi te, oza̱ ka̱ nchen ka̱ anung awang aNilu. Uza̱ ya nya mbanda̱r ka̱ ashe isəksək te, á re uzəngtəng ka̱ ashe ovan ochar va̱ ta à ga yar.
0202060092	Uya aFirona uva̱ ta bol te, a ya uyenba̱k ka̱ nyə́ng ka̱ ashishe. Te à rwa ìgwak à na uza̱ là pa̱, “Uyen uva̱ ta̱ amar oHiburu.”
02020700ac	Te ugənangg ayenba̱k uva̱ ta ɓəp uya aFirona pa̱, “N ga n ram uchar uga nna mbyal uyen ka̱ ashe oHiburu na á ɓa á nak ishi a ɓu ka̱ uyen uva̱ ta ɗak ɓo?”
0202080055	Uya aFirona ma̱n á na pa̱, “À, ga.” Te uza̱ ga wór unang ayen ava̱ ta ɓa.
02020900b3	Uya aFirona là uchar uva̱ ta pa̱, “Yar uyenba̱k uva̱ ta̱ ga ká̱, nak ishi ka̱ na á mi, te mi mwa ɓu kà̱.” Unang ayen yar uyen uva̱ ta ga ká̱, nak ishi ka̱ na.
