2800000005	Matye
2801010065	Musyi a dzumu li Yiisu-Kriste, Dabvide, li nkagha-kwuru a Yiisu, Abarahame li nkagha-kwuru a Dabvide.
280102006e	Abarahame áburu Idzake, Idzake áburu Dzakobe, Dzakobe áburu Yuda ya bambwee ya banaana ba nde ba babaghala.
2801030053	Yuda áburu Faredze ya Dzara mu Tamare. Faredze áburu Eserõ, Eserõ áburu Arame.
2801040048	Arame áburu Aminadabe, Aminadabe áburu Naasõ, Naasõ áburu Salamone,
2801050051	Salamone áburu Bohese mu Rahabe. Bohese áburu Obede mu Rute, Obede áburu Yese,
2801060044	Yese áburu mukogho Dabvide. Dabvide áburu Salomõ mu mukala a Uri,
2801070042	Salomõ áburu Roboame, Roboame áburu Abiya, Abiya áburu Adzafe,
280108004c	Adzafe áburu Dzodzafate, Dzodzafate áburu Dzorame, Dzorame áburu Odzyase,
2801090049	Odzyase áburu Yohatame, Yohatame áburu Akadze, Akadze áburu Edzekyase,
28010a0045	Edzekyase áburu Manase, Manase áburu Amose, Amose áburu Dzodzyase,
28010b0076	Dzodzyase áburu Dzekonya ya bambwee ya banaana ba nde ba babaghala mu ena ki bábiri baara mu minsunughu ku Babilone.
28010c0071	Ŋa mbihi a ŋa bábiri baara mu minsunughu ku Babilone, Dzekonya áburu Salatyele, Salatyele áburu Dzorobabele,
28010d004c	Dzorobabele áburu Abiwude, Abiwude áburu Elyakime, Elyakime áburu Adzore,
28010e0040	Adzore áburu Sadoke, Sadoke áburu Akime, Akime áburu Eliwude,
28010f004b	Eliwude áburu Eleyadzare, Eleyadzare áburu Matane, Matane áburu Dzakobe,
2801100051	Dzakobe áburu Dzodzefe mulumu a Mari, me mu nde báburu Yiisu wu baakata Kriste.
28011100fc	Mu obo, mu obaana Abarahame tee Dabvide, biseene bili kwumu ya bina. Mu obaana Dabvide tee mu ena ki bábiri baara mu minsunughu ku Babilone, biseene bili kwumu ya bina. Ya mu obaana matala mamo tee etsughu ki báburu Kriste biseene bili kwumu ya bina.
280112009c	Bu me bu báburu Yiisu-Kriste: Ngughu a nde Mari áli mukaha wu ógwi Dzodzefe bilyimi. Lo nsomo bakala nzo mo, Mari ákeghele mu lileene li Mufulu a Ngili.
280113009e	Dzodzefe mulumu a nde, áli mbwuru wu bunsumu. Ya nde bu ágwene odzyi otwuhu Mari budzwa ŋa mihi mi baara, nde ábagha bitsimi bii okahaba bala mu ensweghe.
28011400fb	Mu matala ma ákabulutsimi nde obo, ngye-yulu a Mfumu áyamoŋono a nde mu nzolo ya ályele kundaa nde ti: «Dzodzefe mwana a Dabvide, ka bara nzalamweẽ mu ogwolo Mari, mukala a we mu nzo a we o. Mu kuulu, mu lileene li Mufulu a Ngili nde aakeghele.
2801150074	Nde sa aburu mwana wu baghala ya we sa gwa nde nkwumu Yiisu, mu kuulu nde sa abvwuhu baara ba nde mu masumu ma bo.»
2801160050	Mandagha mwohono mamo mámoŋono mu kuulu mi ólyele Mfumu mu mubighili mikeele:
280117009e	«Mono, mutughu wu munkyini sa akeghele. Nde sa aburu mwana wu baghala, ya sa bata nde mu nkwumu yi a Emanwele.» Mbaala ti: «Nzaami ŋa kara li bihi-a-be.»
2801180079	Bu asighili kunsa ensama, Dzodzefe ási bwunu a bu ótumu nde ngye-yulu a Mfumu, ya ágwolo mukala a nde álo nde mu nzo.
2801190069	Lo nde ka ábvughu mbughu ya Mari o, tee matala ma áburu nde mwana wu baghala wu ágwi nde nkwumu Yiisu.
2802010097	Báburu Yiisu ku Beteleeme, mu nsie yi a Yude, mu matala ma óli Erode mukogho. Mono, banga-a-mayele báfi ku ookapala tala, ya báyato ŋa Yerusaleme.
280202009f	Ya bákabulufwulu ti: «Mukogho a ba-Dzwife wu baaburu kunu ali? Mu kuulu bihi liimono ŋomaŋomo a nde ku ookapala tala, ya bihi liigyi mu oyagwa nde baana.»
2802030061	Mukogho Erode bu agyughu obo, nde ya baara ba Yerusaleme bwohono, mikolo mi bo míkala maã-maã.
280204008b	Nde ábvughu bakwuru ba bangaa ba nzaami bwohono ya baluo-mikyene ba báli ŋa kara li ekaana, ya áfwulu bo kunu-ako bafaana oburu Kriste.
2802050056	Ya bo bályele kundaa nde ti: «Ku Beteleeme, lili Yude, mu kuulu mubighili ásono bu:
28020600a6	“We Beteleeme, mu nsie yi a Yude, We ka li ebvu-bvulu ŋa kara li mabvulu mama Yude o. Mu kuulu, me mu we akala oopala mfumu, Wu aabiri Isarayele, baara ba me.”»
280207007e	Mu obo, Erode bu ati banga-a-mayele mbili mu ensweghe, ásagha ogyighili ogyahaba kundaa bo munsa matala ŋomaŋomo aamoŋono.
28020800b2	Ya nde ágweghe bo ku Beteleeme ya ályele ti: «Ligye ligyighili ofwulu baara mu mi mitala mwana, ya be limana omono nde, liyalyele me, mu kuulu mehe si ngye yingwa nde baana.»
28020900c7	Bo bu bamana ogyughu mi ólyele mukogho, bágyene. Ya bo báfirimono ŋomaŋomo wu bámono bo ku ookapala tala, ákatswama ku nkulu a bo, tee ku áyitemene nde mu engye-angye ŋa ebini ki óli mwana.
28020a003a	Bu bamono ŋomaŋomo, bo básomo kunsa muyayaã wu alagha.
28020b00bc	Bu basomo munsa nzo, bámono mwana ya Mari, ngughu a nde. Bo bábwi masu mu nsie mu ogwa nde baana. Bádzubulu bimpogholo bi bo, ya bágwi nde bikaba: Oore, muyiri ya mananaase mama miire.
28020c0072	Ŋa mbihi, Nzaami ágyehe bo mu nzolo, banyaã obvughuru kundaa Erode. Bo bábvughuru ku nsie a bo mu nzili nkimi.
28020d0119	Banga-a-mayele bu babvughuru, ngye-yulu a Mfumu áyamoŋono kundaa Dzodzefe mu nzolo ya ályele nde ti: «Temene, gwolo mwana ya ngughu a nde, bara a bo ku Edzipite. Yikala oko tee mu matala ma akala aandyele me we ti bvughuru. Mu kuulu, Erode sa asagha mwana mu kuulu adzwa nde.»
28020e0060	Mu mpyibi gyini oyo, Dzodzefe átemene, ágwolo mwana ya ngughu a nde, ya áyisweme ku Edzipite.
28020f00ac	Nde ákala oko tee matala ma ókpi Erode. Myehene mimye, mu kuulu mandagha ma ólyele Mfumu mu muŋma a mubighili makeele: «Me aanti mwana a me mbili, apala mu Edzipite.»
280210011f	Erode bu amono ti banga-a-mayele baapfiri nde, nde ákolo nkehe yi alagha. Ya nde ágweghe bambumbulu ku Beteleeme ya mu bitsulu bi nsie bi nde byehene, mu kuulu bayidzwa biba-baana bibi babaghala byehene bibi bamvulu buolo, ya ku nsie, embe-embe ya matala ma ólyele nde banga-a-mayele.
280211003d	Oŋo me ŋa ótswughu ndagha yi ólyele mubighili Dzeremi ti:
28021200ae	«Likyi li lili mu ofa ku Rama, Likyi li bilili ya minyoõ mi milagha. Rasyele li mu olili baana ba nde. Ya nde aabihi babuono nde, mu kuulu baana ba nde ka baafirisyili o.»
2802130052	Erode bu akpi, ngye-yulu a Mfumu áyimoŋono kundaa Dzodzefe mu nzolo ku Edzipite,
2802140096	ya ályele kundaa nde ti: «Temene, gwolo mwana ya ngughu a nde, ya bvughuru ku nsie yi a Isarayele, mu kuulu babo ba baakasagha odzwa mwana baakpi».
2802150057	Dzodzefe átemene, ágwolo mwana ya ngughu a nde, ya ábvughuru ku nsie yi a Isarayele.
28021600d2	Lo nde bu agyughu ti Arakelaose li mu okatumu nsie a Yude ŋa ebini e taara a nde Erode, Dzodzefe ámono nzalamweẽ mu ogye oko. Nzaami bu agyehe nde mu nzolo, nde áyisweme ku bitsulu bi nsie bibi ku Ngalile.
280217008d	Bu ato, nde áyikala mu bvulu lili Nadzarete, mu kuulu mandagha ma ólyele mibighili magye mu mana: «Sa balyele nde ti nde musi Nadzarete.»
2803010057	Mu bitsughu bibye, Dzã Muboghoro ámoŋono ku syehe lili Yude, ákabuluta mukwughu wu:
2803020038	«Ligyiŋi mayele, mu kuulu Emfumu ki Mayulu eebehene!»
28030300af	Wu me munde wu ókabighili mubighili Edzayi, ŋa ályele ti: «Likyi li munde wu li mu okakehe engumbu ku syehe: Ligyighili nzili a Mfumu, lisa mankwulu ma nde makala nsumu!»
28030400a3	Dzã, áli a enkuru ki bátwu mu mfu a nyama wu a nkwumu syamo, ya ákuru musili wu a mu nkobo a nyama mu bala li nde. Nde ákabuludza bansense ya nyuŋu wu ebiri.
280305006b	Baara baba Yerusaleme, baba Yude lwohono, ya baba etsulu e nsie kyehene kii Dzurudẽ, bákagye kundaa nde,
2803060062	ya nde ákaboghoro bo mu nzala yi a Dzurudẽ bu bákakihi masumu ma bo ŋa mihi mi baara bwohono.
28030700c7	Bu amono ba-Faridzyẽ balagha ya ba-Saduseyẽ ba bákagya kundaa nde mu kuulu nde aboghoro bo, nde ályele kundaa bo ti: «Etswumu ki bampili! Nande aasuo be bu liibara nkehe a Nzaami yili mu ogya?
280308002e	Liikasuo mu bigyighili ti be liigyiŋi mayele.
28030900a1	Ya ka likakala a bitsimi bi mu beme o ti: “Taara a bihi Abarahame!” Mu kuulu, me ndyele be ti: Nzaami kughu okirili mameẽ ma makala baana kundaa Abarahame!
28030a0088	Ekwu ayi baatwulu mu otsyiri midza mi miti. Mu obo, nswe muti wu aagwene okaburu bimburu bi bibwe, sa bakpaa nde ya batsili nde ku mbaa.
28030b00d5	Me ndi mu okaboghoro be mu madza mu nkooro a ogyiŋi mayele. Lo munde wu li mu ogya ŋa mbihi a me, bvulu me mpini, me ka nkughu onyana misyi mi bikoghoro bi nde o. Nde sa aboghoro be mu Mufulu a Ngili ya mu mbaa.
28030c00c6	Nde li a nkwogho yi mampala ŋa kwogho e nde mu okabala bimburu ya bisagha, sa akwomo mbala a nde, sa akwu bimburu bi bele bi nde kunsa etaghala, lo sa atsughu bisagha ku mbaa yi aagwene okadzimi.»
28030d0058	Ŋa mbihi oŋo, Yiisu fi ku Ngalile, gyi ku Dzurudẽ kundaa Dzã mu kuulu aboghoro nde.
28030e0078	Lo Dzã ka ákadzyi o, ya ályele kundaa nde ti: «Me ndi a nzala ati baboghoro me kundaa we, lo we firigya kundaa me!»
28030f00aa	Yiisu ábvuhulu kundaa nde ti: «Mu matala ma, nyaã okala obo. Mu kuulu ofaana okala obo kundaa bihi a we mu kuulu likuhu myehene mi ookatumu Nzaami.» Oŋo Dzã ákihi.
28031000ac	Bu basaaboghoro nde, ŋaana oŋo Yiisu ápala mu madza. Ya mono, mayulu mádzubulu kundaa nde, ya nde ámono Mufulu a Nzaami mu okayakumunu ti beeme, ya gyi ŋa yulu a nde.
2803110063	Ya ndagha yífi mu mayulu ya yílyele ti: «Wu me Mwana a me wu mukolo. Mu nde me aankamono esee.»
280401004b	Ŋa mbihi oŋo, Mufulu ábiri Yiisu ku syehe, mu kuulu dyabulu agyeele nde.
280402006e	Yiisu bu akuru nswele mu bala mu bitsughu makwumu mana ya mampyibi makwumu mana, ku masini, nzala yífuru nde.
2804030075	Nga-a-bigyeele áyasele ya ályele kundaa nde ti: «Kala ti we li Mwana a Nzaami, sa ti mameẽ ma makighiri mampa.»
280404008f	Lo Yiisu ábvuhulu kundaa nde ti: Básono ti: Mbwuru ka akala mweẽ yini a mu mampa o, lo mu mandagha mwohono ma maakapala mu muŋma a Nzaami.
2804050066	Oŋo dyabulu ábiri nde ku Yerusaleme, bvulu lili ngili, átwulu nde ku yulu a nsweẽ a Nzo a Nzaami,
28040600e5	ya ályele kundaa nde ti: Kala ti we li Mwana a Nzaami, bwa ku nsie, mu kuulu básono ti: Nde sa agwa litumu kundaa bangye-yulu ba nde mu nkooro a we, ya bo sa bagyagha we mu myaã mi bo, mu kuulu kwulu e we enyaã okubu limeẽ.
280407004d	Yiisu ábvuhulu kundaa nde ti: Básono si ti: Ka agyeele Mfumu Nzaami a we o.
280408006f	Dyabulu áfiribiri nde ku yulu a munguo wu a nkara mutele. Nde ásuo nde bimfumu bi nsie byehene ya nsia a bye,
2804090078	ya ályele kundaa Yiisu ti: «Me sa ngwa we bilogho byehene bi, kala ti we kunu mabuo ŋa nkulu a me mu ogwa me baana.»
28040a009b	Mu obo Yiisu ályele kundaa nde ti: «Satana, mara ŋa bele a me! Mu kuulu básono ti: We Mfumu Nzaami a we faana obuono, ya yini a nde we faana osamana».
28040b005a	Oŋo dyabulu ányaã nde, ya mono, bangye-yulu báyabehene ya nde ya bábaana osalala nde.
28040c0041	Yiisu bu agyughu ti baalo Dzã mu boloko, nde ágyene ku Ngalile.
28040d006c	Nde ásihi Nadzarete ya áyikala ku Kaperenawume, mu bele a mubu, mu etsulu e nsie kii Dzabulõ ya Nefetali,
28040e0036	mu kuulu mandagha ma ólyele mubighili Edzayi makeele:
28040f008c	Etsulu e nsie kii Dzabulõ, etsulu e nsie kii Nefetali, nzili yi a mubu, ku ngulu a Dzurudẽ, Ngalile lili baara baala ka bali ba-Dzwife o!
2804100089	Baara ba báli kunsa mpyibi yi a laŋa-laŋa, baamono otsyeme ku onene, ya kundaa babo ba bali kunsa edzwunu kii lipfu, otsyeme omoŋono!
2804110075	Obaana matala mamo, Yiisu ábaana oluo ya ákabululyele ti: «Ligyiŋi mayele mu kuulu Emfumu ki Mayulu eeyabehene!»
28041200c2	Bu ákabuludzye mu mukogho a mubu a Ngalile, Yiisu ámono baana buolo ba taara mumõ, Simõ wu baakata ti Piere ya Andere mbwee a nde, mu okatere likoho mu mubu, mu kuulu bo báli bilebe banswi.
2804130046	Nde ályele kundaa bo ti: «Linama me, ya me sa nsa be bilebe baara.»
2804140039	Ŋaana oŋo, bo basaabulunyaã nkoho a bo, ya banama nde.
28041500d7	Bu afirisehe ŋa nkulu, nde áfirimono baana buolo bakimi ba taara mumõ: Dzake ya Dzã, baana ba Nzebede ba babaghala munsa bwara bu bunene. Bo báli ya taara a bo Nzebede mu okagyighili nkoho. Yiisu áti bo mbili.
280416004d	Ŋaana oŋo, bo básaabulunyaã bwara bu bunene ya taara a bo ya bánama nde.
28041700e1	Yiisu ákabulugye mu etsulu e nsie kii Ngalile kyehene, mu okabululuo munsa manzo mama lisamana ma ba-Dzwife, ya ákabulutsala Nsia yi Mbwe yi a Emfumu. Nde ákabuludzuhu mabyele mwohono ya bipfwumu byehene ŋa kara li baara.
28041800d9	Nsia a nde yítsaŋama mu Siiri lwohono. Ya bákayabiri kundaa a nde baara bwohono ba báli a mabyele mama mawa-mawa ya ba bákamono mpara: banga a mifulu mi mibi, banga a nzyere, ba ópki binama, ya nde ákadzuhu bo.
2804190090	Ya mampwumu ma baara ma máfi ku Ngalile, ku etsulu e nsie kii mabvulu-kwumu, ku Yerusaleme, ku Yude, ya ku ngulu a Dzurudẽ, mábwi onama nde.
2805010070	Yiisu bu amono mampwumu ma baara, ákumu ku yulu a munguo, ya bu abwi nsini, binduono bi nde bísele kundaa nde.
2805020032	Bu atsughu ndagha, nde ábwi oluo ya olyele bo ti:
280503004a	«Esee kundaa bawele mu Mufulu, mu kuulu Emfumu ki Mayulu eli kii ndaa bo!
280504003d	Esee kundaa ba bali mu okalili, mu kuulu Nzaami sa abuono bo!
280505005d	Esee kundaa babo ba bali badzuunu, mu kuulu bo sa babagha pfa li nsie yi ósiini a bo Nzaami!
280506004f	Esee kundaa babo ba bali a nzala ya nyoro a bunsumu, mu kuulu bo sa bagyughuru!
2805070049	Esee kundaa babo ba baakamono bana nyiĩ, mu kuulu sa bamono bo si nyiĩ!
280508004e	Esee kundaa babo ba bali a mikolo mimi tse-tsee, mu kuulu bo sa bamono Nzaami!
2805090052	Esee kundaa babo ba baakasa ti edzuunu ekala, mu kuulu sa bata bo baana ba Nzaami!
28050a0073	Esee kundaa babo baala bali mu okamwehẽ bo kimini mu nkooro a bunsumu, mu kuulu Emfumu ki Mayulu eli kii ndaa bo!
28050b0081	Esee kundaa be kala ti baara batughu be, bamwehẽ be kimini, ya babili mandagha mwohono ma mabi mama mpya mu be, mu nkooro a me.
28050c0097	Likala a emiini ya likala kunsa muyayaã! Mu kuulu mufuru a be mu mayulu li munene. Me obo si bákamwehẽ mibighili mi mítswama nsomo ya be kimini.»
28050d00bd	«Be lili munbga a nsie. Lo, kala ti munbga ka afirisyili a ese o, lo mu ema bakughu ofiribvurulu nde kye? Lo nde ka afirisyili a esala o. Bafaana otsili nde ku mbala ya baara badzyara nde.
28050e0055	Be lili otsyeme o nsie nsyini. Bvulu li bátwu ŋa yulu a munguo ka likughu osweme o.
