0100000006	Senesi
0101010047	Naʻe fakatupu ʻe he ʻOtua ʻi he kamataʻanga ʻae langi mo māmani.
010102009a	Pea naʻe fuofuonoa ʻa māmani mo lala; pea naʻe fakapoʻuli ʻae funga ʻoe loloto. Pea naʻe ʻōʻōfaki ʻae Laumālie ʻoe ʻOtua ki he fukahi vai.
010103003c	Pea folofola ʻae ʻOtua, “Ke maama pea naʻe maama ai.”
010104006e	Pea ʻafio ʻe he ʻOtua ki he maama, kuo lelei ia: pea naʻe vaheʻi ʻe he ʻOtua ʻae maama mei he poʻuli.
0101050096	Pea naʻe ui ʻe he ʻOtua ʻae maama ko e “ʻAho,” pea ne ui ʻae poʻuli ko e “Pō.” Pea ko e efiafi mo e pongipongi ko e ʻuluaki ʻaho ia.
0101060085	Pea naʻe folofola ʻae ʻOtua, “Ke ai ʻae ʻatā ʻi he vahaʻa ʻoe ngaahi vai, ke vaheʻi ʻae ngaahi vai mei he ngaahi vai.”
01010700a9	Pea naʻe ngaohi ʻe he ʻOtua, ʻae ʻatā, pea vaheʻi ʻae ngaahi vai naʻe ʻi he lalo ʻatā, mei he ngaahi vai naʻe ʻi ʻolunga ʻi he ʻatā: pea naʻe hoko ia.
010108006d	Pea naʻe ui ʻae ʻatā ʻe he ʻOtua ko e “Langi.” Pea ko e efiafi mo e pongipongi ko hono ʻaho ua ia.
0101090096	Pea naʻe folofola ʻae ʻOtua, “Ke fakataha ʻae ngaahi vai ʻi he lalo langi ki he potu pe taha, pea ke hā mai ʻae mōmoa: pea naʻe hoko ia.”
01010a009f	Pea naʻe ui ʻe he ʻOtua ʻae mōmoa ko e Fonua; pea ko e ngaahi vai naʻe tānaki fakataha, naʻa ne ui ko e Tahi; pea naʻe ʻafio ʻe he ʻOtua kuo lelei.
01010b00cf	Pea naʻe folofola ʻae ʻOtua, “Ke tupu ʻae mohuku mei he kelekele, mo e ʻakau iiki ʻoku ai hono tenga, mo e ʻakau ʻoku fua, pea ʻi ai hono tenga, ʻo tatau mo hono faʻahinga:” pea naʻe hoko ia.
01010c00de	Pea naʻe tupu mei he kelekele ʻae mohuku, mo e ʻakau iiki naʻe tupu ai ʻae tenga ʻo hono faʻahinga, mo e ʻakau ʻoku fua, ʻaia naʻe ʻi ai ʻae tenga ʻo hono faʻahinga: pea naʻe ʻafio ʻe he ʻOtua kuo lelei.
01010d0036	Pea ko e efiafi mo e pongipongi ko hono ʻaho tolu ia.
01010e00d3	Pea naʻe folofola ʻae ʻOtua, “Ke ai ʻae ngaahi maama ʻi he ʻatā ʻoe langi, ke vaheʻi ʻae ʻaho mei he pō; pea ke fakaʻilonga ʻaki ia ʻae ngaahi faʻahitaʻu, mo e ngaahi ʻaho, mo e ngaahi taʻu:
01010f0068	pea ke hoko ia ko e ngaahi maama ʻi he ʻatā ʻoe langi ke fakamaama ki māmani:” pea naʻe hoko ia.
01011000a2	Pea naʻe ngaohi ʻe he ʻOtua ʻae maama lahi ʻe ua; ko e maama lahi hake ke pule ki he ʻaho, mo e maama siʻi ke pule ki he pō: pea mo e ngaahi fetuʻu foki.
0101110052	Pea naʻe tuku ia ʻe he ʻOtua ʻi he ʻatā ʻoe langi, ke fakamaama ki māmani,
0101120075	Pea ke pule ki he ʻaho mo e pō, pea ke vaheʻi ʻae maama mei he poʻuli: pea naʻe ʻafio ʻe he ʻOtua kuo lelei.
0101130035	Pea ko e efiafi mo e pongipongi ko hono ʻaho fā ia.
01011400c1	Pea naʻe folofola ʻae ʻOtua, “Ke tupu ʻo lahi ʻaupito mei he ngaahi vai ʻae meʻa moʻui ʻoku totolo, mo e fanga manupuna ke puna ʻi he funga ʻo māmani, ʻi he ʻatā ʻoe langi.”
0101150106	Pea naʻe ngaohi ʻe he ʻOtua ʻae ngaahi tofuaʻa lalahi, mo e meʻa moʻui kotoa pē naʻe ngaolo, ʻaia ne tupu lahi ʻaupito mei he ngaahi vai ʻi honau faʻahinga, mo e fanga manupuna kotoa pē ʻi honau faʻahinga pea naʻe ʻafio ʻe he ʻOtua kuo lelei.
01011600bc	Pea naʻe tāpuakiʻi ʻakinautolu ʻe he ʻOtua, ʻo pehē, “Mou fanafanau, mo tupu ke lahi, pea fakafonu ʻae ngaahi vai ʻoe tahi, pea ke tupu ke lahi ʻae fanga manupuna ʻi māmani.
0101170036	Pea ko e efiafi mo e pongipongi ko hono ʻaho nima ia.
01011800c0	Pea naʻe folofola ʻae ʻOtua, “Ke tupu mei he fonua ʻae meʻa moʻui ʻi hono faʻahinga, ʻae fanga manu, mo e meʻa totolo, mo e manu ʻoe vao ʻi hono faʻahinga:” pea naʻe hoko ia.
01011900ea	Pea naʻe ngaohi ʻe he ʻOtua ʻae manu ʻoe vao ʻi hono faʻahinga, mo e fanga manu lalahi ʻi honau faʻahinga, mo e meʻa kotoa pē ʻoku totolo ʻi he funga fonua ʻi hono faʻahinga: pea naʻe ʻafio ʻe he ʻOtua kuo lelei ia.
01011a00ff	Pea naʻe folofola ʻae ʻOtua, “Ke tau ngaohi ʻae tangata ʻi hotau tatau, mo e tau anga: pea kenau pule ki he ika ʻoe tahi, mo e manupuna ʻoe ʻatā, mo e fanga manu, mo māmani kotoa pē, mo e meʻa totolo kotoa pē ʻoku ngaue ʻi he kelekele.”
01011b009e	Ko ia naʻe ngaohi ʻae tangata ʻe he ʻOtua ʻi hono tatau, naʻa ne ngaohi ia ʻi he tatau ʻoe ʻOtua; naʻa ne ngaohi ʻakinaua ko e tangata mo e fefine.
