0100000007	Ts'etta
010101002a	Ts'etta Allahee xəybıyiy ç'iye itxhın.
0101020084	Ç'iye aq'vabıdena q'əradniy vod. K'orane xhyanbışin oodun ciga miç'axdaniy vod. Allahın Rı'h xhyanbışil ooadniy alycaxxva.
0101030038	Allahee uvhuyn: «Hasre işix ixhecen». İşix ıxhayn.
0101040055	Allahık'le g'acuyn, işix yugda vod. Qiyğa Mang'vee işix miç'axıyvalike cura'an.
010105007f	Allahee işixıs «yiğınyiğ», miç'axıyvalis «xəm» dobı huvu. Xəm quvxha, miç'eediy qıxha; in ts'ettiyn yiğ ıxha.
0101060068	Qiyğa Allahee uvhuyn: «Hasre xhyanbışde yı'q'nee arka vuxhecen, xhyanbı sana-sançike cure'ecen».
010107006a	Həməxüdud ıxhayn. Allahee arka haa'ana, arkayn, çik avuduniy oodun xhyanbı sana-sançike cura'anbı.
0101080060	Allahee mane arkays «xəv» do huvu. Xəm quvxha, miç'eediy qıxha; in q'öd'esın yiğ ıxha.
0101090077	Qiyğa Allahee uvhuyn: «Hasre xəək avudun xhyanbı sacigeeqa salecen, qeqquyn ciga g'acecen». Həməxüdud ıxhayn.
01010a0087	Allahee qeqquyne cigayk'le «ç'iye», xhyan sadıyne cigayk'lemee «deryahbıva» dobı huvu. Allahık'le g'acuyn, inəxüd yugda vod.
01010b00c8	Qiyğa Allahee uvhuyn: «Hasre ç'iyeyn aq'va xhınak qıxhecen: toxumbınan ok'bı-alafbı, curayn-curayn meyvabı eyxhen yivar aleyle'ecen, toxumbıd meyvabışde ad ixhecen». Həməxüdud ıxhayn.
01010c00c1	Ç'iyeyne aq'vayn alabı aleyli'inbı: toxumbınan ok'bı-alafbı, curayn-curayn meyvabı eyxhen yivarıd alyadıynbı, toxumbıd meyvabışde ad ıxha. Allahık'le g'acuyn, inəxüd yugda vod.
01010d003c	Xəm quvxha, miç'eediy qıxha; in xhebıd'esın yiğ ıxha.
01010e0081	Qiyğa Allahee uvhuyn: «Hasre xəəne arkee xəm yiğıke cura'an işixbı ixhecen. Mançin fəsilbı, yiğbı, senbı hagvecen.
01010f0055	Hasre manbı xəə'əd işixbı ıxha, ç'iyelqa gyatk'vecen». Həməxüdud ıxhayn.
01011000a4	Allahee q'ölle xədın işartı hı'ı: yiğınyiğ vuk'lek ıkkeecenva xədın işartı, xəm vuk'lek vukkeecenva k'ınin işartı. Mang'vee xənebıd hı'iynbı.
0101110049	Allahee manbı xəəne arkeeqa gitk'ıniynbı, ç'iyelqa işix gehecenva,
0101120071	yiğıy xəm vuk'lek ıkkeecenva, işixıke miç'axiyvalla curee'ecenva. Allahık'le g'acuyn, inəxüd yugda vod.
010113003b	Xəm quvxha, miç'eediy qıxha; in yoq'ud'esın yiğ ıxha.
0101140083	Qiyğa Allahee uvhuyn: «Hasre xhyanbı nafas ileşşene karbışika gyatsts'ece, ç'iyeyl oo, xəə xətta şit'yar aleetxvecen».
01011500e3	Allahee xhyanee eyxhen ç'ak'ın karbı, gırgıne curaylin baluğar, gırgın hadağvan nafas helen karbı, mançika sacigee gırgıne curaylin gırgın xılibışikan şit'yar itxhın. Allahık'le g'acuyn, inəxüd yugda vod.
0101160096	Allahee mançis xayir-düə huvu eyhen: «G'adı geed qeetxhe, deryahbışeedın xhyanbı gyatsts'e'e; şit'yarıd ç'iyeyne aq'val geed qeetxhecen».
0101170039	Xəm quvxha, miç'eediy qıxha; in xhod'esın yiğ ıxha.
