0100000006	1 Mose
010101002c	Mfiase no Onyankopɔn bɔɔ ɔsoro ne asase.
0101020062	Na asase yɛ basaa a na ɛda mpan, na sum kata bun no ani, na Onyankopɔn Honhom butuw nsu no ani.
0101030039	Onyankopɔn hyɛe se, “Ɛnyɛ hann,” na ɛyɛɛ hann.
010104003f	Onyankopɔn huu sɛ hann no ye, na ɔtew hann no fii sum no ho.
0101050076	Onyankopɔn frɛɛ hann no se, “adekyee,” na sum no nso se, “adesae.” Ade sae na ade kyee, da a edi kan ne no.
010106004b	Onyankopɔn kae se, “Nkyemu mmra nsu no ntam, na ɛnkyekyɛ nsu no mu.”
0101070082	Enti Onyankopɔn yɛɛ nkyɛmu no, de kyekyɛɛ nsu a ɛwɔ nkyɛmu no ase fii nsu a ɛwɔ nkyɛmu no atifi no mu. Na ɛyɛɛ saa.
010108005d	Onyankopɔn too atifi nkyɛmu no din wim. Na ade sae, na ade kyee; eyi ne da a ɛto so abien.
010109007c	Na Onyankopɔn kae se, “Nsu a ɛwɔ nkyɛmu no ase no ano mmoa wɔ faako, na asase kesee nna ne ho adi.” Na ɛyɛɛ saa.
01010a0082	Onyankopɔn too beae kesee ne din “asase.” Na nsu a ɛboaa ne ho ano no nso, ɔtoo no din “ɛpo.” Onyankopɔn hui sɛ eye.
01010b00ad	Afei Onyankopɔn kae se, “Afifide mfifi wɔ asase so; afifide a ɛsow aba, nnuaba ahorow a ɛsow aba ne nea nʼaba hyehyɛ mu nyinaa mfifi wɔ asase so.” Na ɛyɛɛ saa.
01010c007d	Afifide a ɛsow aba ne nnua fifii wɔ asase so na nʼaba no nyin yɛɛ nnua ne afifide sɛ ne sɛso. Onyankopɔn hui sɛ eye.
01010d0035	Na ade sae, na ade kyee. Eyi ne da a ɛto so abiɛsa.
01010e0098	Na Onyankopɔn kae se, “Hann mmra nkyɛmu a ɛwɔ wim no mu, na ɛmmɛpae adekyee ne adesae mu. Na ɛmmɛyɛ nnyinaso mma bere nkyekyɛmu, nna ne mfe,
01010f005a	na ɛmma hann mmra nkyɛmu a ɛwɔ wim no mu, na ahyerɛn wɔ asase so.” Na ɛyɛɛ saa.
010110008a	Onyankopɔn yɛɛ akanea akɛse abien a ɛyɛ owia ne ɔsram sɛ, owia no nni adekyee so na ɔsram no nni anadwo so. Ɔbɔɔ nsoromma nso.
0101110060	Onyankopɔn de akanea akɛse abien yi sii nkyɛmu a ɛwɔ wim no mu sɛ ɛnhyerɛn wɔ asase so,
010112005e	na wonni adekyee ne adesae no so, na ɛntew hann no mfi sum no ho. Na Onyankopɔn hui sɛ eye.
0101130031	Na ade sae, na ade kyee. Da a ɛto so anan ne no.
0101140075	Onyankopɔn kae se, “Abɔde a nkwa wɔ mu nhyɛ nsu no ma, na nnomaa ntu mfa asase ne nkyɛmu a ɛwɔ wim no so.”
0101150094	Enti Onyankopɔn bɔɔ po mu mmoa akɛse ne mmoa ahorow nyinaa a wɔwɔ nkwa na wɔkeka wɔn ho ne nnomaa ahorow nyinaa. Na Onyankopɔn hui sɛ eye.
010116008e	Onyankopɔn hyiraa abɔde no nyinaa so, kae se, “Monwo na monyɛ bebree na monhyɛ po no mu nsu no ma, na nnomaa ase ntrɛw wɔ asase so.”
0101170031	Na ade sae, na ade kyee. Da a ɛto so anum ne no.
01011800c7	Onyankopɔn kae se, “Abɔde a nkwa wɔ mu ahorow nyinaa ne wɔn sɛso, anantwi ne mmoa a wɔwea wɔn afuru so ne mmoa ahorow a wɔyɛ keka a wɔwɔ asase so nyinaa mmra asase so.” Na ɛyɛɛ saa.
0101190085	Onyankopɔn bɔɔ mmoa ahorow, anantwi ahorow ne wɔn sɛso ne mmoa a wɔwea wɔn afuru so ne wɔn sɛso. Na Onyankopɔn hui sɛ eye.
01011a00b2	Onyankopɔn kae se, “Momma yɛmmɔ onipa sɛ yɛn sɛso, na onni po mu mpataa, wim nnomaa, anantwi ne mmoa a wɔyɛ keka ne biribiara a ɛwea nʼafuru so wɔ asase so no so.”
01011b0073	Enti Onyankopɔn bɔɔ onipa sɛ ne sɛso; Onyankopɔn sɛso so na ɔbɔɔ wɔn; ɔbarima ne ɔbea na ɔbɔɔ wɔn.
01011c00c5	Onyankopɔn hyiraa wɔn, ka kyerɛɛ wɔn se, “Monwo na monyɛ asase so ma, na munni biribiara so. Munni po mu mpataa ne wim nnomaa ne abɔde biara a nkwa wɔ mu a ɛwɔ asase so no nyinaa so.”
01011d00a2	Afei Onyankopɔn kae se, “Mede asase so afifide a ɛsow aba nyinaa, afifide biara a aba hyɛ ne nnuaba mu wɔ asase yi so nyinaa hyɛ wo nsa. Ɛbɛyɛ wʼaduan.
01011e00b8	Mede nhabammono nyinaa ama aboa biara a ɔwɔ asase so, anomaa biara a ɔwɔ wim, biribiara a ɛwea nʼafuru so, biribiara a nkwa wɔ mu wɔ asase so sɛ wɔn aduan.” Na ɛyɛɛ saa.
01011f006a	Onyankopɔn hwɛɛ nea wayɛ nyinaa huu sɛ ɛyɛ papa. Na ade sae, na ade kyee. Eyi ne da a ɛto so asia.
0102010050	Eyi ne ɔkwan a Onyankopɔn faa so bɔɔ ɔsoro ne asase ne nea ɛwɔ mu nyinaa.
010202007b	Eduu da a ɛto so ason no, na Onyankopɔn awie nnwuma a ofii ase yɛe no nyinaa. Enti da a ɛto so ason no, ogyee nʼahome.
0102030088	Enti Onyankopɔn hyiraa da a ɛto so ason no, na ɔtew ho, efisɛ saa da no na Onyankopɔn gyee nʼahome fii adebɔ nnwuma no nyinaa mu.
0102040057	Eyi ne ɔsoro ne asasebɔ ho asɛm. Bere a Awurade Nyankopɔn bɔɔ ɔsoro ne asase no.
01020500ab	Na afifide biara nni asase so, na wuram nnua biara nso nni hɔ. Efisɛ, na Awurade Nyankopɔn mmaa osu ntɔɔ wɔ asase so, na onipa nso nni asase so a ɔbɛyɛ so adwuma.
010206003b	Nanso nsuti puepue fifii asase mu bɛfɔw asase ani nyinaa.
