010000000a	Буття
0101010043	У початку сотворив Бог небо та землю.
01010200a7	Земля ж була пуста і пустошня, і темрява лежала над безоднею; і дух Божий ширяв понад водами.
010103004d	І рече Бог: Настань, сьвіте! І настав сьвіт.
0101040075	І бачив Бог сьвіт, що воно добре; та й розлучив сьвіт із темрявою.
0101050091	І назве Бог сьвіт день, а темряву назве ніч. І був вечір, і був ранок; день первий.
010106009f	І рече Бог: Нехай проміж водами постане твердь, і розлучає води з водами! І сталось тако.
01010700ac	І сотворив Бог твердь; і розлучив Бог воду, що була під твердею, із водою, що була понад твердею.
010108006e	І назве Бог твердь небо. І був вечір, і був ранок; день другий.
01010900a3	І рече Бог: Зберись, водо, що попід небом, ув одно місце, і появися суходоле. І сталось тако.
01010a008c	І назве Бог суходіл земля, а згромадженє вод назве море. І бачив Бог, що добре.
01010b011a	І рече Бог: Нехай проростить земля биллє травне, зело з насїннями і дерево плодовите, плодюще по свойму родові, щоб його насїннє було в йому. І сталось тако.
01010c011e	І вивела земля биллє травне, зело з насїннями і дерево плодовите, плодюще по свойму родові, що його насїння було в йому по свойму родові. І бачив Бог, що добре.
01010d0044	І був вечір, і був ранок; день трейтїй.
01010e00f1	І рече Бог: Постаньте сьвітила, на твердї небесній розлучати день із ніччю, і бувайте знаменнями на ознаку впливочасу і днїв і років.
01010f0084	І бувши сьвітилами на твердї небесній, сьвітїте по землї. І сталось тако.
01011000be	І сотворив Бог два сьвітила великі: сьвітило велике правити днем, і сьвітило менше правити ніччю, і зорі.
0101110064	І поставив їх Бог на твердї небесній сьвітити на землю.
0101120088	І правити днем і ніччю, і розлучати сьвіт із темрявою. І бачив Бог, що добре.
0101130048	І був вечір, і був ранок; день четвертий.
01011400a9	І рече Бог: Заграйте, води, душами живими, і полинь, птаство, над землею попід небесною твердю.
01011500f7	І сотворив Бог чудища великі і усяку душу живу повзючу, що заграла ними вода, по родові їх, і всяке птаство пернате. І бачив Бог, що добре.
01011600cf	І благословив їх Бог, і глаголе: Плодїтеся і множтеся і сповняйте воду в морях, і птаство нехай множиться на землї.
0101170040	І був вечір, і був ранок; день пятий.
01011800cc	І рече Бог: Виведи, земле, душу живу по роду їх, четверонога і повзюче і дикого зьвіра, по родові їх. І сталось так.
01011900c6	І сотворив Бог зьвірє земне по родові їх, і скотину по родові й усе повзюче по родові їх. І бачив Бог, що добре.
01011a015e	І рече Бог: Сотворимо чоловіка в наш образ і в подобу, і нехай панує над рибою морською, і над птаством небесним, і над скотиною, і над усяким диким зьвірєм, і над усяким гадом, що лазить по землї.
01011b00b4	І сотворив Бог чоловіка в свій образ, ув образ Божий сотворив його, як чоловіка і жінку сотворив їх.
01011c015e	І благословив їх Бог, і рече до них Бог: Плодїтеся і намножуйтесь, і сповнюйте землю і підневолюйте її, і пануйте над рибою морською і над птаством небесним і над усїм зьвірєм, що гасає по землї.
01011d0108	І рече Бог: Оце ж дав я вам усяке зело з насїннями, яке нї росте на землї, та й усяке дерево, що має в собі плід родющий насїннє; се нехай вам на харч.
01011e0120	І всякому зьвірові земному, і всякому птаству небесному, і всьому повзючому по землї, усякій душі живій, призначив я всяку траву й зело на харч. І сталось тако.
01011f009e	І бачив Бог, що все, що сотворив, було вельми добре. І був вечір, і був ранок; день шестий.
010201005b	Так докіньчено небеса й землю з усїм войнством їх.
01020200b8	І докіньчив Бог шестого дня дїло своє, що сотворив; і почив на семий день від усього дїла, що сотворив.
01020300ca	І благословив Бог день семий, і зъясував його сьвятим: того бо дня спочив од усїх дїл своїх, які вчинив і зробив.
01020400ac	Се початок настання небес і землї, як сотворено їх, того часу, як сотворив Господь землю і небо,
0102050125	Не було ще на землї нїякої рослини на полях, і не росло ще нїяке зело на полях; бо Господь Бог не повелїв іще дощувати на землю, і не було ще там людей порати землю.
010206006f	Виходила ж імла з землї і напувала всю верховину на суходолї.
01020700cc	І создав Господь Бог чоловіка з землї польової, і вдихнув йому в ноздрі живе диханнє. І став чоловік душею живою.
0102080083	І насадив Бог сад у Едемі на востоцї, та й осадив там чоловіка, що создав.
0102090111	І зростив Господь Бог усяке дерево із землї, принадне на погляд і смашне плодом своїм, і дерево жизьняне посеред саду, і дерево познавання добра й зла.
01020a0094	І ріка виходить із Едему на поливаннє саду, а потім розлучається чотирма течіями.
01020b0079	Імя первої Пизон; ся обтекає всю Гавила землю, де знаходять золото.
01020c0087	А золото в тій землї предобре. Там знаходять і бедола-смолу і камінь оникс.
01020d0061	А друга річка зветься Гигон; ся обтекає всю Куш землю.
01020e00b7	А трейтя зветься Гиддекель; се та річка, що йде на схід соньця від Ассура. А четверта річка, се Евфрат.
01020f009e	І взяв Господь Бог чоловіка та й осадив його в Едемському саду порати його і доглядати.
01021000b7	І заповідав Господь Бог чоловікові, глаголючи: З усякого древа в саду-раї можна тобі по вподобі їсти.
01021100dd	З того ж дерева, що дає знаттє доброго й лихого, з того не важитимешся їсти, ато вмреш певно того ж дня, як скоштуєш із його.
01021200b7	І рече Господь Бог: Не добре чоловікові бути самому; сотворимо йому таку поміч, щоб до пари була йому.
010213016f	І сотворив Господь Бог із землї всякого зьвіря польового і всяке птаство небесне, і привів їх до чоловіка побачити, як він зватиме їх, і як нї назвав би чоловік їх живі душі, так щоби мусїли вони зватись.
010214011b	І подавав чоловік назви всякій скотинї, і птаству небесному, і всякому польовому зьвірові, та про чоловіка не знайшлось такої помочі, щоб до пари була йому.
01021500d7	І попустив Господь Бог твердому сну обняти чоловіка, і як заснув, узяв одно з його ребер, та й затулив його місце тїлом.
0102160099	І создав Господь Бог женщину з ребра, що взяв од чоловіка, та й привів її до чоловіка.
01021700cc	І каже чоловік: Се ж кість од костей моїх і тїло від тїла мого. Мусить вона зватись людина; бо її взято з чоловіка.
01021800bc	Тим оставить чоловік отця свого й матїр свою та й прилїпиться до жони своєї, і будуть удвох тїлом одним.
0102190061	І були обоє нагі, чоловік і жона його, і не соромились.
0103010188	Змій же був хитріщий над усякого польового зьвіра, що Господь Бог создав. І каже він жіньцї: Чи справдї Бог сказав: Не мусите їсти нї з якого дерева райського? І каже жінка змієві: З усякого дерева райського їсти мемо,
01030200b1	З плоду ж дерева, що серед раю, рече Бог, не їжте з його, анї доторкати метесь до нього, ато помрете.
0103030042	І каже змій жіньцї: Нї бо, не помрете.
01030400b6	А се Бог знає, що скоро попоїсте з нього, відкриються вам очі, і будете як боги, знающі добре й лукаве.
0103050142	І вбачала жінка, що добре дерево на їду, і принадне очима дивитись і надило тим, щоб усе знати; і взяла плоду з його та й скоштувала, і дала чоловікові свойму з собою, і скоштували.
01030600c1	І відкрились їм обом очі, і схаменулись вони, що були нагі; і позшивали листя смоковне, та й поробили пояси.
01030700fa	І почули глас Господа Бога ходячого в раї по прохолодї, і поховались чоловік і жінка його від лиця Господа Бога посеред райського дерева.
0103080063	І покликне Господь Бог до чоловіка, і рече йому: Де єси?
0103090089	І каже він: Голос почув я твій у саду та й злякавсь, тим що наг, та й сховавсь.
01030a00cb	І рече він: Хто зъясував тобі, що наг єси? Хиба скоштував з того древа, що заповідав я тобі з одного сього не їсти?
01030b0092	І каже чоловік: Жінка, що дав єси бути зо мною, вона дала менї з дерева, я й попоїв.
01030c009f	І рече Господь Бог жіньцї: Що ти вкоїла? І каже жінка: Змій спокусив мене, я й скоштувала.
01030d0189	І рече Господь Бог змієві: За те, що вдїяв таке, проклят єси між усїма скотами, і між усїм зьвірєм польовим. Лазити меш поповза, човгати меш на грудях твоїх і на череві ходити меш, і їсти меш землю по всї днї життя твого.
01030e00fc	І положу ворогуваннє між тобою й жінкою і між насїннєм твоїм і насїннєм її, воно рощавлювати ме тобі голову, ти ж упивати мешся йому в пяту.
01030f0100	А жінцї рече: Наготую тобі муки в вагонїннях твоїх; мучившись роджати меш дїти, а до мужа твого поривати ме тебе, він же панувати ме над тобою.
010310016e	І чоловікові рече: Що послухав єси гласу жени твоєї та попоїв з того дерева, що заповідав я сього єдиного не їсти, проклята земля задля тебе; в печалї і тузї харчувати мешся з неї по всї днї живота твого.
010311006b	Тернину да осет родитиме вона тобі, і їстимеш польове зело.
01031200d5	У поту лиця твого їстимеш хлїб твій, аж покіль вернешся в землю, що з неї й узято тебе. Земля бо єси і землею візьмешся.
010313006b	І дав чоловік жіньцї своїй імя Ева: бо вона мати всїх живих.
0103140087	І поробив Господь Бог чоловікові й жіньцї його одежу із шкір та й зодїг їх.
010315014e	І рече Господь Бог: Оце і чоловік став як один ізміж нас, зрозумівши добре й лукаве, і тепер колиб не простїг руку свою, та не взяв із древа животового, да не попоїв, і не став жити во вік.
0103160080	І вислав його Господь Бог із саду Едену порати землю, що з неї й узятий.
0103170104	І вигнав чоловіка. І поставив на востоцї за садом Еденом херовимів з поломяними голими мечами обертасами стерегти дорогу до животового древа.
01040100c9	І взнав чоловік Еву, жінку свою, і завагонївши вона, вродила Каїна і промовила: Придбала я людину з Божої ласки.
0104020079	Потім уродила брата його, Абеля. І був Абель вівчар, Каїн же пахарь.
0104030094	І сталось по якомусь часї, що Каїн приносив Господеві жертву з польового вроджаю.
01040400b2	Абель же приносив принос од перваків овечих ситеньких. І споглянув Господь на Абеля і на дар його;
0104050078	На Каїна ж і на його жертву не споглянув. І взлився Каїн, і змарнїв.
0104060062	І рече Господь Каїнові: Чого ти злишся, і чого змарнїв?
01040700fb	Коли чиниш добре, дак і лице весело позирає; коли ж чиниш не добре, дак на тебе гріх чигає в порозї, щоб одолїти; ти ж мусиш панувати над ним.
01040800da	Озветься ж Каїн до Абеля, брата свого: Ходїмо в поле. І як були вони в полї, напав Каїн на брата свого Абеля та й убив його.
0104090093	І рече Господь Каїнові: Де твій брат? А він каже: Не знаю. Хиба я сторож брата мого?
01040a0084	І рече: Що вкоїв єси? Слухай, се голосить кров брата твого до мене з землї.
01040b00ab	Оце ж проклят єси прогоном із землї, що роззявила уста свої пити кров брата твого з руки твоєї.
01040c00cb	Як порати меш землю, не давати ме вже з сього часу вона тобі нїякої користї. Волоцюгою й утїкачем будеш на землї.
01040d0088	І відказав Каїн Господеві: Не перебути менї того, що наробив провиною моєю.
01040e00e2	Женеш оце мене з землї, і від лиця твого ховати мусь, і буду волоцюгою й утїкачем на землї і, хто зустріне мене, той і вбє мене.
01040f0083	І рече йому Бог: Тим же то, хто б убив Каїна, на того впаде помста всемеро.
0104100113	І положив Господь знак на Каїні, щоб не вбивав його, хто зустріне його. І зійшов Каїн од обличчя Господнього, і пробував у Нод-землї, на востоцї ʼд Едену.
01041100c1	І взнав Каїн жінку свою, і завагонїла вона, і вродила Геноха. Він же збудував місто в імя сина свого Геноха.
010412008c	Генохові же породивсь Ірад, а Ірад появив Мегуяеля, а Мегуяель появив Ламеха.
0104130087	І взяв собі Ламех дві жінки: одна на ймя була Ада, а друга на ймя була Зилла.
010414008a	І вродила Ада Ябаля. Сей був батько тих, що живуть шатрами і держять скотину.
0104150087	А брат його на імя був Юбаль. Сей був батько охочих до гусель та до сопілки.
01041600bf	Зилла ж і та вродила Тубаль-Каїна, праотця всїх тих, що кують мідь і залїзо. Сестра ж Тубаль-Каїнова Ноема.
010417015a	І каже Ламех жінкам своїм: Ой Зилло й Адо, кохані жінки Ламешихи! Слухайте, що я скажу вам, чуйте слово певне. Коли б за болючу рану вбив я чоловіка, коли б за синяк одвдячив парубкові смертю, —
01041800a1	Кара б сталась за Каїна в семеро хто вбив би, за Ламеха ж у сїмдесять і сїм раз би сталась.
01041900f4	І взнав Адам жінку свою знов, і вродила вона сина і дала йому імя Сет: Воскресив бо каже, менї Бог потомство замість Абеля, що вбив Каїн.
01041a00a2	І Сетові те ж появлено сина і назве він імя йому Енос. Тодї почали призивати імя Господнє.
01050100a3	Се книга роду Адамового: У той день, як сотворив Бог чоловіка, в образ Божий сотворив його.
01050200a7	Мужа і жену сотворив їх, і благословив їх і нарече назву їм людина в той день, як сотворив їх.
01050300aa	Поживши ж Адам двісьтї і трийцять год, появив сина в свій вид і в свій образ і дав імя йому Сет.
0105040097	Віку Адамового після того, як появив Сета, було вісїм сот год, і появив сини й дочки.
0105050071	А всього віку Адамового було девять сот і трийцять год, і вмер.
0105060051	Як було ж Сетові сто і пять год, появив Еноса.
0105070081	Як родився ж Енос, жив іще Сет вісїм сот і сїм год, і появив сини і дочки.
0105080073	А всього віку Сетового було девять сот і дванайцять год, і вмер.
010509005b	Як було ж Еносові девятьдесять год, появив Кенана.
01050a0092	І прожив Енос, появивши Кенана, вісїм сот і пятнайцять год, і появив сини і дочки.
01050b005f	А всього віку Еносового девятьсот і пять год, і вмер.
01050c005f	Як було ж Кенанові сїмдесять год, появив Магалалеля.
01050d0090	І прожив Кенан появивши Магалалеля вісїм сот і сорок год, і появив сини і дочки.
01050e006e	А всього віку Кенанового було девятьсот і десять год, і вмер.
01050f0069	І прожив Магалалель шісьдесять і пять год, і появив Яреда.
0105100096	І прожив Магалалель появивши Яреда вісїм сот і трийцять год, і появив сини і дочки.
0105110085	А всього віку Магалалелевого було вісїм сот і девятьдесять і пять і вмер.
0105120069	І прожив Яред сто і шісьдесять і два годи, і появив Геноха.
010513007a	І прожив Яред, появивши Геноха, вісїм сот год, і появив сини і дочки.
0105140080	А всього віку Яредового було девятьсот і шісьдесять і два годи, і вмер.
0105150065	І прожив Генох шісьдесять і пять год, і появив Метусалу.
0105160088	І ходив Генох з Богом, появивши Метусалу, три ста год, і появив сини і дочки.
010517006f	А всього віку Генохового було триста і шісьдесять і пять год.
0105180063	І ходив Генох з Богом, і не стало його: бо взяв його Бог.
0105190068	І прожив Метусала сто і вісїм десять год, і появив Ламеха.
01051a00a2	І прожив Метусала появивши Ламеха сїм сот і вісїмдесять і два годи, і появив сини і дочки.
01051b0083	А всього віку Метусалового було девятьсот і шісьдесять і девять, і вмер.
01051c0069	І прожив Ламех сто і вісїмдесять і два годи, і появив сина.
01051d00ea	І дав йому імя Нояг, каже бо: Сей розважати ме нас у працї нашій та в знемозї рук наших, як поратимем землю, що прокляв Господь Бог.
01051e0097	І жив Ламех появивши Нояга пятьсот і девятьдесять і пять год, і появив сини і дочки.
01051f0079	А всього віку Ламехового було сїм сот і сїмдесять і сїм год, і вмер.
010520006e	Як було ж Ноягові пятьсот год віку, появив Сема, Хама і Яфета.
0106010080	Як почали ж люде намножуватись на землї та понароджувалось дочок у їх,
01060200b1	Тодї сини Божі, бачивши, що в синів чоловічих дочки хороші, брали їх за жінок, хто котору вподобав.
01060300e1	І рече Господь: Не буде мій дух переважувати в людинї до віку, бо вона тїло; дак нехай віку людського буде сто і двайцять год.
010604012a	Були тодї на землї велетьнї, та й навпосьлї, як сини Божі горнулись до дочок чоловічих, а вони їм роджали. Се ті потужники, що з давнїх давен бували високо вславлені.
01060500ba	Як же побачив Бог, що ледарство людське було велике на землї, а люде дбають повсячасно тільки про лихе,
0106060081	Дак жалкував Господь, що сотворив чоловіка на землї, тай журився тяжко.
01060700e3	І рече Бог: Вигублю чоловіка, що із землї, як чоловіка, так і скотину, і лазюче і летюче: бо взяла мене досада, що посоздавав їх.
0106080041	Нояг же здобувся на ласку в Господа.
01060900c1	Оце ж Ноягова й постань. Нояг був праведний чоловяга, без гріха між сучасниками своїми. Нояг ходив з Богом.
01060a004b	І появив Нояг три сини: Сема, Хама і Яфета.
01060b0076	Земля ж попсувалась перед Богом, і сповнилась насильством земля.
01060c00a2	І споглянув Бог на землю, аж вона зопсувалась: бо зопсувало всяке тїло свою путь на землї.
01060d00ec	І рече Бог Ноягові: Конець усякому тїлу прийшов перед мене: бо землю сповнено насильством од них. Оце ж хочу їх викоренити з землї.
01060e00ca	Зроби собі ковчег із соснового дерева; гнїзда поробиш у ковчезї та й посмолиш його з середини і надвору смолою.
01060f00ca	А зробиш ковчег тако: трох сот локот завдовжки ковчег, і пятьдесять локот завширшки, а трийцять локот заввишки.
01061000e9	Просьвіт зробиш у ковчезї і зведеш його в локіть угорі; двері ж у ковчезї зробиш із боку, а житла у два і у три поверхи робити меш.
01061100e5	Я ж оце наведу потоп, воду на землю, щоб вигубити всяке тїло, що є в її живий дух попід небесами, і все, що є на землї, повиздихає.
01061200c1	І поставлю заповіт (умову) з тобою: Ввійдеш у ковчег ти і синове твої і жена твоя і жени синів твоїх з тобою.
01061300dc	І од усякого живого і од усякого тїла по двоє од усїх уведеш у ковчег, щоб живими остались з тобою: самець і самиця будуть.
010614018f	Од усього птаства по роду, і од усякої скотини по роду, і од усього лазючого, що човгає по землї по роду їх; двоє од усякого ввійдуть у ковчег до тебе, щоб зостались живими. Ти ж возьми всякої харчі собі, щоб мали ви що їсти.
0106150078	І вчинив Нояг усе, що заповідав йому Господь, і притьма так учинив.
01070100c5	І рече Бог до Нояга: Увійди сам і ввесь дом твій у ковчег; бо тебе вбачав я праведним передо мною в сьому родї.
01070200cf	Від усякої ж скотини чистої введи до себе по семеро, самця і самицю, від скотини ж нечистої по парі, самця і самицю,
01070300a8	І від птаства небесного по семеро, самця і самицю, щоб насїннє живе переховати по всїй землї.
01070400cb	Ще бо сїм день, і дощувати му на землю сорок день і сорок ночей, та й вигублю з лиця землї всяке живе, що сотворив.
0107050058	І вчинив Нояг усе, що заповідав йому Господь Бог.
010706006e	Ноягові ж було шістьсот год, як стався потоп водний на землї.
01070700af	І ввійшов Нояг, і сини його, і жінка його, і жінки синів його з ними у ковчег задля води потопньої.
01070800a0	І з чистої скотини і з скотини нечистої і з птаства і з усього лазючого поповза по землї,
010709008a	По парі ввійшло до Нояга в ковчег, самець і самиця, як заповідав Бог Ноягові.
01070a005f	І сталось по семи днях, що вода потопня поняла землю.
01070b0140	В шести сотьньому роцї Ноягового віку, другого місяця, на сїмнайцятий день місяця, того ж дня, порозверзались усї жерела великої безоднї, і хляби (вікна) небесні повідчинялись.
