010000000a	Буття
0101010045	На поча́тку Бог створив небо та землю.
01010200b2	А земля́ була пуста та порожня, і те́мрява була над безоднею, і Дух Божий ширяв над поверхнею води.
0101030065	І сказав Бог: „Хай станеться світло!“ І сталося світло.
0101040085	І побачив Бог світло, що добре воно, — і Бог відділив світло від те́мряви.
01010500a9	І Бог назвав світло: „День“, а темряву назвав: „Ніч“. І був вечір, і був ранок, — день перший.
01010600aa	І сказав Бог: „Нехай станеться твердь посеред води, і нехай відділяє вона між водою й водою.“
01010700af	І Бог твердь учинив, і відділив воду, що під твердю вона, і воду, що над твердю вона. І сталося так.
010108007a	І назвав Бог твердь: „Небо“. І був вечір, і був ранок — день другий.
01010900c9	І сказав Бог: „Нехай збереться вода з-попід неба до місця одного, і нехай суходіл стане видний“. І сталося так.
01010a00b4	І назвав Бог суходіл: „Земля“, а місце зібра́ння води назвав: „Море“. І Бог побачив, що добре воно.
01010b0139	І сказав Бог: „Нехай земля вродить траву, ярину, що насіння вона розсіває, дерево овочеве, що за родом своїм плід приносить, що в ньому насіння його на землі“. І сталося так.
01010c0115	І земля траву видала, ярину, що насіння розсіває за родом її, і дерево, що приносить плід, що насіння його в нім за родом його. І Бог побачив, що добре воно.
01010d0046	І був вечір, і був ранок, — день третій.
01010e0116	І сказав Бог: „Нехай бу́дуть світила на тверді небесній для відділення дня від ночі, і нехай вони стануть знаками, і часами умовленими, і днями, і роками.
01010f00a4	І нехай вони стануть на тверді небесній світилами, щоб світити над землею“. І сталося так.
01011000e3	І вчинив Бог оби́два світила великі, — світило велике, щоб воно керувало днем, і світило мале, щоб керувало ніччю, також зорі.
0101110075	І Бог умістив їх на тверді небесній, щоб світили вони над землею,
01011200ab	і щоб керували днем та ніччю, і щоб відділювали світло від те́мряви. І Бог побачив, що це добре.
010113004c	І був вечір, і був ранок, — день четвертий.
01011400cb	І сказав Бог: „Нехай вода вироїть дрібні істоти, душу живу, і птаство, що літає над землею під небесною твердю“.
010115010f	І створив Бог риби великі, і всяку душу живу плазуючу, що її вода вироїла за їх родом, і всяку пташину крилату за родом її. І Бог побачив, що добре воно.
01011600e9	І поблагословив їх Бог, кажучи: „Плодіться й розмножуйтеся, і наповнюйте воду в морях, а птаство нехай розмножується на землі!“
0101170045	І був вечір, і був ранок, — день п'ятий.
01011800dd	І сказав Бог: „Нехай видасть земля живу душу за родом її, худобу й плазуюче, і зе́мну звірину́ за родом її“. І сталося так.
01011900e0	І вчинив Бог зе́мну звірину́ за родом її, і худобу за родом її, і все земне плазуюче за родом його. І бачив Бог, що добре воно.
01011a016c	І сказав Бог: „Створімо людину за образом Нашим, за подобою Нашою, і хай панують над мо́рською рибою, і над птаством небесним, і над худобою, і над усею землею, і над усім плазуючим, що плазує по землі“.
01011b00b1	І Бог на Свій образ людину створив, на образ Божий її Він створив, як чоловіка та жінку створив їх.
