0100000012	पैदाइश
0101010080	ख़ुदा ने सबसे पहले ज़मीन — ओ — आसमान को पैदा किया।
0101020104	और ज़मीन वीरान और सुनसान थी और गहराओ के ऊपर अँधेरा था: और ख़ुदा की रूह पानी की सतह पर जुम्बिश करती थी।
0101030075	और ख़ुदा ने कहा कि रोशनी हो जा, और रोशनी हो गई।
01010400c5	और ख़ुदा ने देखा कि रोशनी अच्छी है, और ख़ुदा ने रोशनी को अँधेरे से जुदा किया।
01010500e1	और ख़ुदा ने रोशनी को तो दिन कहा और अँधेरे को रात। और शाम हुई और सुबह हुई तब पहला दिन हुआ।
01010600bc	और ख़ुदा ने कहा कि पानियों के बीच फ़ज़ा हो ताकि पानी, पानी से जुदा हो जाए।
0101070109	फिर ख़ुदा ने फ़ज़ा को बनाया और फ़ज़ा के नीचे के पानी को फ़ज़ा के ऊपर के पानी से जुदा किया; और ऐसा ही हुआ।
01010800bc	और ख़ुदा ने फ़ज़ा को आसमान कहा। और शाम हुई और सुबह हुई — तब दूसरा दिन हुआ।
01010900df	और ख़ुदा ने कहा कि आसमान के नीचे का पानी एक जगह जमा हो कि ख़ुश्की नज़र आए, और ऐसा ही हुआ।
01010a0101	और ख़ुदा ने ख़ुश्की को ज़मीन कहा और जो पानी जमा हो गया था उसको समुन्दर; और ख़ुदा ने देखा कि अच्छा है।
01010b01b5	और ख़ुदा ने कहा कि ज़मीन घास और बीजदार बूटियों को, और फलदार दरख़्तों को जो अपनी — अपनी क़िस्म के मुताबिक़ फलें और जो ज़मीन पर अपने आप ही में बीज रख्खें उगाए और ऐसा ही हुआ।
01010c01cb	तब ज़मीन ने घास, और बूटियों को, जो अपनी — अपनी क़िस्म के मुताबिक़ बीज रख्खें और फलदार दरख़्तों को जिनके बीज उन की क़िस्म के मुताबिक़ उनमें हैं उगाया; और ख़ुदा ने देखा कि अच्छा है।
01010d006a	और शाम हुई और सुबह हुई — तब तीसरा दिन हुआ।
01010e013e	और ख़ुदा ने कहा कि फ़लक पर सितारे हों कि दिन को रात से अलग करें; और वह निशान और ज़मानो और दिनों और बरसों के फ़र्क़ के लिए हों।
01010f00b0	और वह फ़लक पर रोशनी के लिए हों कि ज़मीन पर रोशनी डालें, और ऐसा ही हुआ।
0101100193	फिर ख़ुदा ने दो बड़े चमकदार सितारे बनाए; एक बड़ा चमकदार सितारा, कि दिन पर हुक्म करे और एक छोटा चमकदार सितारा कि रात पर हुक्म करे और उसने सितारों को भी बनाया।
010111008d	और ख़ुदा ने उनको फ़लक पर रख्खा कि ज़मीन पर रोशनी डालें,
01011200ef	और दिन पर और रात पर हुक्म करें, और उजाले को अन्धेरे से जुदा करें; और ख़ुदा ने देखा कि अच्छा है।
0101130067	और शाम हुई और सुबह हुई — तब चौथा दिन हुआ।
01011400f2	और ख़ुदा ने कहा कि पानी जानदारों को कसरत से पैदा करे, और परिन्दे ज़मीन के ऊपर फ़ज़ा में उड़ें।
0101150224	और ख़ुदा ने बड़े बड़े दरियाई जानवरों को, और हर क़िस्म के जानदार को जो पानी से बकसरत पैदा हुए थे, उनकी क़िस्म के मुताबिक़ और हर क़िस्म के परिन्दों को उनकी क़िस्म के मुताबिक़, पैदा किया; और ख़ुदा ने देखा कि अच्छा है।
0101160127	और ख़ुदा ने उनको यह कह कर बरकत दी कि फलो और बढ़ो और इन समुन्दरों के पानी को भर दो, और परिन्दे ज़मीन पर बहुत बढ़ जाएँ।
0101170070	और शाम हुई और सुबह हुई — तब पाँचवाँ दिन हुआ।
0101180190	और ख़ुदा ने कहा कि ज़मीन जानदारों को, उनकी क़िस्म के मुताबिक़, चौपाये और रेंगनेवाले जानदार और जंगली जानवर उनकी क़िस्म के मुताबिक़ पैदा करे, और ऐसा ही हुआ।
01011901a2	और ख़ुदा ने जंगली जानवरों और चौपायों को उनकी क़िस्म के मुताबिक़ और ज़मीन के रेंगने वाले जानदारों को उनकी क़िस्म के मुताबिक़ बनाया; और ख़ुदा ने देखा कि अच्छा है।
01011a0200	फिर ख़ुदा ने कहा कि हम इंसान को अपनी सूरत पर अपनी शबीह की तरह बनाएँ और वह समुन्दर की मछलियों और आसमान के परिन्दों और चौपायों, और तमाम ज़मीन और सब जानदारों पर जो ज़मीन पर रेंगते हैं इख़्तियार रख्खें।
01011b010f	और ख़ुदा ने इंसान को अपनी सूरत पर पैदा किया ख़ुदा की सूरत पर उसको पैदा किया — नर — ओ — नारी उनको पैदा किया।
01011c01be	और ख़ुदा ने उनको बरकत दी और कहा कि फलो और बढ़ो और ज़मीन को भर दो और हुकूमत करो और समुन्दर की मछलियों और हवा के परिन्दों और कुल जानवरों पर जो ज़मीन पर चलते हैं इख़ितयार रख्खो।
01011d017a	और ख़ुदा ने कहा कि देखो, मैं तमाम रू — ए — ज़मीन की कुल बीजदार सब्ज़ी और हर दरख़्त जिसमें उसका बीजदार फल हो, तुम को देता हूँ; यह तुम्हारे खाने को हों।
01011e01c6	और ज़मीन के कुल जानवरों के लिए, और हवा के कुल परिन्दों के लिए और उन सब के लिए जो ज़मीन पर रेंगने वाले हैं जिनमें ज़िन्दगी का दम है, कुल हरी बूटियाँ खाने को देता हूँ, और ऐसा ही हुआ।
01011f010c	और ख़ुदा ने सब पर जो उसने बनाया था नज़र की, और देखा कि बहुत अच्छा है, और शाम हुई और सुबह हुई तब छठा दिन हुआ।
010201008f	तब आसमान और ज़मीन और उनके कुल लश्कर का बनाना ख़त्म हुआ।
010202013e	और ख़ुदा ने अपने काम को, जिसे वह करता था सातवें दिन ख़त्म किया, और अपने सारे काम से जिसे वह कर रहा था, सातवें दिन फ़ारिग़ हुआ।
010203015f	और ख़ुदा ने सातवें दिन को बरकत दी, और उसे मुक़द्दस ठहराया; क्यूँकि उसमें ख़ुदा सारी कायनात से जिसे उसने पैदा किया और बनाया फ़ारिग़ हुआ।
01020400fa	यह है आसमान और ज़मीन की पैदाइश, जब वह पैदा हुए जिस दिन ख़ुदावन्द ख़ुदा ने ज़मीन और आसमान को बनाया;
01020501a8	और ज़मीन पर अब तक खेत का कोई पौधा न था और न मैदान की कोई सब्ज़ी अब तक उगी थी, क्यूँकि ख़ुदावन्द ख़ुदा ने ज़मीन पर पानी नहीं बरसाया था, और न ज़मीन जोतने को कोई इंसान था।
01020600ad	बल्कि ज़मीन से कुहर उठती थी, और तमाम रू — ए — ज़मीन को सेराब करती थी।
010207012a	और ख़ुदावन्द ख़ुदा ने ज़मीन की मिट्टी से इंसान को बनाया और उसके नथनों में ज़िन्दगी का दम फूंका इंसान जीती जान हुआ।
0102080107	और ख़ुदावन्द ख़ुदा ने मशरिक़ की तरफ़ अदन में एक बाग़ लगाया और इंसान को जिसे उसने बनाया था वहाँ रख्खा।
