010000000c	U̱r-Taku̱n
010101003a	U̱r-taku̱n, Ru̱-u̱ no̱mu̱g do̱m u-ru̱, u-dak-ne̱.
01010200c1	U̱ da-u o̱ dak-u̱ zatte̱ u̱ka u̱t-senu̱sse̱ da, tu̱msu̱ o̱ zatte̱ o̱ko̱n da, cwu̱m-u̱ taku̱ste̱ shu̱-u̱ radu̱ m-bu̱, tu̱msu̱ Yar-u u-Ru̱ o̱ u̱t-riig u̱-do̱m m-bu̱.
010103004f	Se̱ Ru̱-u̱ zu̱, “Yage̱ u̱ zu̱n-mu̱ rwu̱u̱n.” Se̱ zu̱n-mu̱ mok.
010104005b	Se̱ Ru̱-u̱ hog u̱r-zwar u̱ zu̱n-mu̱ mok-te̱. Se̱ wa ké m-zu̱n du̱gu̱ u-cwu̱m.
01010500a7	Ru̱-u̱ fog m-zu̱n “U-ho̱.” Tu̱msu̱ wa fog u-cwu̱m “M-gyu̱p.” U̱ da-u o̱ na kume̱ m-rim tu̱msu̱ na kum u̱r-wu̱n. De̱ o̱ ho̱-du̱ u̱r-taku̱n.
01010600b3	Se̱ Ru̱-u̱ zu̱, “Yage̱ hu̱k-du̱ shu̱'u̱t du̱ do̱'e̱ u̱ ke̱-du̱ bu̱-mu̱ o̱ do̱m u̱ bu̱-mu̱ o̱ ta u-dak-ne̱, tu̱msu̱ yage̱ de̱ kè̱ m-bu̱ u-yu̱r.”
01010700be	Ru̱-u̱ nom u̱r-hu̱k de̱ keet-u̱t m-bu̱ mu̱ o̱o̱ge̱ do̱m-u̱ hu̱k-du̱ u-ru̱ u̱ bu̱-mu̱ o̱o̱ge̱ u̱-ta u̱r-hu̱k ne̱. Tu̱msu̱ iya o̱ nomte̱ u̱ka Ru̱-u̱ zu̱tte̱.
010108009a	Ru̱-u̱ fog hu̱k-u̱r re̱, “Hu̱k-du̱ do̱m u-ru̱.” U̱ da-u o̱ na kume̱ m-rim tu̱msu̱ na kum u̱r-wu̱n, de̱ o̱ ho̱-du̱ u-yu̱ru̱mse̱.
01010900d7	Se̱ Ru̱-u̱ zu̱, “Yage̱ bu̱-mu̱ o̱o̱ge̱ ta-u̱ hu̱k-du̱ do̱m u-ru̱ mo̱ karu̱g u̱r-be u̱r-gan, tu̱msu̱ yage̱ u̱ dak-u u-gagu̱n rwu̱u̱n.” Tu̱msu̱ iya o̱ nomte̱ u̱ka Ru̱-u̱ zu̱tte̱.
01010a00b9	Ru̱-u̱ fog gas-u̱ o̱o̱ge̱ u-gagu̱n “u-dak.” Tu̱msu̱ bu̱-mu̱ karge̱ u̱r-be u̱r-gan wa fog mo̱ “M-sa.” Se̱ Ru̱-u̱ hyen no̱m-u̱ wa no̱me̱ no̱ng u̱ so̱-o̱.
01010b00e2	Se̱ Ru̱-u̱ zu̱, “Yage̱ dak-u̱ apu̱n go̱-tu̱ u̱t-ku̱wu̱t u̱s-te ne̱ su̱ mu̱te̱ u̱t-ya u̱ go̱ ne̱ u̱-me̱ to̱. Ko̱yu̱he̱ u̱ka du̱ wa go̱-de̱.” Tu̱msu̱ iya o̱ nomte̱ u̱ka Ru̱-u̱ zu̱tte̱.
01010c00e8	Iya o̱ hen dak-u̱ apu̱n go̱-tu̱ u̱t-ku̱wu̱t tu̱ mat-du̱ go̱ ko̱yu̱he̱ u̱ka go̱-u̱r wa o̱tte̱ u̱ u̱s-te ne̱ su̱ mu̱te̱ u̱t-ya u̱ go̱ ne̱ me̱. Se̱ Ru̱-u̱ hyen no̱m-u̱ wa no̱me̱ no̱ng u̱ so̱-o̱.
01010d0061	U̱ da-u o̱ na kume̱ m-rim tu̱msu̱ na kum u̱r-wu̱n, de̱ o̱ u̱ ho̱-du̱ u-tu̱tu̱rse̱.
01010e00df	Se̱ Ru̱-u̱ zu̱, “Yage̱ zu̱n-mu̱ shu̱'u̱t u̱ hu̱k-du̱ do̱m u-ru̱ u̱ kè̱ u-ho̱ u̱ m-gyu̱p ne̱, tu̱msu̱ yage̱ to̱ shu̱'u̱t u̱s-nap su̱ ko̱se̱-du̱ u-da, u̱t-ho̱ ne̱, tu̱msu̱ u̱s-hak ne̱.
01010f00a2	Tu̱msu̱ yage̱ to̱ shu̱'u̱t u̱ka m-zu̱n u̱ hu̱k-du̱ do̱m u-ru̱ u̱ ya' m-zu̱n u̱-do̱m u-dak.” Tu̱msu̱ iya o̱ nomte̱ u̱ka Ru̱-u̱ zu̱tte̱.
01011000b3	Ru̱-u̱ no̱ng zu̱n-m yat-mo̱ m-yu̱r, zu̱n-m yat-mo̱ mo̱ no̱m faru̱k-du̱ u-ho̱ tu̱msu̱ zu̱nu̱n-m re̱k-mo̱ no̱m faru̱k-du̱ m-gyu̱p. Tu̱msu̱ wa nom re̱ge̱r.
0101110064	Ru̱-u̱ sak u̱r-ho̱, u-pyaat u̱ re̱ge̱r ne̱ u̱-do̱m u-ru̱, remu̱ e̱ ye'et m-zu̱n u-dak,
01011200a5	remu̱ e̱ no̱m-u̱t faru̱k-du̱ u-ho̱ m-gyu̱p ne̱, tu̱msu̱ u̱ kè̱ m-zu̱n du̱gu̱ u-cwu̱m. Se̱ Ru̱-u̱ hyen no̱m-u̱ wa no̱me̱ no̱ng u̱ so̱-o̱.
0101130062	U̱ da-u o̱ na kume̱ m-rim tu̱msu̱ na kum u̱r-wu̱n, de̱ o̱o̱ge̱ ho̱-du̱ u-nasu̱rse̱.
01011400a4	Se̱ Ru̱-u̱ zu̱, “Yage̱ u̱ bu̱-mu̱ rwu̱u̱tu̱n no̱m u̱r-fat u̱ shi m-bu̱, tu̱msu̱ u̱ no ne̱ u̱ yu̱ne̱ u̱t-kap u̱ do̱m hu̱k-du̱ u-ru̱.”
