0100000012	يارىتىلىش
010101005a	مۇقەددەمدە خۇدا ئاسمانلار بىلەن زېمىننى ياراتتى.
010102011e	ئۇ چاغدا يەر بولسا شەكىلسىز ۋە قۇپقۇرۇق ھالەتتە بولدى؛ قاراڭغۇلۇق چوڭقۇر سۇلارنىڭ يۈزىنى قاپلىدى؛ خۇدانىڭ روھى چوڭقۇر سۇلار ئۈستىدە لەرزان پەرۋاز قىلاتتى.
0101030063	خۇدا: «يورۇقلۇق بولسۇن!» دېۋىدى، يورۇقلۇق پەيدا بولدى.
010104009c	خۇدا يورۇقلۇقنىڭ ياخشى ئىكەنلىكىنى كۆردى؛ خۇدا يورۇقلۇق بىلەن قاراڭغۇلۇقنى ئايرىدى.
01010500ce	خۇدا يورۇقلۇقنى «كۈندۈز»، قاراڭغۇلۇقنى «كېچە» دەپ ئاتىدى. شۇ تەرىقىدە كەچ بىلەن سەھەر ئۆتتى، بۇ تۇنجى كۈن بولدى.
01010600c5	ئاندىن خۇدا: ــ سۇلارنىڭ ئارىلىقىدا بىر بوشلۇق بولسۇن ۋە سۇلار [يۇقىرى-تۆۋەن] ئىككىگە ئايرىلىپ تۇرسۇن، دېدى.
01010700e2	شۇنىڭ بىلەن خۇدا بىر بوشلۇق ھاسىل قىلىپ، سۇلارنى بوشلۇقنىڭ ئاستىغا ۋە بوشلۇقنىڭ ئۈستىگە ئايرىۋەتتى؛ ئىش ئەنە شۇنداق بولدى.
01010800ad	خۇدا بۇ بوشلۇقنى «ئاسمان» دەپ ئاتىدى. شۇ تەرىقىدە كەچ بىلەن سەھەر ئۆتتى، بۇ ئىككىنچى كۈن بولدى.
01010900c9	ئاندىن خۇدا: «ئاسماننىڭ ئاستىدىكى سۇلار بىر يەرگە يىغىلسۇن، قۇرۇق تۇپراق كۆرۈنسۇن!» دېۋىدى، دەل شۇنداق بولدى.
01010a00d0	خۇدا قۇرۇق تۇپراقنى «يەر»، يىغىلغان سۇلارنى بولسا «دېڭىزلار» دەپ ئاتىدى. خۇدا بۇلارنىڭ ياخشى بولغانلىقىنى كۆردى.
01010b015f	ئاندىن خۇدا يەنە: «يەر ھەرخىل ئۆسۈملۈكلەرنى، ئۇرۇقلۇق ئوتياشلارنى، مېۋە بېرىدىغان دەرەخلەرنى تۈرلىرى بويىچە ئۆزىدە ئۈندۈرسۇن! مېۋىلەرنىڭ ئىچىدە ئۇرۇقلىرى بولسۇن!» دېۋىدى، دەل شۇنداق بولدى؛
01010c018d	يەردىكى ئۆسۈملۈكلەرنى، يەنى ئۇرۇق چىقىدىغان ئوتياشلارنى ئۆز تۈرلىرى بويىچە، مېۋە بېرىدىغان، يەنى مېۋىلىرىنىڭ ئىچىدە ئۇرۇقلىرى بولغان دەرەخلەرنى ئۆز تۈرلىرى بويىچە ئۈندۈردى. خۇدا بۇلارنىڭ ياخشى بولغانلىقىنى كۆردى.
01010d0066	شۇ تەرىقىدە كەچ بىلەن سەھەر ئۆتتى، بۇ ئۈچىنچى كۈن بولدى.
01010e011a	خۇدا يەنە: «كۈندۈز بىلەن كېچىنى ئايرىپ بېرىش ئۈچۈن ئاسمانلاردا يورۇقلۇق جىسىملار بولسۇن. ئۇلار كۈنلەر، پەسىللار ۋە يىللارنى ئايرىپ تۇرۇشقا بەلگە بولسۇن؛
01010f00b7	ئۇلار ئاسمانلاردا تۇرۇپ نۇر چىقارغۇچى بولۇپ، يەر يۈزىگە يورۇقلۇق بەرسۇن!» دېۋىدى، دەل شۇنداق بولدى.
010110013d	خۇدا ئىككى چوڭ نۇر چىقارغۇچى جىسىمنى ياراتتى؛ چوڭ نۇر چىقارغۇچىنى كۈندۈزنى باشقۇرىدىغان، كىچىك نۇر چىقارغۇچنى كېچىنى باشقۇرىدىغان قىلدى. ھەمدە يەنە يۇلتۇزلارنىمۇ ياراتتى.
0101110151	خۇدا بۇلارنى يەرگە يورۇقلۇق بېرىپ، كۈندۈز بىلەن كېچىنى باشقۇرۇپ، يورۇقلۇق بىلەن قاراڭغۇلۇقنى ئايرىسۇن دەپ ئاسمانلارنىڭ گۈمبىزىگە ئورۇنلاشتۇردى. خۇدا بۇنىڭ ياخشى بولغانلىقىنى كۆردى.
0101130066	شۇ تەرىقىدە كەچ بىلەن سەھەر ئۆتتى، بۇ تۆتىنچى كۈن بولدى.
01011400c8	خۇدا يەنە: «سۇلاردا مىغ-مىغ جانىۋارلار بولسۇن، ئۇچار-قاناتلار يەرنىڭ ئۈستىدە، ئاسمان بوشلۇقىدا ئۇچسۇن» دېدى.
0101150167	شۇنداق قىلىپ خۇدا سۇدىكى چوڭ-چوڭ مەخلۇقلارنى، شۇنداقلا سۇلاردا مىغ-مىغ جانىۋارلارنى ئۆز تۈرلىرى بويىچە ۋە ھەرخىل ئۇچار-قاناتلارنى ئۆز تۈرلىرى بويىچە ياراتتى. خۇدا بۇنىڭ ياخشى بولغانلىقىنى كۆردى.
01011600ff	خۇدا بۇ جانلىقلارغا بەخت-بەرىكەت ئاتا قىلىپ: «نەسىللىنىپ، كۆپىيىپ، دېڭىز سۇلىرىنى تولدۇرۇڭلار، ئۇچار-قاناتلارمۇ يەر يۈزىدە ئاۋۇسۇن» دېدى.
