0100000010	Яритилиш
0101010056	Муқәддәмдә Худа асманлар билән зиминни яратти.
0101020118	У чағда йәр болса шәкилсиз вә қупқуруқ һаләттә болди; қараңғулуқ чоңқур суларниң йүзини қаплиди; Худаниң Роһи чоңқур сулар үстидә ләрзан пәрваз қилатти.
0101030062	Худа: «Йоруқлуқ болсун!» девиди, йоруқлуқ пәйда болди.
0101040095	Худа йоруқлуқниң яхши екәнлигини көрди; Худа йоруқлуқ билән қараңғулуқни айриди.
01010500c8	Худа йоруқлуқни «күндүз», қараңғулуқни «кечә» дәп атиди. Шу тәриқидә кәч билән сәһәр өтти, бу тунҗа күн болди.
01010600bb	Андин Худа: — Суларниң арилиғида бир бошлуқ болсун вә сулар [жуқури-төвән] иккигә айрилип турсун, деди.
01010700d6	Шуниң билән Худа бир бошлуқ һасил қилип, суларни бошлуқниң астиға вә бошлуқниң үстигә айривәтти; иш әнә шундақ болди.
01010800a4	Худа бу бошлуқни «асман» дәп атиди. Шу тәриқидә кәч билән сәһәр өтти, бу иккинчи күн болди.
01010900c1	Андин Худа: «Асманниң астидики сулар бир йәргә жиғилсун, қуруқ тупрақ көрүнсун!» девиди, дәл шундақ болди.
01010a00cb	Худа қуруқ тупрақни «йәр», жиғилған суларни болса «деңизлар» дәп атиди. Худа буларниң яхши болғанлиғини көрди.
01010b014a	Андин Худа йәнә: «Йәр һәр хил өсүмлүкләрни, уруқлуқ отяшларни, мевә беридиған дәрәқләрни түрлири бойичә өзидә үндүрсун! Мевиләрниң ичидә уруқлири болсун!» девиди, дәл шундақ болди;
01010c0176	йәрдики өсүмлүкләрни, йәни уруқ чиқидиған отяшларни өз түрлири бойичә, мевә беридиған, йәни мевилириниң ичидә уруқлири болған дәрәқләрни өз түрлири бойичә үндүрди. Худа буларниң яхши болғанлиғини көрди.
01010d0061	Шу тәриқидә кәч билән сәһәр өтти, бу үчинчи күн болди.
01010e010e	Худа йәнә: «Күндүз билән кечини айрип бериш үчүн асманларда йоруқлуқ җисимлар болсун. Улар күнләр, пәсиллар вә жилларни айрип турушқа бәлгү болсун;
01010f00b1	улар асманларда туруп нур чиқарғучи болуп, йәр йүзигә йоруқлуқ бәрсун!» девиди, дәл шундақ болди.
0101100133	Худа икки чоң нур чиқарғучи җисимни яратти; чоң нур чиқарғучини күндүзни башқуридиған, кичик нур чиқарғучни кечини башқуридиған қилди. Һәмдә йәнә юлтузларниму яратти.
0101110147	Худа буларни йәргә йоруқлуқ берип, күндүз билән кечини башқуруп, йоруқлуқ билән қараңғулуқни айрисун дәп асманларниң гүмбизигә орунлаштурди. Худа буниң яхши болғанлиғини көрди.
0101130065	Шу тәриқидә кәч билән сәһәр өтти, бу төртинчи күн болди.
01011400be	Худа йәнә: «Суларда миғ-миғ җаниварлар болсун, учар-қанатлар йәрниң үстидә, асман бошлуғида учсун» деди.
010115015d	Шундақ қилип Худа судики чоң-чоң мәхлуқларни, шундақла суларда миғ-миғ җаниварларни өз түрлири бойичә вә һәр хил учар-қанатларни өз түрлири бойичә яратти. Худа буниң яхши болғанлиғини көрди.
