0100000009	Yaritilix
0101010035	Muⱪǝddǝmdǝ Huda asmanlar bilǝn zeminni yaratti.
01010200bf	U qaƣda yǝr bolsa xǝkilsiz wǝ ⱪupⱪuruⱪ ⱨalǝttǝ boldi; ⱪarangƣuluⱪ qongⱪur sularning yüzini ⱪaplidi; Hudaning Roⱨi qongⱪur sular üstidǝ lǝrzan pǝrwaz ⱪilatti.
0101030041	Huda: «Yoruⱪluⱪ bolsun!» dewidi, yoruⱪluⱪ pǝyda boldi.
0101040063	Huda yoruⱪluⱪning yahxi ikǝnlikini kɵrdi; Huda yoruⱪluⱪ bilǝn ⱪarangƣuluⱪni ayridi.
010105008c	Huda yoruⱪluⱪni «kündüz», ⱪarangƣuluⱪni «keqǝ» dǝp atidi. Xu tǝriⱪidǝ kǝq bilǝn sǝⱨǝr ɵtti, bu tunji kün boldi.
0101060074	Andin Huda: — Sularning ariliⱪida bir boxluⱪ bolsun wǝ sular [yuⱪiri-tɵwǝn] ikkigǝ ayrilip tursun, dedi.
010107008c	Xuning bilǝn Huda bir boxluⱪ ⱨasil ⱪilip, sularni boxluⱪning astiƣa wǝ boxluⱪning üstigǝ ayriwǝtti; ix ǝnǝ xundaⱪ boldi.
010108006c	Huda bu boxluⱪni «asman» dǝp atidi. Xu tǝriⱪidǝ kǝq bilǝn sǝⱨǝr ɵtti, bu ikkinqi kün boldi.
010109007b	Andin Huda: «Asmanning astidiki sular bir yǝrgǝ yiƣilsun, ⱪuruⱪ tupraⱪ kɵrünsun!» dewidi, dǝl xundaⱪ boldi.
01010a0083	Huda ⱪuruⱪ tupraⱪni «yǝr», yiƣilƣan sularni bolsa «dengizlar» dǝp atidi. Huda bularning yahxi bolƣanliⱪini kɵrdi.
01010b00d7	Andin Huda yǝnǝ: «Yǝr ⱨǝrhil ɵsümlüklǝrni, uruⱪluⱪ otyaxlarni, mewǝ beridiƣan dǝrǝhlǝrni türliri boyiqǝ ɵzidǝ ündürsun! Mewilǝrning iqidǝ uruⱪliri bolsun!» dewidi, dǝl xundaⱪ boldi;
01010c00ef	yǝrdiki ɵsümlüklǝrni, yǝni uruⱪ qiⱪidiƣan otyaxlarni ɵz türliri boyiqǝ, mewǝ beridiƣan, yǝni mewilirining iqidǝ uruⱪliri bolƣan dǝrǝhlǝrni ɵz türliri boyiqǝ ündürdi. Huda bularning yahxi bolƣanliⱪini kɵrdi.
01010d0043	Xu tǝriⱪidǝ kǝq bilǝn sǝⱨǝr ɵtti, bu üqinqi kün boldi.
01010e00a7	Huda yǝnǝ: «Kündüz bilǝn keqini ayrip berix üqün asmanlarda yoruⱪluⱪ jisimlar bolsun. Ular künlǝr, pǝsillar wǝ yillarni ayrip turuxⱪa bǝlgǝ bolsun;
01010f0070	ular asmanlarda turup nur qiⱪarƣuqi bolup, yǝr yüzigǝ yoruⱪluⱪ bǝrsun!» dewidi, dǝl xundaⱪ boldi.
01011000c4	Huda ikki qong nur qiⱪarƣuqi jisimni yaratti; qong nur qiⱪarƣuqini kündüzni baxⱪuridiƣan, kiqik nur qiⱪarƣuqni keqini baxⱪuridiƣan ⱪildi. Ⱨǝmdǝ yǝnǝ yultuzlarnimu yaratti.
01011100d0	Huda bularni yǝrgǝ yoruⱪluⱪ berip, kündüz bilǝn keqini baxⱪurup, yoruⱪluⱪ bilǝn ⱪarangƣuluⱪni ayrisun dǝp asmanlarning gümbizigǝ orunlaxturdi. Huda buning yahxi bolƣanliⱪini kɵrdi.
