2800000007	Mataayi
2801010068	Agha ghe matavua agha kikoko kya Yesu kilisite umhuma mu kisina kya ntwa uDavidi, ikisina kya Abulahimu.
280102005e	Uabulahamu akampaapa uIsaka, uIsaka akampaapa una uYakovo, UYakovo akampaapa uYuuda na vanine.
2801030064	UYuuda akampaapa uPelesi nu Sela mwa Tamali, uPelesi akampaapa uHesiloni, Hesiloni akampaapa uAlamu.
2801040057	UAlamu akampaapa UAminadabu, uAminadabu akampaapa uNasoni, uNasoni akampaapa uSalimoni.
2801050062	USalimoni akampaapa uBohasi mwa Lahavu, UBohasi akampaapa UObedi mwa Luti, uObedi akampaapa uYese,
280106006d	ghwope UYese akampaapa Untwa UDavidi. UDavidi akampaapa uSolomoni mwa mukijuuva juno alyale n'dala ghwa Ulia.
2801070050	USolomoi akampaapa uLehoboamu, ULehoboamu akampaapa uAbia, uAbia akampaapa uAsa.
2801080055	uAsa akampaapa uYehoshafati, UYehoshafati akampaapa uYolamu, uYolamu akampaapa uUsia.
280109004e	UUsia akampaapa uYotamu, uYotamu akampaapa uAhasi, UAhasi akampaapa uUhesekia.
28010a0054	uHEsekia akampaapa uMnase, uManase akampaapa uAmoni, ghwope uAmoni akampaapa uYosia.
28010b0061	uYosia akampaapa uYekonia na vanine unsiki ghuno aVaisilaeli ye vatwalilue ku vuhesia, ku Babeli.
28010c0065	Ye vatwalilue ku vuhesia ku Babeli, uYekonia akampaapa uSalatieli, uSalatieli akampaapal uSelubabeli.
28010d0059	uSelubabeli akampaapa uAbihudi, uAbihudi akampaapa uEliakimu, uEliakimu akampaapa uAsoli.
28010e004d	uAsoli akampaapa uSadoki, uSadoki akampaapa uAkimu, uAkimu akampaapa uEliudi.
28010f005b	uEliudi akampaapa uElieseli, uElieseli akampaapa uMatani, ghwope uMatani akampaapa uYakovo.
2801100065	uYkovo akampaapa Yosefu umughoosi ghwa Maliya. UMaliya ghwe juno akampapile uYesu juno ghwe Kilisite.
280111015d	Lino, kuhuma kwa Abulahamu kufika kwa ntwa uDavidi kwefilyale ifisina kijigho na fine. Kange, kuhuma pa Davidi kufila unsiki ghuno aVaisilaeli vitwalua ku vuhesia ku Babeli, kwefilyale ifisina ifingi kijigho n a fine. Kange, kuhuma unsiki ghuno vitwalua ku Babeli kuhanga kufika unsiki ye iholua uKilisite, kwefilyale ifisina ifingi kijigho na fine.
28011200bd	Kuholua kwa Yesu Kilisite kulyale ndiiki. Unguna jonop ilitavua lyake ghwe Maliya, alyalimilue nu Yosefu. Neke ye akyale kutolua alyavoniike kuuti ali nu vukunue ku ngufu sa Mhepo uMwimike.
280113009c	Ulwakuva uYosefu juno alyamulimiile uMaliya alyale mugholofu pamaso gha Nguluve, naakalondagha kuuti ankosie isoni uMaliya. Pe akalamula pikumuleka kisyefu.
28011400fc	Ye alamwile uluo, unyamhola ghwa mtwa uNguluve akam'bonekela mu njosi, akam'buula akati, “Ghwe Yosefu, ghwe mhuma mu kisina ikya ntwa uDavidi, uleke pikwoghopa pikuntoola uMaliya, uLwakuva uvukunue vuno ali navwo, apelilue mu ngufu sa Mhepo uMwimike.
2801150072	Neke ipaapa umwana un'diimi, ukumpeela ilitavua ili Yesu, ulwakuva ilikuvapokagha avaanhu vaake mu nyivi saave.”
2801160071	Sooni isio siliyavombiike enendikio kukwilanisia ilisio lino uMutwa alyajovile kukilila um'bili ghwake kuuti, “
28011700ce	Lolagha! Umhinja juno naammanyile umughoosi, iiva nu vukunue, ipaapa umwana un'diimi! pe vikumpeela umwana ujuo ilitavua ili Manueli.” Umuluvo ghwa litavua ilio kwekuti, “UNguluve ali palikimo nusue.”
2801180070	Yosefu akasisimuka, akavomba ndavule unyamhola ghwa Mutwa vule am'bulile, akantoola uMaliya kuuva n'dala ghwake.
280119008a	Looli naakaghelile kughona naghwo kuhanga usinki ghuno uMaliya ipaapa umwana un'diimi. Pe uYosefu akampeela umwana ujuo ilitavua ili Yesu.
28020100ca	UYesu alyaholilue mu likaaja ilya Betelehemu, mu kighavo ikya yUdea, unsiki ghuno alyatemile umtwa uHelode. UYesu ye aholilue, avakaguzi va nhondue kuhuma kuvudibulo vakafika mu likaaja ilya Yelusalemu,
28020200ac	vakava viposi viiti, “Ali kuughi juno aholilue, uNtwa ghwa Vayahudi? Tujaghile inhondue jino jihufia kuholua kwa mwene jihumile kuvudibulo, fye nambe twisile kukumwimika.
280203007d	Untwa uHelode ye apuliike isio, akapumuka mu mwojo ghwake. Nava vaanhu vooni ava mu likaaja ilya Yelusalemu voope vakapumuka.
2802040083	Pepano akakong'hania avavaha va vatekesi vooni palikimo na vavulanisi va ndaghilo akavaposisi akati, “Ukilisite iholua kuughi?”
2802050093	Aveene vakamwamula vakati, “Iholua mu likaaja ilya Betelehemu, mu kighavo ikya Yudea. Tukagwile isio ulwakuava se sino alyalembile um'bili kuuti,
28020600d3	Na juuve ghwe likaaja lya a betelehemu, ghwe juno uli mu kighavo ikya Yudea, Nuli n'debe, mu makaaja agha mu Yudea! Ulwakuva mulyuve mwe muno ihuma umulongosi, juno iiva n'diimi ghwa vaanhu vango aVaisilaeli.”
280207007c	Pe uhelode akavakemeela ku vusyefu avakaguzi vala ava nhondue, kuuti vam'buule vunono unsinki ghuno vajaghile inhondue jila.
28020800bb	Pe akavasuug'ha ku Betelehemu, akavavuula akati, “Lutagha, muposelesie vunofu vwimila umwana ujuo. Mungamwalghe, mwisaghe ng'haning'haani mumbuule, neke na juune nilute kuskumwimika.”
28020900df	Avakagusi vala ava nhondue ye vapuliike amasio gha ntwa, vakavuuka viluta. Lolagha, inhondue jila jino vakajaghile kuvudibulo, jikavalongolela, voope vakava vikujivingilila kuhanga jikafika na kukwima pano pwealyale umwana,
28020a0034	Ye vajaghile kange inhondue jila, vakahovoka kyongo.
28020b00e2	Pe vakingila mu nyumba, vakamwagha umwana palikimo nu ng'ina uMaliya, vakafughama, vakamwimika. Vakavopola inyambe saave, vakambonola umwana, vakahumia: isahabu, uvufumba ni manemane ghano ghaale mafuta amanya lunuusi ulunono.
28020c007d	Unguluve akavapavila mu njosi kuuti, navangakililaghe kange kwa Helode. Pe vakakilila isila ijingi kugomoka ku likaaja lyave.
28020d012b	Avakagusi va nhondue ye valutile, unyamhola ghwa Mutwa akam'bonekela uYosefu mu njosi, akam'buula akati, “Sisimuka! Untoole umwana nu ng'ina, mkimbilile ku iisi ija Misili, ulwakuva uHelode ikumulonda umwana ujuo kuuti am'bude. Mukalaghe kula kuhanga unsiki ghuno kyanikuvavuula kuuti mugomoke.”
28020e0058	Ikilo jila jila uYosefu akasisimuka, akantoola umwana nu ng'ina, akakimbilila ku Misili.
28020f00c4	Vakikala kula kuhanga kufika unsiki ghuno uHelode ifua. Uluo lulyavombiike kukwilanisia ilisio lino uMutwa alyajovile kukilila um'bili ghwake kuuti, “Nikankemelile umwanango kuhuma ku Misili.”
2802100143	UHelode akakagula kuuti, avakagusi va nhondue vala vansyangile, akakalala fiijo. pe akavasuung'ha avaanhu ku Betelehemu na mu makaaja ghano ghalyale mulubale, kuuti vavabude avaana avadiimi vooni, kutegulila avafyele kufika avanya maaka ghavili. Akavomba uluo kuling'hana nu unsiki ghuno alyaposisie ku vakagusi va nhondue.
2802110065	Uluo lulyavombiike kukwilanisia ilisio lino uMutwa alyajovile kukilila um'bili ghwake uYelemia kuuti.
2802120078	“Ilisio lipulikiike mu likaaja ilya Lama, avaanhu vikoola na kulila fiijo. Lisio lya Laheli, ikuvalilila avaana vaake,
2802130068	Pambele uHelode akafua. UYosefu ye ajiighe ku Misili, unyamhola ghwa Mutwa akam'bonekela kange mu njosi.
280214008e	Akam'buula akati, “Sisimuka! Untoole umwana nu ng'ina, ugomoke mu iisi ija Isilaeli, ulwakuva vano valondagha kukum'buda umwana, vafwile.”
2802150058	Pepono uYosefu akasisimuka, akantoola umwana nu ng'ina, vakagomoka mu iisi ija Isilaeli.
28021600c8	Neke ye apuliike kuuti uAlikelao ghwe juno ahaliile pa viise uHelode kutema ikighavo ikya Yudea, akoghopa piluta kula. Akapavilua mu njosi kuuti nangalutaghe ukuo, pe akaluta ku kighavo ikya Galilaya.
280217009d	Ukuo, akikala mu mu kikaaja ikya Nasaleti. Uluo, lulyavombiike kukwilanisia ilisio lino uMutwa alyajovile kukilila avavili kuuti, Itambulwagha Munasalete.”
2803010094	Amaaka minga ghakakila. Pambele akahumila umuunhu jumonga juno akatambulwagha Yohani Mwofungi. Umuunhu ujuoalyale ku lihaka ku Yudea ipulisia, iiti,
2803020040	Mulataghe inyivi siinu ulwakuva uvutwa uvwa kukyanya vuli piipi.
28030300bc	Yohani ujuo ghwe juno um'bili uYesaya alyajovile kuuti, “Ilisio lya muunhu lipulikika kuhuma ku lihaka liiti, 'Munnosekesyaghe uMutwa uNguluve isila, na kuling'hania muno kyaikilila."”
28030400a0	UYohani akafwalagha umwenda ghuno ghwatendilue nu lwaghe lwa ngamila, akipinyagha nu lukova ulwa ng'hwembe mu nsana. Kulihaka ukuo, akalisagha imhaasi nu vwuki.
280305008a	Avaanhu kuhuma mu likaaja ilya Yelusalemu na mu kighavo kyoni ikya Yudea ni mbale sooni isa kikogha ikya Yolidani, vakava viluta kwa mwene
280306004c	na kulaata inyivi saave. Neke uYohani akavofughagha mu kikoghaikya Yolidani.
28030700cb	UYohani ye avwene aVafalisayi na Masadukayi viluta kwa mwene kuuti vofughue, akavavuula akati, “Umue mwe kisina kya njoka! Ghwe veeni jono avapaviile kuuti mkimbile ing'halaasi ja Nguluve jino jikwisa?
280308002c	Lino amaghendele ghahufyaghe ululaato lwinu.
28030900ae	Mulekaghe kusaagha kuuti, “tukulwike ulwakuva usue tuli kisina kya Abulahamu!' Kyang'haani nikivavuula, nNguluve anoghiile kuhambusia amavue agha kuuva avaana va Abulahamu!
28030a0068	UNguluve angiike inhemo, kuuti umpiki ghuno naghukoma ifipeke ifinofu, aghudumule na kunyaanya pa mwoto.
28030b00b8	Une nikuvofugha na malenga, kuvonia kuuti mulatile inyivi siinu. Neke juno ikwisa mumbele mulyune ali ni ngufu kukila une. Nanino ghiile nambe kuuva m'banda ughwa kukola ifilatu fyake.
28030c00e8	Umwene ikuvofughagha nu Mhepo uMwimike nu mwoto. Umwene ilibaghulania avimike na vahosi, ndavule umuunhu pano ikwelusia ingano pa luvunga, ikong'hania ingano na kuviika mu kihenge, neke ilyelelo inyaanya nu mwoto ghuno naghusima.”
28030d0063	Unsiki ughuo, uYesu kuhuma ku Galilaya, akafika ku kikogha ikya Yolidani kuuti ofughue nu Yolidani.
28030e005d	Neke uYohani akakaana, akati, “Une nilondua kukwofughua nuuve. Iwandaani ghukwisa kulyune?'
28030f0097	UYesu akamwamula akati “Uve itika kuvomba uluo lino, ulwakuva lunoghiile kukwikanisia sooni sino uNguluve ilonda.” Pe uyohani akitika, akamwofugha.
280310009a	UYesu ye ofughue, unsiki ghughuo akahuma mu malenga. Uvulanga vukadinduka, akamwagha uMhepo ghwa Nguluve ikwika hwene ng'hunda, jikwisa pakyanya pa mwene!
2803110051	Pe ilisio kuhuma kukyanya likati, “Uju ghwe mwanango umughanike, ninkeliile.”
2804010057	Pepano uYesu akalongosovua nu Mhepo uMwimike kuluta ku lihaka, kuuti aghelue nu Setano.
2804020071	Ukuo uYesu akavuhiila kulia mulwa kufuunya ifighono fijigho fine pakilo n a pamwisi. Pambel, e jikam'bava injala.
280403007e	Pe uSetano akamwisila kukumughela akati, “Nave uve uli Mwana ghwa Nguluve, ghavuule amavue agha ghahambuke ghaave makate.”
28040400b0	uYesu akamuka akati, “Lilembilue mu Malembe aMimike kuuti, 'Ikyakulia kyene nakikum'biika umuunhu kuuva mwumi, looli iiva mwumi vwimila amasio ghooni ghano ijova Nguluve.'”
280405007c	Pe uSetano akantwala uYesu mu likaaja ilyimike ilya Yelusalemu. Akam'biika pakyanya fiijo apa nyumba inyimike ija kufunyila,
28040600b7	akam'buula akati, “Nave uve uli mwana ghwa Nguluve, ghujughuje paasi, ulwakuja mu avanyamhola vaake kulyuve vakwang'e mu mavoko ghaave kuuti aleke pighua pa livue na kulemela.””
2804070075	uYesu akamwamula kange akati, “Mu Malembe aMwimike lilambilue kuuti, “Nungamughelaghe uMutwa, uNguluve ghwako.”
280408006c	Kange uSetano akamtwala uYesu pakyanya pa kidunda ikitali, pe akansoona iisi sooni palikimo nu vuvaha vwake.
2804090055	akam'buula akati, “Nave ghufughama na na kukunyimika une, nikukupeela ifi fyoni.”
28040a00a0	Pepano uYesu akati, “vuuka apa, Setano! Ulwakuva mu Malembe aMimike lilembile ndiiki, 'Umwimikaghe uMutwa, uNguluve Ghwako, kange um, bombelaghe jujuo mwene.'
28040b005a	Pepano uSetano akamuleka uYesu. Nakalingi, avanyamhola va Nguluve vakiisa, vakantengelela.
28040c006a	Unsiki ghula uYohani uMwofughi alyadindilue mu ndinde. UYesu ye apuliike imhola ijuo akalutga ku Galilaya.
28040d00b8	Ukuo, akavuuka mu kikaaja ikya Nasaleti akaluta kukukala mu likaaja ilya Kapenaumu. Ilikaaja ilio lilyale mulubale mu lisube ilya Galilaya, imbale isa iisi ija Sabuloni ni ja Nafutali.
28040e0064	Uluo lulyavombiike kukwilanisia ilisio lino uMutwa alyajovile kukilila um'bili ghwake uYesaya kuuti,
28040f00a0	Ilise ija Sabuloni ni ja Nafutali, mu sila jino jiluta ku sumbe, imambo ja kikohka ikya Yolidani, iisi ija Galilaya, kwe kuno vikukala avaanhu vano na Vayahudi.
2804100089	Avaanhu vala vano vikukakala mu ng'hiisi, valwaghile ulumuli uluvaha; voonpe vano vikukala mu ng'hiisi ija vufue, ulumuli luvamuliike.”
280411007c	Kuhuma unsiki ghula, uYesu akatengula kupulisia iiti, “Mulataghe inyivi siinu ulwakuva uvutwa uvwa kukyanya vuli piipi.”
28041200ec	UYesu ye ighenda mulubale mu lisumbe ilya Galilaya, akavaagha avaanhu vavili vanamuunhu, juonga ghwe Simoni juno ilitavua ilingi akatambulwagha Peteli, nu Ndeleeya. Avaanhu ava valyale valovi, vakava nu nyaafu vilova isamaki mu lisumbe.
2804130053	UYesu akavavuula akati, Mumbingililaghe! Une nikuvaviika kuuva valovi va vaanhu.”
2804140039	Unsiki ghughuo vakasileka inyaafu saave, vakam'bingilila.
28041500d1	UYesu akaluta pavulongolo padebe, akavaagha avanamuunhu vavili uYakovo nu Yohani avakina Sebedaayi. Avuo, valyale mu ngalava palikimo nu viise uSebedaayi, vakava viling'hania inyaafu saave, voope akavakemeela.
280416004f	Pala pala avanamuunhu vala vakamuleka uviise ni ngalava, vakam'bingilila uYesu.
28041700c4	UYesu akava ighenda mu kighavo kyoni ikya Galilaya. Akava ikwingila mu masinagogi ghaave, ivulanisia na kupulisia iMhola iNofu ija vutwa vwaNguluve, kange akavasosyaghe avatamu inhamu saave sooni.
2804180115	Imhola saake sikkakwila fiijo kuhanga kufika mu kighavo kyoni ikya Silia. Avaanhu pe vakavatwalagha avatamu vooni vano valyale ni nhumu sino silyale papinga. Mu avuo, mwevalyale vano valyale na mapepo amalamafu, na vanya kivafi na vanya liteela. UYesu akavasosyagha avuo vooni.
2804190086	Amapugha agha vaanhu kuhuma ku Galilaya, ku Dekapoli, ku Yelusalemu, ku Yudea ni mwambo ija kikogha ikya Yolidani ghakava ghikum'bili.
2805010067	UYesu ye aghavwene amapungha ghala, akatogha pa kidunda, akikala. Avavulanisua vaake vakaluta pa mwene.
2805020024	pe akategula kukuvavulanisia, akati,
2805030077	“Vafunyilue vano vikumlonda uNguluvi kukila ifingi fyoni ulwakuva vilikwupila uluvonolo lwane ku vutwa uvwa kunyanya.
2805040046	Vafunyilue vano vali nu lusukunalo, ulwakuva uNguluve ilikuvanyamasia.
2805050045	Vafunyilue avakoola, ulwakuva uNguluve ilivapeela uvuhaasi uvwa iisi.
280506005c	Vafunyilue vano visyukua kuvomba sino ikeela uNGuluve, ulwakuva uNguluve ilikuvapeela fyoni.
2805070044	Vafunyilue vano vali nu lusungu, ulwakuva uNguluve ilikuvasungukila.
2805080048	Vafunyilue vano vali nu mwojo um'balafu, ulwakuva vilikumwagha uNguluve.
280509004e	Vafunyilue vano vikusambania avaanhu, ulwakuava vitambulwagha vana va Nguluve.
28050a0065	Vafunyilue vano vipumusivua vwimila kuvomba sino ikeela uNguluve, ulwakuva uvutwa vwa kukyanya vwane.
28050b0062	Mufunyilue umue, avaanhu pano vikuvaligha, vikuvapumusia na kukuvajova fivi mu nyinga vwimila une.
28050c008e	Muhovokaghe fiijo na kuuva nu lukeelo, ulwakuva uluvonolo lwinu kukyanya, lugome. Enendiiki nava vavili vano valyalongwile fye valyapumusivue.
28050d00d3	Umue muli mwinyo ku vaanhu va mu iisi. Neke umwinyo ghungasupuke lwoni, ndepoonu ghuviika kiki kugomosia ulunoneesi? Umwinyo ughuo, naghunoghiile nambe padebe, looli ghuuva ghwa kutaghua, ghukanyweghe na vaanhu.
28050e0064	“Umue muli lumuli ku vaanhu va mu iisi. Ilikaaja lino lijengilue pakyanya pa kidunda, nalingifise.
28050f0082	Kange, vaanhu navikunga itaaala na kukupikila ni liteneka, looli viviika pa kyimilo kuuti jivamulikaghe vooni vano vali mu nyumba.
280510008f	Fye enendiiki, ulumuli lwinu lumulikaghe, kuuti avaanhu valolaghe imbombo siinu inofu, mu uluo vamughiniaghe, uNhaata ghwinu juno ali kukyanya.
280511007f	“Mulekaghe kusaagha kuuti nisile kuvusia indeaghilo sa Moose, nambe imbulanisio isa vavilu, jeeje? Looli nisile kukwilanisia.
28051200bf	Kyang'haani nikuvavuula kuuti, uvulanga ni iisi pano fikyale kusovanika, nakwekale nambe akakelo kamo aka ndaghilo kano ndepoonu kivusivua, kuhanga fyoni fino uNguluve alyalaghile, fivombeke.
