2800000007	MÀTAY
2801010043	Un'kaan a un'lwaaŋ a Yɛsu Klistɔ, itoo a David, itoo a Abàlam.
280102005a	Abàlam kàbör Isak, Isak kàbör Yakɔb, Yakɔb kàbör Yudà anà atɔŋ ande,
2801030072	Yudà kàbör Falesi anà Zalà, ikɔb a ngwän aba Tamar, Falesi kàbör Isilɔn, Isilɔn kàbör Alam,
280104004f	Alam kàbör Aminadab, Aminadab kàbör Naasɔn, Naasɔn kàbör Salmɔn,
280105008a	Salmɔn kàbör Bɔɔzi, Rayab kàkäl ngwän ande, Bɔɔzi kàbör Yɔbɛd, Luti kàkäl ngwän ande, Yɔbɛd kàbör Yɛsɛ,
280106005d	Yɛsɛ kàbör mfum David. David kàbör Salàmun, ngwän ande kàkäl un'kyay a Uli.
280107004b	Salɔmun kàbör Rɔbɔwam, Rɔbɔwam kàbör Abya, Abya kàbör Asa,
280108004a	Asa kàbör Yɔsafat, Yɔsafat kàbör Yɔlam, Yɔlam kàbör Ɔsya,
280109004d	Ɔsya kàbör Yɔwatam, Yɔwatam kàbör Akazi, Akazi kàbör Isikyä,
28010a0050	Isikyä kàbör Mànasi, Mànasi kàbör Amɔn, Amɔn kàbör Yɔsyä,
28010b0069	Yɔsyä kàbör Yɛkɔnya anà atɔŋ ande, u paŋà bàsɔ̈ɔ̈l baan a Isàlɛl nsi u Babilɔn.
28010c0060	Ungö a nsɔ̈ɔ̈l a nsi, Yɛkɔnya kàbör Salàtyɛl, Salàtyɛl kàbör Zɔrɔbabɛl,
28010d0053	Zɔrɔbabɛl kàbör Abyudi, Abyudi kàbör Ɛlyakim, Ɛlyakim kàbör Azɔr,
28010e0048	Azɔr kàbör Sadɔki, Sadɔki kàbör Akim, Akim kàbör Ɛlyudi,
28010f004d	Ɛlyudi kàbör Ɛlyazar, Ɛlyazar kàbör Matan, Matan kàbör Yakɔb,
2801100060	Yakɔb kàbör Yɔsɛfi, un'dim a Màlye awà kàbör Yɛsu awà bàfàbel naa Klistɔ.
280111013e	Abun, yanswà yàkäl ngyääl kwem aŋinà fà Abàlam mukàman David, yàfàlyaŋ sye ngyääl kwem aŋinà fà David tii u paŋà alà bàsɔ̈ɔ̈l baan a Isàlɛl nsi u Babilɔn, ngyääl kwem aŋinà sye yàfàlyaŋ fà nsɔ̈ɔ̈l a nsi u Babilɔn tii u paŋà alà bàbör Klistɔ.
28011200d7	Le, mböör a Yɛsu Klistɔ yàkäl abà: Ngwän ande Màlye kàkäl un'kaar kàtɛ Yɔsefi ntüüm, wɛɛ kusà ba mutàtüüb ndür, nde kàmɛnà anà yöm unsà ngwal a Dweelà In'kyɛɛl.
28011300b5	Wɛɛ un'dim ande Yɔsɛfi, ntɔn kàkäl nde mbuur a balàbal, nde kàkwen anki mukun'mɛɛy nswɛn u mii a baar, lalan kàwɛl nde an'kyän u mpem ande mukun'wɛy kà unku.
2801140102	U taaŋ kàyweerà nde abà, un'kyeey a Mwol mwɛy kàyàmɛnà akà nde u ndwɛy, waa kàtɛn a nde naa: «Yɔsefi, mwan a David, twon an'man bɔɔmà muwal un'kyay angye Màlye, ntɔn yöm alà kan'bäl ande lan'fà akà Dweelà In'kyɛɛl.
2801150089	Undiir awun, nde ayàbɔr mwan baal, ngye ayun'pà ikɔb a Yɛsu, ntɔn nde asàtswà mɔ̈ɔ̈ a un'sɛŋ ande unsà man'be a wa.»
280116004f	Ndaa ayi yanswà yà ntɔn undiir kàtɛn Mwol u mun a ŋangɔɔm ande ukwe:
2801170085	«Le, mwan un'kaar unkɔr asàkal yöm, nde asàbɔr mwan baal, bàsun'beelà Mànwel», iswaŋà naa «Nzam wà uboo a bi».
2801180074	Mpal kàwiyà nde u twaal, Yɔsefi kàkyer ndaa kun'swɛŋ un'kyeey a Mwol, waa nde kàsi un'kyay ande u ndwà.
280119006e	Wɛɛ nde kàtüüb anki ndür anà nde tii mpal kàbör nde mwan baal awà kàpɛ nde ikɔb a Yɛsu.
28020100c2	Yɛsu bun'bör u Bɛtelɛm a Yuday, umpal kàkäl Ɛlɔdi mfum. Ungö a mböör ande, baar bàfàleŋ muyöb nku a mbwaar bàfü mper làfàsɛnà taaŋ, ba bàyi u Yɛlusàlɛm,
280202009d	waa bàfuul naa: «Wà ken Mfum a Ayudà ban'bɔr benàben awà? Bi kàmɛn mbwaar ande mper làfàsɛnà taaŋ, lalan kan'yà bi mukun'kömà.»
2802030072	Mpal kàwem mfum Ɛlɔdi làsaŋ alà, nde kàkyer atɛɛr, anà Yɛlusàlɛm lanswà mbwo mwɛy anà nde.
2802040067	Nde kàtüüb andwer angaŋ anà alɔɔŋ a Un'kɔɔn, ntɔn mukafuul naa Klistɔ bàlun'bɔr ken.
2802050049	Ba bun'fuur naa: «U Bɛtelɛm a Yuday. Ntɔn ŋangɔɔm kàsön abà:
28020600a2	«Le, ngye Bɛtelɛm, u nsi a Yuday, ngye kà awà bul làkɔ̈ɔ̈n ndöŋ anki u Yuday, ntɔn mfum asàdii un'sɛŋ amɛ Isàlɛl, asàtoo uboo a ngye.»
2802070073	Apan, Ɛlɔdi kàbel aŋan'yeerà kà unku, ntɔn ba bun'kyään ubwaŋàbwaŋ taaŋ nà mbwaar kàmɛnà.
28020800b2	Apan, nde katöm Bɛtelɛm, waa kàtɛn naa: «Làkyen, kàlafuul ubwaŋàbwaŋ ntɔn mwan awà, bɛ làsun'man, yàlan'kyään, ntɔn mɛ sye in'kyen mukun'kömà.»
28020900db	Ungö bàwem ba ndaa kàtɛn mfum Ɛlɔdi, ba waa bàkyen, waa bàfàman mbwaar awà bàtàman ba umper làfàsɛnà taaŋ: mbwaar wa kàyikyeenà kusà a ba tii kàkàmbar wa udu a ikal kàkäl mwan.
28020a0032	Umpal bun'tääl ba, ba bàmɛn un'sak mbɔɔn.
28020b00ba	Mpal bàbilà ba u ndwà, ba bàmɛn mwan anà ngwän ande Màlye, waa bun'kömà. Apan, ba bàduub an'bɔ̈ɔ̈n aba, waa bun'pɛ an'kab mà: wɔl, tswà anà may a usɔŋ.
28020c0076	Ungö apan, Nzam kakyään u ndwɛy naa ba bàkɔɔn afurà akà Ɛlɔdi, ba waa bàfurà nsi aba u mbwo asin.
28020d00f3	Ungö a nkyeen aba, un'kyeey a Mwol mwɛy kàyàmɛnà akà Yɔsefi u ndwɛy, waa kun'kyään naa: «Mbarà, un'sɛn mwan anà ngwän, katiin u Ngipiti. Kal kwo tii umpal in'saswaŋ mɛ mufurà. Ntɔn Ɛlɔdi ayàleŋ mudwa mwan.»
28020e006d	Undiir awun, Yɔsefi kàmbarà nde u mpib, kàsɛn nde mwan anà ngwän ande, waa kàkàyee u Ngipiti.
28020f008e	Nde kàbwaay kwo tii u nkweel a Ɛlɔdi, ntɔn undiir kàtɛn Mwol wà u mbwo a ŋangɔɔm ukwe: «Mɛ kàbel mwan amɛ mutoo u Ngipiti.»
2802100102	Mpal kàyöb Ɛlɔdi naa baar bàfàleŋ muyöb nku a mbwaar bàkyer un'kur, nde kàwem nkyɛl mbɔɔn, waa kàswɛŋ naa bàdwä baan abaal a mbul yweel tii u ngyɛl u Bɛtelɛm anà u nsi ande yanswà, mulab paŋà bun'kyään aŋan'yeerà.
280211003e	Abun, undiir kàtɛn ŋangɔɔm Yɛlɛmya wà kàkyer akwo:
28021200a3	«Bàwem ndaa mwɛy u Lamà, ilel anà in'tär mbɔɔn. Wawɛy Lakɛl wàmulel baan ande, nde ukwen anki naa mbuur kun'syääm, ntɔn ba bàfàkal anki.»
2802130062	Ungö a nkweel a Ɛlɔdi, un'kyeey a Mwol mwɛy kàkàmɛnà u ndwɛy akà Yɔsefi u Ngipiti,
280214008e	waa kàtɛn a nde naa: «Mbarà, un'sɛn mwan anà ngwän, furà u mɛɛn a Isàlɛl, ntɔn baar akwà bàkwen mudwa mwan ban'kwà.»
280215006b	Undiir awun, Yɔsefi kàmbarà nde, kàwɛl nde mwan anà ngwän, waa kàfurà u mɛɛn a Isàlɛl.
28021600c6	Wɛɛ utaaŋ kàwem nde naa Alakɛlawüs kàsàkiir taarànde Ɛlɔdi u kir a imfum u Yuday, nde kàwem bɔɔmà mufurà kwo. Nzam kun'weey u ndwɛy, laa kàkàyee nde u mɛɛn a Ngalilɛ.
2802170093	Nde kàkàtɔŋ u bul làmwɛy bàfàbel naa Nasàlɛr, ntɔn ndaa bàtɛn aŋangɔɔm ibü balàbal: «Nde bàsun'beelà un'nazɔrya.»
2803010054	Utaaŋ alan, Ywan Un'düümà kàyàmɛnà u nsye a ipɔl a Yuday mulɔŋ naa:
2803020038	«Làbuul mpem abɛ, ntɔn Imwol a du kye tsütsü!»
28030300b0	Ywan awà wà mbuur kàsam ŋangɔɔm Yɛsay utaaŋ kàtɛɛnà nde naa: «Ndaa mwɛy yàmusaa in'kwɛŋ u nsye a ipɔl: Làlɔ̈ɔ̈n mbwo a Mwol, làsuub myay ande!»
2803040083	Ywan kàbwäärà ipfɛy a in'kà a Kamɛl anà un'kab a ibaan a ntsür u lɔŋ ande. Nde kàdyee mpay anà bwey a ndwaŋ.
2803050053	Abun Yɛlusàlɛm, Yuday lanswà, anà un'tà a Yɔrdan bàkyeenà akà nde.
2803060047	Ba bàkyeyà man'be aba u mii a baar anà Ywan kadümà u Yɔrdan.
