280000000c	ማትዎስ
2801010087	ዳዊትኒ ዛላስን አብራሀምኒ ዛላስኒ ኮንቴ የሱስ ክርስቶስኒ ኮንቶኒ ቱዛስ ሀኒስዋ፦
2801020087	አብራሀም ይሳቅንን ኮኒ። ይሳቅ ያቆብኒን ኮኒ። ያቆብ ዩዳናዋ አይባሳክቶኒና ኮኒ።
280103007e	ዩዳ ፋሬስኒንናዋ ዛራንና ትማር ስኒፋ አሱስኪን ኮኒ። ፋሬስ ኤስሮምኒን ኮኒ።
28010400b3	ኤስሮም ደይ ኣራምንን ኮኒ። ኣራም አምናዳብን ኮኒ። አምናዳብ ደይ ነአሶኒን ኮኒ። ነአሶን ደይ ሴልሞኒን ኮኒ።
28010500bf	ሴልሞን ራኬብ ይስቴፋ አሱስኪን ቦየዝንን ኮኒ። ቦየዝ ሩት ይስቴፋ አሱስኪን እዮቤድኒን ኮኒ። እዮቤድ እሴይኒን ኮኒ።
2801060080	እሴይ ደይ ታቶ ስና ዳዊትኒን ኮኒ። ታቶ ዳዊት ኦርዮን አሱስኪን ሶሎሞኒን ኮኒ።
280107007e	ሶሎሞን ደይ ሮብያምኒን ኮኒ። ሮብያም አብያንን ኮኒ። አብያን አሳፍኒን ኮኒ።
280108007d	አሳፍ እዮሳፍጥኒን ኮኒ። እዮሳፍጥ እዩራምኒን ኮኒ። እዩራም ኦዝያኒን ኮኒ።
2801090056	ኦዝያን እዩአታምኒን ኮኒ። እዩአታም አካዝኒን ኮኒ።
28010a0077	አካዝ እዝቅያስኒን ኮኒ። እዝቅያስ ምናሴንን ኮኒ። ምናሴ አሞስኒን ኮኒ።
28010b0093	አሞስ እዩስያስኒን ኮኒ። እዩስያስ ባብሎን ቦጆን ነያሲክ እኮኒዮናዋ አይባሳክቶኒና ኮኒ።
28010c0083	ባብሎን ቦቾኔን ኦርፎ እኮኒዮን ሴላትያልንን ኮኒ። ሴላትያል ዘሩባቤልንን ኮኒ።
28010d0083	ዘሩባቤል አብዩድንን ኮኒ። አብዩድ ኤልያኬምኒን ኮኒ። ኤልያኪም አዛርንን ኮኒ።
28010e006e	አዛር ሳዶኪንን ኮኒ። ሳዶክ አክምኒን ኮኒ። አክም ኤልዩድኒን ኮኒ።
28010f0071	ኤልዩድ አላዛርኒን ኮኒ። አላዛር ማታንን ኮኒ። ማታን ያቆብንን ኮኒ።
280110006b	ያቆብ ክርስቶስ ይስቴ የሱስኒን ኮኒ ማራሚኖን ቴጌ ዮሴፍንን ኮኒ።
280111015c	ኤሴ አብራሀምኒስታን ካብራ ዳዊትኒስታ ካርአናኔን አሲሬ አቼቼ ኮኒቶ። ዳዊትኒስታን ካብራ ባብሎን ቦጆ ካርአናኔን አሲሬ አቼቼ ኮንቶ። ባብሎን ቦጆስታን ካብራ ክርስቶስኒ ኮንቶስታ ካርአናኔን አሲሬ አቼቼ ኮንቶዋ።
28011200bf	የሱስ ክርስቶስኒ ኮንቶኒ ቶቾስ ሀኒስዋ፤ እንቶባ ማራሚ ዮሴፍኒክ ቴግቴራ ዲስ ግሩኖይ ኮርቶ አያናክ ናኔርቴራ ቤስቴ።
28011300ad	ቴጌሬ ዱስ ዮሴፍ ኦኮ አሱ ስንና ቦርአ ማራሚኖን አሱኒ ስና ክስሬ ማኮክ ኣኔ ሾሎዌ። ባክ ኣቾክ ቤያናክ ሾሌ።
2801140108	ስኑንታኖ ባር ኤካ ሳፋሬፌን ዳሚሳ ዎስያ ሚቶክ ቤስቴራ፦ «ዳዊትኒ ና ዮሴፍኖ! ቴጌራ ዱስታ ናዋስ ናኔርቴናስ ኮርቶ አያናኪን ስንና ቦርአ ማራሚኖን ኤጳክ ድጎታታዋ።
28011500b1	ባር ናኒን ታኖንር፤ ኤስ ናስ ዳራባስን ቦርእቤሲስን ፋቱኒር ስንና ቦርአ ሱንባሶን ‹የሱስ› ይራቱ ሱንሱታ።»
280116003b	ኤስ ባር ደይ ስንናስ ዳሚስ ራጁሲክ፦
2801170118	«ኤሴኑ ዱርባስ ናኔርቶና፤ ናኒን ደይ ታኖና፤ ሱንባሶን ደይ ‹አማኑኤል› ኡሶነ ይስቴ ባር ስናናክቱ ሀን ባር ዙቴራ ስኒ። ኮትባስ ደይ፦ ‹ሀኦስ እኖኔን አነቱ ፋዋ› ኡዋ» ይ።
2801180093	ዮሴፍ አፋይኒታን ጉዝሬ ዳሚሳ ዎስያ ማኬናሲማቶ ዛግ። ቴጌሬ ዱስና ማራሚኖን ኤጴ ኬባ ሀሚ።
2801190091	ኡዙን ናዉባስን ታኖናኔን ዮሴፍ ባርኔን ኣነ ኩነ። ኮንቴ ናሳ ሱናኖን «የሱስ» ይሬ ሱንስ።
28020100a9	የሱስ ዩዳ ቤቴለሙክ ታቶ ሄሮድስኒ ነያሲክ ኮንቴፌና ካባሲክ አሩኒ ሜያ አዋኬስና ድማን የሩሳሌም ዬሴቴ።
28020200b1	ኤካ ይት ማሙስሴቴ፦ «ኮንቴ አይሁድኒ ታቶስኪ አይንሶ? ባኩራሶን አውኬሳን ብያት ባርኪ ካኖንክ ያንዋ» ይሴቴ።
2802030097	ታቶ ሄሮድስ ኤስ ባሮን ኦድናይሴ ናየ። የሩሳለሙክ ፌሴ አሱኒ ሜያ ዙቴሬ ባርኔን አነ ናየሴቴ።
2802040093	ማግኒ ጋኝኜ ሜናዋ ዳራሳ ቱማኒ አስሲኛኒ ሜና አሲን ዙትሬ ክርስቶስ አይ ኮንቶናማቶ ማምሲ።
280205006f	ባሶ ደይ፦ «ዩዳኒ ዳስታክ ፋ ቤቴለሙክ ራጁኡስ ኤካ ይሬ ትችናር ፋር።
280206010e	‹ዩዳኒ ዳስታኪ ፋ ካታማ ቤቴለምኔ! ታ ዳራ ስና እስራኤልኖን ኦድኒ አእስኛ ኔኪን ኬስኒር ስንና ቦርአ እኛ እኛ ካታማስን ነ ኣፋ ሀቶታዉዛ› ይስቴራ ማክቴራ ፋር» ይሴቴ።
2802070093	ኤሴን ኦርፎ ሄሮድስ አሩኒ ሜያኖን ኣቾክ ቴጌሬ ባኩራስ ባሶክ ቤስቴና ዎናሶን ማምሲሬ አሪ።
28020800c1	ባሶትን ኤካ ይት ዎሲ፦ «ቤቴለም ሀምፋት ኮንቴ ናስን ጋሳሱትዋ፤ ዳነፋትኔ ታኪ ደይ ያራ ማኮት። ታ ደይ ሀማ ባርኪ ካኖና»
