2800000007	Matewos
2801010059	Dawitni zalaassin; Abrahamni zalaassin koonte Yesus Kiristoosni koontoni tuzaas haniiswa:
2801020055	Abraham Yisaqnin kooni. Yisaq Yaqobnin kooni. Yaqob Yuudanawa Aybaasakitoninna kooni.
2801030051	Yuuda Faaresninnawa Zaaraninna Tiimar sinfa asuskin kooni. Faares Esromnin kooni.
280104006e	Esrom dey Aaramnin kooni. Aaram Aminadabni kooni. Aminadab dey Ne'asonnin kooni. Ne'ason dey Selimonnin kooni.
2801050071	Selimon Rakeb yistefa asuskin Boyeznin kooni. Boyez Rut yistefa asuskin Iyyobednin kooni. Iyyobed Isseynin kooni.
2801060054	Issey dey taato sina Dawitnin kooni. Taato Dawit Ooriyonni asuskin Solomonnin kooni.
280107004b	Solomon dey Robiyamnin kooni. Robiyam Abiyanin kooni. Abiyan Asafnin kooni.
280108004d	Asaf Iyyosafixnin kooni. Iyyosafix Iyyuramnin kooni. Iyyuram Ooziyanin kooni.
2801090033	Ooziyan Iyyuatamnin kooni. Iyyuatam Akaaznin kooni.
28010a0047	Akaaz Izqiyasnin kooni. Izqiyas Minasenin kooni. Minaase Amosnin kooni.
28010b0063	Amos Iyyusiyasnin kooni. Iyyusiyas Baabilonni boojoni neyaasik Ikoniyonnawa Aybaasakitoninna kooni.
28010c0054	Baabilonni bochoneen orfo Ikoniyon Selatiyalnin kooni. Selatiyal Zerubabelnin kooni.
28010d004e	Zerubabel Abiyudnin kooni. Abiyud Eeliyakemnin kooni. Eeliyakem Azarnin kooni.
28010e0040	Azar Sadoknin kooni. Sadok akimnin kooni. Akim Eeliyudnin kooni.
28010f0046	Eeliyud Alazarnin kooni. Alazar Maatanin kooni. Maatan Yaqobnin kooni.
2801100045	Yaqob Kiristoos yiste Yesusnin kooni Maaraminon teege Yosefnin kooni.
28011100ef	Ese Abrahamniistan kabira Dawitniista kar'ananneen asire acheechche koonto. Dawitniistan kabira Baabilonni boojo kar'ananneen asire acheechche koonto. Baabilonni boojoostan kabira Kiristoosni koontoosta kar'ananneen asire acheech koontowa.
280112007a	Yesus Kiristoosni koontoni tochoos haniiswa; intoba Maarami Yosefnik teegtera diis girunoy Korto Ayyanak naanertera beste.
2801130075	Teegere duusi Yosef ooko asu sinna boor'a Maaraminon asuni sina kisire makok aane sholowe. Baak aachok beyanak shole.
28011400b3	Sinuntano bar ekka safarefeen Daamiisa wosiya miitok bestera: «Dawitni naa Yosefno! Teegera duusita nawaas naanertenaas Korto Ayyanakin sinna boor'a Maaraminon ephak digotaatawa.
2801150072	Bar naanin tanonir; es naas darabaasin boor'besiissin fatunir sinna boor'a sunbaason ‹Yesus› yiratu sunsuta.»
2801160025	Es bar dey sinnaas Daamiis raajjusik:
28011700b3	«Esenu durbaas naanertona; naanin dey tanona; Sunbaason dey ‹Amanuel› usone yiste bar sinanaktu han bar zuuttera sini. Kotbaas dey: ‹Ha'oos innoneen anetu fawa› uwa» yi.
2801180069	Yosef afay'nitan guzire Daamiisa wosiya makenaasimato zagi. Teegere duusina Maaraminon ephphe keeba hami.
2801190063	Uzun nawubaasin tanonanneen Yosef barneen ane aane kune. Koonte naasa sunanon «Yesus» yire sunsi.
280201006f	Yesus Yuuda Betelemuk taato Herodisni neyaasik koontefena kabaasik aruni meya awakesna diman Yerusalem yeesete.
2802020073	Ekka yit mamussete: «Koonte Ayhudni taatoski ayinso? Baakuraason awukesan biyaat barik kaa'nonik yaaniwa» yisete.
2802030061	Taato Herodis es baron odenaase naye. Yerusalemuk feese asuni meya zuuttere barneen ane nayesete.
2802040066	Maagni gaanynye meenawa daraasa tumani assinynyani meena asin zuutire Kiristoos ay koontonamato mamsi.
280205004b	Baasso dey: «Yuudani daasta fa Betelemuk raajjuus ekka yire tichinar faar.
28020600b7	‹Yuudani daastaki fa katama Betelemne! Ta dara sina Israelnon oodni ha'sinynya neekin kesnir sinna boor'a inya inya katamaassin ne aafa hatota wuza› yistera maktera faar» yisete.
2802070060	Esseen orfo Herodis aruni meyanon aachok teegere baakuraas baassok bestena wonaason mamsire ari.
2802080085	Baassotin ekka yit wosi: «Betelem hamfaat koonte naasin gasasutiwa; danefaatine taak dey yaara makoti. Ta dey hamma barik kaa'nona»
280209007e	Baasso dey taatoosa kaamanon odere hamete. Awakesna diman biyete baakuraas naas feena dimaasta hamma yeronanneen zoonsit faar.
28020a0029	Baakuraason biyeteese akama gira girsete.
28020b009e	Keer girsere daag naas intoba Maaramineen ane feen biyete. Barki sina sinbesiisik sagadesere saxinibesiison gachche warqe, ixaananewa kumbine asi ima imesete.
28020c0069	Aruni meya wolsere Herodisniki hamonoytemato baassok Ha'o miitok makena boor'a ooma ugnak daabesi hamete.
28020d00d3	Aruni meya hametenneen orfo Daamiisa wosiya miitok Yosefnik bestera: «Herodis daag naasin worunak sholedifer sinna boor'a kabira naasin intobaasneen ane ephpha Giphtsi hamma; ta neek makonanneen esta fowa» yi.
28020e0049	Yosef dey kabire daag naasin intobaasneen ane ephphe waalak Giphtsi hami.
28020f007b	Daamiis raajjubaasik: «Naataasin Giphtsin teegengwa» yina bar sinanaktu Giphtsi hamete. Herodis kitunanneen esta diisete.
28021000e9	Esseen orfo Herodis aruni meya barin eshere aatte hamobesiison araat akamanon gi'tere aruni meyakin odena neyaasik Beetelemnewa biratobaastana fa daastaki neeba hepnewa esseen daakalo fa garo garo naanggotaason zuutire wortonak zagi.
2802110033	Es kabaasik raajju Ermiyasnik makte raajiis siniwa.
280212008c	«Rahel naanggotbaasik waasi; waasnewa akama soosone asi kaama Ramak odte. Naanggotbaas aafa sinna boor'a fakuk aane chima» yiste bar sini.
280213004a	Herodis kitinanneen orfo Daamiisa wosiya Giphtsik Yosefnik miitok bestera:
2802140074	«Daag naasa kaanon tishkuk shole bar kitiwa. Kabira daag naaneesin intobaasneen ane ephpha Israelni daa hamma» yi.
280215003f	Yosef kabire daag naasin intobaasneen ephphe Israelni daa hami.
2802160086	Herodisni naa Arkelawos ababaasa edde Yuudaki daasta taattenamato odere esta hama dige. Sinuntano orfo miito biire Galiilani daa hami.
2802170055	Raajjunik: «Naazirawi ustona» yiste bar sinanak Naaziret yiste katamaassi hamme di.
2803010045	Es kabaasik haphqife Yohannis Yuudani daastaki ichma daassi maket ye.
280302004d	Es maket yeenaas dey: «Samani taatoos tai'se sinna boor'a harmutiwa» yifar.
28030300a2	Raajju sina Isayyasni matsafaassi: «‹Daamiisa ugnanon hoossuti; sapsira dey zeephti› iyaafe ichma daassi chaaget fe asuni kaama» yistera makte bar haniiswa.
2803040082	Yohannis mayfena mayaas Gaalani esak wiche maama. Geshobaasta dey googoni talfa taar'et feer. Muubaas dey bilnganewa zaboni eesne.
280305009a	Es kabaasik Yerusalemun, Yuudani daa zuuttambaase asiissin, Yordanosni biratoosta fa daas zuuttambaase asiissi fe asuni meya zuuttere barki yeet feeseter.
2803060045	Boor'besiison harmifaafe Yordanoski akaassi barik haphuktet feeseter.
28030700a3	Yohannis showo Ferisawini meenawa Seduqawini meena haphuktok barki yeesefeen biyaat: «Nitto ufoni naanggota; yoonak fa Ha'oosi gi'sin kesatik oonso nittok makeri?
2803080026	Ese harmuntiison besifa wosto wostoti.
2803090093	Nibnitiissi: ‹Abraham inno abawa› yifetimatotawa. Nittok makefawungwa; Ha'oos han shu'aaskitosin kabgira Abrahamni naanggota zagunak chimanawa.
28030a0060	Hash anfala i'oosi diisi kunfarwa; ma'a gaana gaannoy i'oosikito zuuttera katerna geesi ha'tona.
28030b00ac	Ta harmiyaasik akaktu haphquna; ta chaa'mabaasi taar'anon kotanak chimnoynar tayistan akamanon denalo sina bar ta orfoosta yoonir. Bar Korto Ayyanaknawa geyaknatu haphquna.
28030c0097	Meyaason sama ha'una manshiis kushubaassitu fa; oodaason mai'sire kaynuna; zagooson botobaassi gaagana; sinuntano ufaason tishunoy geesi kiichuna» yi.
28030d004a	Es kabaasik Yesus Yohannis barin haphqunak Galiilan Yordanoski akaaski ye.
28030e0059	Sinuntano Yohannis: «Taan ne haphqutak sholsu sinna feen ne taaki yaafatoso?» yit kali.
28030f007c	Yesus wolgire: «Taan kalataatawa; ooko sina baron zagunak sholsu sinna boor'a beywa» yin es kabaasik Yohannis «ma'i» yi.
2803100080	Yesus haphuktenanneen orfo geregere akaassin kesi. Estan samaas gachchen Ha'oni Ayyana nakalone faar sinna basaasta kerefeen bi.
280311004e	Kaama dey saman yaara: «Haniis ta shunfana naaswa; bariktu girefawungwa» yi.
2804010052	Esseen orfo Ha'oni Ayyana Yesus dabulosnik fattantonak zoonsira ichma daassi hami.
280402003f	Estak Yesus acheechasir wonnewa waalne soomenanneen orfo makte.
