280000000c	מתתיהו
280101008e	דאס בוך פונם שטאמבוים פון יהושע/ישוע המשיחן, דעם זון פון דוד, דעם זון פון אברהם.
28010200b1	אברהם האט געבוירן יצחקן, און יצחק האט געבוירן יעקבן, און יעקב האט געבוירן יהודהן און זיינע ברידער.
28010300ad	און יהודה האט געבוירן פרצן און זרחן פון תמר. און פרץ האט געבוירן חצרון, און חצרון האט געבוירן רם.
280104009b	און רם האט געבוירן עמינדבן, און עמינדב האט געבוירן נחשון, און נחשון האט געבוירן שלמון,
28010500af	און שלמון האט געבוירן בועזן פון רחב, און בועז האט געבוירן עובדן פון רות, און עובד האט געבוירן ישי,
2801060083	און ישי האט געבוירן דוד המלך. און דוד האט געבוירן שלמהן פון אוריהס ווייב,
2801070091	און שלמה האט געבוירן רחבעם, און רחבעם האט געבוירן אביה, און אביה האט געבוירן אסא,
2801080099	און אסא האט געבוירן יהושפטן, און יהושפט האט געבוירן יורם, און יורם האט געבוירן עזיהו,
2801090097	און עזיהו האט געבוירן יותם, און יותם האט געבוירן אחזן, און אחז האט געבוירן יחזקיהון,
28010a009b	און יחזקיהו האט געבוירן מנשהן, און מנשה האט געבוירן אמון, און אמון האט געבוירן יאשיהו,
28010b0085	און יאשיהו האט געבוירן יכניהו און זיינע ברידער, צו דער צייט פונם גלות בבל.
28010c00ae	און נאך דער פארטרייבונג קיין בבל האט יכניהו געבוירן שאלתיאלן, און שאלתיאל האט געבוירן זרובבלען,
28010d00a7	און זרובבל האט געבוירן אביהודן, און אביהוד האט געבוירן אליקים, און אליקים האט געבוירן עזורן,
28010e0097	און עזור האט געבוירן צדוקן, און צדוק האט געבוירן יכין, און יכין האט געבוירן אליהודן,
28010f0097	און אליהוד האט געבוירן אלעזרן, און אלעזר האט געבוירן מתן, און מתן האט געבוירן יעקבן,
28011000d0	און יעקב האט געבוירן יוספן, דעם מאן פון מרים, פון וועלכער עס איז געבוירן געווארן יהושע/ישוע, וואס ווערט גערופן משיח.
2801110100	און אזוי זענען אלע דורות פון אברהם ביז דוד פערצן דורות; און פון דוד ביז צום גלות בבל פערצן דורות; און פונם גלות בבל ביז צו דעם משיח פערצן דורות.
2801120167	און די געבורט פון יהושע/ישוע המשיחן איז פארגעקומען אויף אזא אופן: ווען זיין מוטער מרים איז געווען פארקנסט צו יוספן, איידער זיי זענען זיך צוזאמענגעקומען, איז זי געפונען געווארן מעוברת פונם רוח הקודש.
28011300f6	יוסף, איר מאן, איז אבער געווען א צדיק, און האט איר נישט געוואלט אנטון קיין חרפה, האט ער בדעה געהאט, שטילערהייט מיט איר זיך פאנאנדערצוגיין.
2801140187	און טראכטנדיק אזוי וועגן דעם, זע, א מלאך פון דעם האר (ה׳) האט זיך באוויזן צו אים אין א חלום, אזוי צו זאגן: יוסף בן דוד, פארכט דיך נישט צו נעמען מרים, דיין ווייב; מחמת דאס, וואס איז אין איר געשאפן געווארן, איז פונם רוח הקודש.
28011500cf	און זי וועט געבוירן א זון, און דו זאלסט רופן זיין נאמען יהושע/ישוע; מחמת ער וועט ראטעווען זיין פאלק פון זייערע זינד.
28011600d4	און דאס אלץ איז געשען, כדי עס זאל דערפילט ווערן, וואס עס איז געזאגט געווארן פון דעם האר (ה׳) דורך דעם נביא, אזוי צו זאגן:
2801170101	זע די עלמה וועט פארגיין אין טראגן, און געבוירן א זון, און מען וועט רופן זיין נאמען עמנואל, (ישעיהו ז, יד.) וואס דער טייטש דערפון איז: ה׳ מיט אונדז.
28011800f8	און ווען יוסף איז אויפגעשטאנען פון שלאף, האט ער געטאן, ווי דער מלאך פון דעם האר (ג‑ט) האט אים באפוילן, און ער האט גענומען צו זיך זיין ווייב;
28011900b1	און האט זיך מיט איר נישט באהאפטן, ביז זי האט געבוירן א זון, און ער האט גערופן זיין נאמען יהושע/ישוע.
2802010100	און ווען יהושע/ישוע איז געבוירן געווארן אין בית‑לחם יהודה, אין די טעג פון קעניג הורדוס, זע, שטערנזעער פונם מזרח זענען אנגעקומען קיין ירושלים,
2802020117	און האבן געזאגט: וואו איז ער, וואס איז געבוירן געווארן, דער מלך פון די יידן? מחמת מיר האבן געזען זיין שטערן אויפן מזרח, און זענען געקומען, זיך צו בוקן צו אים.
280203009a	און ווי דער קעניג הורדוס האט דאס געהערט, האט ער זיך דערשראקן און גאנץ ירושלים מיט אים.
28020400c5	און איינזאמלענדיק אלע הויפט כהנים און סופרים פונם פאלק, האט ער זיי געפרעגט, וואו דער משיח דארף געבוירן ווערן.
28020500a4	און זיי האבן צו אים געזאגט: אין בית‑לחם יהודה; מחמת אזוי איז געשריבן געווארן דורך דעם נביא.
280206011c	און דו בית‑לחם, לאנד יהודה, ביסט בשום אופן נישט דאס קלענסטע צווישן די פרינצן פון יהודה; מחמת פון דיר וועט ארויסקומען א מושל, וואס וועט פיטערן מיין פאלק ישראל!
28020700e0	דערנאך האט הורדוס שטילערהייט גערופן די שטערנזעער, און גרינטלעך אויסגעפארשט ביי זיי די צייט, ווען דער שטערן האט זיך באוויזן.
2802080139	און ער האט זיי געשיקט קיין בית‑לחם, און געזאגט: גייט און פארשט נאך גענוי וועגן דעם קינד; און ווען איר וועט עס געפינען, דערציילט מיר, כדי איך זאל אויך קומען און מיך בוקן צו אים.
2802090187	און זיי, האבנדיק געהערט דעם קעניג, האבן זיך געווענדט אויף זייער וועג; און זע, דער שטערן, וועלכן זיי האבן געזען אויפן מזרח, איז געגאנגען פאר זיי, ביז ער איז געקומען און זיך געשטעלט איבער דעם ארט, וואו דאס קינד איז געווען.
28020a007e	און זעענדיק דעם שטערן, האבן זיי זיך געפריידט מיט א זייער גרויסער שמחה.
28020b0185	און זענען אריינגעגאנגען אין הויז און האבן געזען דאס קינד מיט מרים, זיין מוטער; און זענען אנידערגעפאלן און האבן זיך געבוקט צו אים; און האבן אויפגעעפנט זייערע אוצרות און אים געברענגט מתנות, גאלד און וויירויך און מירע.
28020c00e7	און ווערנדיק געווארנט אין א חלום, זיך נישט אומצוקערן צו הורדוסן, זענען זיי אוועק אויף אן אנדערן וועג אין זייער אייגן לאנד אריין.
28020d01c9	און נאך זייער אוועקגיין, זע, א מלאך פון דעם האר (ג‑ט) באווייזט זיך צו יוספן אין א חלום, אזוי צו זאגן: שטיי אויף און נעם דאס קינד און זיין מוטער, און אנטלויף קיין מצרים, און זיי דארטן, ביז איך וועל דיר זאגן; מחמת הורדוס וועט זוכן דאס קינד, כדי עס אומצוברענגען.
28020e00b1	און ער איז אויפגעשטאנען און האט גענומען דאס קינד און זיין מוטער ביינאכט, און איז אוועק קיין מצרים.
28020f0134	און איז דארט געווען ביז הורדוס איז געשטארבן, כדי עס זאל דערפילט ווערן, וואס עס איז געזאגט געווארן פון דעם האר דורך דעם נביא, אזוי צו זאגן: פון מצרים האב איך גערופן מיין זון.
280210020c	דעמאלט האט הורדוס געזען, אז ער איז געווארן אפגעשפאט פון די שטערנזעער, איז ער געווארן שרעקלעך צארנדיק, און האט געשיקט, און געלאזט טייטן אלע יינגלעך, וואס זענען געווען אין בית‑לחם און אין אלע אירע געגנטן, פון צוויי יאר און יונגער, לויט דער צייט, וואס ער האט גענוי אויסגעפונען פון די שטערנזעער.
280211009d	דעמאלט איז דערפילט געווארן, וואס עס איז געזאגט געווארן דורך ירמיהו הנביא, אזוי צו זאגן:
280212010d	א קול איז געהערט געווארן אין רמה, א געוויין און ביטער באקלאגן, רחל באוויינט אירע קינדער; און וויל נישט געטרייסט ווערן, ווייל זיי זענען מער נישט פאראן.
28021300c4	ווען אבער הורדוס איז שוין געווען טויט, זע, א מלאך פון דעם האר (ג‑ט) באווייזט זיך אין א חלום צו יוספן אין מצרים,
2802140106	און זאגט: שטיי אויף און נעם דאס קינד און זיין מוטער, און גיי קיין ארץ ישראל; מחמת עס זענען שוין געשטארבן די, וואס האבן געזוכט דאס לעבן פון דעם קינד.
28021500ad	און ער איז אויפגעשטאנען און האט גענומען דאס קינד און זיין מוטער, און איז געקומען קיין ארץ ישראל.
280216016a	נאר הערנדיק, אז ארכעלאוס קעניגט איבער יהודה אויפן ארט פון זיין פאטער הורדוס, האט ער זיך געפארכטן דארט אהינצוגיין; און נאך דעם ווי ער איז געווארנט געווארן אין א חלום, איז ער אוועק אין די מקומות פון גליל,
2802170140	און איז געקומען און האט געוואוינט אין א שטאט, וואס מען רופט זי נצרת, כדי עס זאל דערפילט ווערן, וואס עס איז געזאגט געווארן דורך די נביאים, אז ער וועט גערופן ווערן נצר. (ישעיהו יא, א.)
28030100aa	אין יענע טעג קומט יוחנן פון דער (ירדן) מקווה, און רופט אויס אין דער מדבר פון יהודה, אזוי צו זאגן:
280302005c	טוט תשובה; מחמת דאס מלכות השמים האט זיך דערנענטערט.
2803030151	מחמת דאס איז ער, פון וועמען עס איז גערעדט געווארן דורך ישעיה הנביא, אזוי צו זאגן: א קול פון איינעם, וואס רופט אויס אין דער מדבר: מאכט גרייט דעם וועג פון דעם האר (ג‑ט), מאכט גלייך זיינע שטעגן!
28030400fe	און יוחנן אליין האט געהאט א מלבוש פון קעמל האר, און א לעדערנער גארטל ארום זיינע לענדן; און זיין שפייז איז געווען היישעריקן און ווילדער האניק.
280305009f	דעמאלט איז צו אים ארויסגעגאנגען ירושלים, און גאנץ יהודה, און די גאנצע אומגעגנט פון ירדן;
28030600c2	און האבן זיך געלאזט טובל זיין אין דער מקווה פון אים אין דעם טייך ירדן, מתוודה זייענדיק זיך אויף זייערע זינד.
280307016b	ווען אבער ער האט געזען א סך פון די פרושים און פון די צדוקים קומען צו דער מקווה, האט ער צו זיי געזאגט: איר שלאנגענקינדער, ווער האט אייך געגעבן צו פארשטיין, אז איר זאלט אנטלויפן פון דעם קומענדיקן גרימצארן?
2803080053	ברענגט דעריבער פרוכט, וואס איז ראוי ביי תשובה!
2803090147	און זאל אייך נישט קומען אויף די געדאנקען צו זאגן: מיר האבן אברהם ווי אונדזער פאטער (זכות‑אבות); מחמת איך זאג אייך, אז ה׳ איז בכוח פון די דאזיקע שטיינער אויפצושטעלן קינדער צו אברהמען.
28030a0104	און די האק ליגט שוין ביים שורש פון די ביימער; דעריבער יעדער בוים, וואס ברענגט נישט קיין גוטע פירות, ווערט אפגעהאקט, און געווארפן אין פייער אריין.
28030b016f	איך טובל אייך אין א מקווה מיט וואסער צו תשובה; אבער דער, וואס קומט נאך מיר, איז שטארקער פון מיר, וואס איך בין נישט ווערט צו טראגן זיינע שיך; ער וועט אייך טובל זיין אין א מקווה מיט דעם רוח הקודש און מיט פייער.
28030c0163	זיין ווינטשויפל איז אין זיין האנט, און ער וועט גוט אויסרייניקן זיין דרעשעריי; און ער וועט איינזאמלען זיין ווייץ אין שייער אריין, אבער די פלעווע וועט ער פארברענען אין פייער, וואס לעשט זיך נישט אויס.
28030d00af	דעמאלט קומט יהושע/ישוע פון גליל צום ירדן צו יוחנן, כדי מקווה געטובלט צו ווערן אין א מקווה פון אים.
28030e00c4	ער אבער האט עס אים פארווערט, זאגנדיק: איך האב נייטיק פון דיר געטובלט צו ווערן אין א מקווה, און דו קומסט צו מיר?
28030f010b	נאר יהושע/ישוע האט ענטפערנדיק צו אים געזאגט: לאז עס איצט צו; מחמת אזוי געשיקט זיך פאר אונדז מקיים צו זיין יעדע גערעכטיקייט. דעמאלט האט ער אים געלאזט.
2803100159	ווי יהושע/ישוע איז געטובלט געווארן אין א מקווה, איז ער באלד ארויסגעשטיגן פון וואסער; און זע, די הימלען האבן זיך אויפגעעפנט, און ער האט געזען ה׳ס גייסט אראפנידערן ווי א טויב, און קומען אויף אים;
28031100aa	און זע, א קול פון הימל האט געזאגט: דאס איז מיין געליבטער זון, אין וועמען איך האב א וואוילגעפעלן!
28040100bc	דעמאלט איז יהושע/ישוע געפירט געווארן פון דעם גייסט אין דער מדבר אריין, כדי דער שׂטן זאל אים אויספרואוון.
2804020083	און פאסטנדיק פערציק טעג און פערציק נעכט, איז ער דערנאך הונגעריק געווארן.
28040300ff	און דער אויספרואווער איז צוגעקומען און האט צו אים געזאגט: אויב דו ביסט דער זון פון דער אויבערשטער, זאג, אז די דאזיקע שטיינער זאלן ווערן ברויט!
28040400f8	ער אבער האט ענטפערנדיק געזאגט: עס שטייט געשריבן: נישט פון ברויט אליין זאל דער מענטש לעבן, נאר פון יעדן ווארט, וואס קומט ארויס פון ה׳ס מויל.
28040500b2	דעמאלט נעמט אים דער שׂטן אין דער הייליקער שטאט אריין; און האט אים געשטעלט אויפן שפיץ פון בית המקדש,
2804060189	און זאגט צו אים: אויב דו ביסט דער זון פון דער אויבערשטער, ווארף דיך אראפ; מחמת עס שטייט געשריבן: זיינע מלאכים וועט ער באפעלן וועגן דיר, און אויף די הענט וועלן זיי דיך טראגן, טאמער וועסטו דיר אנשטויסן דיין פוס אין א שטיין.
28040700ae	האט יהושע/ישוע צו אים געזאגט: עס שטייט אויך געשריבן: דו זאלסט נישט אויספרואוון דעם האר, דיין ג‑ט.
28040800da	נאכאמאל נעמט אים דער שׂטן מיט אויף א זייער הויכן בארג, און ווייזט אים אלע קעניגרייכן פון דער וועלט, און זייער הערלעכקייט;
