1300000006	Psalms
13010100a4	Lusakumunu kuidi mutu wowo wunkambu landakananga zindongi zi batu bambimbi, wunkambu telamanga mu nzila yi minsumuki, ayi wunkambu vuandanga va kimosi ayi mimvuezi.
130102004e	Vayi wummonanga khini mu mina mi Yave ayi wunyindulanga miawu muini ayi builu.
130103009e	Mutu beni widi banga nti wukunu va muenda nlangu; wowo wumbutanga makundi mu tsungi andi ayi meza mandi mayumanga ko; weti mona mamboti mu mamo keti vanganga.
1301040052	Vayi buawu ko buididi kuidi batu bambimbi, badi banga biti bivevumunu kuidi phemo.
130105006e	Diawu, batu bambimbi balendi telama ko mu lumbu ki tsambusu, voti bankua masumu mu lukutukunu lu batu basonga.
130106004c	Bila Yave zebi nzila yi batu basonga, vayi nzila yi batu bambimbi yela biva.
1302010056	Bila mbi makanda mafuemini e? Bila mbi batu balembo yindudila mambu makambulu fuana e?
130202007f	Bila mbi mintinu mi ntoto mitelimini e? Bila mbi minyadi mikutikinini va kimosi mu nuanisa Yave ayi mutu andi kavinda mafuta e?
130203004b	Balembo tubi: “tuzenganu minsinga miawu; tulozanu thama zisieni ziawu.”
1302040046	Mutu wowo wunkalanga ku Diyilu wulembo sevi. Pfumu wulembo basekinina.
1302050060	Bosi wulembo bayolukila mu nganzi andi, ayi wulembo kuba monisa tsisi mu miangu miandi mi ngolo.
1302060047	Ayi wutuba: “Minu ndibieka ntinu ama ku Sioni, mongo ama wunlongo.”
130207006b	Ndiela yamikisa lukanu lu Pfumu: Yave wukhamba: “Ngeyo widi muanꞌama. Minu ndibutidi mu lumbu kiaki.”
130208006c	Wundombi ayi mandivana makanda; ma maba kiuka kiaku ayi mawu vua ntoto wumvimba nate mu sukisina ntoto beni.
130209005b	Wela kuba yadilanga mu nkawa wu sengo; wela kuba bula banga bu mbudikilanga nzungu yi tuma.
13020a005d	Diawu, beno mintinu, bika luba nduenga. Bosi beno mazuzi ma ntoto, bika lutambula ndongokolo;
13020b0035	lusadila Yave mu lukinzu ayi lumona khini mu lukhuku.
13020c00c4	Lubumbakana muana mu diambu di kedi fuema; ayi luedi bungana mu nzilꞌeno. Bila mu mbuetolo yi meso nganzi andi yilenda vika wulama. Lusakumunu kuidi batu boso bobo bantombanga suamunu mu niandi.
130301008d	Nkunga Davidi mu thangu katina muanꞌandi Abisaloni. A Yave, tala buevi badidi woka bobo bandendidi; batu bawombo balembo ndiendila manenga.
1303020046	Bawombo balembo tubi mu diambu diama: “Nzambi kalendi kunkula ko.”
1303030054	Vayi ngeyo, widi nkaku ama, a Yave. Ngeyo nkemboꞌama, ngeyo wumvumbulanga ntu ama.
1303040056	Ndinyamikinanga kuidi Yave. Niandi wukuphutudilanga mvutu tona ku mongo andi wunlongo.
130305004e	Ndinlambadala, ndinleka tulu ayi ndinkotukanga; bila Yave niandi wukukhebanga.
1303060058	Nditinanga ko tsisi yi makabu mawombo-wombo ma batu bobo banzungididi ndambu ayi ndambu.
130307007a	Yave telama; ngeyo Nzambi ama, wukhudi. Bila ngeyo wubetidi bambeni baama baoso mu matama. Wukoludi meno ma batu bambimbi.
1303080048	Kuidi Yave kumbanga phulusu. Bika lusakumunu luaku luba kuidi batu baku!
13040100ce	Nkunga Davidi, kayimbidila mu bisiku bi zitsinga mu diambu di pfumu minyimbidi. Wuphutudila mvutu bu ndilembo kutedi, a Nzambi ama yisonga ayi wutsadisa bu ndidi mu phasi; wumboni kiadi, wa lusambulu luama.
130402009b	Nate thangu mbi luela, tatamana fuisa nkembo ama tsoni e? Nate thangu mbi luela tatamana zodilanga vanga mambu ma phamba ayi tombanga zinzambi zi luvunu e?
130403006f	Luzaba mboti ti Yave wukisobudidi mutu wumosi wunkinzikanga mambu mandi. Yave wela wa mu thangu ndiela kuntela.
1304040074	Ku tsi nganzi eno, kadi vola masumu. Mu thangu luidi mu zimbuka zieno, lufiongunina mintima mieno bosi luba dio sui.
130405003c	Lutambika makaba ma busonga, ayi lutula diana dieno mu Yave.
130406006f	Bawombo balembo tubi: “Nani wulenda kutumonisa mamboti e?” Bika kiezila ki zizi kiaku kitukienzula, a Yave!
1304070068	Wuwesidi khini yiwombo mu ntimꞌama, viokila yoyi yiba yawu mu thangu baba ble yiwombo ayi vinu kiwombo
1304080081	Ndiela lambadala ayi ndiela leka tulu mu ndembama bila ngeyo veka kaka, a Yave bila ngeyo veka kaka wukuphuandisanga mu luvovomo.
130501007a	Nkunga Davidi kuidi pfumu minyimbidi. Wuyimbidila wawu mu flute. A Yave, tamba dikutu mu mambu mama ayi tala vumina kuama.
1305020065	Dimba yamikina kuama bu ndilembo tombi lusadusu A ntinu ama ayi Nzambi ama bila ngeyo ndieti sambila.
1305030082	A Yave, mu nsuka ngeyo weti wa mbembo ama. Mu nsuka ndieti tula zindombolo ziama va ntualꞌaku ayi ndieti vingila mvutu mu diana.
1305040071	Bila ngeyo wisiko Nzambi wummonanga khini mu mambu mambimbi; mutu wumbimbi kalendi vuanda ko va kimosi ayi ngeyo.
1305050067	Batu badi luniemo balendi telama ko va meso maku. Ngeyo weti lenda batu boso bobo bamvanganga mambimbi.
1305060077	Ngeyo wumbunganga batu bantubanga luvunu. Batu bobo bantengulanga menga ayi bobo bamvunanga, Yave weti kuba kakumukina.
130507007c	Vayi minu ndiela kota mu nzoꞌaku mu diambu di kiadi kiaku kinneni ndiela buongama mu lukinzu mu Nzoꞌaku Nzambi Yinlongo.
1305080061	Wuthuadisa, a Yave mu busonga buaku mu diambu di bambeni ziama. Ludika nzilꞌaku ku ntualꞌama.
13050900b0	Bila kuisi ko mambu malenda siwulu diana mu miunu miawu; mu mintima miawu muwedi mambu mambivisanga. Phovilakꞌawu yidi ziami kizibuka ayi mu ludimi luawu bantubilanga luvunu.
13050a0093	Wuba monisa ti mu nzimbala badi, a Nzambi. Bika mayindu mambimbi mawu ma babuisa. Wuba kuki mu diambu di wombo di masumu mawu Bila ngeyo bafuemini.
13050b00b4	Vayi bika babo bantomba suamunu mu ngeyo bamona khini. Wuba bika bayimbila mu khini mu zithangu zioso ayi bika wuba keba. Muingi bobo beti zola dizina diaku, bamona khini mu ngeyo.
13050c0061	Bila bukiedika ngeyo Yave wunsakumunanga mutu wusonga; Wubazungidila mu mamboti maku banga nkaku.
13060100c1	Nkunga Davidi kuidi pfumu minyimbidi, wuyimbidila wawu mu ngitala yi nana di zitsinga. A Yave, kadi kuthemina ku tsi nganzi aku ayi kadi kuphana thumbudulu bu widi ku tsi miangu miaku mi ngolo.
