2800000006	MATAYO
280101004d	Uno uwo msululu wa wahenga wa Yesu Kilisto, mwana wa Daudi, mwana wa Ablaham.
2801020052	Ablaham kamulela Isaka, Isaka kamulela Yakobo, Yakobo kamulela Yuda na ndugu zake.
2801030066	Yuda kamulela Pelesi na Zela, mamaao kakala Tamali, Pelesi kamulela Heziloni, Heziloni kamulela Alamu,
2801040050	Alamu kamulela Aminadabu, Aminadabu kamulela Nashoni, Nashoni kamulela Salimoni,
280105006f	Salimoni kamulela Boazi, mamaake kakala Lahabu, Boazi kamulela Obedi, mamaake kakala Lusi, Obedi kamulela Yese,
2801060056	Yese kamulela Mndewa Daudi. Daudi kamulela Selemani na mtwanzi yakalile mwehe wa Ulia,
280107004c	Selemani kamulela Lehoboamu, Lehoboamu kamulela Abiya, Abiya kamulela Asafu,
280108004e	Asafu kamulela Yehoshafati, Yehoshafati kamulela Yolamu, Yolamu kamulela Uzia,
2801090044	Uzia kamulela Yotamu, Yotamu kamulela Ahazi, Ahazi kamulela Hezekia,
28010a0045	Hezekia kamulela Manase, Manase kamulela Amoni, Amoni kamulela Yosia,
28010b0051	Yosia kamulela Yekonia na ndugu zake, kipigiti kija viwahamizigwe kuchola Babeli.
28010c006c	Kulawa kipigiti cha kuhamizigwa kuchola Babeli, Yekonia kamulela Shelitieli, Shelitieli kamulela Zelubabeli,
28010d004e	Zelubabeli kamulela Abiudi, Abiudi kamulela Eliakimu, Eliakimu kamulela Azoli,
28010e0044	Azoli kamulela Sadoki, Sadoki kamulela Akimu, Akimu kamulela Eliudi,
28010f004b	Eliudi kamulela Eliazali, Eliazali kamulela Matani, Matani kamulela Yakobo,
2801100052	Yakobo kamulela Usufu, yakalile mbigalo wa Maliamu mamaake Yesu yakemigwe Kilisto.
28011100f6	Avo kukala na milelo longo dimwe na mine kulawa Ablaham mbaka Daudi, na milelo longo dimwe na mine kulawa Daudi mbaka kipigiti viwahamizigwe kuchola Babeli, na milelo longo dimwe na mine kulawa uhamizo wa kuchola Babeli mbaka mvumbuka ya Kilisto.
28011200ba	Vino vivo mvumbuka ya Yesu Kilisto viikalile. Mamaake, yakemigwe Maliamu, kakala mkasano wa Usufu, ila viwakalile hawanakala hamoja, kaiyona kana inda mkubitila mhiko za Loho wa Mulungu.
2801130090	Kwavija Usufu, mkasano wake, kakala munhu yalibule uzenzeleganye, na halondile kumgela kinyala hameso ga wanhu, avo kagelegeza kumuleka kinyele.
28011400e0	Ila viyakalile yogelegeza gano, msenga wa Mndewa wa kuulanga kamulawila muna inzozi na kulonga, “Usufu, Mwana wa Daudi, sambiudumbe kumsola Maliamu yawe mtwanzi wako. Kwavija kapata inda mkubitila mhiko za Loho wa Mulungu.
280115006e	Kolela mwana mbigalo, na gweye komkema twaga jake Yesu, kwavija kowakombola wanhu zake kulawa m'vilozo vao.”
280116004f	Gano gose galawilila giladi gavikile gaja gayalongile Mndewa kubitila muhokozi,
2801170082	“Mhambe kopata inda na kolela mwana mbigalo, na twaga jake kokemigwa Imanueli.” Nhegulo yake “Mulungu ka hamoja na tweye.”
280118007b	Usufu viyalamuke kulawa muutulo, katenda kamba msenga wa Mndewa wa kuulanga viyamulagize, avo kamsola mkasano wake Maliamu.
2801190054	Ila hamkwenhukile mbaka viyamulelile mwana mbigalo. Na heyo kamkema twaga jake Yesu.
28020100a3	Yesu kavumbuka mkiwambo cha Betelehemu muisi ya Yudea, mkipigiti cha Mndewa Helode Mkulu. Na wanhu wali na ilimu ya nhondo kulawa haulawilo wa zua weza Yelusalemu,
2802020088	wauza, “Kahalihi ayo yavumbuke giladi yawe mndewa wa Wayahudi? Kwavija tuyona nhondo yake haulawilo wa zua, avo twiza kumtambikila.”
280203005d	Mndewa Helode viyahulike vino, kagaya ng'hani mmoyo, heyo hamoja na wanhu wose wa Yelusalemu.
2802040072	Kawakema wakulu wa wakulu wa nhambiko na wafundiza Malagizo ga Musa, kawauza, “Halihi hondayaleligwe Kilisto?”
280205005f	Wamwidika, “Mkiwambo cha Betelehemu muisi ya Yudea, kwavija vino vivo yandikigwe na muhokozi,
28020600b6	‘Na gweye, Betelehemu, uli muisi ya Yuda, huli mdodo hagatigati ya watawala wa isi ya Yuda, kwavija kulawa kumwako kolawilila mtawala yondayawalongoze wanhu zangu wa Islaeli.’”
280207006e	Abaho, Helode kawakema kinyele waja iwanhu wali na ilimu ya nhondo wamulongele kipigiti kija inhondo viyoneke.
2802080094	Kawatuma wachole Betelehemu, yolonga, “Gendeni mkaziuzagize goya mbuli za mwana hiyo, na muhamona mnongele, giladi na nie nichole kumtambikila.”
2802090092	Viwamambukize kumtegeleza mndewa, wachola, na ija inhondo iwakalile wayonile haulawilo wa dizua, iwalongola mbaka viimile hanhu hayakalile imwana.
28020a0029	Viwaiwene inhondo, wadeng'helela ng'hani.
28020b00b1	Viwengile mng'anda, wamona imwana hamoja na mamaake Maliamu, wafugama mavindi na kumtambikila. Abaho, wafungula masanduku gao na kumgwelela nhunza za zahabu, ubane, na manemane.
28020c0068	Mulungu kawazuma mnzozi kamba sambiwambwelele Helode. Avo wabweleganya muisi yao mkubitila nzila iyagwe.
28020d00df	Viwacholile, msenga wa Mndewa wa kuulanga kamulawila Usufu mnzozi kalonga, “Lamuka, msole imwana na mamaake mkimbilile Misili. Kaleni hiko mbaka vondanikulongele, kwavija Helode kokwiza kumzahila imwana giladi yamkome.”
28020e0047	Avo Usufu kenuka, kamsola imwana na mamaake ikilo iija, kachola Misili,
28020f0094	ako kuyakalile mbaka Helode viyadanganhike. Giladi kamba gavikile gaja galongigwe na Mndewa kubitila muhokozi, “Nimkema Mwanangu kulawa Misili.”
2802100144	Helode viyawene kamba kavwiziligwa na iwanhu wali na ilimu ya nhondo, kagevuzika ng'hani. Kalagiza kamba wana wose wa kimbigalo wa kiwambo cha Betelehemu na ng'ambu zake zose, wali na milao mibili kwiza hasi wakomigwe, songela viyalongeligwe na waja iwanhu wali na ilimu ya nhondo mmbuli za ija inhondo kipigiti viilawilile.
2802110034	Abaho, gavikila gaja galongigwe na muhokozi Yelemia,
2802120078	“Dizwi dihulikwa ako Lama, kililo na giogio kulu. Laheli kowalilila wanage, halonda kuhembekezwa, kwavija wahaduhu.”
280213005d	Mndewa Helode viyadanganhike, msenga wa Mndewa wa kuulanga kamulawila Usufu mnzozi ako Misili
280214007c	kalonga, “Lamuka, msole imwana na mamaake, uchole muisi ya Islaeli, kwavija wose walondile kumkoma imwana wadanganhika.”
2802150049	Avo Usufu kenuka, kamsola imwana na mamaake, na kubwela muisi ya Islaeli.
28021600b9	Ila Usufu viyahulike kamba Alikelao iyo mtawala wa Yudea kasola hanhu ha tataake Mndewa Helode Mkulu, kadumba kuchola hiko. Na heyo viyazumigwe mnzozi, kanyelenhukila kuisi ya Galilaya.
2802170074	Kachola, kakala mkiwambo kikemigwe Nazaleti, giladi gavikile gaja galongigwe na wahokozi, “Kokemigwa Mnazaleti.”
2803010044	Mazua higo Yohana M'batiza keza, yowapetela wanhu mkiwala cha Yudea,
2803020048	kalonga, “Lekeni vilozo venu, kwavija Undewa wa Kuulanga ukwenhuka!”
28030300a1	Kwavija Yohana iyo yalongigwe na muhokozi Isaya, viyalongile, “Munhu kenula dizwi muluwala, yolonga, ‘Itandeni nzila ya Mndewa, Mgoloseleni nzila zake!’”
280304007a	Yohana kavala guo ditendigwe na mijusu ya ngamia na lukumbulu lwa kwembe mchuno chake, na mandia gake gakala nzige na uki.
2803050068	Wanhu kulawa Yelusalemu, kulawa muisi yose ya Yudea na ng'ambu zose za Mdibonde da Yolodani, wamcholela.
2803060057	Wavilonga vilozo vao haulongozi wa wanhu, na heyo kawabatiza muna Ulwanda lwa Yolodani.
28030700b2	Yohana viyawawene Mafalisayo na Masadukayo bwando womwizila giladi wabatizigwe, kawalongela, “Mweye wana wa nyoka! Yalihi yawazumile kulukimbila lusango lwa Mulungu londalwize?
2803080030	Tendeni mbuli zilagusa kamba muleka vilozo venu.
28030900af	Sambimgelegeze kamba modaha kuikimbila nhaguso ya Mulungu mkulonga, ‘Ablaham iyo muhenga wetu.’ Nowalongela, Mulungu kodaha kusola mabwe gano na kumtendela lukolo Ablaham!
28030a006e	Nhemo ya hana gamasina ga imibiki, na kila m'biki uleka kulela mujo unogile wokanhigwa na kwasigwa muna umoto.
28030b00cc	Nie nowabatiza mweye na mazi kulagusa kamba muleka vilozo venu, ila hachugu changu kokwiza yali na mhiko kubanza nie, nie silumbile hata kupapa ng'hwabasa zake. Heyo kowabatiza na Loho wa Mulungu na moto.
28030c0079	Heyo kana kia chake mmakono cha kubetela, giladi yaikunzanye ngano yake kukano na mikumvi yaisome na moto hauzimikaga.”
28030d0061	Abaho, Yesu keza kulawa Galilaya, kachola hana Ulwanda lwa Yolodani giladi yabatizigwe na Yohana.
28030e006b	Ila Yohana kageza kumgomesa, kalonga, “Nie nolondigwa kubatizigwa na gweye, na gweye kokwiza kumwangu?”
28030f0093	Ila Yesu kamwidika, “Leka iwe vino sambi, kwavija tulondigwa kutenda vino giladi kugavikiza gaja gose gayalagize Mulungu.” Avo Yohana katogola.
2803100094	Bahaja Yesu viyabatizigwe, kalawa muna gamazi. Baho ulanga uvuguka, kamona Loho wa Mulungu yomuhumulukila yalingile kamba hua na kukala uchana yake.
2803110052	Na dizwi kulawa kuulanga dilonga, “Ino iyo Mwanangu mnogelwa, ninogelwe nayo.”
2804010058	Abaho, Yesu kalongozwa na Loho wa Mulungu mbaka muluwala giladi yagezigwe na Mwenembago.
280402004a	Viyamambukize funga ya mazua malongo mane ikilo na imisi, Yesu kona nzala.
280403007f	Abaho, Mwenembago kamcholela kamgeza yomulongela, “Uhawa gweye iyo Mwana wa Mulungu, galongele mabwe gano gagaluke mikate.”
2804040098	Ila Yesu kedika kalonga, “Yandikigwa Mzinyandiko Zing'alile, ‘Munhu hawa mgima sama ya mkate wiyeka, ila mkila mbuli ilawa mmulomo wa Mulungu.’”
280405007c	Abaho, Mwenembago kamsola Yesu mbaka Yelusalemu, Wambo Ding'alile, na kumwika hachana hana inhomboti ya Ing'anda ya Mulungu,
28040600e2	kamulongela, “Uhawa gweye iyo Mwana wa Mulungu, ibwanhe hasi, kwavija yandikigwa Mzinyandiko Zing'alile, ‘Mulungu kokulagizila wasenga zake wa kuulanga, wakudang'he mmakono gao, giladi mgulu wako sambiuikwale mdibwe.’”
2804070066	Yesu kamwidika, “Vivija yandikigwa Mzinyandiko Zing'alile, ‘Sambiumgeze Mndewa Mulungu wako.’”
280408006e	Abaho, Mwenembago kamsola Yesu mbaka hana ikigongo kitali, kamulagusila ndewa zose za ulumwengu na yenzi zake.
2804090050	Kamulongela, “Gano gose nokugwelela uhanifugamila mavindi na kunitambikila.”
28040a00a3	Abaho, Yesu kamulongela, “Goboka, Mwenembago! Kwavija yandikigwa Mzinyandiko Zing'alile, ‘Mtambikile Mndewa Mulungu wako na umsang'hanikile heyo yeiyeka!’”
28040b0057	Abaho, Mwenembago kamuleka, na wasenga wa Mulungu wa kuulanga weza na kumsang'hanikila.
28040c00e9	Yesu viyahulike kamba Yohana kageligwa mkifungo, kachola kukiwambo cha Nazaleti muisi ya Galilaya. Kasegela Nazaleti, kachola kukala Kapenaumu, kiwambo kikalile behi na Dilamba da Galilaya, muisi za mitala ya Wazabuloni na Wanaftali,
28040e0032	giladi gavikile gaja galongigwe na muhokozi Isaya,
28040f0081	“Isi ya Zabuloni na isi ya Naftali, nzila ya kuchola m'bahali, mwambu uyagwe wa Ulwanda lwa Yolodani, Galilaya, isi ya Wamhazi!
280410006e	Wanhu wokala mdiziza wona mulangaza mkulu. Na waja wose wokala muisi ya ziza da ifa, mulangaza uwamwemwesa.”
280411007c	Songela kipigiti kija Yesu kasonga kuwapetela wanhu yolonga, “Lekeni vilozo venu, kwavija Undewa wa Kuulanga ukwenhuka!”
28041200c1	Yesu viyakalile yotembela mumgwazo wa Idilamba da Galilaya, kawona wandugu wabili, Simoni yakemigwe Petulo na mdodo wake Endelea. Wakala wotanda nhando zao mdilamba, kwavija wakala waloa somba.
2804130049	Yesu kawalongela, “Ng'holelezeni, na nie nowatenda muwe waloa wanhu.”
2804140028	Bahaja wazileka nhando zao, wamkoleleza.
28041500c7	Viyacholile haulongozi kidogo, kawona wandugu wabili wayagwe, Yakobo na mdodo wake Yohana, wanage Zebedayo, wakalile muna ingalawa hamoja na tataao Zebedayo, wozigongomanya nhando zao. Yesu kawakema,
2804160030	na baho waileka ingalawa na tataao, wamkoleleza.
28041700c3	Yesu kachola kila hanhu m'viwambo va Galilaya, yofundiza muna zing'anda zao za nhambiko na kuupeta Usenga Unogile wa Undewa wa Mulungu, na kuwahonya wanhu wakalile na kila utamu na unyondenyonde.
28041800c7	Mbuli zake zenela muisi yose ya Silia. Wamgalila wanhu wose wakalile wokugula kila utamu, wakalile wokona vihile, wakalile na vinyamkela, wakalile na kisango, na wakalile waholole, na heyo kawahonya.
28041900ab	Dale kulu da wanhu dimkoleleza, wanhu kulawa Galilaya, kulawa kuviwambo longo dimwe vikemigwa Dekapoli, kulawa Yelusalemu, Yudea, na mwambu uyagwe wa Ulwanda lwa Yolodani.
280501005a	Yesu viyadiwene didale da wanhu, kakwela hakigongo, kakala hasi. Wanahina zake wamcholela,
280502001c	na heyo kasonga kuwafundiza.
2805030045	“Wamota waja wakumbulu wa loho, kwavija Undewa wa Kuulanga uli wao!
280504003b	Wamota waja wose wali na giogio, kwavija wobwezigwa imioyo!
2805050037	Wamota waja wali na mioyo iholile, kwavija woihala isi!
2805060054	Wamota waja wose wali na nzala na ng'hilu ya kutenda ganogile, kwavija wokwigutizwa!
280507002c	Wamota wali na bazi, kwavija wokonelwa bazi!
2805080037	Wamota wali na mioyo ing'alile, kwavija womona Mulungu!
2805090036	Wamota wagombelezi, kwavija wokemigwa wana wa Mulungu!
28050a0052	Wamota awo wogazigwa sama ya kutenda ganogile, kwavija Undewa wa Kuulanga uli wao!
28050b005f	“Mmota mweye haja wanhu wahawaliga, na kuwagaza, na kuwavwizila mbuli zose zihile sama yangu.
28050c007d	Deng'heleleni na kutoa ng'henze, kwavija nhunza yenu yowa ng'hulu kuulanga. Kwavija vino vivo wagazigwe wahokozi wawalongole.
28050d00a2	“Mweye iwo munyu wa isi. Ila munyu uhagiza kilandu chake, vodahikaze kuutenda unoge kabili? Haunoga mkinhu chochose, ila wokwasigwa hanze na kubojagwa na wanhu.
28050e007a	“Mweye iwo mulangaza wa ulumwengu mokoneka na wanhu wose, kamba viwodaha kuwona mulangaza wa wambo dizengigwe hakigongo.
28050f0088	Haduhu munhu yobwinha kiwenge na kukigubika na kinongo. Ila kokika uchana hakingolobweda, giladi kimmwemwesele kila munhu yali mng'anda.
280510008a	Vivo na mweye, mulangaza wenu umwemwese haulongozi wa wanhu, giladi wone sang'hano zenu zinogile, na hewo wamuyenzi Tata wenu wa kuulanga.
