2800000006	Matayo
280101009b	Aga nigo amazíina go olugaanda lwa Yeézu Kristu. Yeézu Kristu akalugiilila omu luzáalo lwa Daudi óogwo akaba naalugiílila omu lugaanda lwa Ibrahímu.
2801020060	Ibrahímu akazaala Izáaka, Izáaka yaázáala Yakobo, Yakobo yaázáala Yuda na badugu boómwe.
280103006a	Yuda yaázáala Peréesi na Zera hali Tamari, Peréesi yaázáala Hezeróoni, Hezeróoni yaázáala Aramu,
2801040055	Aramu yaázáala Aminadabu, Aminadabu yaázáala Nashoni, Nashoni yaázáala Salmoni,
280105005f	Salmoni yaázáala Boazi hali Rahabu, Boazi yaázáala Obedi hali Ruthu, Obedi yaázáala Yese,
2801060069	na Yese yaázáala omukáma Daudi. Daudi yaázáala Selemani kuluga aha mukázi ogwo akaba ali muka Uria,
2801070050	Selemani yaázáala Rehoboamu, Rehoboamu yaázáala Abiya, Abiya yaázáala Asa,
2801080052	Asa yaázáala Yehoshafati, Yehoshafati yaázáala Yoramu, Yoramu yaázáala Uzia,
280109004b	Uzia yaázáala Yoatamu, Yoatamu yaázáala Ahazi, Ahazi yaázáala Ezekia,
28010a004a	Ezekia yaázáala Manase, Manase yaázáala Amoni, Amoni yaázáala Yosia,
28010b0086	na Yosia yaázáala Yekonia na badugu boómwe, obuchilo óobwo Abaiziraeli bakakwáatwa enkwáate babe abahálila omu nsi ya Babéeli.
28010c0082	Abaiziraeli kábaabeele baáfulukiile okwo omu nsi ya Babéeli, Yekonia yaázáala Shealitieli, Shealitieli yaázáala Zerubabeli,
28010d0056	Zerubabeli yaázáala Abihudi, Abihudi yaázáala Eliakimu, Eliakimu yaázáala Azora,
28010e004a	Azora yaázáala Zadoki, Zadoki yaázáala Akimu, Akimu yaázáala Eliudi,
28010f0051	Eliudi yaázáala Eleazari, Eleazari yaázáala Matani, Matani yaázáala Yakobo,
2801100069	Yakobo yaázáala Yozéfu, iíba wa Mariamu, náwe Mariamu yaámuzáala Yeézu óogwo alikwéetwa Masihi.
2801110192	Mbwéenu, kuluga ahali Ibrahímu kuhika kuzaalwa kwo omukáma Daudi hakaba heena enzaalwa ikúmi ne eéna. Káandi, kuluga ahali Daudi kuhika ha buchilo óobwo Abaiziraeli baáfululiilwe babe abahálila omu nsi ya Babéeli, hakaba heena enzaalwa ezíindi ikúmi ne eéna. Káandi, kuluga omu buchilo óobwo baáfululiilwe okwo kuhika kuzaalwa kwa Masihi, hakaba heena enzaalwa ezíindi ikúmi ne eéna.
28011200ef	Empola yo kuzaalwa kwa Yeézu Kristu niyo ezi. Mariamu nyina wa Yeézu, akaba asuumbikilwe na Yozéfu. Náho acháali batakalyaámile hamo, Mariamu yaásaangwa ayina éenda, ne éenda ezo akaba ayinayo aha buhicha bwo Omwooyo Mutakatíifu.
280113009a	Yozéfu ali iíba, akaba ali omuuntu we entúungwa nzima omu méeso ga Múungu. Talayeenzile kumulega Mariamu, ha bwéecho akalamula kumuleka bweeseléke.
280114010e	Náho obuchilo naateekuza aátyo, ahonyini maléeka wo Omukáma Múungu amweésuululukiza omu kulóota, yaámugaambila, “Yozéfu, owo luzáalo lwa Daudi otatiina kumutwáala Mariamu, habwo kuba echili omuunda yoómwe achibweene habwo obuhicha bwo Omwooyo Mutakatíifu.
280115009e	Alyaázáala omwaana wo obwoózo, neewe olyaámuluka izíina lyoómwe Yeézu, habwo kuba ogwo niwe alichuungúla abaantu boómwe kuluga omu biheno byáabo.”
280116008b	Ebyo byóona bikabaho bityo, chibone kuhikiilila echigaambo éecho Omukáma Múungu yaágaambile aha muháanda gwo omubáasi woómwe aáti,
28011700c9	“Léeba, omubiíkila alyaátwáala éenda, náwe alyaázáala omutábani. Niho bamuluke izíina lyoómwe Emanueli.” Ensoonga yi izíina eli nikwo kugaamba oóti, “Múungu ayikala hamo neechwe.”
