25	66	1189	563
File Name	Holy-Bible---English---STEPBible-Concordant---Standard-Edition.noia
File Size	5291288
File Date	10/23/2025 23:44:32
File Purpose	Supporting resource for the Aionian Bible project
File Location	https://resources.AionianBible.org
File Copyright	Creative Commons Attribution 4.0 International, 2018-2025
File Generator	ABCMS (alpha)
File Accuracy	Contact publisher with corrections to file format or content
Publisher Name	Nainoia Inc
Publisher Contact	https://www.AionianBible.org/Publisher
Publisher Mission	https://www.AionianBible.org/Preface
Publisher Website	https://NAINOIA-INC.signedon.net
Publisher Facebook	https://www.Facebook.com/AionianBible
Bible Name	STEPBible, Concordant
Bible Name English	STEPBible, Concordant
Bible Language	English
Bible Language English	English
Bible Copyright Format	Creative Commons Attribution 4.0 International, 2018-2025
Bible Copyright Text	Creative Commons Attribution 4.0
Bible Source	Tyndale House Cambridge
Bible Source Version	9/27/2025
Bible Source Link	https://github.com/STEPBible/STEPBible-Data
Bible Source Year	2024
Bible Description	Scripture Tools for Every Person
Bible Format	Standard formatting without annotation
1	Genesis	50
1	31
1	in/on/with first: beginning to create God [obj] [the] heaven and [obj] [the] land: country/planet
2	and [the] land: country/planet to be formlessness and void and darkness upon face: surface abyss and spirit God to hover upon face: surface [the] water
3	and to say God to be light and to be light
4	and to see: see God [obj] [the] light for be pleasing and to separate God between [the] light and between [the] darkness
5	and to call: call by God to/for light day and to/for darkness to call: call by night and to be evening and to be morning day one
6	and to say God to be expanse in/on/with midst [the] water and to be to separate between water to/for water
7	and to make God [obj] [the] expanse and to separate between [the] water which from underneath: under to/for expanse and between [the] water which from upon to/for expanse and to be so
8	and to call: call by God to/for expanse heaven and to be evening and to be morning day second
9	and to say God to collect [the] water from underneath: under [the] heaven to(wards) place one and to see: see [the] dry land and to be so
10	and to call: call by God to/for dry land land: country/planet and to/for collection [the] water to call: call by sea and to see: see God for be pleasing
11	and to say God to sprout [the] land: country/planet grass vegetation to sow seed tree fruit to make fruit to/for kind his which seed his in/on/with him upon [the] land: country/planet and to be so
12	and to come out: produce [the] land: country/planet grass vegetation to sow seed to/for kind his and tree (to make *LAH(b)*) fruit which seed his in/on/with him to/for kind his and to see: see God for be pleasing
13	and to be evening and to be morning day third
14	and to say God to be light in/on/with expanse [the] heaven to/for to separate between [the] day and between [the] night and to be to/for sign: indicator and to/for meeting: time appointed and to/for day and year
15	and to be to/for light in/on/with expanse [the] heaven to/for to light upon [the] land: country/planet and to be so
16	and to make God [obj] two [the] light [the] great: large [obj] [the] light [the] great: large to/for dominion [the] day and [obj] [the] light [the] small to/for dominion [the] night and [obj] [the] star
17	and to give: put [obj] them God in/on/with expanse [the] heaven to/for to light upon [the] land: country/planet
18	and to/for to rule in/on/with day and in/on/with night and to/for to separate between [the] light and between [the] darkness and to see: see God for be pleasing
19	and to be evening and to be morning day fourth
20	and to say God to swarm [the] water swarm soul: animal alive and bird to fly upon [the] land: country/planet upon face: surface expanse [the] heaven
21	and to create God [obj] [the] serpent: monster [the] great: large and [obj] all soul: animal [the] alive [the] to creep which to swarm [the] water to/for kind their and [obj] all bird wing to/for kind his and to see: see God for be pleasing
22	and to bless [obj] them God to/for to say be fruitful and to multiply and to fill [obj] [the] water in/on/with sea and [the] bird to multiply in/on/with land: country/planet
23	and to be evening and to be morning day fifth
24	and to say God to come out: produce [the] land: soil soul: animal alive to/for kind her animal and creeping and living thing land: soil to/for kind her and to be so
25	and to make God [obj] living thing [the] land: country/planet to/for kind her and [obj] [the] animal to/for kind her and [obj] all creeping [the] land: soil to/for kind his and to see: see God for be pleasing
26	and to say God to make man in/on/with image our like/as likeness our and to rule in/on/with fish [the] sea and in/on/with bird [the] heaven and in/on/with animal and in/on/with all [the] land: country/planet and in/on/with all [the] creeping [the] to creep upon [the] land: soil
27	and to create God [obj] [the] man in/on/with image his in/on/with image God to create [obj] him male and female to create [obj] them
28	and to bless [obj] them God and to say to/for them God be fruitful and to multiply and to fill [obj] [the] land: country/planet and to subdue her and to rule in/on/with fish [the] sea and in/on/with bird [the] heaven and in/on/with all alive [the] to creep upon [the] land: soil
29	and to say God behold to give: give to/for you [obj] all vegetation to sow seed which upon face: surface all [the] land: country/planet and [obj] all [the] tree which in/on/with him fruit tree to sow seed to/for you to be to/for food
30	and to/for all living thing [the] land: soil and to/for all bird [the] heaven and to/for all to creep upon [the] land: soil which in/on/with him soul: life alive [obj] all green vegetation to/for food and to be so
31	and to see: see God [obj] all which to make and behold pleasant much and to be evening and to be morning day [the] sixth
2	25
1	and to end: finish [the] heaven and [the] land: country/planet and all army their
2	and to end: finish God in/on/with day [the] seventh work his which to make: do and to cease in/on/with day [the] seventh from all work his which to make: do
3	and to bless God [obj] day [the] seventh and to consecrate: consecate [obj] him for in/on/with him to cease from all work his which to create God to/for to make: do
4	these generation [the] heaven and [the] land: country/planet in/on/with to create they in/on/with day to make LORD God land: country/planet and heaven
5	and all bush [the] land: country before to be in/on/with land: country/planet and all vegetation [the] land: country before to spring for not to rain LORD God upon [the] land: country/planet and man nothing to/for to serve: labour [obj] [the] land: soil
6	and mist to ascend: rise from [the] land: country/planet and to water: watering [obj] all face: surface [the] land: soil
7	and to form: formed LORD God [obj] [the] the man (Adam) dust from [the] land: soil and to breathe in/on/with face: nose his breath life and to be [the] the man (Adam) to/for soul: animal alive
8	and to plant LORD God garden (in/on/with Eden *L(abh)*) from front: east and to set: put there [obj] [the] the man (Adam) which to form: formed
9	and to spring LORD God from [the] land: soil all tree to desire to/for appearance and pleasant to/for food and tree [the] life in/on/with midst [the] garden and tree [the] knowledge good and bad: evil
10	and river to come out: issue from Eden to/for to water: watering [obj] [the] garden and from there to separate and to be to/for four head: first
11	name [the] one Pishon he/she/it [the] to turn: turn [obj] all land: country/planet [the] Havilah which there [the] gold
12	and gold [the] land: country/planet [the] he/she/it pleasant there [the] bdellium and stone [the] onyx
13	and name [the] river [the] second Gihon he/she/it [the] to turn: turn [obj] all land: country/planet Cush
14	and name [the] river [the] third Tigris he/she/it [the] to go: walk east Assyria and [the] river [the] fourth he/she/it Euphrates
15	and to take: take LORD God [obj] [the] the man (Adam) and to rest him in/on/with garden Eden to/for to serve: labour her and to/for to keep: guard her
16	and to command LORD God upon [the] the man (Adam) to/for to say from all tree [the] garden to eat to eat
17	and from tree [the] knowledge good and bad: evil not to eat from him for in/on/with day to eat you from him to die to die
18	and to say LORD God not pleasant to be [the] the man (Adam) to/for alone him to make to/for him helper like/as before him
