24	66	1189	461
File Name	Holy-Bible---French---Free-for-the-World---Standard-Edition.noia
File Size	4726747
File Date	10/23/2025 23:47:43
File Purpose	Supporting resource for the Aionian Bible project
File Location	https://resources.AionianBible.org
File Copyright	Creative Commons Attribution 4.0 International, 2018-2025
File Generator	ABCMS (alpha)
File Accuracy	Contact publisher with corrections to file format or content
Publisher Name	Nainoia Inc
Publisher Contact	https://www.AionianBible.org/Publisher
Publisher Mission	https://www.AionianBible.org/Preface
Publisher Website	https://NAINOIA-INC.signedon.net
Publisher Facebook	https://www.Facebook.com/AionianBible
Bible Name	Sainte Bible Libre Pour le Monde
Bible Name English	French Free Holy Bible for the World
Bible Language	Français
Bible Language English	French
Bible Copyright Format	Creative Commons Attribution 4.0 International, 2018-2025
Bible Copyright Text	Public Domain
Bible Source	David Williams / Michael Johnson
Bible Source Version	9/10/2025
Bible Source Link	https://ebible.org/details.php?id=frasbl
Bible Source Year	2023-2024
Bible Format	Standard formatting without annotation
1	Genèse	50
1	31
1	Au commencement, Dieu créa les cieux et la terre.
2	La terre était informe et vide. Les ténèbres étaient à la surface de l'abîme et l'Esprit de Dieu planait au-dessus de la surface des eaux.
3	Dieu dit: «Que la lumière soit!» et la lumière fut.
4	Dieu vit la lumière, et il vit qu'elle était bonne. Dieu sépara la lumière d'avec les ténèbres.
5	Dieu appela la lumière «jour», et il appela les ténèbres «nuit». Il y eut un soir et il y eut un matin: ce fut le premier jour.
6	Dieu dit: «Qu'il y ait une étendue au milieu des eaux, et qu'elle sépare les eaux d'avec les eaux.»
7	Dieu fit l'étendue, et il sépara les eaux qui étaient au-dessous de l'étendue des eaux qui étaient au-dessus de l'étendue; et il en fut ainsi.
8	Dieu appela l'étendue «ciel». Il y eut un soir et il y eut un matin, un second jour.
9	Dieu dit: «Que les eaux qui sont sous le ciel se rassemblent en un seul lieu, et que la terre sèche apparaisse»; et il en fut ainsi.
10	Dieu appela la terre sèche «terre», et il appela le rassemblement des eaux «mer». Dieu vit que cela était bon.
11	Dieu dit: «Que la terre produise de l'herbe, des herbes portant des graines, et des arbres fruitiers portant des fruits selon leur espèce, avec leurs graines, sur la terre».
12	La terre produisit de l'herbe, des herbes portant de la semence selon leur espèce, et des arbres fruitiers portant du fruit selon leur espèce, avec leur semence en elle; et Dieu vit que cela était bon.
13	Il y eut un soir, et il y eut un matin: ce fut le troisième jour.
14	Dieu dit: «Qu'il y ait des luminaires dans l'étendue du ciel pour séparer le jour d'avec la nuit, et qu'ils servent de signes pour marquer les saisons, les jours et les années;
15	et qu'ils servent de luminaires dans l'étendue du ciel pour éclairer la terre».
16	Dieu fit les deux grands luminaires: le grand luminaire pour régir le jour, et le petit luminaire pour régir la nuit. Il fit aussi les étoiles.
17	Dieu les plaça dans l'étendue du ciel pour éclairer la terre,
18	pour dominer le jour et la nuit, et pour séparer la lumière des ténèbres. Dieu vit que cela était bon.
19	Il y eut un soir et il y eut un matin: ce fut le quatrième jour.
20	Dieu dit: «Que les eaux regorgent d'êtres vivants, et que les oiseaux volent au-dessus de la terre dans l'étendue du ciel.»
21	Dieu créa les grands animaux marins et tous les êtres vivants qui se meuvent, dont les eaux fourmillent, selon leur espèce, et tout oiseau ailé selon son espèce. Dieu vit que cela était bon.
22	Dieu les bénit, en disant: «Soyez féconds, multipliez, remplissez les eaux des mers, et que les oiseaux se multiplient sur la terre.»
23	Il y eut un soir, et il y eut un matin: ce fut le cinquième jour.
24	Dieu dit: «Que la terre produise des êtres vivants selon leur espèce, du bétail, des reptiles et des animaux de la terre selon leur espèce»; et il en fut ainsi.
25	Dieu fit les animaux de la terre selon leur espèce, le bétail selon son espèce, et tout ce qui rampe sur le sol selon son espèce. Dieu vit que cela était bon.
26	Dieu dit: «Faisons l'homme à notre image, selon notre ressemblance. Qu'ils dominent sur les poissons de la mer, sur les oiseaux du ciel, sur le bétail, sur toute la terre et sur tous les reptiles qui rampent sur la terre.»
27	Dieu a créé l'homme à son image. Il le créa à l'image de Dieu; il les créa mâle et femelle.
28	Dieu les bénit. Dieu leur dit: «Soyez féconds, multipliez, remplissez la terre et soumettez-la. Dominez les poissons de la mer, les oiseaux du ciel et tout être vivant qui se meut sur la terre.»
29	Dieu dit: «Voici, je vous ai donné toute herbe portant de la semence, qui est à la surface de toute la terre, et tout arbre portant du fruit et portant de la semence. Ce sera votre nourriture.
30	A tout animal de la terre, à tout oiseau du ciel, et à tout ce qui rampe sur la terre et qui a de la vie, j'ai donné toute herbe verte pour nourriture.
31	Dieu vit tout ce qu'il avait fait, et voici, cela était très bon. Il y eut un soir et il y eut un matin, un sixième jour.
2	25
1	Les cieux, la terre et toute leur étendue furent achevés.
2	Le septième jour, Dieu acheva l'œuvre qu'il avait faite, et il se reposa au septième jour de toute son œuvre.
3	Dieu bénit le septième jour et le sanctifia, parce qu'il se reposa en ce jour de toute l'œuvre de la création qu'il avait faite.
4	Voici l'histoire des générations des cieux et de la terre, quand ils furent créés, au jour où Yahvé Dieu fit la terre et les cieux.
5	Aucune plante des champs n'était encore sur la terre, et aucune herbe des champs n'avait encore poussé, car Yahvé Dieu n'avait pas fait pleuvoir sur la terre. Il n'y avait pas d'homme pour cultiver la terre,
6	mais une brume montait de la terre et arrosait toute la surface du sol.
7	Yahvé Dieu forma l'homme de la poussière de la terre, il souffla dans ses narines une haleine de vie, et l'homme devint un être vivant.
8	Yahvé Dieu planta un jardin à l'orient, en Éden, et il y mit l'homme qu'il avait formé.
9	Yahvé Dieu fit pousser du sol tous les arbres agréables à la vue et bons à manger, y compris l'arbre de vie au milieu du jardin et l'arbre de la connaissance du bien et du mal.
10	Un fleuve sortait d'Eden pour arroser le jardin; de là, il se divisait et devenait la source de quatre fleuves.
11	Le nom du premier est Pishon; il coule dans tout le pays de Havila, où il y a de l'or;
12	et l'or de ce pays est bon. On y trouve aussi du bdellium et de la pierre d'onyx.
13	Le nom du second fleuve est Gihon. C'est le même fleuve qui coule dans tout le pays de Cusch.
14	Le nom du troisième fleuve est Hiddékel. C'est celui qui coule devant l'Assyrie. Le quatrième fleuve est l'Euphrate.
15	Yahvé Dieu prit l'homme et le plaça dans le jardin d'Eden pour le cultiver et le garder.
16	Yahvé Dieu donna cet ordre à l'homme: «Tu peux manger librement de tous les arbres du jardin;
17	mais tu ne mangeras pas de l'arbre de la connaissance du bien et du mal, car le jour où tu en mangeras, tu mourras.»
18	Yahvé Dieu dit: «Il n'est pas bon que l'homme soit seul. Je vais lui faire une aide qui lui soit comparable.»
19	Yahvé Dieu forma de la terre tous les animaux des champs et tous les oiseaux du ciel, et il les amena à l'homme pour voir comment il les appellerait. Le nom que l'homme donna à chaque être vivant devint son nom.
20	L'homme donna des noms à tout le bétail, aux oiseaux du ciel et à tous les animaux des champs; mais il ne fut pas trouvé pour l'homme un auxiliaire comparable à lui.
21	Yahvé Dieu fit tomber l'homme dans un profond sommeil. Comme l'homme dormait, il prit une de ses côtes et referma la chair à sa place.
22	Yahvé Dieu fit une femme de la côte qu'il avait prise à l'homme, et il l'amena à l'homme.
23	L'homme dit: «Voici l'os de mes os et la chair de ma chair. On l'appellera femme, parce qu'elle est sortie de l'homme».
24	C'est pourquoi l'homme quittera son père et sa mère, et s'attachera à sa femme, et ils seront une seule chair.
25	L'homme et sa femme étaient tous deux nus, et ils n'ont pas eu honte.
3	24
